"Back9Par5ScoringAverage_RANKTHISWEEK_2006","Back9Par5ScoringAverage_RANKLASTWEEK_2006","Back9Par5ScoringAverage_PLAYERNAME_2006","Back9Par5ScoringAverage_ROUNDS_2006","Back9Par5ScoringAverage_AVG_2006","Back9Par5ScoringAverage_TOTALSTROKES_2006","Back9Par5ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Tiger Woods",55,4.47,438,98,"Back9Par5ScoringAverage",2006
2,2,"John Rollins",93,4.52,736,163,"Back9Par5ScoringAverage",2006
3,3,"Jose Maria Olazabal",62,4.53,485,107,"Back9Par5ScoringAverage",2006
4,4,"Mathew Goggin",72,4.55,537,118,"Back9Par5ScoringAverage",2006
5,5,"Stephen Ames",63,4.57,539,118,"Back9Par5ScoringAverage",2006
5,5,"Lucas Glover",105,4.57,809,177,"Back9Par5ScoringAverage",2006
5,5,"Arron Oberholser",82,4.57,589,129,"Back9Par5ScoringAverage",2006
8,8,"Greg Owen",79,4.58,683,149,"Back9Par5ScoringAverage",2006
8,8,"Tom Pernice Jr",108,4.58,797,174,"Back9Par5ScoringAverage",2006
8,8,"Vijay Singh",103,4.58,787,172,"Back9Par5ScoringAverage",2006
8,8,"Nick Watney",97,4.58,778,170,"Back9Par5ScoringAverage",2006
12,12,"Trevor Immelman",86,4.59,657,143,"Back9Par5ScoringAverage",2006
12,12,"Jesper Parnevik",84,4.59,688,150,"Back9Par5ScoringAverage",2006
12,12,"Steve Stricker",64,4.59,482,105,"Back9Par5ScoringAverage",2006
15,15,"Joe Durant",101,4.6,814,177,"Back9Par5ScoringAverage",2006
15,15,"Harrison Frazar",95,4.6,740,161,"Back9Par5ScoringAverage",2006
15,15,"Phil Mickelson",74,4.6,607,132,"Back9Par5ScoringAverage",2006
15,15,"Pat Perez",50,4.6,451,98,"Back9Par5ScoringAverage",2006
15,15,"Vance Veazey",59,4.6,465,101,"Back9Par5ScoringAverage",2006
20,20,"Robert Allenby",79,4.61,623,135,"Back9Par5ScoringAverage",2006
20,20,"Stewart Cink",93,4.61,664,144,"Back9Par5ScoringAverage",2006
20,20,"Davis Love III",85,4.61,636,138,"Back9Par5ScoringAverage",2006
20,20,"Chris Smith",67,4.61,544,118,"Back9Par5ScoringAverage",2006
20,20,"Bubba Watson",83,4.61,645,140,"Back9Par5ScoringAverage",2006
25,25,"Craig Barlow",77,4.62,600,130,"Back9Par5ScoringAverage",2006
25,25,"Jason Bohn",104,4.62,841,182,"Back9Par5ScoringAverage",2006
25,25,"Jonathan Byrd",66,4.62,554,120,"Back9Par5ScoringAverage",2006
25,25,"Ernie Els",69,4.62,522,113,"Back9Par5ScoringAverage",2006
25,25,"Rod Pampling",89,4.62,675,146,"Back9Par5ScoringAverage",2006
25,25,"Justin Rose",98,4.62,749,162,"Back9Par5ScoringAverage",2006
25,25,"Adam Scott",70,4.62,522,113,"Back9Par5ScoringAverage",2006
25,25,"Brett Wetterich",82,4.62,674,146,"Back9Par5ScoringAverage",2006
33,33,"Luke Donald",66,4.63,519,112,"Back9Par5ScoringAverage",2006
33,33,"JP Hayes",55,4.63,426,92,"Back9Par5ScoringAverage",2006
33,33,"JJ Henry",96,4.63,755,163,"Back9Par5ScoringAverage",2006
33,33,"Will Ma Kenzie",91,4.63,704,152,"Back9Par5ScoringAverage",2006
33,33,"Daisuke Maruyama",83,4.63,639,138,"Back9Par5ScoringAverage",2006
33,33,"Ryan Moore",68,4.63,509,110,"Back9Par5ScoringAverage",2006
33,33,"Sean OHair",100,4.63,819,177,"Back9Par5ScoringAverage",2006
33,33,"DJ Trahan",92,4.63,723,156,"Back9Par5ScoringAverage",2006
41,41,"Henrik Bjornstad",97,4.64,747,161,"Back9Par5ScoringAverage",2006
41,41,"Daniel Chopra",110,4.64,901,194,"Back9Par5ScoringAverage",2006
41,41,"Tim Clark",80,4.64,692,149,"Back9Par5ScoringAverage",2006
41,41,"Chris Couch",75,4.64,613,132,"Back9Par5ScoringAverage",2006
41,41,"Jim Furyk",89,4.64,701,151,"Back9Par5ScoringAverage",2006
41,41,"Mathias Gronberg",92,4.64,701,151,"Back9Par5ScoringAverage",2006
41,41,"Ryan Palmer",101,4.64,780,168,"Back9Par5ScoringAverage",2006
41,41,"Kevin Sutherland",100,4.64,788,170,"Back9Par5ScoringAverage",2006
49,49,"Paul Azinger",87,4.65,661,142,"Back9Par5ScoringAverage",2006
49,49,"Shane Bertsch",104,4.65,833,179,"Back9Par5ScoringAverage",2006
49,49,"Brian Davis",92,4.65,726,156,"Back9Par5ScoringAverage",2006
49,49,"Paul Goydos",72,4.65,576,124,"Back9Par5ScoringAverage",2006
49,49,"Dudley Hart",83,4.65,619,133,"Back9Par5ScoringAverage",2006
49,49,"Freddie Jacobson",56,4.65,442,95,"Back9Par5ScoringAverage",2006
49,49,"Frank Lickliter II",99,4.65,748,161,"Back9Par5ScoringAverage",2006
49,49,"Hunter Mahan",98,4.65,763,164,"Back9Par5ScoringAverage",2006
49,49,"Carl Pettersson",95,4.65,744,160,"Back9Par5ScoringAverage",2006
49,49,"Omar Uresti",61,4.65,460,99,"Back9Par5ScoringAverage",2006
49,49,"Bo Van Pelt",102,4.65,814,175,"Back9Par5ScoringAverage",2006
60,60,"Billy Andrade",78,4.66,578,124,"Back9Par5ScoringAverage",2006
60,60,"Briny Baird",81,4.66,610,131,"Back9Par5ScoringAverage",2006
60,60,"Fred Couples",52,4.66,401,86,"Back9Par5ScoringAverage",2006
60,60,"David Duval",71,4.66,559,120,"Back9Par5ScoringAverage",2006
60,60,"Steve Elkington",52,4.66,415,89,"Back9Par5ScoringAverage",2006
60,60,"Todd Fischer",101,4.66,816,175,"Back9Par5ScoringAverage",2006
60,60,"Brian Gay",107,4.66,844,181,"Back9Par5ScoringAverage",2006
60,60,"Retief Goosen",68,4.66,513,110,"Back9Par5ScoringAverage",2006
