"Top10Finishes_RANKTHISWEEK_2011","Top10Finishes_RANKLASTWEEK_2011","Top10Finishes_PLAYERNAME_2011","Top10Finishes_EVENTS_2011","Top10Finishes_TOP10_2011","Top10Finishes_1ST_2011","Top10Finishes_2ND_2011","Top10Finishes_3RD_2011","stat_name","year"
1,1,"Luke Donald",19,14,2,2,2,"Top10Finishes",2011
2,2,"Webb Simpson",26,12,2,3,NA,"Top10Finishes",2011
3,3,"Jason Day",21,10,NA,2,1,"Top10Finishes",2011
3,3,"Nick Watney",22,10,2,1,NA,"Top10Finishes",2011
5,5,"Matt Kuchar",24,9,NA,2,1,"Top10Finishes",2011
5,5,"Hunter Mahan",25,9,NA,2,NA,"Top10Finishes",2011
7,7,"KJ Choi",22,8,1,1,2,"Top10Finishes",2011
8,8,"Tommy Gainey",34,7,NA,NA,4,"Top10Finishes",2011
8,8,"Bill Haas",26,7,1,2,NA,"Top10Finishes",2011
8,8,"Charles Howell III",30,7,NA,NA,2,"Top10Finishes",2011
8,8,"Phil Mickelson",21,7,1,2,NA,"Top10Finishes",2011
8,8,"Adam Scott",18,7,1,1,1,"Top10Finishes",2011
8,8,"Brandt Snedeker",26,7,1,NA,2,"Top10Finishes",2011
8,8,"David Toms",23,7,1,1,1,"Top10Finishes",2011
15,15,"Jason Dufner",23,6,NA,2,1,"Top10Finishes",2011
15,15,"Dustin Johnson",21,6,1,2,1,"Top10Finishes",2011
15,15,"Martin Laird",23,6,1,NA,1,"Top10Finishes",2011
15,15,"Spencer Levin",31,6,NA,1,NA,"Top10Finishes",2011
15,15,"Bryce Molder",27,6,1,NA,NA,"Top10Finishes",2011
15,15,"Kevin Na",26,6,1,NA,1,"Top10Finishes",2011
15,15,"Gary Woodland",25,6,1,1,NA,"Top10Finishes",2011
22,22,"Aaron Baddeley",22,5,1,NA,1,"Top10Finishes",2011
22,22,"Jonathan Byrd",26,5,1,1,NA,"Top10Finishes",2011
22,22,"Carl Pettersson",27,5,NA,NA,NA,"Top10Finishes",2011
22,22,"Chez Reavie",27,5,NA,1,NA,"Top10Finishes",2011
22,22,"Justin Rose",23,5,1,NA,1,"Top10Finishes",2011
22,22,"Vijay Singh",25,5,NA,1,2,"Top10Finishes",2011
22,22,"Steve Stricker",19,5,2,NA,NA,"Top10Finishes",2011
22,22,"Bo Van Pelt",27,5,NA,NA,1,"Top10Finishes",2011
22,22,"YE Yang",18,5,NA,1,1,"Top10Finishes",2011
31,31,"Blake Adams",34,4,NA,NA,1,"Top10Finishes",2011
31,31,"Keegan Bradley",28,4,2,NA,NA,"Top10Finishes",2011
31,31,"Ben Crane",23,4,1,NA,NA,"Top10Finishes",2011
31,31,"Rickie Fowler",24,4,NA,1,NA,"Top10Finishes",2011
31,31,"Jim Furyk",26,4,NA,NA,NA,"Top10Finishes",2011
31,31,"Paul Goydos",25,4,NA,NA,2,"Top10Finishes",2011
31,31,"Hunter Haas",30,4,NA,NA,1,"Top10Finishes",2011
31,31,"JB Holmes",16,4,NA,NA,NA,"Top10Finishes",2011
31,31,"Brandt Jobe",28,4,NA,1,NA,"Top10Finishes",2011
31,31,"Zach Johnson",23,4,NA,NA,1,"Top10Finishes",2011
31,31,"Jerry Kelly",26,4,NA,NA,1,"Top10Finishes",2011
31,31,"Chris Kirk",28,4,1,1,NA,"Top10Finishes",2011
31,31,"Rory McIlroy",10,4,1,NA,NA,"Top10Finishes",2011
31,31,"George McNeill",21,4,NA,2,NA,"Top10Finishes",2011
31,31,"Ryan Moore",22,4,NA,1,NA,"Top10Finishes",2011
31,31,"Nick OHern",29,4,NA,NA,NA,"Top10Finishes",2011
31,31,"Geoff Ogilvy",21,4,NA,NA,1,"Top10Finishes",2011
31,31,"Jeff Overton",26,4,NA,NA,1,"Top10Finishes",2011
31,31,"Pat Perez",24,4,NA,1,NA,"Top10Finishes",2011
31,31,"John Rollins",27,4,NA,1,NA,"Top10Finishes",2011
31,31,"Andres Romero",22,4,NA,NA,1,"Top10Finishes",2011
31,31,"Kyle Stanley",28,4,NA,1,NA,"Top10Finishes",2011
31,31,"Kevin Streelman",26,4,NA,NA,NA,"Top10Finishes",2011
31,31,"Cameron Tringale",32,4,NA,NA,NA,"Top10Finishes",2011
31,31,"Camilo Villegas",25,4,NA,NA,1,"Top10Finishes",2011
31,31,"Jimmy Walker",24,4,NA,NA,NA,"Top10Finishes",2011
31,31,"Mark Wilson",26,4,2,NA,NA,"Top10Finishes",2011
58,58,"Robert Allenby",25,3,NA,NA,NA,"Top10Finishes",2011
58,58,"Briny Baird",19,3,NA,1,NA,"Top10Finishes",2011
58,58,"Kris Blanks",29,3,NA,1,NA,"Top10Finishes",2011
58,58,"Angel Cabrera",17,3,NA,NA,NA,"Top10Finishes",2011
58,58,"Kevin Chappell",26,3,NA,1,2,"Top10Finishes",2011
58,58,"Chris Couch",21,3,NA,NA,NA,"Top10Finishes",2011
58,58,"Brendon de Jonge",30,3,NA,NA,NA,"Top10Finishes",2011
58,58,"Sergio Garcia",16,3,NA,NA,NA,"Top10Finishes",2011
58,58,"Robert Garrigus",26,3,NA,1,1,"Top10Finishes",2011
58,58,"Bobby Gates",29,3,NA,NA,NA,"Top10Finishes",2011
58,58,"Brian Gay",26,3,NA,NA,NA,"Top10Finishes",2011
58,58,"Padraig Harrington",18,3,NA,NA,NA,"Top10Finishes",2011
58,58,"David Hearn",26,3,NA,NA,NA,"Top10Finishes",2011
58,58,"Tim Herron",28,3,NA,NA,1,"Top10Finishes",2011
58,58,"Freddie Jacobson",25,3,1,NA,NA,"Top10Finishes",2011
58,58,"Robert Karlsson",18,3,NA,1,NA,"Top10Finishes",2011
58,58,"Steve Marino",23,3,NA,2,NA,"Top10Finishes",2011
58,58,"Graeme McDowell",16,3,NA,NA,1,"Top10Finishes",2011
58,58,"Matt McQuillan",21,3,NA,NA,1,"Top10Finishes",2011
58,58,"Ryan Palmer",24,3,NA,1,NA,"Top10Finishes",2011
58,58,"Scott Piercy",23,3,1,NA,NA,"Top10Finishes",2011
58,58,"DA Points",26,3,1,NA,NA,"Top10Finishes",2011
58,58,"Rory Sabbatini",24,3,1,NA,1,"Top10Finishes",2011
58,58,"Charl Schwartzel",15,3,1,NA,NA,"Top10Finishes",2011
58,58,"John Senden",26,3,NA,1,NA,"Top10Finishes",2011
58,58,"Brendan Steele",27,3,1,NA,NA,"Top10Finishes",2011
58,58,"Jhonattan Vegas",25,3,1,NA,1,"Top10Finishes",2011
58,58,"Scott Verplank",15,3,NA,1,NA,"Top10Finishes",2011
58,58,"Bubba Watson",22,3,2,NA,NA,"Top10Finishes",2011
58,58,"Lee Westwood",10,3,NA,NA,1,"Top10Finishes",2011
88,88,"Stephen Ames",22,2,NA,NA,1,"Top10Finishes",2011
88,88,"Ricky Barnes",23,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Shane Bertsch",20,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Matt Bettencourt",30,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Bud Cauley",8,2,NA,NA,1,"Top10Finishes",2011
88,88,"Greg Chalmers",28,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Brian Davis",30,2,NA,NA,NA,"Top10Finishes",2011
88,88,"James Driscoll",24,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Tom Gillis",19,2,NA,NA,1,"Top10Finishes",2011
88,88,"Adam Hadwin",5,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Anders Hansen",7,2,NA,NA,2,"Top10Finishes",2011
88,88,"Charley Hoffman",27,2,NA,1,NA,"Top10Finishes",2011
88,88,"Billy Horschel",25,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Ryuji Imada",29,2,NA,NA,2,"Top10Finishes",2011
88,88,"Trevor Immelman",25,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Sung Kang",21,2,NA,NA,1,"Top10Finishes",2011
88,88,"KT Kim",9,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Anthony Kim",26,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Marc Leishman",27,2,NA,NA,1,"Top10Finishes",2011
88,88,"Davis Love III",22,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Troy Matteson",28,2,NA,1,NA,"Top10Finishes",2011
88,88,"Billy Mayfair",29,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Louis Oosthuizen",15,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Rod Pampling",21,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Tom Pernice Jr",12,2,NA,1,1,"Top10Finishes",2011
88,88,"Jim Renner",22,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Scott Stallings",28,2,1,NA,1,"Top10Finishes",2011
88,88,"Chris Stroud",28,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Josh Teater",31,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Roland Thatcher",22,2,NA,NA,NA,"Top10Finishes",2011
88,88,"Michael Thompson",25,2,NA,NA,1,"Top10Finishes",2011
88,88,"Tiger Woods",9,2,NA,NA,NA,"Top10Finishes",2011
120,120,"Stuart Appleby",24,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Arjun Atwal",29,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Woody Austin",18,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Thomas Bjorn",5,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Steven Bowditch",28,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Michael Bradley",24,1,1,NA,NA,"Top10Finishes",2011
120,120,"Chad Campbell",29,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Patrick Cantlay",5,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Paul Casey",15,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Stewart Cink",22,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Tim Clark",4,1,NA,1,NA,"Top10Finishes",2011
120,120,"Darren Clarke",3,1,1,NA,NA,"Top10Finishes",2011
120,120,"John Cook",1,1,NA,NA,1,"Top10Finishes",2011
120,120,"Fred Couples",5,1,NA,NA,NA,"Top10Finishes",2011
120,120,"John Daly",18,1,NA,NA,NA,"Top10Finishes",2011
120,120,"David Duval",24,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Simon Dyson",3,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Steve Elkington",17,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Ernie Els",21,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Bob Estes",12,1,NA,1,NA,"Top10Finishes",2011
120,120,"Steve Flesch",27,1,NA,NA,1,"Top10Finishes",2011
120,120,"Harrison Frazar",19,1,1,NA,NA,"Top10Finishes",2011
120,120,"Hiroyuki Fujita",7,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Lucas Glover",23,1,1,NA,NA,"Top10Finishes",2011
120,120,"Fabian Gomez",26,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Retief Goosen",16,1,NA,NA,1,"Top10Finishes",2011
120,120,"Peter Hanson",12,1,NA,NA,NA,"Top10Finishes",2011
120,120,"JJ Henry",28,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Ryo Ishikawa",10,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Raphael Jacquelin",2,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Miguel Angel Jimenez",7,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Matt Jones",25,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Martin Kaymer",10,1,NA,1,NA,"Top10Finishes",2011
120,120,"Justin Leonard",26,1,NA,1,NA,"Top10Finishes",2011
120,120,"Michael Letzig",13,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Peter Lonard",2,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Jarrod Lyle",29,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Matteo Manassero",8,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Ben Martin",25,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Shigeki Maruyama",2,1,NA,NA,NA,"Top10Finishes",2011
120,120,"David Mathis",25,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Scott McCarron",22,1,NA,NA,NA,"Top10Finishes",2011
120,120,"John Merrick",21,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Zack Miller",30,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Francesco Molinari",11,1,NA,NA,1,"Top10Finishes",2011
120,120,"Sean OHair",24,1,1,NA,NA,"Top10Finishes",2011
120,120,"Joe Ogilvie",24,1,NA,NA,1,"Top10Finishes",2011
120,120,"Cameron Percy",12,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Ian Poulter",16,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Alvaro Quiros",8,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Chris Riley",25,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Kevin Stadler",27,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Chris Tidland",12,1,NA,NA,NA,"Top10Finishes",2011
120,120,"DJ Trahan",30,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Marc Turnesa",20,1,NA,NA,NA,"Top10Finishes",2011
120,120,"Johnson Wagner",25,1,1,NA,NA,"Top10Finishes",2011
120,120,"Charlie Wi",25,1,NA,1,NA,"Top10Finishes",2011
120,120,"Garrett Willis",24,1,NA,NA,NA,"Top10Finishes",2011
