"DrivingPctAll_RANKTHISWEEK_2016","DrivingPctAll_RANKLASTWEEK_2016","DrivingPctAll_PLAYERNAME_2016","DrivingPctAll_ROUNDS_2016","DrivingPctAll_Pct_2016","DrivingPctAll_TOTALDRIVESFOR_2016","DrivingPctAll_TOTALDRIVESOVERALL_2016","DrivingPctAll_RELATIVETOPAR_2016","stat_name","year"
1,2,"Matthew Fitzpatrick",23,12.5,21,168,0.095,"DrivingPctAll",2016
2,7,"Mark Wilson",42,11.32,55,486,0.127,"DrivingPctAll",2016
3,4,"Brian Gay",22,11.2,28,250,0.429,"DrivingPctAll",2016
4,6,"Darron Stiles",28,11.16,25,224,0.24,"DrivingPctAll",2016
5,3,"Sam Saunders",40,11.11,40,360,0.225,"DrivingPctAll",2016
6,1,"Ian Poulter",37,11.01,35,318,0.286,"DrivingPctAll",2016
7,4,"Steven Bowditch",40,10.91,43,394,0.279,"DrivingPctAll",2016
8,10,"Steve Stricker",25,10.69,31,290,0.194,"DrivingPctAll",2016
9,12,"Jerry Kelly",44,10.05,39,388,0.256,"DrivingPctAll",2016
10,13,"Luke Donald",49,10.04,46,458,0,"DrivingPctAll",2016
11,9,"Thomas Aiken",42,10,36,360,0.111,"DrivingPctAll",2016
12,11,"Bill Haas",42,9.95,39,392,0.026,"DrivingPctAll",2016
13,14,"DJ Trahan",23,9.74,15,154,0.467,"DrivingPctAll",2016
14,15,"Jon Curran",55,9.68,54,558,0.074,"DrivingPctAll",2016
14,8,"Henrik Stenson",30,9.68,24,248,0.083,"DrivingPctAll",2016
16,17,"KJ Choi",47,9.17,51,556,0.176,"DrivingPctAll",2016
17,19,"John Huh",51,8.99,55,612,0.145,"DrivingPctAll",2016
18,20,"Jim Herman",55,8.87,47,530,-0.021,"DrivingPctAll",2016
19,28,"George McNeill",33,8.76,34,388,0.206,"DrivingPctAll",2016
20,27,"Dicky Pride",33,8.7,28,322,0,"DrivingPctAll",2016
21,18,"Hiroshi Iwata",51,8.69,41,472,0.293,"DrivingPctAll",2016
21,16,"Carlos Ortiz",47,8.69,41,472,0.293,"DrivingPctAll",2016
23,25,"Matt Every",34,8.62,35,406,0.286,"DrivingPctAll",2016
24,23,"Daniel Berger",52,8.6,43,500,0.116,"DrivingPctAll",2016
25,30,"Justin Leonard",28,8.55,26,304,0.038,"DrivingPctAll",2016
26,24,"Henrik Norlander",41,8.52,31,364,0.065,"DrivingPctAll",2016
27,22,"Justin Hicks",26,8.43,28,332,0.107,"DrivingPctAll",2016
28,21,"Sean OHair",45,8.23,46,559,-0.022,"DrivingPctAll",2016
29,32,"Bronson Burgoon",53,8.11,43,530,0.14,"DrivingPctAll",2016
30,34,"Louis Oosthuizen",25,8.09,11,136,0.273,"DrivingPctAll",2016
31,25,"Cameron Smith",45,8.06,29,360,0.172,"DrivingPctAll",2016
32,36,"Billy Hurley III",22,8.05,19,236,0,"DrivingPctAll",2016
33,37,"Graeme McDowell",33,8.02,26,324,-0.077,"DrivingPctAll",2016
33,34,"Ryan Moore",40,8.02,30,374,0.033,"DrivingPctAll",2016
35,40,"Derek Fathauer",58,8,48,600,0.25,"DrivingPctAll",2016
36,38,"Ken Duke",26,7.97,22,276,0.273,"DrivingPctAll",2016
