"FedExCupStandings_RANKTHISWEEK_2014","FedExCupStandings_RANKLASTWEEK_2014","FedExCupStandings_PLAYERNAME_2014","FedExCupStandings_EVENTS_2014","FedExCupStandings_POINTS_2014","FedExCupStandings_OFWINS_2014","FedExCupStandings_OFTOP10S_2014","FedExCupStandings_POINTSBEHINDLEAD_2014","FedExCupStandings_RESETPOINTS_2014","stat_name","year"
1,1,"Billy Horschel",27,4750,2,5,NA,2250,"FedExCupStandings",2014
2,2,"Chris Kirk",28,3100,2,5,1650,2500,"FedExCupStandings",2014
3,3,"Rory McIlroy",17,3050,3,12,1700,1800,"FedExCupStandings",2014
4,4,"Jim Furyk",21,2450,NA,11,2300,1200,"FedExCupStandings",2014
5,5,"Bubba Watson",21,2285,2,8,2465,2000,"FedExCupStandings",2014
6,6,"Hunter Mahan",25,1835,1,6,2915,1600,"FedExCupStandings",2014
7,7,"Jimmy Walker",27,1668,3,10,3082,1400,"FedExCupStandings",2014
8,8,"Matt Kuchar",24,1300,1,11,3450,1000,"FedExCupStandings",2014
9,9,"Rickie Fowler",26,1225,NA,10,3525,800,"FedExCupStandings",2014
10,10,"Jason Day",15,1200,1,6,3550,600,"FedExCupStandings",2014
11,11,"Justin Rose",19,850,1,8,3900,250,"FedExCupStandings",2014
12,12,"Adam Scott",17,835,1,10,3915,460,"FedExCupStandings",2014
13,13,"Sergio Garcia",16,815,NA,10,3935,440,"FedExCupStandings",2014
14,14,"Ryan Palmer",23,730,NA,8,4020,280,"FedExCupStandings",2014
15,15,"Jordan Spieth",27,698,NA,8,4052,480,"FedExCupStandings",2014
16,16,"Bill Haas",28,655,NA,5,4095,380,"FedExCupStandings",2014
16,16,"Martin Kaymer",19,655,2,4,4095,420,"FedExCupStandings",2014
18,18,"Zach Johnson",26,650,1,5,4100,400,"FedExCupStandings",2014
19,19,"Russell Henley",29,635,1,3,4115,310,"FedExCupStandings",2014
20,20,"Cameron Tringale",31,600,NA,3,4150,320,"FedExCupStandings",2014
21,21,"Patrick Reed",28,598,2,4,4152,340,"FedExCupStandings",2014
22,22,"Gary Woodland",25,595,NA,5,4155,220,"FedExCupStandings",2014
23,23,"John Senden",27,585,1,5,4165,360,"FedExCupStandings",2014
24,24,"Kevin Na",27,528,NA,6,4222,270,"FedExCupStandings",2014
25,25,"Webb Simpson",25,525,1,9,4225,290,"FedExCupStandings",2014
26,26,"Morgan Hoffmann",32,518,NA,2,4232,300,"FedExCupStandings",2014
27,27,"Brendon Todd",29,508,1,7,4242,240,"FedExCupStandings",2014
28,28,"Hideki Matsuyama",24,475,1,4,4275,230,"FedExCupStandings",2014
29,29,"Geoff Ogilvy",26,470,1,2,4280,260,"FedExCupStandings",2014
30,30,"Dustin Johnson",17,210,1,7,4540,210,"FedExCupStandings",2014
31,31,"Stuart Appleby",29,1755,NA,3,5050,NA,"FedExCupStandings",2014
32,32,"Harris English",28,1662,1,7,5143,NA,"FedExCupStandings",2014
33,33,"Keegan Bradley",26,1621,NA,6,5184,NA,"FedExCupStandings",2014
34,34,"Charles Howell III",29,1592,NA,6,5213,NA,"FedExCupStandings",2014
35,35,"Seung Yul Noh",27,1590,1,3,5215,NA,"FedExCupStandings",2014
36,36,"Brian Harman",32,1571,1,6,5234,NA,"FedExCupStandings",2014
37,37,"Graham DeLaet",24,1553,NA,7,5252,NA,"FedExCupStandings",2014
38,38,"Kevin Stadler",26,1537,1,3,5268,NA,"FedExCupStandings",2014
39,39,"Ryan Moore",24,1534,1,7,5271,NA,"FedExCupStandings",2014
40,40,"Russell Knox",26,1480,NA,3,5325,NA,"FedExCupStandings",2014
41,41,"Ernie Els",24,1467,NA,3,5338,NA,"FedExCupStandings",2014
42,42,"JB Holmes",24,1467,1,2,5338,NA,"FedExCupStandings",2014
43,43,"Charl Schwartzel",18,1405,NA,5,5400,NA,"FedExCupStandings",2014
44,44,"Kevin Streelman",24,1354,1,2,5451,NA,"FedExCupStandings",2014
45,45,"Matt Every",26,1354,1,6,5451,NA,"FedExCupStandings",2014
46,46,"George McNeill",24,1352,NA,4,5453,NA,"FedExCupStandings",2014
47,47,"Chris Stroud",25,1344,NA,4,5461,NA,"FedExCupStandings",2014
48,48,"Camilo Villegas",29,1342,1,1,5463,NA,"FedExCupStandings",2014
49,49,"Chesson Hadley",29,1338,1,4,5467,NA,"FedExCupStandings",2014
50,50,"Angel Cabrera",23,1332,1,1,5473,NA,"FedExCupStandings",2014
51,51,"Brian Stuard",29,1315,NA,4,5490,NA,"FedExCupStandings",2014
52,52,"Henrik Stenson",15,1315,NA,3,5490,NA,"FedExCupStandings",2014
53,53,"Charley Hoffman",25,1291,NA,5,5514,NA,"FedExCupStandings",2014
54,54,"Tim Clark",26,1271,1,3,5534,NA,"FedExCupStandings",2014
55,55,"Kevin Chappell",28,1268,NA,1,5537,NA,"FedExCupStandings",2014
56,56,"Graeme McDowell",17,1256,NA,8,5549,NA,"FedExCupStandings",2014
57,57,"Daniel Summerhays",27,1242,NA,2,5563,NA,"FedExCupStandings",2014
