"PercentageofAvailablePurseWon_RANKTHISWEEK_2005","PercentageofAvailablePurseWon_RANKLASTWEEK_2005","PercentageofAvailablePurseWon_PLAYERNAME_2005","PercentageofAvailablePurseWon_EVENTS_2005","PercentageofAvailablePurseWon_Pct_2005","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2005","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2005","stat_name","year"
1,1,"Tiger Woods",21,8.44,10628022,125854555,"PercentageofAvailablePurseWon",2005
2,2,"Michael Campbell",5,4.85,1661810,34254555,"PercentageofAvailablePurseWon",2005
3,3,"Vijay Singh",30,4.65,8017331,172304555,"PercentageofAvailablePurseWon",2005
4,4,"Phil Mickelson",21,4.62,5699604,123454555,"PercentageofAvailablePurseWon",2005
5,5,"Colin Montgomerie",6,3.71,1450735,39054555,"PercentageofAvailablePurseWon",2005
6,6,"Retief Goosen",18,3.26,3494105,107254555,"PercentageofAvailablePurseWon",2005
7,7,"Jim Furyk",26,2.82,4255367,151104555,"PercentageofAvailablePurseWon",2005
8,8,"Padraig Harrington",15,2.79,2615731,93750000,"PercentageofAvailablePurseWon",2005
9,9,"David Toms",25,2.72,3962013,145454555,"PercentageofAvailablePurseWon",2005
10,10,"Kenny Perry",23,2.66,3607154,135504555,"PercentageofAvailablePurseWon",2005
11,11,"Sergio Garcia",20,2.63,3213373,122404555,"PercentageofAvailablePurseWon",2005
12,12,"Chris DiMarco",24,2.54,3562547,140204555,"PercentageofAvailablePurseWon",2005
13,13,"Ernie Els",11,2.52,1627181,64604555,"PercentageofAvailablePurseWon",2005
14,14,"Luke Donald",18,2.27,2480559,109354555,"PercentageofAvailablePurseWon",2005
15,15,"Bart Bryant",26,2.25,3249134,144304555,"PercentageofAvailablePurseWon",2005
15,15,"Ben Crane",21,2.25,2457326,109150000,"PercentageofAvailablePurseWon",2005
15,15,"Adam Scott",19,2.25,2592254,115454555,"PercentageofAvailablePurseWon",2005
18,18,"Jason Gore",8,2.23,871134,39150000,"PercentageofAvailablePurseWon",2005
19,19,"Darren Clarke",12,2.02,1465920,72604555,"PercentageofAvailablePurseWon",2005
20,20,"Peter Hedblom",1,1.98,123857,6250000,"PercentageofAvailablePurseWon",2005
21,21,"Jose Maria Olazabal",16,1.97,1764225,89504555,"PercentageofAvailablePurseWon",2005
22,22,"Chris Couch",1,1.93,96666,5e+06,"PercentageofAvailablePurseWon",2005
23,23,"Justin Leonard",24,1.9,2665130,140104555,"PercentageofAvailablePurseWon",2005
24,24,"Davis Love III",24,1.88,2658778,141754555,"PercentageofAvailablePurseWon",2005
25,25,"Henrik Stenson",4,1.79,501984,28004555,"PercentageofAvailablePurseWon",2005
25,25,"Scott Verplank",25,1.79,2580211,143754555,"PercentageofAvailablePurseWon",2005
27,27,"Matt Hendrix",1,1.71,51428,3e+06,"PercentageofAvailablePurseWon",2005
28,28,"Fred Funk",30,1.67,2830043,169804555,"PercentageofAvailablePurseWon",2005
29,29,"Sean OHair",29,1.58,2461479,155654555,"PercentageofAvailablePurseWon",2005
30,30,"Chad Campbell",27,1.56,2391430,153754555,"PercentageofAvailablePurseWon",2005
31,31,"Olin Browne",29,1.55,2171924,140050000,"PercentageofAvailablePurseWon",2005
32,32,"Stuart Appleby",25,1.53,2202504,144354555,"PercentageofAvailablePurseWon",2005
32,32,"Tim Clark",26,1.53,2310035,151004555,"PercentageofAvailablePurseWon",2005
34,34,"Mark Calcavecchia",27,1.52,2185309,143354555,"PercentageofAvailablePurseWon",2005
35,35,"Brandt Jobe",27,1.51,2133148,141550000,"PercentageofAvailablePurseWon",2005
36,36,"Jaxon Brigman",2,1.47,162961,11100000,"PercentageofAvailablePurseWon",2005
37,37,"Lucas Glover",28,1.44,2050065,142500000,"PercentageofAvailablePurseWon",2005
37,37,"Wes Short Jr",16,1.44,1029639,71550000,"PercentageofAvailablePurseWon",2005
39,39,"Fred Couples",22,1.43,1804177,126404555,"PercentageofAvailablePurseWon",2005
39,39,"Tom Lehman",20,1.43,1655415,116054555,"PercentageofAvailablePurseWon",2005
41,41,"Billy Mayfair",31,1.4,2236450,159900000,"PercentageofAvailablePurseWon",2005
42,42,"Brad Faxon",23,1.38,1700532,123554555,"PercentageofAvailablePurseWon",2005
42,42,"Tim Herron",28,1.38,2103547,152154555,"PercentageofAvailablePurseWon",2005
42,42,"Paul McGinley",6,1.38,547183,39554555,"PercentageofAvailablePurseWon",2005
42,42,"Geoff Ogilvy",26,1.38,1931674,139554555,"PercentageofAvailablePurseWon",2005
46,46,"Jason Bohn",28,1.37,1888566,138250000,"PercentageofAvailablePurseWon",2005
47,47,"Thomas Bjorn",8,1.36,769267,56754555,"PercentageofAvailablePurseWon",2005
47,47,"Scott Dunlap",3,1.36,204500,1.5e+07,"PercentageofAvailablePurseWon",2005
49,49,"Charles Howell III",29,1.31,2074327,157754555,"PercentageofAvailablePurseWon",2005
50,50,"KJ Choi",24,1.28,1765373,138404555,"PercentageofAvailablePurseWon",2005
51,51,"Steve Elkington",20,1.27,1410348,111250000,"PercentageofAvailablePurseWon",2005
52,52,"John Daly",25,1.24,1759918,141954555,"PercentageofAvailablePurseWon",2005
52,52,"Peter Lonard",27,1.24,1897997,153254555,"PercentageofAvailablePurseWon",2005
54,54,"Jeff Brehaut",23,1.23,1271060,103050000,"PercentageofAvailablePurseWon",2005
54,54,"Graeme McDowell",14,1.23,1086859,88304555,"PercentageofAvailablePurseWon",2005
56,56,"Arjun Atwal",17,1.21,963766,79850000,"PercentageofAvailablePurseWon",2005
56,56,"Joel Kribel",2,1.21,112360,9300000,"PercentageofAvailablePurseWon",2005
56,56,"Shigeki Maruyama",29,1.21,1933046,159854555,"PercentageofAvailablePurseWon",2005
56,56,"Ted Purdy",34,1.21,2198366,182154555,"PercentageofAvailablePurseWon",2005
60,60,"Carl Pettersson",34,1.2,1993848,166250000,"PercentageofAvailablePurseWon",2005
61,61,"Stewart Cink",26,1.17,1733046,147854555,"PercentageofAvailablePurseWon",2005
62,62,"Joe Ogilvie",30,1.15,1819545,158804555,"PercentageofAvailablePurseWon",2005
63,63,"Vaughn Taylor",32,1.14,1827572,160750000,"PercentageofAvailablePurseWon",2005
64,64,"Jonathan Kaye",24,1.11,1416107,127600000,"PercentageofAvailablePurseWon",2005
64,64,"Greg Owen",24,1.11,1352876,121500000,"PercentageofAvailablePurseWon",2005
64,64,"Heath Slocum",29,1.11,1606180,145200000,"PercentageofAvailablePurseWon",2005
67,67,"Rod Pampling",26,1.09,1613813,147654555,"PercentageofAvailablePurseWon",2005
68,68,"Zach Johnson",30,1.08,1796439,166754555,"PercentageofAvailablePurseWon",2005
69,69,"Nick OHern",13,1.07,889201,83204555,"PercentageofAvailablePurseWon",2005
70,70,"Mark Hensby",21,1.06,1312634,123454555,"PercentageofAvailablePurseWon",2005
71,71,"Ryan Moore",14,1.05,686248,65400000,"PercentageofAvailablePurseWon",2005
72,72,"Tom Purtzer",1,1.04,58240,5600000,"PercentageofAvailablePurseWon",2005
73,73,"Bradley Dredge",1,1.03,77000,7500000,"PercentageofAvailablePurseWon",2005
