"OnePuttPercentage_RANKTHISWEEK_2012","OnePuttPercentage_RANKLASTWEEK_2012","OnePuttPercentage_PLAYERNAME_2012","OnePuttPercentage_ROUNDS_2012","OnePuttPercentage_Pct_2012","OnePuttPercentage_OF1PUTTS_2012","OnePuttPercentage_OFHOLES_2012","stat_name","year"
174,174,"Kris Blanks",65,34.7,406,1170,"OnePuttPercentage",2012
175,175,"Heath Slocum",93,34.58,554,1602,"OnePuttPercentage",2012
176,176,"Edward Loar",59,34.41,353,1026,"OnePuttPercentage",2012
177,177,"Marco Dawson",60,34.29,358,1044,"OnePuttPercentage",2012
178,178,"Scott Dunlap",57,34.28,327,954,"OnePuttPercentage",2012
179,179,"Scott Brown",65,34.22,388,1134,"OnePuttPercentage",2012
180,180,"Kyle Thompson",51,34.13,301,882,"OnePuttPercentage",2012
181,181,"Daniel Summerhays",81,34.02,496,1458,"OnePuttPercentage",2012
182,182,"Brandt Jobe",57,33.92,348,1026,"OnePuttPercentage",2012
183,183,"Kyle Reifers",86,33.85,524,1548,"OnePuttPercentage",2012
184,184,"Jhonattan Vegas",77,33.84,469,1386,"OnePuttPercentage",2012
185,185,"Roland Thatcher",55,33.33,318,954,"OnePuttPercentage",2012
186,186,"Angel Cabrera",54,33.13,322,972,"OnePuttPercentage",2012
187,187,"JJ Henry",93,32.77,525,1602,"OnePuttPercentage",2012
188,188,"Alexandre Rocha",62,32.66,341,1044,"OnePuttPercentage",2012
189,189,"Michael Bradley",63,32.63,370,1134,"OnePuttPercentage",2012
190,190,"Charlie Beljan",61,32.46,333,1026,"OnePuttPercentage",2012
191,191,"Boo Weekley",74,30.79,388,1260,"OnePuttPercentage",2012
