"ApproachesRightRoughRTPScore_RANKTHISWEEK_2009","ApproachesRightRoughRTPScore_RANKLASTWEEK_2009","ApproachesRightRoughRTPScore_PLAYERNAME_2009","ApproachesRightRoughRTPScore_ROUNDS_2009","ApproachesRightRoughRTPScore_AVGRTP_2009","stat_name","year"
1,1,"Tiger Woods",64,-0.081,"ApproachesRightRoughRTPScore",2009
2,2,"Camilo Villegas",76,-0.019,"ApproachesRightRoughRTPScore",2009
3,3,"Jason Dufner",90,-0.015,"ApproachesRightRoughRTPScore",2009
4,4,"Sean OHair",80,-0.01,"ApproachesRightRoughRTPScore",2009
5,5,"Jim Furyk",86,0,"ApproachesRightRoughRTPScore",2009
5,5,"Sergio Garcia",59,0,"ApproachesRightRoughRTPScore",2009
5,5,"Brandt Snedeker",81,0,"ApproachesRightRoughRTPScore",2009
8,8,"Greg Chalmers",85,0.007,"ApproachesRightRoughRTPScore",2009
8,8,"Bill Haas",91,0.007,"ApproachesRightRoughRTPScore",2009
10,10,"Retief Goosen",74,0.01,"ApproachesRightRoughRTPScore",2009
10,10,"Nick OHern",90,0.01,"ApproachesRightRoughRTPScore",2009
12,12,"Tim Petrovic",97,0.013,"ApproachesRightRoughRTPScore",2009
13,13,"Dustin Johnson",85,0.014,"ApproachesRightRoughRTPScore",2009
14,14,"Bubba Watson",73,0.018,"ApproachesRightRoughRTPScore",2009
15,15,"Briny Baird",89,0.02,"ApproachesRightRoughRTPScore",2009
16,16,"DA Points",99,0.022,"ApproachesRightRoughRTPScore",2009
17,17,"Martin Laird",72,0.023,"ApproachesRightRoughRTPScore",2009
18,18,"Justin Leonard",95,0.027,"ApproachesRightRoughRTPScore",2009
19,19,"Harrison Frazar",93,0.028,"ApproachesRightRoughRTPScore",2009
20,20,"Lucas Glover",93,0.031,"ApproachesRightRoughRTPScore",2009
21,21,"Daniel Chopra",89,0.032,"ApproachesRightRoughRTPScore",2009
21,21,"Padraig Harrington",66,0.032,"ApproachesRightRoughRTPScore",2009
23,23,"Hunter Mahan",94,0.033,"ApproachesRightRoughRTPScore",2009
23,23,"Rocco Mediate",79,0.033,"ApproachesRightRoughRTPScore",2009
25,25,"John Senden",100,0.036,"ApproachesRightRoughRTPScore",2009
26,26,"Alex Cejka",82,0.037,"ApproachesRightRoughRTPScore",2009
