"PuttsperRoundRound1_RANKTHISWEEK_2011","PuttsperRoundRound1_RANKLASTWEEK_2011","PuttsperRoundRound1_PLAYERNAME_2011","PuttsperRoundRound1__2011","PuttsperRoundRound1_AVG_2011","PuttsperRoundRound1_TOTALPUTTS_2011","PuttsperRoundRound1_TOTALROUNDS_2011","stat_name","year"
1,1,"Chris Couch",NA,27.57,579,21,"PuttsperRoundRound1",2011
2,2,"Brian Gay",NA,27.88,697,25,"PuttsperRoundRound1",2011
3,3,"Andres Romero",NA,27.9,586,21,"PuttsperRoundRound1",2011
4,4,"Luke Donald",NA,28.06,505,18,"PuttsperRoundRound1",2011
5,5,"Charlie Wi",NA,28.08,702,25,"PuttsperRoundRound1",2011
6,6,"Ryan Palmer",NA,28.13,647,23,"PuttsperRoundRound1",2011
7,7,"Padraig Harrington",NA,28.18,479,17,"PuttsperRoundRound1",2011
7,7,"YE Yang",NA,28.18,479,17,"PuttsperRoundRound1",2011
9,9,"Freddie Jacobson",NA,28.22,649,23,"PuttsperRoundRound1",2011
9,9,"Vaughn Taylor",NA,28.22,762,27,"PuttsperRoundRound1",2011
11,11,"Anthony Kim",NA,28.24,706,25,"PuttsperRoundRound1",2011
12,12,"Geoff Ogilvy",NA,28.3,566,20,"PuttsperRoundRound1",2011
13,13,"Steve Flesch",NA,28.31,736,26,"PuttsperRoundRound1",2011
14,14,"Aaron Baddeley",NA,28.33,595,21,"PuttsperRoundRound1",2011
15,15,"Greg Chalmers",NA,28.35,737,26,"PuttsperRoundRound1",2011
16,16,"Brendon de Jonge",NA,28.38,823,29,"PuttsperRoundRound1",2011
17,17,"Matt Kuchar",NA,28.39,653,23,"PuttsperRoundRound1",2011
18,18,"Carl Pettersson",NA,28.42,739,26,"PuttsperRoundRound1",2011
18,18,"Jimmy Walker",NA,28.42,682,24,"PuttsperRoundRound1",2011
20,20,"Joe Ogilvie",NA,28.45,626,22,"PuttsperRoundRound1",2011
21,21,"Tim Petrovic",NA,28.46,797,28,"PuttsperRoundRound1",2011
22,22,"Kevin Na",NA,28.5,741,26,"PuttsperRoundRound1",2011
23,23,"Steve Stricker",NA,28.56,514,18,"PuttsperRoundRound1",2011
24,24,"David Mathis",NA,28.57,657,23,"PuttsperRoundRound1",2011
24,24,"Ryan Moore",NA,28.57,600,21,"PuttsperRoundRound1",2011
24,24,"Rory Sabbatini",NA,28.57,657,23,"PuttsperRoundRound1",2011
27,27,"Paul Stankowski",NA,28.64,630,22,"PuttsperRoundRound1",2011
28,28,"David Hearn",NA,28.67,688,24,"PuttsperRoundRound1",2011
28,28,"Derek Lamely",NA,28.67,688,24,"PuttsperRoundRound1",2011
28,28,"Nick Watney",NA,28.67,602,21,"PuttsperRoundRound1",2011
31,31,"Nate Smith",NA,28.68,631,22,"PuttsperRoundRound1",2011
32,32,"Dean Wilson",NA,28.71,603,21,"PuttsperRoundRound1",2011
33,33,"Mark Wilson",NA,28.72,718,25,"PuttsperRoundRound1",2011
34,34,"Arjun Atwal",NA,28.76,834,29,"PuttsperRoundRound1",2011
35,35,"Rickie Fowler",NA,28.78,662,23,"PuttsperRoundRound1",2011
35,35,"Tim Herron",NA,28.78,777,27,"PuttsperRoundRound1",2011
37,37,"Kevin Chappell",NA,28.79,691,24,"PuttsperRoundRound1",2011
38,38,"Bryce Molder",NA,28.84,721,25,"PuttsperRoundRound1",2011
39,39,"Stewart Cink",NA,28.85,577,20,"PuttsperRoundRound1",2011
39,39,"Phil Mickelson",NA,28.85,577,20,"PuttsperRoundRound1",2011
41,41,"Ben Crane",NA,28.86,635,22,"PuttsperRoundRound1",2011
42,42,"Stuart Appleby",NA,28.88,693,24,"PuttsperRoundRound1",2011
42,42,"DA Points",NA,28.88,751,26,"PuttsperRoundRound1",2011
44,44,"Matt McQuillan",NA,28.89,549,19,"PuttsperRoundRound1",2011
45,45,"Blake Adams",NA,28.91,954,33,"PuttsperRoundRound1",2011
45,45,"Kevin Kisner",NA,28.91,636,22,"PuttsperRoundRound1",2011
45,45,"Camilo Villegas",NA,28.91,665,23,"PuttsperRoundRound1",2011
48,48,"Matt Jones",NA,28.92,723,25,"PuttsperRoundRound1",2011
48,48,"Jerry Kelly",NA,28.92,694,24,"PuttsperRoundRound1",2011
50,50,"Brian Davis",NA,28.93,868,30,"PuttsperRoundRound1",2011
51,51,"Chris Kirk",NA,28.96,811,28,"PuttsperRoundRound1",2011
51,51,"Chris Riley",NA,28.96,695,24,"PuttsperRoundRound1",2011
53,53,"Stephen Ames",NA,29,609,21,"PuttsperRoundRound1",2011
53,53,"Paul Goydos",NA,29,725,25,"PuttsperRoundRound1",2011
53,53,"Brandt Jobe",NA,29,783,27,"PuttsperRoundRound1",2011
53,53,"Spencer Levin",NA,29,870,30,"PuttsperRoundRound1",2011
53,53,"Tag Ridings",NA,29,754,26,"PuttsperRoundRound1",2011
