"OnePuttPercentage_RANKTHISWEEK_2011","OnePuttPercentage_RANKLASTWEEK_2011","OnePuttPercentage_PLAYERNAME_2011","OnePuttPercentage_ROUNDS_2011","OnePuttPercentage_Pct_2011","OnePuttPercentage_OF1PUTTS_2011","OnePuttPercentage_OFHOLES_2011","stat_name","year"
1,1,"Steve Stricker",70,44.77,556,1242,"OnePuttPercentage",2011
2,2,"Kevin Na",84,44.25,669,1512,"OnePuttPercentage",2011
3,3,"Luke Donald",73,43.86,529,1206,"OnePuttPercentage",2011
4,4,"Jason Day",76,43.53,572,1314,"OnePuttPercentage",2011
5,5,"Greg Chalmers",88,43.24,685,1584,"OnePuttPercentage",2011
6,6,"Geoff Ogilvy",69,42.76,508,1188,"OnePuttPercentage",2011
7,7,"Brandt Snedeker",85,42.48,650,1530,"OnePuttPercentage",2011
8,8,"Bryce Molder",82,41.94,619,1476,"OnePuttPercentage",2011
9,9,"Andres Romero",77,41.92,581,1386,"OnePuttPercentage",2011
10,10,"Charlie Wi",83,41.7,623,1494,"OnePuttPercentage",2011
11,11,"Ryan Moore",79,41.41,559,1350,"OnePuttPercentage",2011
12,12,"Anthony Kim",72,41.39,529,1278,"OnePuttPercentage",2011
13,13,"Pat Perez",76,41.37,566,1368,"OnePuttPercentage",2011
14,14,"Rickie Fowler",84,41.29,602,1458,"OnePuttPercentage",2011
15,15,"Chris Couch",73,41.25,542,1314,"OnePuttPercentage",2011
16,16,"Matt Kuchar",94,41.16,652,1584,"OnePuttPercentage",2011
17,17,"Roland Thatcher",67,41.04,495,1206,"OnePuttPercentage",2011
18,18,"Ryan Palmer",82,40.97,590,1440,"OnePuttPercentage",2011
19,19,"YE Yang",63,40.96,435,1062,"OnePuttPercentage",2011
20,20,"Nick Watney",80,40.91,567,1386,"OnePuttPercentage",2011
21,21,"Zach Johnson",79,40.74,572,1404,"OnePuttPercentage",2011
22,22,"Aaron Baddeley",77,40.62,563,1386,"OnePuttPercentage",2011
23,23,"Dean Wilson",62,40.59,453,1116,"OnePuttPercentage",2011
24,24,"Padraig Harrington",60,40.4,429,1062,"OnePuttPercentage",2011
24,24,"Robert Karlsson",61,40.4,429,1062,"OnePuttPercentage",2011
26,26,"Jimmy Walker",79,40.37,574,1422,"OnePuttPercentage",2011
27,27,"Brian Gay",90,40.19,651,1620,"OnePuttPercentage",2011
28,28,"Matt Jones",71,40.14,513,1278,"OnePuttPercentage",2011
28,28,"DA Points",89,40.14,643,1602,"OnePuttPercentage",2011
30,30,"Arjun Atwal",91,40.05,656,1638,"OnePuttPercentage",2011
31,31,"Webb Simpson",98,40.02,706,1764,"OnePuttPercentage",2011
32,32,"Steve Marino",76,39.99,547,1368,"OnePuttPercentage",2011
33,33,"Vaughn Taylor",89,39.89,639,1602,"OnePuttPercentage",2011
