"BonusPutting_RANKTHISWEEK_2016","BonusPutting_RANKLASTWEEK_2016","BonusPutting_PLAYERNAME_2016","BonusPutting_ROUNDS_2016","BonusPutting_VALUE_2016","BonusPutting_ATTEMPTS_2016","BonusPutting_TOTMADE20_2016","BonusPutting_TOTMADE_2016","stat_name","year"
1,1,"Jason Day",36,102.68,298,14,292,"BonusPutting",2016
2,2,"Marc Leishman",41,102.57,350,15,344,"BonusPutting",2016
3,6,"Charles Howell III",63,102.22,721,35,702,"BonusPutting",2016
4,3,"Colt Knost",56,102.01,596,23,585,"BonusPutting",2016
5,4,"Henrik Stenson",30,101.98,253,7,251,"BonusPutting",2016
6,8,"Cameron Percy",22,101.94,206,7,203,"BonusPutting",2016
7,9,"Matthew Fitzpatrick",23,101.88,160,9,154,"BonusPutting",2016
8,12,"Russell Henley",42,101.77,508,22,495,"BonusPutting",2016
9,11,"Brendon Todd",43,101.75,458,16,450,"BonusPutting",2016
10,13,"Bernd Wiesberger",23,101.7,176,9,170,"BonusPutting",2016
11,5,"Thomas Aiken",42,101.66,362,14,354,"BonusPutting",2016
12,9,"Phil Mickelson",37,101.63,369,14,361,"BonusPutting",2016
13,16,"Adam Hadwin",53,101.58,633,20,623,"BonusPutting",2016
14,30,"Michael Kim",62,101.53,718,32,697,"BonusPutting",2016
15,18,"Troy Merritt",41,101.5,399,12,393,"BonusPutting",2016
16,7,"Patton Kizzire",57,101.46,615,26,598,"BonusPutting",2016
17,14,"Jhonattan Vegas",49,101.42,493,22,478,"BonusPutting",2016
18,15,"Sean OHair",45,101.4,571,20,559,"BonusPutting",2016
19,19,"Peter Malnati",53,101.38,579,19,568,"BonusPutting",2016
20,22,"Darron Stiles",28,101.26,238,6,235,"BonusPutting",2016
21,29,"Andres Gonzales",46,101.22,493,15,484,"BonusPutting",2016
22,23,"Chesson Hadley",51,101.13,532,18,520,"BonusPutting",2016
23,27,"Matt Kuchar",46,101.12,446,16,435,"BonusPutting",2016
24,17,"Shane Lowry",35,101.04,289,14,278,"BonusPutting",2016
24,31,"Jordan Spieth",34,101.04,288,12,279,"BonusPutting",2016
26,26,"Harris English",51,101.03,487,16,476,"BonusPutting",2016
27,35,"Daniel Summerhays",55,101,599,20,585,"BonusPutting",2016
28,56,"Jonas Blixt",46,100.98,511,18,498,"BonusPutting",2016
29,37,"Brian Harman",60,100.95,630,21,615,"BonusPutting",2016
30,25,"Johnson Wagner",44,100.84,476,18,462,"BonusPutting",2016
31,39,"Billy Hurley III",22,100.82,245,6,241,"BonusPutting",2016
32,20,"Daniel Berger",52,100.8,500,12,492,"BonusPutting",2016
33,28,"Ryan Moore",40,100.77,390,21,372,"BonusPutting",2016
34,40,"Shane Bertsch",30,100.75,267,10,259,"BonusPutting",2016
34,40,"Carl Pettersson",31,100.75,401,10,394,"BonusPutting",2016
36,45,"Brett Stegmaier",57,100.72,691,28,668,"BonusPutting",2016
37,42,"Luke Guthrie",31,100.66,303,9,296,"BonusPutting",2016
38,34,"Michael Thompson",46,100.65,459,16,446,"BonusPutting",2016
39,43,"Zach Johnson",42,100.64,466,20,449,"BonusPutting",2016
40,36,"Jason Gore",51,100.59,508,16,495,"BonusPutting",2016
41,37,"David Lingmerth",54,100.58,520,16,507,"BonusPutting",2016
42,21,"Byeong Hun An",23,100.56,180,5,176,"BonusPutting",2016
43,46,"Freddie Jacobson",54,100.55,543,18,528,"BonusPutting",2016
43,73,"Hideki Matsuyama",40,100.55,366,11,357,"BonusPutting",2016
45,24,"Martin Laird",46,100.54,554,14,543,"BonusPutting",2016
46,47,"Jon Curran",55,100.53,566,17,552,"BonusPutting",2016
47,48,"Brooks Koepka",39,100.52,386,15,373,"BonusPutting",2016
48,51,"Miguel Angel Carballo",24,100.5,200,6,195,"BonusPutting",2016
49,48,"Jason Bohn",37,100.48,417,11,408,"BonusPutting",2016
49,32,"Derek Fathauer",58,100.48,619,22,600,"BonusPutting",2016
51,54,"Lucas Lee",22,100.45,224,7,218,"BonusPutting",2016
52,33,"Rickie Fowler",42,100.44,459,15,446,"BonusPutting",2016
52,43,"Kyle Reifers",63,100.44,682,25,660,"BonusPutting",2016
54,57,"Bubba Watson",30,100.4,250,8,243,"BonusPutting",2016
55,58,"Brian Gay",22,100.39,255,9,247,"BonusPutting",2016
56,73,"Ollie Schniederjans",23,100.37,269,10,260,"BonusPutting",2016
57,58,"John Senden",48,100.36,558,12,548,"BonusPutting",2016
58,73,"Tim Wilkinson",40,100.27,364,11,354,"BonusPutting",2016
59,48,"David Toms",38,100.23,439,10,430,"BonusPutting",2016
60,51,"Retief Goosen",37,100.22,458,13,446,"BonusPutting",2016
60,73,"Scott Langley",41,100.22,455,13,443,"BonusPutting",2016
62,73,"Kevin Streelman",46,100.21,470,13,458,"BonusPutting",2016
63,66,"Francesco Molinari",36,100.2,491,14,478,"BonusPutting",2016
63,66,"Dawie van der Walt",48,100.2,489,12,478,"BonusPutting",2016
65,61,"Ben Martin",48,100.18,561,24,538,"BonusPutting",2016
66,69,"KJ Choi",47,100.17,573,19,555,"BonusPutting",2016
66,69,"Ryan Palmer",46,100.17,589,16,574,"BonusPutting",2016
68,73,"Angel Cabrera",42,100,471,18,453,"BonusPutting",2016
68,73,"Luke Donald",49,100,492,12,480,"BonusPutting",2016
68,65,"Ernie Els",34,100,399,13,386,"BonusPutting",2016
68,120,"James Hahn",45,100,533,12,521,"BonusPutting",2016
68,73,"Jason Kokrak",52,100,592,20,572,"BonusPutting",2016
68,73,"Andrew Landry",24,100,165,5,160,"BonusPutting",2016
68,68,"Andrew Loupe",50,100,565,20,545,"BonusPutting",2016
68,73,"George McNeill",33,100,411,16,395,"BonusPutting",2016
68,73,"Bryce Molder",50,100,553,13,540,"BonusPutting",2016
68,73,"Louis Oosthuizen",25,100,146,5,141,"BonusPutting",2016
68,63,"Martin Piller",37,100,354,8,346,"BonusPutting",2016
68,87,"Boo Weekley",53,100,593,18,575,"BonusPutting",2016
80,71,"William McGirt",54,99.85,682,25,656,"BonusPutting",2016
81,90,"Stuart Appleby",39,99.8,503,15,487,"BonusPutting",2016
81,89,"Charley Hoffman",49,99.8,496,20,475,"BonusPutting",2016
81,107,"Danny Lee",53,99.8,502,15,486,"BonusPutting",2016
84,92,"Kevin Kisner",49,99.79,466,15,450,"BonusPutting",2016
85,99,"Mark Hubbard",73,99.76,842,23,817,"BonusPutting",2016
86,117,"Robert Allenby",35,99.74,381,18,362,"BonusPutting",2016
87,72,"Spencer Levin",62,99.72,712,22,688,"BonusPutting",2016
87,64,"Sam Saunders",40,99.72,362,11,350,"BonusPutting",2016
89,94,"Kyle Stanley",57,99.69,653,18,633,"BonusPutting",2016
90,58,"Jamie Donaldson",28,99.65,288,9,278,"BonusPutting",2016
90,98,"Steve Stricker",25,99.65,286,11,274,"BonusPutting",2016
92,103,"Kelly Kraft",35,99.64,275,6,268,"BonusPutting",2016
92,102,"Scott Pinckney",53,99.64,557,19,536,"BonusPutting",2016
94,99,"Branden Grace",31,99.62,260,7,252,"BonusPutting",2016
95,91,"Gary Woodland",45,99.61,510,15,493,"BonusPutting",2016
96,73,"Davis Love III",40,99.6,494,16,476,"BonusPutting",2016
96,53,"Brian Stuard",24,99.6,251,10,240,"BonusPutting",2016
98,55,"Hiroshi Iwata",51,99.59,489,20,467,"BonusPutting",2016
98,103,"Brandt Snedeker",47,99.59,482,12,468,"BonusPutting",2016
100,106,"Abraham Ancer",26,99.56,228,8,219,"BonusPutting",2016
101,107,"Andy Sullivan",25,99.55,221,8,212,"BonusPutting",2016
102,109,"Brice Garnett",29,99.54,217,6,210,"BonusPutting",2016
103,111,"John Huh",51,99.53,638,16,619,"BonusPutting",2016
103,114,"Hunter Mahan",43,99.53,426,7,417,"BonusPutting",2016
105,114,"Bill Haas",42,99.5,404,9,393,"BonusPutting",2016
106,113,"Rhein Gibson",36,99.48,385,13,370,"BonusPutting",2016
107,87,"Will Wilcox",47,99.46,553,16,534,"BonusPutting",2016
108,101,"Blayne Barber",44,99.45,541,12,526,"BonusPutting",2016
109,94,"DH Lee",35,99.4,332,8,322,"BonusPutting",2016
110,119,"Graeme McDowell",33,99.39,329,6,321,"BonusPutting",2016
111,111,"Tom Hoge",47,99.38,482,13,466,"BonusPutting",2016
111,94,"Nick Taylor",57,99.38,650,19,627,"BonusPutting",2016
113,120,"Seung Yul Noh",54,99.37,633,17,612,"BonusPutting",2016
114,114,"Graham DeLaet",50,99.35,614,13,597,"BonusPutting",2016
115,97,"Zac Blair",56,99.34,604,24,576,"BonusPutting",2016
116,123,"Dustin Johnson",37,99.29,282,9,271,"BonusPutting",2016
117,103,"Tony Finau",49,99.26,540,20,516,"BonusPutting",2016
117,125,"Chez Reavie",56,99.26,675,20,650,"BonusPutting",2016
119,128,"Cameron Smith",45,99.19,372,10,359,"BonusPutting",2016
120,127,"Kevin Na",52,99.14,467,11,452,"BonusPutting",2016
121,124,"Paul Casey",39,99.12,340,12,325,"BonusPutting",2016
121,131,"Jim Herman",55,99.12,568,14,549,"BonusPutting",2016
121,62,"Ian Poulter",37,99.12,339,9,327,"BonusPutting",2016
121,73,"Adam Scott",39,99.12,340,11,326,"BonusPutting",2016
125,129,"Chris Kirk",51,99.11,560,14,541,"BonusPutting",2016
126,130,"Hudson Swafford",52,99.1,554,12,537,"BonusPutting",2016
127,131,"Justin Leonard",28,99.08,326,7,316,"BonusPutting",2016
128,149,"Rory McIlroy",37,99.05,315,11,301,"BonusPutting",2016
128,126,"Justin Thomas",53,99.05,528,12,511,"BonusPutting",2016
130,93,"Rob Oppenheim",37,99.01,406,11,391,"BonusPutting",2016
130,109,"Carlos Ortiz",47,99.01,504,14,485,"BonusPutting",2016
130,160,"Camilo Villegas",50,99.01,607,16,585,"BonusPutting",2016
133,138,"Scott Piercy",45,99,402,9,389,"BonusPutting",2016
133,168,"Chris Stroud",52,99,599,20,573,"BonusPutting",2016
135,134,"Jamie Lovemark",57,98.98,689,19,663,"BonusPutting",2016
136,118,"JB Holmes",39,98.97,390,13,373,"BonusPutting",2016
136,140,"Andres Romero",22,98.97,195,4,189,"BonusPutting",2016
138,142,"Billy Horschel",45,98.96,482,15,462,"BonusPutting",2016
139,135,"Patrick Reed",53,98.94,470,11,454,"BonusPutting",2016
140,144,"Tyrone Van Aswegen",67,98.92,741,15,718,"BonusPutting",2016
141,140,"Vijay Singh",42,98.9,544,17,521,"BonusPutting",2016
142,147,"Russell Knox",48,98.85,436,10,421,"BonusPutting",2016
143,139,"Ben Crane",48,98.84,519,14,499,"BonusPutting",2016
144,157,"David Hearn",55,98.82,595,16,572,"BonusPutting",2016
144,143,"Sung Kang",51,98.82,595,15,573,"BonusPutting",2016
146,151,"Aaron Baddeley",51,98.8,499,16,477,"BonusPutting",2016
146,151,"Smylie Kaufman",57,98.8,583,15,561,"BonusPutting",2016
146,151,"Jerry Kelly",44,98.8,415,6,404,"BonusPutting",2016
149,155,"Pat Perez",28,98.79,248,7,238,"BonusPutting",2016
149,155,"DJ Trahan",23,98.79,165,7,156,"BonusPutting",2016
151,151,"Jeff Overton",51,98.76,644,20,616,"BonusPutting",2016
152,148,"Ricky Barnes",57,98.74,637,14,615,"BonusPutting",2016
152,145,"Bronson Burgoon",53,98.74,556,12,537,"BonusPutting",2016
154,173,"Erik Compton",45,98.73,472,13,453,"BonusPutting",2016
155,161,"Wes Roach",33,98.69,305,7,294,"BonusPutting",2016
156,133,"Henrik Norlander",41,98.67,376,7,364,"BonusPutting",2016
157,162,"Jimmy Walker",43,98.65,444,12,426,"BonusPutting",2016
158,145,"Chad Campbell",54,98.61,646,16,621,"BonusPutting",2016
159,168,"Brendon de Jonge",55,98.6,573,9,556,"BonusPutting",2016
160,149,"Robert Streb",51,98.57,489,13,469,"BonusPutting",2016
161,166,"Roberto Castro",55,98.5,667,13,644,"BonusPutting",2016
162,170,"Fabian Gomez",49,98.48,591,15,567,"BonusPutting",2016
163,171,"JJ Henry",44,98.47,588,19,560,"BonusPutting",2016
164,157,"Mark Wilson",42,98.46,518,16,494,"BonusPutting",2016
165,176,"Emiliano Grillo",47,98.39,497,7,482,"BonusPutting",2016
166,135,"Anirban Lahiri",44,98.38,370,7,357,"BonusPutting",2016
167,194,"Matt Jones",45,98.37,429,13,409,"BonusPutting",2016
168,172,"Brendan Steele",48,98.35,545,12,524,"BonusPutting",2016
169,177,"DA Points",32,98.34,301,8,288,"BonusPutting",2016
170,120,"Justin Hicks",26,98.3,352,11,335,"BonusPutting",2016
170,164,"Whee Kim",54,98.3,588,12,566,"BonusPutting",2016
172,179,"Patrick Rodgers",49,98.25,573,17,546,"BonusPutting",2016
173,174,"Cameron Tringale",47,98.23,564,10,544,"BonusPutting",2016
174,166,"Derek Ernst",36,98.2,334,5,323,"BonusPutting",2016
175,159,"Si Woo Kim",63,98.16,760,17,729,"BonusPutting",2016
176,195,"Vaughn Taylor",30,98.14,376,5,364,"BonusPutting",2016
177,179,"Tyler Aldridge",53,98.1,578,14,553,"BonusPutting",2016
177,137,"Justin Rose",35,98.1,368,8,353,"BonusPutting",2016
179,190,"Harold Varner III",58,98.01,704,24,666,"BonusPutting",2016
180,163,"Steven Bowditch",40,97.95,391,9,374,"BonusPutting",2016
180,185,"Kevin Chappell",49,97.95,584,13,559,"BonusPutting",2016
182,165,"Scott Brown",59,97.94,582,12,558,"BonusPutting",2016
183,182,"Charl Schwartzel",29,97.93,290,8,276,"BonusPutting",2016
184,183,"Dicky Pride",33,97.92,336,12,317,"BonusPutting",2016
185,181,"Padraig Harrington",38,97.89,474,9,455,"BonusPutting",2016
186,174,"Matt Every",34,97.86,421,9,403,"BonusPutting",2016
187,187,"Jason Dufner",53,97.83,508,19,478,"BonusPutting",2016
188,178,"Luke List",51,97.82,597,19,565,"BonusPutting",2016
189,189,"Alex Cejka",47,97.79,452,13,429,"BonusPutting",2016
190,186,"Lucas Glover",53,97.76,714,15,683,"BonusPutting",2016
191,183,"Will Ma Kenzie",54,97.69,606,15,577,"BonusPutting",2016
192,191,"Steve Wheatcroft",53,97.66,598,14,570,"BonusPutting",2016
193,197,"Robert Garrigus",34,97.65,340,6,326,"BonusPutting",2016
194,192,"Morgan Hoffmann",43,97.56,491,18,461,"BonusPutting",2016
195,196,"Stewart Cink",45,97.41,502,11,478,"BonusPutting",2016
196,198,"Geoff Ogilvy",37,96.95,459,10,435,"BonusPutting",2016
197,203,"Greg Owen",56,96.94,653,11,622,"BonusPutting",2016
198,199,"Scott Stallings",46,96.92,552,6,529,"BonusPutting",2016
199,200,"Keegan Bradley",40,96.88,417,4,400,"BonusPutting",2016
200,201,"Rory Sabbatini",40,96.8,375,12,351,"BonusPutting",2016
201,188,"Steve Marino",40,96.67,390,9,368,"BonusPutting",2016
202,206,"Chad Collins",45,96.65,507,5,485,"BonusPutting",2016
203,202,"Shawn Stefani",45,96.6,529,8,503,"BonusPutting",2016
204,204,"Sergio Garcia",28,96.3,189,4,178,"BonusPutting",2016
205,205,"Webb Simpson",34,96.12,412,10,386,"BonusPutting",2016
206,207,"Ken Duke",26,95.79,309,6,290,"BonusPutting",2016
207,208,"Charlie Beljan",26,94.03,268,5,247,"BonusPutting",2016
