"Approach_RANKTHISWEEK_2008","Approach_RANKLASTWEEK_2008","Approach_PLAYERNAME_2008","Approach_ROUNDS_2008","Approach_AVGRTP_2008","stat_name","year"
1,1,"Justin Leonard",101,-0.28,"Approach",2008
2,2,"Tim Clark",90,-0.254,"Approach",2008
3,3,"Shigeki Maruyama",50,-0.25,"Approach",2008
4,4,"Brian Gay",102,-0.247,"Approach",2008
5,5,"Jim Furyk",95,-0.244,"Approach",2008
6,6,"Paul Goydos",78,-0.243,"Approach",2008
7,7,"Craig Kanada",65,-0.242,"Approach",2008
8,8,"Tim Wilkinson",95,-0.241,"Approach",2008
9,9,"Matt Kuchar",88,-0.237,"Approach",2008
10,10,"Anthony Kim",81,-0.235,"Approach",2008
11,11,"Kevin Sutherland",98,-0.222,"Approach",2008
12,12,"Scott Verplank",82,-0.221,"Approach",2008
13,13,"Joe Ogilvie",100,-0.22,"Approach",2008
14,14,"Nick OHern",82,-0.218,"Approach",2008
15,15,"Gavin Coles",54,-0.217,"Approach",2008
15,15,"Ryuji Imada",80,-0.217,"Approach",2008
17,17,"Stephen Ames",83,-0.216,"Approach",2008
18,18,"Aaron Baddeley",76,-0.214,"Approach",2008
19,19,"Phil Mickelson",80,-0.213,"Approach",2008
20,20,"Omar Uresti",74,-0.203,"Approach",2008
21,21,"Woody Austin",109,-0.202,"Approach",2008
22,22,"Geoff Ogilvy",65,-0.2,"Approach",2008
23,23,"Stephen Leaney",53,-0.199,"Approach",2008
24,24,"Kent Jones",68,-0.198,"Approach",2008
25,25,"Jason Gore",94,-0.197,"Approach",2008
25,25,"Padraig Harrington",52,-0.197,"Approach",2008
27,27,"Brian Davis",108,-0.195,"Approach",2008
28,28,"Hunter Mahan",87,-0.194,"Approach",2008
29,29,"Bob Estes",90,-0.193,"Approach",2008
30,30,"Bart Bryant",81,-0.189,"Approach",2008
30,30,"Tag Ridings",88,-0.189,"Approach",2008
32,32,"Bob Tway",70,-0.187,"Approach",2008
33,33,"Ken Duke",116,-0.186,"Approach",2008
33,33,"Ryan Palmer",69,-0.186,"Approach",2008
35,35,"Freddie Jacobson",78,-0.185,"Approach",2008
35,35,"David Toms",70,-0.185,"Approach",2008
37,37,"Stuart Appleby",87,-0.184,"Approach",2008
38,38,"Glen Day",64,-0.177,"Approach",2008
39,39,"Chad Campbell",94,-0.176,"Approach",2008
40,40,"Camilo Villegas",79,-0.167,"Approach",2008
41,41,"Vijay Singh",82,-0.166,"Approach",2008
41,41,"Mike Weir",88,-0.166,"Approach",2008
43,43,"Ben Crane",86,-0.163,"Approach",2008
43,43,"Vaughn Taylor",103,-0.163,"Approach",2008
45,45,"Stewart Cink",87,-0.159,"Approach",2008
45,45,"John Huston",56,-0.159,"Approach",2008
47,47,"Doug LaBelle II",65,-0.158,"Approach",2008
47,47,"Steve Stricker",75,-0.158,"Approach",2008
49,49,"KJ Choi",74,-0.156,"Approach",2008
49,49,"Steve Elkington",84,-0.156,"Approach",2008
49,49,"Rory Sabbatini",77,-0.156,"Approach",2008
49,49,"Jay Williamson",96,-0.156,"Approach",2008
53,53,"John Rollins",94,-0.155,"Approach",2008
54,54,"Tim Herron",97,-0.154,"Approach",2008
55,55,"Shane Bertsch",96,-0.15,"Approach",2008
56,56,"Paul Casey",55,-0.149,"Approach",2008
56,56,"Lucas Glover",91,-0.149,"Approach",2008
58,58,"Jeff Quinney",87,-0.148,"Approach",2008
58,58,"Scott Sterling",89,-0.148,"Approach",2008
58,58,"Dean Wilson",109,-0.148,"Approach",2008
61,61,"Zach Johnson",85,-0.146,"Approach",2008
62,62,"Retief Goosen",59,-0.145,"Approach",2008
62,62,"Dudley Hart",74,-0.145,"Approach",2008
62,62,"Will Ma Kenzie",62,-0.145,"Approach",2008
65,65,"Ron Whittaker",54,-0.144,"Approach",2008
66,66,"Jeff Gove",50,-0.143,"Approach",2008
67,67,"Kevin Streelman",114,-0.142,"Approach",2008
68,68,"Carlos Franco",73,-0.141,"Approach",2008
69,69,"Bo Van Pelt",101,-0.14,"Approach",2008
70,70,"Mark Wilson",107,-0.139,"Approach",2008
71,71,"Olin Browne",77,-0.137,"Approach",2008
71,71,"Chad Collins",72,-0.137,"Approach",2008
71,71,"John Mallinger",95,-0.137,"Approach",2008
74,74,"Ben Curtis",80,-0.136,"Approach",2008
74,74,"Jason Day",81,-0.136,"Approach",2008
76,76,"Charles Howell III",101,-0.135,"Approach",2008
76,76,"Peter Lonard",92,-0.135,"Approach",2008
76,76,"John Senden",93,-0.135,"Approach",2008
79,79,"Ryan Moore",72,-0.134,"Approach",2008
79,79,"Rod Pampling",83,-0.134,"Approach",2008
79,79,"Chris Stroud",81,-0.134,"Approach",2008
82,82,"Todd Hamilton",92,-0.132,"Approach",2008
82,82,"Steve Marino",119,-0.132,"Approach",2008
82,82,"Kenny Perry",97,-0.132,"Approach",2008
85,85,"Nathan Green",95,-0.131,"Approach",2008
86,86,"Billy Mayfair",103,-0.13,"Approach",2008
87,87,"Joe Durant",92,-0.129,"Approach",2008
88,88,"Charlie Wi",97,-0.128,"Approach",2008
89,89,"Briny Baird",113,-0.127,"Approach",2008
89,89,"Chris DiMarco",87,-0.127,"Approach",2008
89,89,"John Riegger",73,-0.127,"Approach",2008
92,92,"Michael Allen",91,-0.123,"Approach",2008
93,93,"Heath Slocum",104,-0.122,"Approach",2008
94,94,"Marc Turnesa",87,-0.12,"Approach",2008
95,95,"Alex Cejka",75,-0.118,"Approach",2008
96,96,"DJ Trahan",94,-0.117,"Approach",2008
97,97,"Corey Pavin",69,-0.115,"Approach",2008
97,97,"Patrick Sheehan",124,-0.115,"Approach",2008
99,99,"Harrison Frazar",73,-0.114,"Approach",2008
100,100,"Marco Dawson",64,-0.113,"Approach",2008
101,101,"Chris Riley",51,-0.112,"Approach",2008
102,102,"JJ Henry",108,-0.11,"Approach",2008
102,102,"Richard Johnson",77,-0.11,"Approach",2008
102,102,"Tom Pernice Jr",104,-0.11,"Approach",2008
105,105,"Todd Demsey",80,-0.109,"Approach",2008
105,105,"JB Holmes",86,-0.109,"Approach",2008
107,107,"Jerry Kelly",89,-0.108,"Approach",2008
108,108,"Frank Lickliter II",107,-0.107,"Approach",2008
109,109,"Brenden Pappas",66,-0.106,"Approach",2008
109,109,"Pat Perez",93,-0.106,"Approach",2008
111,111,"Jeff Overton",103,-0.105,"Approach",2008
111,111,"Johnson Wagner",83,-0.105,"Approach",2008
113,113,"Fred Couples",60,-0.104,"Approach",2008
113,113,"Bubba Watson",97,-0.104,"Approach",2008
115,115,"Jonathan Byrd",88,-0.103,"Approach",2008
115,115,"Mathew Goggin",91,-0.103,"Approach",2008
117,117,"Brett Quigley",80,-0.102,"Approach",2008
118,118,"George McNeill",97,-0.1,"Approach",2008
119,119,"Eric Axley",113,-0.097,"Approach",2008
120,120,"John Merrick",98,-0.096,"Approach",2008
121,121,"Ryan Armour",87,-0.095,"Approach",2008
122,122,"Tommy Armour III",77,-0.094,"Approach",2008
123,123,"Brett Rumford",72,-0.092,"Approach",2008
124,124,"Brad Elder",67,-0.091,"Approach",2008
125,125,"Michael Letzig",88,-0.09,"Approach",2008
125,125,"Rocco Mediate",87,-0.09,"Approach",2008
127,127,"YE Yang",89,-0.089,"Approach",2008
128,128,"Tom Lehman",51,-0.087,"Approach",2008
129,129,"Paul Claxton",63,-0.086,"Approach",2008
129,129,"Steve Flesch",95,-0.086,"Approach",2008
129,129,"Davis Love III",78,-0.086,"Approach",2008
132,132,"Cameron Beckman",87,-0.085,"Approach",2008
133,133,"Parker McLachlin",88,-0.084,"Approach",2008
134,134,"Tim Petrovic",97,-0.083,"Approach",2008
134,134,"Kyle Thompson",70,-0.083,"Approach",2008
136,136,"Alejandro Canizares",52,-0.082,"Approach",2008
137,137,"Bill Haas",99,-0.079,"Approach",2008
137,137,"Jesper Parnevik",88,-0.079,"Approach",2008
137,137,"Charles Warren",79,-0.079,"Approach",2008
140,140,"Justin Bolli",87,-0.077,"Approach",2008
141,141,"Kevin Stadler",90,-0.076,"Approach",2008
142,142,"Dustin Johnson",92,-0.074,"Approach",2008
142,142,"Kevin Na",97,-0.074,"Approach",2008
142,142,"Carl Pettersson",110,-0.074,"Approach",2008
145,145,"Robert Allenby",108,-0.073,"Approach",2008
145,145,"Sean OHair",81,-0.073,"Approach",2008
147,147,"Daniel Chopra",84,-0.072,"Approach",2008
148,148,"Rich Beem",90,-0.071,"Approach",2008
148,148,"Angel Cabrera",55,-0.071,"Approach",2008
148,148,"Chez Reavie",102,-0.071,"Approach",2008
151,151,"Boo Weekley",86,-0.07,"Approach",2008
152,152,"Mark Hensby",71,-0.067,"Approach",2008
153,153,"Greg Kraft",63,-0.065,"Approach",2008
153,153,"Cliff Kresge",84,-0.065,"Approach",2008
153,153,"Jeff Maggert",86,-0.065,"Approach",2008
156,156,"Trevor Immelman",70,-0.064,"Approach",2008
157,157,"Mark Calcavecchia",67,-0.063,"Approach",2008
157,157,"Mathias Gronberg",87,-0.063,"Approach",2008
159,159,"James Driscoll",85,-0.061,"Approach",2008
160,160,"Matt Jones",95,-0.06,"Approach",2008
160,160,"Nicholas Thompson",113,-0.06,"Approach",2008
160,160,"Nick Watney",96,-0.06,"Approach",2008
163,163,"Troy Matteson",94,-0.059,"Approach",2008
165,165,"Ian Poulter",51,-0.057,"Approach",2008
166,166,"Billy Andrade",71,-0.056,"Approach",2008
167,167,"Brad Adamonis",87,-0.055,"Approach",2008
168,168,"Scott McCarron",63,-0.052,"Approach",2008
169,169,"Robert Garrigus",90,-0.049,"Approach",2008
170,170,"Brandt Jobe",52,-0.043,"Approach",2008
170,170,"Martin Laird",98,-0.043,"Approach",2008
170,170,"Bob Sowards",61,-0.043,"Approach",2008
173,173,"Robert Gamez",79,-0.042,"Approach",2008
173,173,"Brandt Snedeker",85,-0.042,"Approach",2008
175,175,"Jason Allred",63,-0.038,"Approach",2008
175,175,"Cody Freeman",66,-0.038,"Approach",2008
177,177,"Jim McGovern",75,-0.036,"Approach",2008
178,178,"JP Hayes",67,-0.029,"Approach",2008
179,179,"Nick Flanagan",89,-0.027,"Approach",2008
180,180,"Ernie Els",51,-0.025,"Approach",2008
181,181,"Jon Mills",95,-0.019,"Approach",2008
181,181,"Ted Purdy",68,-0.019,"Approach",2008
183,183,"Steve Lowery",74,-0.016,"Approach",2008
184,184,"Adam Scott",51,-0.011,"Approach",2008
185,185,"David Duval",51,-0.01,"Approach",2008
186,186,"Steve Allan",58,-0.009,"Approach",2008
186,186,"Charley Hoffman",94,-0.009,"Approach",2008
188,188,"Andres Romero",69,-0.008,"Approach",2008
188,188,"Jimmy Walker",73,-0.008,"Approach",2008
190,190,"Tommy Gainey",60,-0.007,"Approach",2008
191,191,"Lee Janzen",89,-0.004,"Approach",2008
192,192,"Sergio Garcia",72,0,"Approach",2008
192,192,"Jin Park",85,0,"Approach",2008
192,192,"Tom Scherrer",56,0,"Approach",2008
195,195,"David Lutterus",59,0.044,"Approach",2008
196,196,"Kenneth Ferrie",72,0.047,"Approach",2008
197,197,"Travis Perkins",53,0.086,"Approach",2008
