"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2016","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2016","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2016","FedExCupSeasonPointsforNonMembers_EVENTS_2016","FedExCupSeasonPointsforNonMembers_POINTS_2016","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2016","stat_name","year"
1,1,"Rafa Cabrera Bello",4,458,269,"FedExCupSeasonPointsforNonMembers",2016
2,2,"Byeong Hun An",7,413,136,"FedExCupSeasonPointsforNonMembers",2016
3,3,"Lee Westwood",4,316,46,"FedExCupSeasonPointsforNonMembers",2016
4,4,"Matthew Fitzpatrick",7,281,147,"FedExCupSeasonPointsforNonMembers",2016
5,5,"Kiradech Aphibarnrat",5,260,109,"FedExCupSeasonPointsforNonMembers",2016
6,6,"Bernd Wiesberger",7,206,129,"FedExCupSeasonPointsforNonMembers",2016
7,7,"Ross Fisher",2,197,197,"FedExCupSeasonPointsforNonMembers",2016
8,8,"Andy Sullivan",7,188,106,"FedExCupSeasonPointsforNonMembers",2016
9,9,"Soren Kjeldsen",5,173,79,"FedExCupSeasonPointsforNonMembers",2016
10,12,"Martin Kaymer",6,160,115,"FedExCupSeasonPointsforNonMembers",2016
11,10,"Thongchai Jaidee",6,153,103,"FedExCupSeasonPointsforNonMembers",2016
12,11,"Bobby Wyatt",3,136,NA,"FedExCupSeasonPointsforNonMembers",2016
13,13,"Chris Wood",5,129,55,"FedExCupSeasonPointsforNonMembers",2016
14,14,"Bryson DeChambeau",5,123,NA,"FedExCupSeasonPointsforNonMembers",2016
15,15,"Scott Hend",3,102,59,"FedExCupSeasonPointsforNonMembers",2016
16,16,"Rodolfo Cazaubon",3,93,NA,"FedExCupSeasonPointsforNonMembers",2016
17,17,"Hao Tong Li",3,86,86,"FedExCupSeasonPointsforNonMembers",2016
18,18,"Thomas Pieters",3,86,85,"FedExCupSeasonPointsforNonMembers",2016
19,19,"Ollie Schniederjans",7,82,NA,"FedExCupSeasonPointsforNonMembers",2016
20,20,"Ryan Ruffels",6,80,NA,"FedExCupSeasonPointsforNonMembers",2016
21,21,"Thorbjorn Olesen",2,78,78,"FedExCupSeasonPointsforNonMembers",2016
22,22,"Rafael Campos",2,75,NA,"FedExCupSeasonPointsforNonMembers",2016
23,23,"Victor Dubuisson",3,71,45,"FedExCupSeasonPointsforNonMembers",2016
24,24,"KT Kim",2,70,70,"FedExCupSeasonPointsforNonMembers",2016
25,25,"Hunter Stewart",7,64,NA,"FedExCupSeasonPointsforNonMembers",2016
26,26,"Paul Dunne",3,58,NA,"FedExCupSeasonPointsforNonMembers",2016
27,27,"Greg Yates",1,44,NA,"FedExCupSeasonPointsforNonMembers",2016
28,28,"Trey Mullinax",2,43,NA,"FedExCupSeasonPointsforNonMembers",2016
29,29,"James Morrison",1,43,43,"FedExCupSeasonPointsforNonMembers",2016
30,30,"Ryan Blaum",1,40,NA,"FedExCupSeasonPointsforNonMembers",2016
31,31,"Paul Peterson",1,40,NA,"FedExCupSeasonPointsforNonMembers",2016
32,32,"Tommy Fleetwood",1,39,39,"FedExCupSeasonPointsforNonMembers",2016
32,32,"David Howell",1,39,39,"FedExCupSeasonPointsforNonMembers",2016
34,34,"Jaco Van Zyl",1,39,39,"FedExCupSeasonPointsforNonMembers",2016
35,35,"Daisuke Kataoka",1,34,NA,"FedExCupSeasonPointsforNonMembers",2016
36,36,"George Coetzee",2,34,14,"FedExCupSeasonPointsforNonMembers",2016
37,37,"Martin Flores",1,33,NA,"FedExCupSeasonPointsforNonMembers",2016
38,38,"Gonzalo Fdez Castano",2,30,NA,"FedExCupSeasonPointsforNonMembers",2016
39,39,"James Driscoll",1,29,NA,"FedExCupSeasonPointsforNonMembers",2016
40,40,"Brandon Hagy",2,27,NA,"FedExCupSeasonPointsforNonMembers",2016
41,41,"Marcus Fraser",2,27,27,"FedExCupSeasonPointsforNonMembers",2016
42,42,"Nick Mason",1,26,NA,"FedExCupSeasonPointsforNonMembers",2016
43,43,"SSP Chawrasia",2,24,23,"FedExCupSeasonPointsforNonMembers",2016
44,44,"Richard Lee",2,24,23,"FedExCupSeasonPointsforNonMembers",2016
45,45,"Miguel Angel Jimenez",1,23,23,"FedExCupSeasonPointsforNonMembers",2016
45,45,"Xinjun Zhang",1,23,23,"FedExCupSeasonPointsforNonMembers",2016
47,47,"Gregory Bourdy",1,20,NA,"FedExCupSeasonPointsforNonMembers",2016
48,48,"Zecheng Dou",1,19,19,"FedExCupSeasonPointsforNonMembers",2016
49,49,"Benjamin Taylor",1,19,NA,"FedExCupSeasonPointsforNonMembers",2016
50,50,"Dean Burmester",1,17,NA,"FedExCupSeasonPointsforNonMembers",2016
51,51,"Tyrrell Hatton",1,16,16,"FedExCupSeasonPointsforNonMembers",2016
51,51,"Alexander Noren",1,16,16,"FedExCupSeasonPointsforNonMembers",2016
53,80,"Matt Dobyns",5,15,NA,"FedExCupSeasonPointsforNonMembers",2016
54,53,"Nathan Holman",1,15,15,"FedExCupSeasonPointsforNonMembers",2016
55,54,"Andrew Dodt",2,15,3,"FedExCupSeasonPointsforNonMembers",2016
56,55,"Curtis Reed",1,14,NA,"FedExCupSeasonPointsforNonMembers",2016
57,56,"Jorge Fernandez Valdes",1,13,NA,"FedExCupSeasonPointsforNonMembers",2016
57,56,"Adam Svensson",2,13,NA,"FedExCupSeasonPointsforNonMembers",2016
59,58,"Prayad Marksaeng",1,12,NA,"FedExCupSeasonPointsforNonMembers",2016
60,59,"Blake Adams",4,11,NA,"FedExCupSeasonPointsforNonMembers",2016
61,60,"Wu Ashun",1,11,11,"FedExCupSeasonPointsforNonMembers",2016
61,60,"Nick Cullen",1,11,11,"FedExCupSeasonPointsforNonMembers",2016
61,60,"Trevor Fisher Jr",1,11,11,"FedExCupSeasonPointsforNonMembers",2016
61,60,"WC Liang",1,11,11,"FedExCupSeasonPointsforNonMembers",2016
65,64,"Yusaku Miyazato",2,10,10,"FedExCupSeasonPointsforNonMembers",2016
