"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2011","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2011","FirstTeeEarlyScoringAverage_PLAYERNAME_2011","FirstTeeEarlyScoringAverage_ROUNDS_2011","FirstTeeEarlyScoringAverage_AVG_2011","FirstTeeEarlyScoringAverage_TOTALSTROKES_2011","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2011","stat_name","year"
1,1,"David Toms",78,68.6,1372,20,"FirstTeeEarlyScoringAverage",2011
2,2,"Brandt Snedeker",85,68.83,1239,18,"FirstTeeEarlyScoringAverage",2011
3,3,"Shane Bertsch",62,68.93,965,14,"FirstTeeEarlyScoringAverage",2011
4,4,"Spencer Levin",113,69.06,2486,36,"FirstTeeEarlyScoringAverage",2011
5,5,"Charles Howell III",108,69.38,2012,29,"FirstTeeEarlyScoringAverage",2011
6,6,"Steve Stricker",70,69.42,833,12,"FirstTeeEarlyScoringAverage",2011
7,7,"Sergio Garcia",61,69.47,1042,15,"FirstTeeEarlyScoringAverage",2011
8,8,"Freddie Jacobson",92,69.6,2088,30,"FirstTeeEarlyScoringAverage",2011
9,9,"Brian Davis",105,69.61,1949,28,"FirstTeeEarlyScoringAverage",2011
9,9,"Hunter Mahan",92,69.61,1601,23,"FirstTeeEarlyScoringAverage",2011
11,11,"Luke Donald",73,69.7,697,10,"FirstTeeEarlyScoringAverage",2011
11,11,"Ryan Palmer",82,69.7,1882,27,"FirstTeeEarlyScoringAverage",2011
11,11,"Chris Stroud",88,69.7,1882,27,"FirstTeeEarlyScoringAverage",2011
14,14,"David Hearn",88,69.79,1675,24,"FirstTeeEarlyScoringAverage",2011
15,15,"Rickie Fowler",84,69.8,1396,20,"FirstTeeEarlyScoringAverage",2011
15,15,"Bryce Molder",82,69.8,1396,20,"FirstTeeEarlyScoringAverage",2011
15,15,"Heath Slocum",89,69.8,2094,30,"FirstTeeEarlyScoringAverage",2011
18,18,"Sung Kang",63,69.83,1257,18,"FirstTeeEarlyScoringAverage",2011
19,19,"Charl Schwartzel",58,69.86,1537,22,"FirstTeeEarlyScoringAverage",2011
20,20,"Matt Kuchar",94,69.88,1118,16,"FirstTeeEarlyScoringAverage",2011
21,21,"Retief Goosen",50,69.9,1398,20,"FirstTeeEarlyScoringAverage",2011
22,22,"Bo Van Pelt",92,69.91,2377,34,"FirstTeeEarlyScoringAverage",2011
23,23,"Bill Haas",93,69.96,1959,28,"FirstTeeEarlyScoringAverage",2011
24,24,"JJ Henry",96,69.97,2309,33,"FirstTeeEarlyScoringAverage",2011
24,24,"Justin Rose",79,69.97,2169,31,"FirstTeeEarlyScoringAverage",2011
26,26,"Blake Adams",116,70,3220,46,"FirstTeeEarlyScoringAverage",2011
26,26,"Phil Mickelson",79,70,1400,20,"FirstTeeEarlyScoringAverage",2011
26,26,"John Senden",94,70,1890,27,"FirstTeeEarlyScoringAverage",2011
26,26,"Webb Simpson",98,70,1120,16,"FirstTeeEarlyScoringAverage",2011
30,30,"Brian Gay",90,70.06,2172,31,"FirstTeeEarlyScoringAverage",2011
31,31,"Chris Kirk",87,70.1,2173,31,"FirstTeeEarlyScoringAverage",2011
31,31,"Adam Scott",60,70.1,701,10,"FirstTeeEarlyScoringAverage",2011
33,33,"Aron Price",58,70.11,1262,18,"FirstTeeEarlyScoringAverage",2011
34,34,"Marc Leishman",87,70.14,2455,35,"FirstTeeEarlyScoringAverage",2011
35,35,"Steven Bowditch",86,70.15,1824,26,"FirstTeeEarlyScoringAverage",2011
35,35,"Gary Woodland",93,70.15,1403,20,"FirstTeeEarlyScoringAverage",2011
37,37,"Scott Piercy",78,70.16,1754,25,"FirstTeeEarlyScoringAverage",2011
38,38,"Ben Crane",76,70.2,2106,30,"FirstTeeEarlyScoringAverage",2011
38,38,"John Rollins",85,70.2,2106,30,"FirstTeeEarlyScoringAverage",2011
40,40,"Brendon de Jonge",105,70.21,2036,29,"FirstTeeEarlyScoringAverage",2011
40,40,"Johnson Wagner",81,70.21,1966,28,"FirstTeeEarlyScoringAverage",2011
42,42,"John Merrick",71,70.22,1264,18,"FirstTeeEarlyScoringAverage",2011
43,43,"Chad Campbell",99,70.23,2458,35,"FirstTeeEarlyScoringAverage",2011
43,43,"Nathan Green",81,70.23,2177,31,"FirstTeeEarlyScoringAverage",2011
45,45,"Kevin Chappell",78,70.24,1194,17,"FirstTeeEarlyScoringAverage",2011
45,45,"Zach Johnson",79,70.24,2037,29,"FirstTeeEarlyScoringAverage",2011
45,45,"Nick OHern",89,70.24,1475,21,"FirstTeeEarlyScoringAverage",2011
48,48,"Brandt Jobe",100,70.25,2529,36,"FirstTeeEarlyScoringAverage",2011
49,49,"Angel Cabrera",50,70.27,1054,15,"FirstTeeEarlyScoringAverage",2011
49,49,"Carl Pettersson",95,70.27,2319,33,"FirstTeeEarlyScoringAverage",2011
51,51,"Jerry Kelly",85,70.29,1968,28,"FirstTeeEarlyScoringAverage",2011
52,52,"Dustin Johnson",72,70.3,1406,20,"FirstTeeEarlyScoringAverage",2011
52,52,"Charlie Wi",83,70.3,1617,23,"FirstTeeEarlyScoringAverage",2011
54,54,"Rory Sabbatini",85,70.31,2461,35,"FirstTeeEarlyScoringAverage",2011
55,55,"Charley Hoffman",93,70.32,2672,38,"FirstTeeEarlyScoringAverage",2011
56,56,"Robert Allenby",84,70.36,2744,39,"FirstTeeEarlyScoringAverage",2011
56,56,"Chris Riley",76,70.36,1548,22,"FirstTeeEarlyScoringAverage",2011
58,58,"Jason Day",76,70.38,1478,21,"FirstTeeEarlyScoringAverage",2011
58,58,"James Driscoll",71,70.38,1689,24,"FirstTeeEarlyScoringAverage",2011
58,58,"Rod Pampling",72,70.38,1478,21,"FirstTeeEarlyScoringAverage",2011
61,61,"Kevin Na",84,70.39,2182,31,"FirstTeeEarlyScoringAverage",2011
62,62,"Geoff Ogilvy",69,70.42,1690,24,"FirstTeeEarlyScoringAverage",2011
63,63,"Cameron Tringale",110,70.44,2254,32,"FirstTeeEarlyScoringAverage",2011
64,64,"DJ Trahan",91,70.45,2184,31,"FirstTeeEarlyScoringAverage",2011
65,65,"Keegan Bradley",91,70.46,1691,24,"FirstTeeEarlyScoringAverage",2011
66,66,"Briny Baird",60,70.48,1480,21,"FirstTeeEarlyScoringAverage",2011
66,66,"Tim Herron",85,70.48,1621,23,"FirstTeeEarlyScoringAverage",2011
68,68,"Davis Love III",70,70.5,1128,16,"FirstTeeEarlyScoringAverage",2011
69,69,"Jonathan Byrd",83,70.52,1904,27,"FirstTeeEarlyScoringAverage",2011
69,69,"Bill Lunde",92,70.52,2327,33,"FirstTeeEarlyScoringAverage",2011
69,69,"Boo Weekley",66,70.52,1904,27,"FirstTeeEarlyScoringAverage",2011
72,72,"Cameron Beckman",71,70.54,1693,24,"FirstTeeEarlyScoringAverage",2011
72,72,"Ryan Moore",79,70.54,1693,24,"FirstTeeEarlyScoringAverage",2011
74,74,"Kyle Stanley",98,70.55,2681,38,"FirstTeeEarlyScoringAverage",2011
75,75,"Ben Curtis",66,70.57,1976,28,"FirstTeeEarlyScoringAverage",2011
76,76,"JP Hayes",56,70.58,847,12,"FirstTeeEarlyScoringAverage",2011
77,77,"Vijay Singh",79,70.59,1553,22,"FirstTeeEarlyScoringAverage",2011
78,78,"Stewart Cink",72,70.61,1624,23,"FirstTeeEarlyScoringAverage",2011
79,79,"Pat Perez",76,70.63,1907,27,"FirstTeeEarlyScoringAverage",2011
80,80,"Chris Couch",73,70.67,1272,18,"FirstTeeEarlyScoringAverage",2011
80,80,"Scott Gutschewski",67,70.67,1484,21,"FirstTeeEarlyScoringAverage",2011
82,82,"Billy Mayfair",94,70.68,2403,34,"FirstTeeEarlyScoringAverage",2011
82,82,"Josh Teater",104,70.68,2615,37,"FirstTeeEarlyScoringAverage",2011
84,84,"Jason Dufner",78,70.7,1626,23,"FirstTeeEarlyScoringAverage",2011
84,84,"Bubba Watson",85,70.7,1626,23,"FirstTeeEarlyScoringAverage",2011
86,86,"Chez Reavie",92,70.71,2404,34,"FirstTeeEarlyScoringAverage",2011
86,86,"Andres Romero",77,70.71,1697,24,"FirstTeeEarlyScoringAverage",2011
88,88,"Michael Thompson",79,70.74,1344,19,"FirstTeeEarlyScoringAverage",2011
89,89,"David Mathis",83,70.75,1981,28,"FirstTeeEarlyScoringAverage",2011
90,90,"William McGirt",103,70.76,1769,25,"FirstTeeEarlyScoringAverage",2011
91,91,"Tag Ridings",87,70.77,2123,30,"FirstTeeEarlyScoringAverage",2011
92,92,"Woody Austin",59,70.84,1346,19,"FirstTeeEarlyScoringAverage",2011
92,92,"Chris DiMarco",93,70.84,2267,32,"FirstTeeEarlyScoringAverage",2011
92,92,"Joe Ogilvie",75,70.84,1771,25,"FirstTeeEarlyScoringAverage",2011
95,95,"Michael Bradley",74,70.88,2339,33,"FirstTeeEarlyScoringAverage",2011
96,96,"Camilo Villegas",69,70.89,1276,18,"FirstTeeEarlyScoringAverage",2011
97,97,"Aaron Baddeley",77,70.9,1418,20,"FirstTeeEarlyScoringAverage",2011
97,97,"Matt Bettencourt",84,70.9,2056,29,"FirstTeeEarlyScoringAverage",2011
99,99,"Nick Watney",80,70.92,922,13,"FirstTeeEarlyScoringAverage",2011
100,100,"Graeme McDowell",50,70.93,1064,15,"FirstTeeEarlyScoringAverage",2011
101,101,"Joe Durant",71,70.95,1490,21,"FirstTeeEarlyScoringAverage",2011
101,101,"Ian Poulter",52,70.95,1419,20,"FirstTeeEarlyScoringAverage",2011
103,103,"Kent Jones",76,70.96,1916,27,"FirstTeeEarlyScoringAverage",2011
103,103,"Michael Putnam",67,70.96,1703,24,"FirstTeeEarlyScoringAverage",2011
105,105,"Troy Matteson",91,70.97,2058,29,"FirstTeeEarlyScoringAverage",2011
106,106,"Andres Gonzales",60,71,1633,23,"FirstTeeEarlyScoringAverage",2011
106,106,"Trevor Immelman",84,71,1633,23,"FirstTeeEarlyScoringAverage",2011
106,106,"Matt Jones",71,71,1704,24,"FirstTeeEarlyScoringAverage",2011
106,106,"Anthony Kim",72,71,1775,25,"FirstTeeEarlyScoringAverage",2011
106,106,"Vaughn Taylor",89,71,1775,25,"FirstTeeEarlyScoringAverage",2011
111,111,"Jimmy Walker",79,71.03,2060,29,"FirstTeeEarlyScoringAverage",2011
112,112,"Bobby Gates",82,71.04,1989,28,"FirstTeeEarlyScoringAverage",2011
113,113,"Steve Marino",76,71.05,1421,20,"FirstTeeEarlyScoringAverage",2011
113,113,"Scott McCarron",65,71.05,1563,22,"FirstTeeEarlyScoringAverage",2011
115,115,"Kevin Streelman",90,71.09,2275,32,"FirstTeeEarlyScoringAverage",2011
116,116,"YE Yang",63,71.1,1493,21,"FirstTeeEarlyScoringAverage",2011
117,117,"Stephen Ames",69,71.12,1209,17,"FirstTeeEarlyScoringAverage",2011
118,118,"Martin Laird",77,71.14,1565,22,"FirstTeeEarlyScoringAverage",2011
118,118,"Ben Martin",74,71.14,1565,22,"FirstTeeEarlyScoringAverage",2011
120,120,"Sean OHair",71,71.15,1850,26,"FirstTeeEarlyScoringAverage",2011
121,121,"Billy Horschel",75,71.18,1566,22,"FirstTeeEarlyScoringAverage",2011
121,121,"Garrett Willis",71,71.18,1566,22,"FirstTeeEarlyScoringAverage",2011
123,123,"Scott Stallings",84,71.19,2278,32,"FirstTeeEarlyScoringAverage",2011
124,124,"Jim Herman",69,71.2,1424,20,"FirstTeeEarlyScoringAverage",2011
124,124,"Brendan Steele",89,71.2,1780,25,"FirstTeeEarlyScoringAverage",2011
126,126,"Nate Smith",66,71.21,1353,19,"FirstTeeEarlyScoringAverage",2011
127,127,"George McNeill",69,71.22,1638,23,"FirstTeeEarlyScoringAverage",2011
127,127,"DA Points",89,71.22,2564,36,"FirstTeeEarlyScoringAverage",2011
129,129,"Harrison Frazar",58,71.23,1567,22,"FirstTeeEarlyScoringAverage",2011
129,129,"Lucas Glover",74,71.23,1567,22,"FirstTeeEarlyScoringAverage",2011
129,129,"Ryuji Imada",83,71.23,2208,31,"FirstTeeEarlyScoringAverage",2011
129,129,"Mark Wilson",89,71.23,2137,30,"FirstTeeEarlyScoringAverage",2011
133,133,"Stuart Appleby",65,71.24,1496,21,"FirstTeeEarlyScoringAverage",2011
