"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2013","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2013","GoingfortheGreenHitGreenPct_PLAYERNAME_2013","GoingfortheGreenHitGreenPct_ROUNDS_2013","GoingfortheGreenHitGreenPct_Pct_2013","GoingfortheGreenHitGreenPct_SUCCESSES_2013","GoingfortheGreenHitGreenPct_ATTEMPTS_2013","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2013","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2013","stat_name","year"
1,1,"Martin Kaymer",61,35.63,31,87,-27,NA,"GoingfortheGreenHitGreenPct",2013
2,2,"Brian Stuard",78,35,28,80,-25,NA,"GoingfortheGreenHitGreenPct",2013
3,3,"Stewart Cink",71,34,34,100,-34,NA,"GoingfortheGreenHitGreenPct",2013
4,4,"Daniel Summerhays",83,33.82,46,136,-45,NA,"GoingfortheGreenHitGreenPct",2013
5,5,"George McNeill",68,33.66,34,101,-39,NA,"GoingfortheGreenHitGreenPct",2013
6,6,"Charlie Beljan",62,32.23,39,121,-38,NA,"GoingfortheGreenHitGreenPct",2013
7,7,"Nick Watney",88,31.79,48,151,-47,NA,"GoingfortheGreenHitGreenPct",2013
8,8,"Justin Rose",62,31.46,28,89,-27,NA,"GoingfortheGreenHitGreenPct",2013
9,9,"Dustin Johnson",71,31.45,39,124,-38,NA,"GoingfortheGreenHitGreenPct",2013
10,10,"Keegan Bradley",88,30.85,58,188,-61,NA,"GoingfortheGreenHitGreenPct",2013
11,11,"Vaughn Taylor",50,30.65,19,62,-17,NA,"GoingfortheGreenHitGreenPct",2013
12,12,"Nicolas Colsaerts",50,30.56,22,72,-22,NA,"GoingfortheGreenHitGreenPct",2013
13,13,"Graham DeLaet",94,30.19,48,159,-50,NA,"GoingfortheGreenHitGreenPct",2013
14,14,"Brendan Steele",86,30.08,40,133,-38,NA,"GoingfortheGreenHitGreenPct",2013
15,15,"Greg Owen",73,29.77,39,131,-45,NA,"GoingfortheGreenHitGreenPct",2013
16,16,"Stephen Ames",49,29.63,16,54,-16,NA,"GoingfortheGreenHitGreenPct",2013
17,17,"Russell Henley",80,29.57,34,115,-36,NA,"GoingfortheGreenHitGreenPct",2013
18,18,"Bubba Watson",76,29.17,49,168,-49,NA,"GoingfortheGreenHitGreenPct",2013
19,19,"Kevin Chappell",80,28.79,38,132,-40,NA,"GoingfortheGreenHitGreenPct",2013
20,20,"Bo Van Pelt",72,28.57,28,98,-28,NA,"GoingfortheGreenHitGreenPct",2013
21,21,"Angel Cabrera",73,28.46,37,130,-33,NA,"GoingfortheGreenHitGreenPct",2013
22,22,"Tiger Woods",61,28.42,27,95,-31,NA,"GoingfortheGreenHitGreenPct",2013
23,23,"Pat Perez",69,28.1,34,121,-33,NA,"GoingfortheGreenHitGreenPct",2013
24,24,"Charl Schwartzel",69,27.56,35,127,-35,NA,"GoingfortheGreenHitGreenPct",2013
25,25,"Boo Weekley",100,27.44,45,164,-45,NA,"GoingfortheGreenHitGreenPct",2013
26,26,"Brad Fritsch",81,27.42,34,124,-34,NA,"GoingfortheGreenHitGreenPct",2013
27,27,"Scott Gardiner",61,27.38,23,84,-24,NA,"GoingfortheGreenHitGreenPct",2013
28,28,"Vijay Singh",61,27.06,23,85,-22,NA,"GoingfortheGreenHitGreenPct",2013
29,29,"Chad Campbell",78,26.92,35,130,-30,NA,"GoingfortheGreenHitGreenPct",2013
29,29,"Graeme McDowell",53,26.92,14,52,-13,NA,"GoingfortheGreenHitGreenPct",2013
31,31,"Morgan Hoffmann",64,26.53,26,98,-27,NA,"GoingfortheGreenHitGreenPct",2013
32,32,"Rory Sabbatini",86,26.49,40,151,-40,NA,"GoingfortheGreenHitGreenPct",2013
33,33,"Kevin Stadler",83,26.28,41,156,-36,NA,"GoingfortheGreenHitGreenPct",2013
34,34,"Jimmy Walker",84,26.25,42,160,-45,NA,"GoingfortheGreenHitGreenPct",2013
35,35,"Henrik Stenson",65,26.13,29,111,-30,NA,"GoingfortheGreenHitGreenPct",2013
36,36,"Kyle Stanley",71,26.06,43,165,-46,NA,"GoingfortheGreenHitGreenPct",2013
37,37,"Seung Yul Noh",71,26.02,32,123,-27,NA,"GoingfortheGreenHitGreenPct",2013
38,38,"Ryan Moore",72,25.96,27,104,-29,NA,"GoingfortheGreenHitGreenPct",2013
39,39,"Matt Kuchar",93,25.95,34,131,-39,NA,"GoingfortheGreenHitGreenPct",2013
40,40,"Robert Allenby",58,25.76,17,66,-14,NA,"GoingfortheGreenHitGreenPct",2013
40,40,"Alistair Presnell",59,25.76,17,66,-19,NA,"GoingfortheGreenHitGreenPct",2013
42,42,"Will Claxton",67,25.61,21,82,-16,NA,"GoingfortheGreenHitGreenPct",2013
43,43,"Steve LeBrun",66,25.3,21,83,-21,NA,"GoingfortheGreenHitGreenPct",2013
44,44,"Brandt Jobe",62,25.29,22,87,-23,NA,"GoingfortheGreenHitGreenPct",2013
45,45,"Luke List",65,25.23,28,111,-25,NA,"GoingfortheGreenHitGreenPct",2013
46,46,"Nicholas Thompson",99,25.16,40,159,-40,NA,"GoingfortheGreenHitGreenPct",2013
47,47,"Roberto Castro",97,25,34,136,-36,NA,"GoingfortheGreenHitGreenPct",2013
47,47,"Robert Garrigus",69,25,37,148,-35,NA,"GoingfortheGreenHitGreenPct",2013
47,47,"Peter Hanson",45,25,15,60,-16,NA,"GoingfortheGreenHitGreenPct",2013
47,47,"Jim Herman",59,25,24,96,-22,NA,"GoingfortheGreenHitGreenPct",2013
47,47,"Chris Kirk",89,25,36,144,-43,NA,"GoingfortheGreenHitGreenPct",2013
47,47,"David Lingmerth",68,25,21,84,-22,NA,"GoingfortheGreenHitGreenPct",2013
47,47,"Gary Woodland",94,25,47,188,-51,NA,"GoingfortheGreenHitGreenPct",2013
54,54,"Martin Flores",83,24.82,35,141,-39,NA,"GoingfortheGreenHitGreenPct",2013
55,55,"Kevin Streelman",86,24.81,33,133,-36,NA,"GoingfortheGreenHitGreenPct",2013
56,56,"Lee Westwood",70,24.79,30,121,-26,NA,"GoingfortheGreenHitGreenPct",2013
57,57,"Scott Piercy",78,24.66,36,146,-39,NA,"GoingfortheGreenHitGreenPct",2013
58,58,"Tim Clark",64,24.59,15,61,-17,NA,"GoingfortheGreenHitGreenPct",2013
59,59,"Fabian Gomez",65,24.44,22,90,-22,NA,"GoingfortheGreenHitGreenPct",2013
59,59,"Shawn Stefani",63,24.44,22,90,-23,NA,"GoingfortheGreenHitGreenPct",2013
61,61,"Camilo Villegas",79,24.3,26,107,-29,NA,"GoingfortheGreenHitGreenPct",2013
62,62,"Chez Reavie",72,24.1,20,83,-21,NA,"GoingfortheGreenHitGreenPct",2013
63,63,"Josh Teater",86,24.03,31,129,-31,NA,"GoingfortheGreenHitGreenPct",2013
64,64,"Brandt Snedeker",79,23.71,23,97,-25,NA,"GoingfortheGreenHitGreenPct",2013
65,65,"Tag Ridings",69,23.53,24,102,-24,NA,"GoingfortheGreenHitGreenPct",2013
66,66,"Eric Meierdierks",48,23.46,19,81,-12,NA,"GoingfortheGreenHitGreenPct",2013
67,67,"John Merrick",79,23.36,25,107,-25,NA,"GoingfortheGreenHitGreenPct",2013
68,68,"Steven Bowditch",67,23.31,31,133,-32,NA,"GoingfortheGreenHitGreenPct",2013
68,68,"Harris English",95,23.31,38,163,-39,NA,"GoingfortheGreenHitGreenPct",2013
70,70,"Hunter Mahan",91,23.17,38,164,-37,NA,"GoingfortheGreenHitGreenPct",2013
71,71,"James Hahn",78,23.14,28,121,-32,NA,"GoingfortheGreenHitGreenPct",2013
72,72,"Jason Kokrak",78,23.13,37,160,-34,NA,"GoingfortheGreenHitGreenPct",2013
73,73,"Steve Stricker",51,23.08,15,65,-15,NA,"GoingfortheGreenHitGreenPct",2013
74,74,"Brian Davis",91,23,23,100,-20,NA,"GoingfortheGreenHitGreenPct",2013
74,74,"Sean OHair",56,23,23,100,-25,NA,"GoingfortheGreenHitGreenPct",2013
76,76,"Tommy Gainey",84,22.9,30,131,-30,NA,"GoingfortheGreenHitGreenPct",2013
77,77,"William McGirt",75,22.81,26,114,-29,NA,"GoingfortheGreenHitGreenPct",2013
78,78,"Patrick Reed",83,22.79,31,136,-36,NA,"GoingfortheGreenHitGreenPct",2013
79,79,"Charley Hoffman",84,22.78,36,158,-41,NA,"GoingfortheGreenHitGreenPct",2013
80,80,"Zach Johnson",84,22.73,25,110,-26,NA,"GoingfortheGreenHitGreenPct",2013
81,81,"Matt Every",89,22.65,41,181,-40,NA,"GoingfortheGreenHitGreenPct",2013
82,82,"Matt Jones",83,22.46,31,138,-33,NA,"GoingfortheGreenHitGreenPct",2013
83,83,"Luke Donald",60,22.39,15,67,-13,NA,"GoingfortheGreenHitGreenPct",2013
84,84,"Phil Mickelson",78,22.22,28,126,-31,NA,"GoingfortheGreenHitGreenPct",2013
85,85,"Billy Horschel",96,22.15,33,149,-32,NA,"GoingfortheGreenHitGreenPct",2013
86,86,"Robert Karlsson",56,22.03,13,59,-12,NA,"GoingfortheGreenHitGreenPct",2013
87,87,"Luke Guthrie",82,21.78,22,101,-21,NA,"GoingfortheGreenHitGreenPct",2013
88,88,"Adam Scott",61,21.7,23,106,-25,NA,"GoingfortheGreenHitGreenPct",2013
89,89,"Charlie Wi",75,21.69,18,83,-18,NA,"GoingfortheGreenHitGreenPct",2013
90,90,"JJ Henry",83,21.62,24,111,-28,NA,"GoingfortheGreenHitGreenPct",2013
90,90,"Geoff Ogilvy",57,21.62,16,74,-9,NA,"GoingfortheGreenHitGreenPct",2013
92,92,"John Senden",79,21.6,27,125,-25,NA,"GoingfortheGreenHitGreenPct",2013
93,93,"David Mathis",71,21.59,19,88,-18,NA,"GoingfortheGreenHitGreenPct",2013
94,94,"Tom Gillis",69,21.52,17,79,-16,NA,"GoingfortheGreenHitGreenPct",2013
95,95,"Jason Day",86,21.43,27,126,-33,NA,"GoingfortheGreenHitGreenPct",2013
95,95,"Scott Langley",79,21.43,15,70,-19,NA,"GoingfortheGreenHitGreenPct",2013
97,97,"Martin Laird",68,21.36,22,103,-24,NA,"GoingfortheGreenHitGreenPct",2013
98,98,"Jin Park",52,21.28,10,47,-10,NA,"GoingfortheGreenHitGreenPct",2013
99,99,"Jeff Maggert",63,21.25,17,80,-13,NA,"GoingfortheGreenHitGreenPct",2013
100,100,"Aaron Baddeley",68,21.24,24,113,-24,NA,"GoingfortheGreenHitGreenPct",2013
101,101,"Lucas Glover",65,21.19,25,118,-23,NA,"GoingfortheGreenHitGreenPct",2013
102,102,"Michael Thompson",66,21.05,16,76,-17,NA,"GoingfortheGreenHitGreenPct",2013
103,103,"Justin Hicks",79,20.93,18,86,-19,NA,"GoingfortheGreenHitGreenPct",2013
104,104,"Mark Wilson",56,20.9,14,67,-14,NA,"GoingfortheGreenHitGreenPct",2013
105,105,"Carl Pettersson",82,20.87,24,115,-25,NA,"GoingfortheGreenHitGreenPct",2013
106,106,"Derek Ernst",58,20.83,20,96,-20,NA,"GoingfortheGreenHitGreenPct",2013
107,107,"Padraig Harrington",52,20.78,16,77,-15,NA,"GoingfortheGreenHitGreenPct",2013
107,107,"Freddie Jacobson",63,20.78,16,77,-18,NA,"GoingfortheGreenHitGreenPct",2013
109,109,"Erik Compton",74,20.72,23,111,-23,NA,"GoingfortheGreenHitGreenPct",2013
110,110,"Bill Haas",85,20.61,27,131,-25,NA,"GoingfortheGreenHitGreenPct",2013
111,111,"Aaron Watkins",46,20.59,7,34,-8,NA,"GoingfortheGreenHitGreenPct",2013
112,112,"Scott Brown",65,20.56,22,107,-26,NA,"GoingfortheGreenHitGreenPct",2013
113,113,"John Rollins",77,20.45,27,132,-26,NA,"GoingfortheGreenHitGreenPct",2013
114,114,"Michael Bradley",56,20.41,10,49,-7,NA,"GoingfortheGreenHitGreenPct",2013
115,115,"Rory McIlroy",56,20.37,22,108,-25,NA,"GoingfortheGreenHitGreenPct",2013
116,116,"Ben Kohles",75,20.27,15,74,-17,NA,"GoingfortheGreenHitGreenPct",2013
117,117,"Brendon de Jonge",110,20.22,36,178,-35,NA,"GoingfortheGreenHitGreenPct",2013
118,118,"Andres Romero",63,20.18,23,114,-25,NA,"GoingfortheGreenHitGreenPct",2013
119,119,"Rickie Fowler",75,20,23,115,-28,NA,"GoingfortheGreenHitGreenPct",2013
120,120,"Johnson Wagner",64,19.77,17,86,-17,NA,"GoingfortheGreenHitGreenPct",2013
121,121,"Ryan Palmer",79,19.74,30,152,-29,NA,"GoingfortheGreenHitGreenPct",2013
122,122,"DA Points",87,19.64,22,112,-18,NA,"GoingfortheGreenHitGreenPct",2013
123,123,"Jason Dufner",78,19.61,20,102,-17,NA,"GoingfortheGreenHitGreenPct",2013
123,123,"Ryo Ishikawa",72,19.61,20,102,-19,NA,"GoingfortheGreenHitGreenPct",2013
125,125,"Chris Stroud",88,19.53,25,128,-24,NA,"GoingfortheGreenHitGreenPct",2013
126,126,"Robert Streb",75,19.47,22,113,-20,NA,"GoingfortheGreenHitGreenPct",2013
127,127,"Webb Simpson",92,19.44,28,144,-29,NA,"GoingfortheGreenHitGreenPct",2013
128,128,"Henrik Norlander",70,19.27,21,109,-20,NA,"GoingfortheGreenHitGreenPct",2013
129,129,"Sergio Garcia",65,19.23,20,104,-25,NA,"GoingfortheGreenHitGreenPct",2013
130,130,"Bud Cauley",67,19.15,18,94,-17,NA,"GoingfortheGreenHitGreenPct",2013
131,131,"Jim Furyk",80,19.12,13,68,-15,NA,"GoingfortheGreenHitGreenPct",2013
132,132,"Rod Pampling",46,19.05,12,63,-12,NA,"GoingfortheGreenHitGreenPct",2013
133,133,"John Huh",88,19.01,27,142,-25,NA,"GoingfortheGreenHitGreenPct",2013
134,134,"Bobby Gates",49,18.97,11,58,-10,NA,"GoingfortheGreenHitGreenPct",2013
135,135,"Greg Chalmers",77,18.75,21,112,-21,NA,"GoingfortheGreenHitGreenPct",2013
136,136,"Charles Howell III",87,18.54,33,178,-35,NA,"GoingfortheGreenHitGreenPct",2013
137,137,"Bob Estes",66,18.42,14,76,-15,NA,"GoingfortheGreenHitGreenPct",2013
138,138,"DJ Trahan",48,18.31,13,71,-13,NA,"GoingfortheGreenHitGreenPct",2013
139,139,"Bryce Molder",82,18.18,12,66,-14,NA,"GoingfortheGreenHitGreenPct",2013
139,139,"Lee Williams",62,18.18,10,55,-10,NA,"GoingfortheGreenHitGreenPct",2013
141,141,"YE Yang",56,18.03,11,61,-11,NA,"GoingfortheGreenHitGreenPct",2013
142,142,"Jonas Blixt",76,17.95,21,117,-19,NA,"GoingfortheGreenHitGreenPct",2013
143,143,"Scott Stallings",79,17.86,25,140,-25,NA,"GoingfortheGreenHitGreenPct",2013
144,144,"Doug LaBelle II",72,17.81,13,73,-16,NA,"GoingfortheGreenHitGreenPct",2013
144,144,"Ted Potter Jr",65,17.81,13,73,-11,NA,"GoingfortheGreenHitGreenPct",2013
