"3PuttAvoidanceRound1_RANKTHISWEEK_2005","3PuttAvoidanceRound1_RANKLASTWEEK_2005","3PuttAvoidanceRound1_PLAYERNAME_2005","3PuttAvoidanceRound1__2005","3PuttAvoidanceRound1_Pct_2005","3PuttAvoidanceRound1_TOTAL3PUTTS_2005","3PuttAvoidanceRound1_TOTALHOLES_2005","stat_name","year"
1,1,"Steve Stricker",NA,1.06,4,378,"3PuttAvoidanceRound1",2005
2,2,"Stewart Cink",NA,1.16,5,432,"3PuttAvoidanceRound1",2005
3,3,"Brent Geiberger",NA,1.39,5,360,"3PuttAvoidanceRound1",2005
4,4,"Matt Gogel",NA,1.44,7,486,"3PuttAvoidanceRound1",2005
5,5,"Todd Fischer",NA,1.47,9,612,"3PuttAvoidanceRound1",2005
6,6,"Retief Goosen",NA,1.74,5,288,"3PuttAvoidanceRound1",2005
7,7,"Tom Gillis",NA,1.85,9,486,"3PuttAvoidanceRound1",2005
7,7,"Jose Maria Olazabal",NA,1.85,5,270,"3PuttAvoidanceRound1",2005
7,7,"Phillip Price",NA,1.85,8,432,"3PuttAvoidanceRound1",2005
10,10,"Aaron Baddeley",NA,1.92,9,468,"3PuttAvoidanceRound1",2005
11,11,"Jason Bohn",NA,1.98,10,504,"3PuttAvoidanceRound1",2005
12,12,"Kevin Sutherland",NA,2,9,450,"3PuttAvoidanceRound1",2005
13,13,"KJ Choi",NA,2.02,8,396,"3PuttAvoidanceRound1",2005
13,13,"Chris DiMarco",NA,2.02,8,396,"3PuttAvoidanceRound1",2005
13,13,"Len Mattiace",NA,2.02,12,594,"3PuttAvoidanceRound1",2005
13,13,"Bo Van Pelt",NA,2.02,12,594,"3PuttAvoidanceRound1",2005
17,17,"Michael Allen",NA,2.04,11,540,"3PuttAvoidanceRound1",2005
17,17,"Nick Watney",NA,2.04,11,540,"3PuttAvoidanceRound1",2005
19,19,"Ian Poulter",NA,2.05,7,342,"3PuttAvoidanceRound1",2005
20,20,"Justin Rose",NA,2.06,10,486,"3PuttAvoidanceRound1",2005
21,21,"Richard Johnson",NA,2.08,6,288,"3PuttAvoidanceRound1",2005
22,22,"JP Hayes",NA,2.12,8,378,"3PuttAvoidanceRound1",2005
23,23,"Ryan Palmer",NA,2.15,12,558,"3PuttAvoidanceRound1",2005
24,24,"Adam Scott",NA,2.16,7,324,"3PuttAvoidanceRound1",2005
25,25,"Stuart Appleby",NA,2.17,9,414,"3PuttAvoidanceRound1",2005
25,25,"Jesper Parnevik",NA,2.17,9,414,"3PuttAvoidanceRound1",2005
27,27,"Olin Browne",NA,2.18,11,504,"3PuttAvoidanceRound1",2005
27,27,"John Senden",NA,2.18,11,504,"3PuttAvoidanceRound1",2005
29,29,"Ben Crane",NA,2.22,8,360,"3PuttAvoidanceRound1",2005
29,29,"Bob Tway",NA,2.22,10,450,"3PuttAvoidanceRound1",2005
31,31,"Charles Howell III",NA,2.26,11,486,"3PuttAvoidanceRound1",2005
31,31,"Omar Uresti",NA,2.26,11,486,"3PuttAvoidanceRound1",2005
33,33,"Brad Faxon",NA,2.27,9,396,"3PuttAvoidanceRound1",2005
34,34,"Arjun Atwal",NA,2.29,7,306,"3PuttAvoidanceRound1",2005
35,35,"Chris Anderson",NA,2.31,10,432,"3PuttAvoidanceRound1",2005
36,36,"Phil Mickelson",NA,2.34,8,342,"3PuttAvoidanceRound1",2005
37,37,"Craig Perks",NA,2.35,11,468,"3PuttAvoidanceRound1",2005
38,38,"Hidemichi Tanaka",NA,2.36,14,594,"3PuttAvoidanceRound1",2005
39,39,"Padraig Harrington",NA,2.38,6,252,"3PuttAvoidanceRound1",2005
40,40,"Jeff Maggert",NA,2.42,10,414,"3PuttAvoidanceRound1",2005
41,41,"Luke Donald",NA,2.43,7,288,"3PuttAvoidanceRound1",2005
41,41,"Dan Forsman",NA,2.43,7,288,"3PuttAvoidanceRound1",2005
43,43,"Bob Estes",NA,2.44,11,450,"3PuttAvoidanceRound1",2005
43,43,"Geoff Ogilvy",NA,2.44,11,450,"3PuttAvoidanceRound1",2005
45,45,"Dean Wilson",NA,2.47,12,486,"3PuttAvoidanceRound1",2005
46,46,"Vijay Singh",NA,2.49,13,522,"3PuttAvoidanceRound1",2005
47,47,"Tiger Woods",NA,2.5,9,360,"3PuttAvoidanceRound1",2005
48,48,"Brian Bateman",NA,2.51,14,558,"3PuttAvoidanceRound1",2005
49,49,"Jeff Brehaut",NA,2.53,10,396,"3PuttAvoidanceRound1",2005
49,49,"Gavin Coles",NA,2.53,10,396,"3PuttAvoidanceRound1",2005
49,49,"Davis Love III",NA,2.53,10,396,"3PuttAvoidanceRound1",2005
49,49,"Corey Pavin",NA,2.53,10,396,"3PuttAvoidanceRound1",2005
53,53,"Steve Flesch",NA,2.58,13,504,"3PuttAvoidanceRound1",2005
54,54,"Patrick Sheehan",NA,2.61,16,612,"3PuttAvoidanceRound1",2005
54,54,"Kirk Triplett",NA,2.61,8,306,"3PuttAvoidanceRound1",2005
56,56,"Mark Hensby",NA,2.63,9,342,"3PuttAvoidanceRound1",2005
56,56,"Tjaart van der Walt",NA,2.63,9,342,"3PuttAvoidanceRound1",2005
58,58,"Mark OMeara",NA,2.65,10,378,"3PuttAvoidanceRound1",2005
59,59,"Marco Dawson",NA,2.66,11,414,"3PuttAvoidanceRound1",2005
60,60,"Lucas Glover",NA,2.67,13,486,"3PuttAvoidanceRound1",2005
60,60,"Rob Rashell",NA,2.67,12,450,"3PuttAvoidanceRound1",2005
60,60,"Jeff Sluman",NA,2.67,13,486,"3PuttAvoidanceRound1",2005
63,63,"Tommy Armour III",NA,2.68,14,522,"3PuttAvoidanceRound1",2005
63,63,"Joey Sindelar",NA,2.68,14,522,"3PuttAvoidanceRound1",2005
65,65,"Kent Jones",NA,2.69,15,558,"3PuttAvoidanceRound1",2005
65,65,"Hunter Mahan",NA,2.69,16,594,"3PuttAvoidanceRound1",2005
65,65,"Tom Pernice Jr",NA,2.69,15,558,"3PuttAvoidanceRound1",2005
65,65,"Tim Petrovic",NA,2.69,15,558,"3PuttAvoidanceRound1",2005
69,69,"Billy Andrade",NA,2.78,13,468,"3PuttAvoidanceRound1",2005
69,69,"Chad Campbell",NA,2.78,13,468,"3PuttAvoidanceRound1",2005
69,69,"John Elliott",NA,2.78,12,432,"3PuttAvoidanceRound1",2005
69,69,"Harrison Frazar",NA,2.78,15,540,"3PuttAvoidanceRound1",2005
69,69,"Billy Mayfair",NA,2.78,15,540,"3PuttAvoidanceRound1",2005
69,69,"Rod Pampling",NA,2.78,12,432,"3PuttAvoidanceRound1",2005
69,69,"Brett Quigley",NA,2.78,15,540,"3PuttAvoidanceRound1",2005
69,69,"Heath Slocum",NA,2.78,14,504,"3PuttAvoidanceRound1",2005
77,77,"Carl Pettersson",NA,2.86,17,594,"3PuttAvoidanceRound1",2005
78,78,"JJ Henry",NA,2.87,16,558,"3PuttAvoidanceRound1",2005
78,78,"Frank Lickliter II",NA,2.87,16,558,"3PuttAvoidanceRound1",2005
78,78,"Steve Lowery",NA,2.87,16,558,"3PuttAvoidanceRound1",2005
78,78,"Joe Ogilvie",NA,2.87,15,522,"3PuttAvoidanceRound1",2005
78,78,"John Rollins",NA,2.87,15,522,"3PuttAvoidanceRound1",2005
83,83,"Ryuji Imada",NA,2.89,13,450,"3PuttAvoidanceRound1",2005
84,84,"Scott McCarron",NA,2.9,12,414,"3PuttAvoidanceRound1",2005
84,84,"Dennis Paulson",NA,2.9,12,414,"3PuttAvoidanceRound1",2005
86,86,"Matt Kuchar",NA,2.91,11,378,"3PuttAvoidanceRound1",2005
86,86,"David Toms",NA,2.91,11,378,"3PuttAvoidanceRound1",2005
88,88,"Cameron Beckman",NA,2.96,16,540,"3PuttAvoidanceRound1",2005
88,88,"Jonathan Byrd",NA,2.96,16,540,"3PuttAvoidanceRound1",2005
88,88,"Jerry Kelly",NA,2.96,16,540,"3PuttAvoidanceRound1",2005
91,91,"Robert Gamez",NA,2.98,15,504,"3PuttAvoidanceRound1",2005
91,91,"Shigeki Maruyama",NA,2.98,15,504,"3PuttAvoidanceRound1",2005
