"StrokesGainedTotal_RANKTHISWEEK_2007","StrokesGainedTotal_RANKLASTWEEK_2007","StrokesGainedTotal_PLAYERNAME_2007","StrokesGainedTotal_ROUNDS_2007","StrokesGainedTotal_AVERAGE_2007","StrokesGainedTotal_TOTALSGT_2007","StrokesGainedTotal_TOTALSGT2G_2007","StrokesGainedTotal_TOTALSGP_2007","StrokesGainedTotal_MEASUREDROUNDS_2007","stat_name","year"
1,NA,"Tiger Woods",63,2.981,128.193,97.614,30.579,43,"StrokesGainedTotal",2007
2,NA,"Ernie Els",59,1.578,69.44,71.053,-1.613,44,"StrokesGainedTotal",2007
3,NA,"Phil Mickelson",73,1.554,79.243,70.647,8.596,51,"StrokesGainedTotal",2007
4,NA,"Steve Stricker",81,1.548,95.99,72.931,23.059,62,"StrokesGainedTotal",2007
5,NA,"KJ Choi",87,1.489,99.752,60.022,39.73,67,"StrokesGainedTotal",2007
6,NA,"Sergio Garcia",68,1.467,80.702,66.326,14.376,55,"StrokesGainedTotal",2007
7,NA,"Rory Sabbatini",81,1.322,81.969,43.002,38.967,62,"StrokesGainedTotal",2007
8,NA,"Arron Oberholser",69,1.273,66.212,43.617,22.595,52,"StrokesGainedTotal",2007
9,NA,"Vijay Singh",102,1.27,104.128,105.969,-1.841,82,"StrokesGainedTotal",2007
10,NA,"Jim Furyk",84,1.243,80.764,81.794,-1.03,65,"StrokesGainedTotal",2007
11,NA,"Adam Scott",69,1.234,66.645,59.803,6.842,54,"StrokesGainedTotal",2007
12,NA,"Tim Clark",66,1.132,57.725,16.981,40.744,51,"StrokesGainedTotal",2007
13,NA,"Sean OHair",98,1.113,91.292,75.82,15.472,82,"StrokesGainedTotal",2007
14,NA,"Aaron Baddeley",83,1.093,71.052,29.252,41.8,65,"StrokesGainedTotal",2007
15,NA,"Scott Verplank",82,1.051,60.939,73.749,-12.81,58,"StrokesGainedTotal",2007
16,NA,"Zach Johnson",76,0.995,59.68,20.343,39.337,60,"StrokesGainedTotal",2007
17,NA,"David Toms",80,0.988,61.225,44.639,16.586,62,"StrokesGainedTotal",2007
18,NA,"Padraig Harrington",64,0.965,43.406,31.352,12.054,45,"StrokesGainedTotal",2007
19,NA,"Freddie Jacobson",70,0.947,63.438,21.967,41.471,67,"StrokesGainedTotal",2007
20,NA,"Heath Slocum",101,0.903,82.144,64.42,17.724,91,"StrokesGainedTotal",2007
21,NA,"Camilo Villegas",82,0.892,61.573,59.089,2.484,69,"StrokesGainedTotal",2007
