"PGAChampionshipPoints_RANKTHISWEEK_2010","PGAChampionshipPoints_RANKLASTWEEK_2010","PGAChampionshipPoints_PLAYERNAME_2010","PGAChampionshipPoints_EVENTS_2010","PGAChampionshipPoints_POINTS_2010","stat_name","year"
1,1,"Matt Kuchar",7,2317312,"PGAChampionshipPoints",2010
2,2,"Dustin Johnson",6,2072558,"PGAChampionshipPoints",2010
3,3,"Charley Hoffman",6,1807613,"PGAChampionshipPoints",2010
4,4,"Jim Furyk",5,1786850,"PGAChampionshipPoints",2010
5,5,"Hunter Mahan",7,1717005,"PGAChampionshipPoints",2010
6,6,"Ryan Palmer",8,1623184,"PGAChampionshipPoints",2010
7,7,"Luke Donald",6,1569464,"PGAChampionshipPoints",2010
8,8,"Paul Casey",6,1566050,"PGAChampionshipPoints",2010
9,9,"Martin Laird",8,1517343,"PGAChampionshipPoints",2010
10,10,"Martin Kaymer",2,1422000,"PGAChampionshipPoints",2010
11,11,"Retief Goosen",6,1330500,"PGAChampionshipPoints",2010
12,12,"Bill Haas",8,1319816,"PGAChampionshipPoints",2010
13,13,"Bo Van Pelt",8,1240950,"PGAChampionshipPoints",2010
14,14,"Jason Day",6,1235488,"PGAChampionshipPoints",2010
15,15,"Steve Stricker",6,1208067,"PGAChampionshipPoints",2010
16,16,"Arjun Atwal",4,1156653,"PGAChampionshipPoints",2010
17,17,"Bubba Watson",6,1126238,"PGAChampionshipPoints",2010
18,18,"Jonathan Byrd",7,1076770,"PGAChampionshipPoints",2010
19,19,"Heath Slocum",8,1074393,"PGAChampionshipPoints",2010
20,20,"Zach Johnson",7,1030625,"PGAChampionshipPoints",2010
21,21,"David Toms",8,1014813,"PGAChampionshipPoints",2010
22,22,"Rocco Mediate",6,973440,"PGAChampionshipPoints",2010
23,23,"Robert Garrigus",8,907037,"PGAChampionshipPoints",2010
24,24,"Geoff Ogilvy",6,871250,"PGAChampionshipPoints",2010
25,25,"Adam Scott",6,868767,"PGAChampionshipPoints",2010
