"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2007","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2007","TenthTeeEarlyScoringAverage_PLAYERNAME_2007","TenthTeeEarlyScoringAverage_ROUNDS_2007","TenthTeeEarlyScoringAverage_AVG_2007","TenthTeeEarlyScoringAverage_TOTALSTROKES_2007","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2007","stat_name","year"
1,1,"Tiger Woods",63,68,680,10,"TenthTeeEarlyScoringAverage",2007
2,2,"Tim Clark",66,68.22,614,9,"TenthTeeEarlyScoringAverage",2007
3,3,"Jim Furyk",84,69.13,1037,15,"TenthTeeEarlyScoringAverage",2007
4,4,"Freddie Jacobson",70,69.36,971,14,"TenthTeeEarlyScoringAverage",2007
5,5,"Cliff Kresge",107,69.45,1389,20,"TenthTeeEarlyScoringAverage",2007
6,6,"Stephen Ames",81,69.46,903,13,"TenthTeeEarlyScoringAverage",2007
7,7,"Steve Lowery",74,69.5,695,10,"TenthTeeEarlyScoringAverage",2007
8,8,"Steve Stricker",81,69.6,696,10,"TenthTeeEarlyScoringAverage",2007
9,9,"Brandt Snedeker",105,69.65,1184,17,"TenthTeeEarlyScoringAverage",2007
10,10,"Phil Mickelson",73,69.67,1254,18,"TenthTeeEarlyScoringAverage",2007
11,11,"Aaron Baddeley",83,69.75,558,8,"TenthTeeEarlyScoringAverage",2007
12,12,"KJ Choi",87,69.8,698,10,"TenthTeeEarlyScoringAverage",2007
13,13,"Chris Stroud",66,69.83,838,12,"TenthTeeEarlyScoringAverage",2007
14,14,"Tim Herron",98,69.86,978,14,"TenthTeeEarlyScoringAverage",2007
15,15,"Mathew Goggin",97,69.95,1399,20,"TenthTeeEarlyScoringAverage",2007
16,16,"Jose Coceres",50,70,700,10,"TenthTeeEarlyScoringAverage",2007
16,16,"Arron Oberholser",69,70,420,6,"TenthTeeEarlyScoringAverage",2007
16,16,"Heath Slocum",101,70,910,13,"TenthTeeEarlyScoringAverage",2007
19,19,"Vijay Singh",102,70.05,1331,19,"TenthTeeEarlyScoringAverage",2007
20,20,"Carl Pettersson",111,70.06,1261,18,"TenthTeeEarlyScoringAverage",2007
21,21,"Marco Dawson",73,70.07,981,14,"TenthTeeEarlyScoringAverage",2007
21,21,"Peter Lonard",85,70.07,981,14,"TenthTeeEarlyScoringAverage",2007
23,23,"Adam Scott",69,70.08,911,13,"TenthTeeEarlyScoringAverage",2007
24,24,"Mathias Gronberg",95,70.11,1262,18,"TenthTeeEarlyScoringAverage",2007
24,24,"Ryan Moore",92,70.11,1262,18,"TenthTeeEarlyScoringAverage",2007
24,24,"Bo Van Pelt",104,70.11,1332,19,"TenthTeeEarlyScoringAverage",2007
27,27,"Bob Tway",103,70.12,1823,26,"TenthTeeEarlyScoringAverage",2007
28,28,"Luke Donald",69,70.13,561,8,"TenthTeeEarlyScoringAverage",2007
29,29,"Brian Davis",101,70.17,1263,18,"TenthTeeEarlyScoringAverage",2007
30,30,"Charles Warren",101,70.18,1544,22,"TenthTeeEarlyScoringAverage",2007
31,31,"Michael Sim",52,70.22,632,9,"TenthTeeEarlyScoringAverage",2007
32,32,"Jonathan Byrd",73,70.23,913,13,"TenthTeeEarlyScoringAverage",2007
33,33,"Daniel Chopra",106,70.25,1405,20,"TenthTeeEarlyScoringAverage",2007
34,34,"Padraig Harrington",64,70.29,984,14,"TenthTeeEarlyScoringAverage",2007
35,35,"Craig Lile",77,70.3,1406,20,"TenthTeeEarlyScoringAverage",2007
36,36,"Michael Putnam",96,70.31,1125,16,"TenthTeeEarlyScoringAverage",2007
37,37,"Briny Baird",115,70.36,1548,22,"TenthTeeEarlyScoringAverage",2007
38,38,"Ryan Armour",107,70.38,1478,21,"TenthTeeEarlyScoringAverage",2007
39,39,"Sergio Garcia",68,70.4,704,10,"TenthTeeEarlyScoringAverage",2007
40,40,"Kevin Sutherland",85,70.41,1549,22,"TenthTeeEarlyScoringAverage",2007
40,40,"Dean Wilson",92,70.41,1549,22,"TenthTeeEarlyScoringAverage",2007
42,42,"George McNeill",95,70.43,1479,21,"TenthTeeEarlyScoringAverage",2007
42,42,"Jeff Overton",60,70.43,493,7,"TenthTeeEarlyScoringAverage",2007
44,44,"Robert Garrigus",95,70.44,1127,16,"TenthTeeEarlyScoringAverage",2007
45,45,"Robert Allenby",90,70.46,916,13,"TenthTeeEarlyScoringAverage",2007
45,45,"DJ Brigman",67,70.46,916,13,"TenthTeeEarlyScoringAverage",2007
47,47,"Joe Ogilvie",102,70.48,1480,21,"TenthTeeEarlyScoringAverage",2007
48,48,"Craig Kanada",109,70.5,1269,18,"TenthTeeEarlyScoringAverage",2007
49,49,"Daisuke Maruyama",86,70.53,1199,17,"TenthTeeEarlyScoringAverage",2007
50,50,"Billy Mayfair",98,70.57,988,14,"TenthTeeEarlyScoringAverage",2007
51,51,"Charlie Wi",90,70.58,1341,19,"TenthTeeEarlyScoringAverage",2007
52,52,"Nathan Green",103,70.59,1200,17,"TenthTeeEarlyScoringAverage",2007
53,53,"John Senden",97,70.6,1412,20,"TenthTeeEarlyScoringAverage",2007
54,54,"Jeff Gove",103,70.61,1271,18,"TenthTeeEarlyScoringAverage",2007
54,54,"Bill Haas",93,70.61,1271,18,"TenthTeeEarlyScoringAverage",2007
56,56,"John Merrick",92,70.62,1483,21,"TenthTeeEarlyScoringAverage",2007
57,57,"Matt Kuchar",85,70.63,1130,16,"TenthTeeEarlyScoringAverage",2007
58,58,"Joey Sindelar",75,70.64,989,14,"TenthTeeEarlyScoringAverage",2007
59,59,"Brian Gay",107,70.65,1625,23,"TenthTeeEarlyScoringAverage",2007
60,60,"Ryan Palmer",91,70.66,2049,29,"TenthTeeEarlyScoringAverage",2007
61,61,"Robert Gamez",88,70.67,1272,18,"TenthTeeEarlyScoringAverage",2007
61,61,"Jose Maria Olazabal",52,70.67,636,9,"TenthTeeEarlyScoringAverage",2007
63,63,"Cameron Beckman",96,70.68,1343,19,"TenthTeeEarlyScoringAverage",2007
64,64,"Chris Riley",59,70.71,990,14,"TenthTeeEarlyScoringAverage",2007
64,64,"Bubba Watson",80,70.71,990,14,"TenthTeeEarlyScoringAverage",2007
66,66,"Bob Estes",88,70.73,1061,15,"TenthTeeEarlyScoringAverage",2007
66,66,"Jay Williamson",50,70.73,778,11,"TenthTeeEarlyScoringAverage",2007
