"DrivingDistance_RANKTHISWEEK_2011","DrivingDistance_RANKLASTWEEK_2011","DrivingDistance_PLAYERNAME_2011","DrivingDistance_ROUNDS_2011","DrivingDistance_AVG_2011","DrivingDistance_TOTALDISTANCE_2011","DrivingDistance_TOTALDRIVES_2011","stat_name","year"
1,1,"JB Holmes",57,318.4,33751,106,"DrivingDistance",2011
2,2,"Bubba Watson",85,314.9,49747,158,"DrivingDistance",2011
3,3,"Dustin Johnson",72,314.2,44616,142,"DrivingDistance",2011
4,4,"Robert Garrigus",83,313.4,52026,166,"DrivingDistance",2011
5,5,"Gary Woodland",93,310.5,57745,186,"DrivingDistance",2011
6,6,"Steven Bowditch",86,308.3,50569,164,"DrivingDistance",2011
7,7,"Scott Piercy",78,305.4,45204,148,"DrivingDistance",2011
8,8,"Jhonattan Vegas",84,304.9,48778,160,"DrivingDistance",2011
9,9,"Kyle Stanley",98,304.6,54825,180,"DrivingDistance",2011
10,10,"Will Strickler",51,304.1,28584,94,"DrivingDistance",2011
11,11,"Scott Stallings",84,303.7,47374,156,"DrivingDistance",2011
12,12,"Tag Ridings",87,303.3,49131,162,"DrivingDistance",2011
13,13,"Martin Laird",77,303,46051,152,"DrivingDistance",2011
14,14,"Jason Day",76,302.6,44179,146,"DrivingDistance",2011
15,15,"Josh Teater",104,302.3,59244,196,"DrivingDistance",2011
16,16,"Nick Watney",80,301.9,46500,154,"DrivingDistance",2011
17,17,"Harrison Frazar",58,301.8,35006,116,"DrivingDistance",2011
18,18,"Jim Herman",69,301.7,36806,122,"DrivingDistance",2011
19,19,"Angel Cabrera",50,301.6,27747,92,"DrivingDistance",2011
20,20,"Keegan Bradley",91,300.7,52319,174,"DrivingDistance",2011
21,21,"Troy Matteson",91,300.2,52230,174,"DrivingDistance",2011
22,22,"Charley Hoffman",93,299.8,55162,184,"DrivingDistance",2011
22,22,"Phil Mickelson",79,299.8,46162,154,"DrivingDistance",2011
24,24,"Adam Scott",60,299.7,35367,118,"DrivingDistance",2011
25,25,"Rickie Fowler",84,299.5,48520,162,"DrivingDistance",2011
25,25,"Zack Miller",86,299.5,49116,164,"DrivingDistance",2011
25,25,"Ryan Palmer",82,299.5,47915,160,"DrivingDistance",2011
28,28,"Sergio Garcia",61,299.2,36507,122,"DrivingDistance",2011
28,28,"Robert Karlsson",61,299.2,35309,118,"DrivingDistance",2011
30,30,"Jimmy Walker",79,298.8,47213,158,"DrivingDistance",2011
31,31,"Alex Prugh",82,298.6,46581,156,"DrivingDistance",2011
31,31,"DJ Trahan",91,298.6,54349,182,"DrivingDistance",2011
33,33,"James Driscoll",71,298.5,38802,130,"DrivingDistance",2011
33,33,"Brandt Jobe",100,298.5,57311,192,"DrivingDistance",2011
33,33,"Davis Love III",70,298.5,41783,140,"DrivingDistance",2011
36,36,"Scott Gutschewski",67,298,35169,118,"DrivingDistance",2011
37,37,"Derek Lamely",65,297.9,37538,126,"DrivingDistance",2011
38,38,"Bobby Gates",82,297.4,44013,148,"DrivingDistance",2011
38,38,"Bo Van Pelt",92,297.4,53533,180,"DrivingDistance",2011
40,40,"Charles Howell III",108,297.3,61846,208,"DrivingDistance",2011
41,41,"John Merrick",71,297.2,37450,126,"DrivingDistance",2011
41,41,"Michael Putnam",67,297.2,37445,126,"DrivingDistance",2011
43,43,"Charl Schwartzel",58,297,33269,112,"DrivingDistance",2011
44,44,"Chris Couch",73,296.8,43334,146,"DrivingDistance",2011
44,44,"Jim Renner",65,296.8,33836,114,"DrivingDistance",2011
46,46,"Tommy Gainey",104,296.7,59331,200,"DrivingDistance",2011
46,46,"John Rollins",85,296.7,49251,166,"DrivingDistance",2011
48,48,"Bill Haas",93,296.6,54570,184,"DrivingDistance",2011
48,48,"Boo Weekley",66,296.6,36775,124,"DrivingDistance",2011
50,50,"David Duval",67,296.3,39698,134,"DrivingDistance",2011
51,51,"Aaron Baddeley",77,296.2,44430,150,"DrivingDistance",2011
51,51,"Webb Simpson",98,296.2,58064,196,"DrivingDistance",2011
53,53,"Bio Kim",71,296.1,38497,130,"DrivingDistance",2011
54,54,"Marc Leishman",87,296,51496,174,"DrivingDistance",2011
55,55,"Kevin Chappell",78,295.8,42597,144,"DrivingDistance",2011
56,56,"Chris Kirk",87,295.7,51446,174,"DrivingDistance",2011
57,57,"Joseph Bramlett",73,295.6,38434,130,"DrivingDistance",2011
58,58,"Jeff Overton",92,295.3,53750,182,"DrivingDistance",2011
59,59,"Steve Marino",76,295.2,44873,152,"DrivingDistance",2011
60,60,"George McNeill",69,295,35991,122,"DrivingDistance",2011
61,61,"Padraig Harrington",60,294.7,34778,118,"DrivingDistance",2011
61,61,"Andres Romero",77,294.7,44200,150,"DrivingDistance",2011
63,63,"Lucas Glover",74,294.6,43595,148,"DrivingDistance",2011
63,63,"Sean OHair",71,294.6,41241,140,"DrivingDistance",2011
65,65,"Camilo Villegas",69,294.4,40041,136,"DrivingDistance",2011
66,66,"Vijay Singh",79,294.3,46492,158,"DrivingDistance",2011
66,66,"Cameron Tringale",110,294.3,62400,212,"DrivingDistance",2011
68,68,"Sung Kang",63,294.2,34712,118,"DrivingDistance",2011
68,68,"Anthony Kim",72,294.2,41774,142,"DrivingDistance",2011
70,70,"Matt Jones",71,293.9,41730,142,"DrivingDistance",2011
71,71,"Chez Reavie",92,293.5,53998,184,"DrivingDistance",2011
72,72,"Ricky Barnes",78,293.3,45750,156,"DrivingDistance",2011
72,72,"John Senden",94,293.3,55144,188,"DrivingDistance",2011
74,74,"Kevin Stadler",88,293.2,46910,160,"DrivingDistance",2011
75,75,"Andres Gonzales",60,293.1,30486,104,"DrivingDistance",2011
75,75,"Roland Thatcher",67,293.1,39272,134,"DrivingDistance",2011
77,77,"Brendan Steele",89,292.8,50943,174,"DrivingDistance",2011
78,78,"Rory Sabbatini",85,292.5,47377,162,"DrivingDistance",2011
79,79,"Martin Piller",63,292.2,34482,118,"DrivingDistance",2011
80,80,"Blake Adams",116,292.1,65435,224,"DrivingDistance",2011
81,81,"Stewart Cink",72,291.8,38521,132,"DrivingDistance",2011
81,81,"Tim Herron",85,291.8,47269,162,"DrivingDistance",2011
81,81,"Carl Pettersson",95,291.8,54271,186,"DrivingDistance",2011
84,84,"Jonathan Byrd",83,291.6,47827,164,"DrivingDistance",2011
84,84,"Hunter Mahan",92,291.6,51896,178,"DrivingDistance",2011
84,84,"Scott McCarron",65,291.6,35574,122,"DrivingDistance",2011
84,84,"Joe Ogilvie",75,291.6,39076,134,"DrivingDistance",2011
84,84,"Rod Pampling",72,291.6,37331,128,"DrivingDistance",2011
89,89,"Bill Lunde",92,291.5,51298,176,"DrivingDistance",2011
90,90,"Pat Perez",76,291.4,44289,152,"DrivingDistance",2011
91,91,"Chris Stroud",88,291.2,48916,168,"DrivingDistance",2011
92,92,"Chad Campbell",99,291.1,56476,194,"DrivingDistance",2011
92,92,"JJ Henry",96,291.1,53561,184,"DrivingDistance",2011
94,94,"Billy Horschel",75,291,40162,138,"DrivingDistance",2011
94,94,"Michael Thompson",79,291,42486,146,"DrivingDistance",2011
96,96,"David Hearn",88,290.9,46551,160,"DrivingDistance",2011
96,96,"Alexandre Rocha",65,290.9,33157,114,"DrivingDistance",2011
98,98,"Michael Bradley",74,290.7,40703,140,"DrivingDistance",2011
99,99,"Justin Rose",79,290.6,44759,154,"DrivingDistance",2011
100,100,"Robert Allenby",84,290.2,48165,166,"DrivingDistance",2011
100,100,"DJ Brigman",67,290.2,34244,118,"DrivingDistance",2011
100,100,"YE Yang",63,290.2,34239,118,"DrivingDistance",2011
