"Last15EventsAccuracy_RANKTHISWEEK_2011","Last15EventsAccuracy_RANKLASTWEEK_2011","Last15EventsAccuracy_PLAYERNAME_2011","Last15EventsAccuracy_EVENTS_2011","Last15EventsAccuracy_RATING_2011","stat_name","year"
1,1,"Justin Hicks",1,8.4,"Last15EventsAccuracy",2011
2,2,"Tim Clark",3,8.3,"Last15EventsAccuracy",2011
3,3,"Jose Maria Olazabal",1,8.2,"Last15EventsAccuracy",2011
4,4,"Jim Furyk",6,8,"Last15EventsAccuracy",2011
4,4,"Len Mattiace",1,8,"Last15EventsAccuracy",2011
6,6,"Kris Blanks",10,7.9,"Last15EventsAccuracy",2011
6,6,"Jason Dufner",5,7.9,"Last15EventsAccuracy",2011
6,6,"Joe Durant",7,7.9,"Last15EventsAccuracy",2011
6,6,"Lucas Glover",6,7.9,"Last15EventsAccuracy",2011
6,6,"Paul Goydos",8,7.9,"Last15EventsAccuracy",2011
6,6,"Zach Johnson",7,7.9,"Last15EventsAccuracy",2011
12,12,"Mark Calcavecchia",3,7.8,"Last15EventsAccuracy",2011
12,12,"Kenny Perry",5,7.8,"Last15EventsAccuracy",2011
14,14,"Chad Campbell",9,7.7,"Last15EventsAccuracy",2011
14,14,"Jason Gore",2,7.7,"Last15EventsAccuracy",2011
14,14,"Todd Hamilton",3,7.7,"Last15EventsAccuracy",2011
14,14,"Rory McIlroy",4,7.7,"Last15EventsAccuracy",2011
14,14,"Chez Reavie",9,7.7,"Last15EventsAccuracy",2011
14,14,"Lee Westwood",5,7.7,"Last15EventsAccuracy",2011
20,20,"Guy Boros",2,7.6,"Last15EventsAccuracy",2011
20,20,"Will Claxton",1,7.6,"Last15EventsAccuracy",2011
20,20,"Robert Gamez",3,7.6,"Last15EventsAccuracy",2011
20,20,"Anders Hansen",2,7.6,"Last15EventsAccuracy",2011
20,20,"Trevor Immelman",6,7.6,"Last15EventsAccuracy",2011
20,20,"Francesco Molinari",4,7.6,"Last15EventsAccuracy",2011
20,20,"Heath Slocum",10,7.6,"Last15EventsAccuracy",2011
20,20,"Kevin Stadler",8,7.6,"Last15EventsAccuracy",2011
20,20,"Omar Uresti",4,7.6,"Last15EventsAccuracy",2011
29,29,"KJ Choi",8,7.5,"Last15EventsAccuracy",2011
29,29,"Luke Donald",10,7.5,"Last15EventsAccuracy",2011
29,29,"Sung Kang",6,7.5,"Last15EventsAccuracy",2011
29,29,"Davis Love III",6,7.5,"Last15EventsAccuracy",2011
29,29,"Bryce Molder",9,7.5,"Last15EventsAccuracy",2011
29,29,"Alex Prugh",4,7.5,"Last15EventsAccuracy",2011
29,29,"John Rollins",8,7.5,"Last15EventsAccuracy",2011
29,29,"David Toms",7,7.5,"Last15EventsAccuracy",2011
37,37,"Robert Allenby",8,7.4,"Last15EventsAccuracy",2011
37,37,"Notah Begay III",1,7.4,"Last15EventsAccuracy",2011
37,37,"Paul Casey",5,7.4,"Last15EventsAccuracy",2011
37,37,"Bud Cauley",6,7.4,"Last15EventsAccuracy",2011
37,37,"Alex Cejka",6,7.4,"Last15EventsAccuracy",2011
37,37,"Brian Gay",7,7.4,"Last15EventsAccuracy",2011
37,37,"Dustin Johnson",8,7.4,"Last15EventsAccuracy",2011
37,37,"Jerry Kelly",8,7.4,"Last15EventsAccuracy",2011
37,37,"David Mathis",9,7.4,"Last15EventsAccuracy",2011
37,37,"Matt McQuillan",6,7.4,"Last15EventsAccuracy",2011
37,37,"Nick OHern",8,7.4,"Last15EventsAccuracy",2011
37,37,"Webb Simpson",9,7.4,"Last15EventsAccuracy",2011
37,37,"Charles Warren",4,7.4,"Last15EventsAccuracy",2011
50,50,"Michael Allen",3,7.3,"Last15EventsAccuracy",2011
50,50,"Briny Baird",10,7.3,"Last15EventsAccuracy",2011
50,50,"Robert Damron",2,7.3,"Last15EventsAccuracy",2011
