"ProximitytoHolefrom_RANKTHISWEEK_2010","ProximitytoHolefrom_RANKLASTWEEK_2010","ProximitytoHolefrom_PLAYERNAME_2010","ProximitytoHolefrom_ROUNDS_2010","ProximitytoHolefrom_AVGDTP_2010","ProximitytoHolefrom_TOTALDISTANCEFEET_2010","ProximitytoHolefrom_OFSHOTS_2010","ProximitytoHolefrom_SCRAMBLINGRANK_2010","stat_name","year"
1,1,"Jerry Kelly",99,NA,299.417,125,100,"ProximitytoHolefrom",2010
1,1,"Steve Stricker",73,NA,173.333,71,14,"ProximitytoHolefrom",2010
3,3,"Jonathan Byrd",85,NA,288.5,112,34,"ProximitytoHolefrom",2010
3,3,"Tom Pernice Jr",74,NA,223.417,86,63,"ProximitytoHolefrom",2010
5,5,"JP Hayes",79,NA,232.333,86,141,"ProximitytoHolefrom",2010
5,5,"Shaun Micheel",70,NA,221.25,83,40,"ProximitytoHolefrom",2010
5,5,"Chris Riley",73,NA,208.833,78,6,"ProximitytoHolefrom",2010
8,8,"Brian Gay",101,NA,357.583,127,2,"ProximitytoHolefrom",2010
8,8,"Skip Kendall",58,NA,198.333,69,106,"ProximitytoHolefrom",2010
8,8,"Adam Scott",70,NA,203.833,73,171,"ProximitytoHolefrom",2010
8,8,"Mike Weir",59,NA,216.5,76,82,"ProximitytoHolefrom",2010
12,12,"Stephen Ames",75,NA,296.917,102,61,"ProximitytoHolefrom",2010
12,12,"Chad Collins",87,NA,354.25,122,9,"ProximitytoHolefrom",2010
12,12,"David Duval",71,NA,230.667,78,181,"ProximitytoHolefrom",2010
12,12,"Retief Goosen",75,NA,250.333,87,12,"ProximitytoHolefrom",2010
12,12,"Billy Mayfair",78,NA,248.167,84,147,"ProximitytoHolefrom",2010
17,17,"Woody Austin",93,NA,338.25,114,87,"ProximitytoHolefrom",2010
17,17,"Ricky Barnes",103,NA,342.25,113,64,"ProximitytoHolefrom",2010
17,17,"Jim Furyk",76,NA,298.583,99,16,"ProximitytoHolefrom",2010
17,17,"Derek Lamely",81,NA,257.667,86,119,"ProximitytoHolefrom",2010
17,17,"Justin Leonard",89,NA,234.083,78,114,"ProximitytoHolefrom",2010
17,17,"John Mallinger",78,NA,303,100,84,"ProximitytoHolefrom",2010
17,17,"Ted Purdy",86,NA,381.75,128,180,"ProximitytoHolefrom",2010
24,24,"Rich Barcelo",70,NA,247.75,81,168,"ProximitytoHolefrom",2010
24,24,"Michael Connell",89,NA,336,108,75,"ProximitytoHolefrom",2010
24,24,"Luke Donald",71,NA,252.917,83,4,"ProximitytoHolefrom",2010
24,24,"JB Holmes",100,NA,436,140,22,"ProximitytoHolefrom",2010
24,24,"Richard Johnson",90,NA,303.667,99,71,"ProximitytoHolefrom",2010
24,24,"Will Ma Kenzie",72,NA,346.667,111,73,"ProximitytoHolefrom",2010
24,24,"Pat Perez",90,NA,366.167,119,26,"ProximitytoHolefrom",2010
24,24,"John Rollins",81,NA,310.667,101,74,"ProximitytoHolefrom",2010
24,24,"Bo Van Pelt",104,NA,382,125,25,"ProximitytoHolefrom",2010
33,33,"Briny Baird",87,NA,308.167,97,37,"ProximitytoHolefrom",2010
33,33,"Chad Campbell",95,NA,398.167,126,72,"ProximitytoHolefrom",2010
33,33,"Steve Elkington",74,NA,243.333,77,11,"ProximitytoHolefrom",2010
33,33,"Matt Every",60,NA,300.333,94,105,"ProximitytoHolefrom",2010
33,33,"Mathias Gronberg",61,NA,231.5,73,90,"ProximitytoHolefrom",2010
33,33,"Marc Leishman",87,NA,388.167,122,123,"ProximitytoHolefrom",2010
33,33,"Brenden Pappas",66,NA,245,77,143,"ProximitytoHolefrom",2010
33,33,"Scott Piercy",88,NA,377.417,120,159,"ProximitytoHolefrom",2010
33,33,"Webb Simpson",98,NA,470.167,147,69,"ProximitytoHolefrom",2010
33,33,"Vijay Singh",75,NA,282.25,90,129,"ProximitytoHolefrom",2010
43,43,"Aaron Baddeley",94,NA,385.75,119,117,"ProximitytoHolefrom",2010
43,43,"Jason Bohn",84,NA,369.417,113,108,"ProximitytoHolefrom",2010
43,43,"Ben Crane",85,NA,339.583,104,77,"ProximitytoHolefrom",2010
43,43,"Tom Gillis",97,NA,523.25,162,54,"ProximitytoHolefrom",2010
43,43,"Bill Haas",87,NA,353.5,108,98,"ProximitytoHolefrom",2010
43,43,"Ryuji Imada",90,NA,436.5,135,18,"ProximitytoHolefrom",2010
43,43,"Matt Jones",89,NA,316.583,97,48,"ProximitytoHolefrom",2010
43,43,"Phil Mickelson",76,NA,298.75,92,31,"ProximitytoHolefrom",2010
43,43,"Garrett Willis",82,NA,304.25,93,152,"ProximitytoHolefrom",2010
52,52,"Stuart Appleby",101,NA,418.25,124,81,"ProximitytoHolefrom",2010
52,52,"Angel Cabrera",64,NA,281.083,84,153,"ProximitytoHolefrom",2010
52,52,"Graham DeLaet",88,NA,409.75,122,36,"ProximitytoHolefrom",2010
52,52,"Chris DiMarco",88,NA,362.333,110,29,"ProximitytoHolefrom",2010
52,52,"Ernie Els",72,NA,295.25,89,41,"ProximitytoHolefrom",2010
52,52,"Freddie Jacobson",83,NA,358.417,108,17,"ProximitytoHolefrom",2010
52,52,"Spencer Levin",110,NA,511.417,155,79,"ProximitytoHolefrom",2010
52,52,"George McNeill",79,NA,326.417,97,149,"ProximitytoHolefrom",2010
52,52,"Bryce Molder",84,NA,388.083,117,24,"ProximitytoHolefrom",2010
52,52,"Ryan Moore",80,NA,367.333,110,47,"ProximitytoHolefrom",2010
52,52,"Greg Owen",69,NA,316.75,94,179,"ProximitytoHolefrom",2010
52,52,"Alex Prugh",88,NA,395.5,120,151,"ProximitytoHolefrom",2010
52,52,"Michael Sim",64,NA,253,75,35,"ProximitytoHolefrom",2010
52,52,"Kevin Sutherland",86,NA,280.083,84,23,"ProximitytoHolefrom",2010
52,52,"Roger Tambellini",77,NA,224.25,67,166,"ProximitytoHolefrom",2010
52,52,"Steve Wheatcroft",74,NA,258.5,77,183,"ProximitytoHolefrom",2010
52,52,"Charlie Wi",95,NA,408.583,124,3,"ProximitytoHolefrom",2010
52,52,"Mark Wilson",87,NA,283.833,86,27,"ProximitytoHolefrom",2010
70,70,"Blake Adams",84,NA,358.75,105,112,"ProximitytoHolefrom",2010
