"AverageDistanceofEagleputtsmade_RANKTHISWEEK_2010","AverageDistanceofEagleputtsmade_RANKLASTWEEK_2010","AverageDistanceofEagleputtsmade_PLAYERNAME_2010","AverageDistanceofEagleputtsmade_ROUNDS_2010","AverageDistanceofEagleputtsmade_AVG_2010","AverageDistanceofEagleputtsmade_TOTDISTFT_2010","AverageDistanceofEagleputtsmade_TOTEAGLESPUTTSMADE_2010","AverageDistanceofEagleputtsmade_LONGESTMADEFT_2010","AverageDistanceofEagleputtsmade_SHORTESTMADEFT_2010","stat_name","year"
1,1,"Tim Clark",88,NA,79,1,79,79,"AverageDistanceofEagleputtsmade",2010
2,2,"Greg Kraft",52,NA,46.667,1,47,47,"AverageDistanceofEagleputtsmade",2010
3,3,"Blake Adams",84,NA,83.25,2,51,32,"AverageDistanceofEagleputtsmade",2010
4,4,"Mark Wilson",87,NA,76.417,2,46,31,"AverageDistanceofEagleputtsmade",2010
5,5,"Stephen Ames",75,NA,111.583,3,80,8,"AverageDistanceofEagleputtsmade",2010
6,6,"John Rollins",81,NA,110,3,55,18,"AverageDistanceofEagleputtsmade",2010
7,7,"JP Hayes",79,NA,109.417,3,55,18,"AverageDistanceofEagleputtsmade",2010
8,8,"Jeff Gove",57,NA,35.417,1,35,35,"AverageDistanceofEagleputtsmade",2010
9,9,"Cameron Percy",73,NA,70.333,2,54,16,"AverageDistanceofEagleputtsmade",2010
10,10,"Martin Flores",75,NA,103.833,3,51,6,"AverageDistanceofEagleputtsmade",2010
11,11,"Chad Collins",87,NA,34.083,1,34,34,"AverageDistanceofEagleputtsmade",2010
12,12,"Ian Poulter",55,NA,66.417,2,54,12,"AverageDistanceofEagleputtsmade",2010
13,13,"Brian Gay",101,NA,33.167,1,33,33,"AverageDistanceofEagleputtsmade",2010
14,14,"Ben Crane",85,NA,65.667,2,49,17,"AverageDistanceofEagleputtsmade",2010
15,15,"Chris Stroud",90,NA,31,1,31,31,"AverageDistanceofEagleputtsmade",2010
16,16,"Brett Quigley",96,NA,123.417,4,56,8,"AverageDistanceofEagleputtsmade",2010
17,17,"Kris Blanks",91,NA,30.333,1,30,30,"AverageDistanceofEagleputtsmade",2010
18,18,"Jim Furyk",76,NA,59.583,2,34,26,"AverageDistanceofEagleputtsmade",2010
18,18,"Geoff Ogilvy",62,NA,29.833,1,30,30,"AverageDistanceofEagleputtsmade",2010
20,20,"Jerod Turner",54,NA,57.75,2,49,9,"AverageDistanceofEagleputtsmade",2010
21,21,"Mathew Goggin",85,NA,141.417,5,66,6,"AverageDistanceofEagleputtsmade",2010
22,22,"Chad Campbell",95,NA,55.833,2,29,27,"AverageDistanceofEagleputtsmade",2010
23,23,"Jason Day",82,NA,81.833,3,36,21,"AverageDistanceofEagleputtsmade",2010
23,23,"Richard Johnson",90,NA,163.25,6,61,2,"AverageDistanceofEagleputtsmade",2010
25,25,"Jeff Quinney",91,NA,81.25,3,54,8,"AverageDistanceofEagleputtsmade",2010
26,26,"Brenden Pappas",66,NA,26.917,1,27,27,"AverageDistanceofEagleputtsmade",2010
26,26,"Scott Verplank",74,NA,53.833,2,50,4,"AverageDistanceofEagleputtsmade",2010
