"GIRPercentageLess75yards_RANKTHISWEEK_2015","GIRPercentageLess75yards_RANKLASTWEEK_2015","GIRPercentageLess75yards_PLAYERNAME_2015","GIRPercentageLess75yards_ROUNDS_2015","GIRPercentageLess75yards_Pct_2015","GIRPercentageLess75yards_GREENSHIT_2015","GIRPercentageLess75yards_TOTALHOLES_2015","GIRPercentageLess75yards_RELATIVETOPAR_2015","stat_name","year"
1,1,"Scott Langley",94,94.12,128,136,-0.67,"GIRPercentageLess75yards",2015
2,2,"Geoff Ogilvy",50,93.58,102,109,-0.52,"GIRPercentageLess75yards",2015
3,3,"Ryan Moore",81,93.44,114,122,-0.69,"GIRPercentageLess75yards",2015
4,4,"Matt Kuchar",97,93.1,189,203,-0.65,"GIRPercentageLess75yards",2015
5,5,"Keegan Bradley",87,93.06,161,173,-0.67,"GIRPercentageLess75yards",2015
6,6,"Brian Stuard",97,93.04,107,115,-0.56,"GIRPercentageLess75yards",2015
7,7,"DA Points",72,93,93,100,-0.61,"GIRPercentageLess75yards",2015
8,8,"Chris Kirk",76,92.74,115,124,-0.62,"GIRPercentageLess75yards",2015
9,9,"Chad Collins",79,92.52,99,107,-0.59,"GIRPercentageLess75yards",2015
10,10,"John Huh",102,92.11,175,190,-0.54,"GIRPercentageLess75yards",2015
11,11,"Lucas Glover",79,92.05,139,151,-0.64,"GIRPercentageLess75yards",2015
12,12,"Jim Herman",88,92,138,150,-0.64,"GIRPercentageLess75yards",2015
13,13,"Stewart Cink",77,91.59,98,107,-0.62,"GIRPercentageLess75yards",2015
14,14,"Ken Duke",93,91.43,128,140,-0.54,"GIRPercentageLess75yards",2015
14,14,"Kevin Na",98,91.43,128,140,-0.63,"GIRPercentageLess75yards",2015
16,16,"John Merrick",78,91.34,116,127,-0.51,"GIRPercentageLess75yards",2015
17,17,"Eric Axley",57,91.25,73,80,-0.59,"GIRPercentageLess75yards",2015
18,18,"Kevin Streelman",95,91.24,177,194,-0.56,"GIRPercentageLess75yards",2015
19,19,"Alex Prugh",84,91.22,135,148,-0.64,"GIRPercentageLess75yards",2015
19,19,"Webb Simpson",81,91.22,135,148,-0.67,"GIRPercentageLess75yards",2015
21,21,"Scott Stallings",60,91.2,114,125,-0.64,"GIRPercentageLess75yards",2015
22,22,"Luke Guthrie",84,91.13,113,124,-0.62,"GIRPercentageLess75yards",2015
23,23,"Jason Bohn",95,91.11,164,180,-0.57,"GIRPercentageLess75yards",2015
23,23,"Jonathan Randolph",72,91.11,123,135,-0.63,"GIRPercentageLess75yards",2015
25,25,"Brandt Snedeker",98,91.1,133,146,-0.66,"GIRPercentageLess75yards",2015
26,26,"Russell Knox",96,90.91,140,154,-0.66,"GIRPercentageLess75yards",2015
27,27,"Paul Casey",87,90.77,118,130,-0.68,"GIRPercentageLess75yards",2015
28,28,"KJ Choi",66,90.53,86,95,-0.57,"GIRPercentageLess75yards",2015
29,29,"Martin Flores",95,90.48,171,189,-0.53,"GIRPercentageLess75yards",2015
30,30,"Robert Streb",110,90.46,218,241,-0.61,"GIRPercentageLess75yards",2015
31,31,"JJ Henry",94,90.44,123,136,-0.62,"GIRPercentageLess75yards",2015
32,32,"Bill Haas",89,90.38,141,156,-0.6,"GIRPercentageLess75yards",2015
32,32,"Sam Saunders",83,90.38,141,156,-0.65,"GIRPercentageLess75yards",2015
34,34,"Hideki Matsuyama",95,90.37,169,187,-0.7,"GIRPercentageLess75yards",2015
35,35,"Tim Wilkinson",73,90.36,75,83,-0.64,"GIRPercentageLess75yards",2015
36,36,"Jonathan Byrd",69,90.29,93,103,-0.54,"GIRPercentageLess75yards",2015
37,37,"Carlos Ortiz",100,90.25,213,236,-0.64,"GIRPercentageLess75yards",2015
38,38,"William McGirt",103,90.13,137,152,-0.53,"GIRPercentageLess75yards",2015
