"BirdieorBetterPercentageLess125_RANKTHISWEEK_2016","BirdieorBetterPercentageLess125_RANKLASTWEEK_2016","BirdieorBetterPercentageLess125_PLAYERNAME_2016","BirdieorBetterPercentageLess125_ROUNDS_2016","BirdieorBetterPercentageLess125_Pct_2016","BirdieorBetterPercentageLess125_TOTALBIRDIES_2016","BirdieorBetterPercentageLess125_TOTALHOLES_2016","stat_name","year"
1,2,"Andy Sullivan",25,35.29,12,34,"BirdieorBetterPercentageLess125",2016
2,1,"Hideki Matsuyama",40,33.33,26,78,"BirdieorBetterPercentageLess125",2016
3,3,"Jason Bohn",37,32.74,37,113,"BirdieorBetterPercentageLess125",2016
4,5,"Ryan Moore",40,32.65,32,98,"BirdieorBetterPercentageLess125",2016
5,6,"Steve Stricker",25,31.25,25,80,"BirdieorBetterPercentageLess125",2016
6,4,"Henrik Stenson",30,30.91,17,55,"BirdieorBetterPercentageLess125",2016
7,8,"Jason Day",36,30.59,26,85,"BirdieorBetterPercentageLess125",2016
8,16,"John Senden",48,29.66,43,145,"BirdieorBetterPercentageLess125",2016
9,10,"Jimmy Walker",43,29.2,33,113,"BirdieorBetterPercentageLess125",2016
10,11,"Justin Leonard",28,29.13,30,103,"BirdieorBetterPercentageLess125",2016
11,12,"Jon Curran",55,29.01,47,162,"BirdieorBetterPercentageLess125",2016
12,22,"Tim Wilkinson",40,28.57,32,112,"BirdieorBetterPercentageLess125",2016
13,17,"Matt Kuchar",46,28.32,32,113,"BirdieorBetterPercentageLess125",2016
14,19,"Jason Dufner",53,28.24,37,131,"BirdieorBetterPercentageLess125",2016
14,19,"Zach Johnson",42,28.24,37,131,"BirdieorBetterPercentageLess125",2016
16,15,"Kevin Kisner",49,27.83,32,115,"BirdieorBetterPercentageLess125",2016
16,18,"Vaughn Taylor",30,27.83,32,115,"BirdieorBetterPercentageLess125",2016
18,27,"Rickie Fowler",42,27.78,30,108,"BirdieorBetterPercentageLess125",2016
19,22,"Scott Piercy",45,27.66,26,94,"BirdieorBetterPercentageLess125",2016
19,22,"DJ Trahan",23,27.66,13,47,"BirdieorBetterPercentageLess125",2016
21,14,"Tyler Aldridge",53,27.62,50,181,"BirdieorBetterPercentageLess125",2016
22,25,"Seung Yul Noh",54,27.54,46,167,"BirdieorBetterPercentageLess125",2016
23,28,"Stewart Cink",45,27.43,31,113,"BirdieorBetterPercentageLess125",2016
24,13,"Jamie Donaldson",28,27.4,20,73,"BirdieorBetterPercentageLess125",2016
25,9,"Hunter Mahan",43,27.34,35,128,"BirdieorBetterPercentageLess125",2016
26,30,"Brandt Snedeker",47,27.27,39,143,"BirdieorBetterPercentageLess125",2016
27,7,"Byeong Hun An",23,27.08,13,48,"BirdieorBetterPercentageLess125",2016
28,33,"Martin Piller",37,26.83,33,123,"BirdieorBetterPercentageLess125",2016
28,26,"Vijay Singh",42,26.83,33,123,"BirdieorBetterPercentageLess125",2016
30,58,"Brendon Todd",43,26.81,37,138,"BirdieorBetterPercentageLess125",2016
31,35,"Bryce Molder",50,26.79,45,168,"BirdieorBetterPercentageLess125",2016
32,36,"Charl Schwartzel",29,26.76,19,71,"BirdieorBetterPercentageLess125",2016
