"MissedFairwayPercentOther_RANKTHISWEEK_2011","MissedFairwayPercentOther_RANKLASTWEEK_2011","MissedFairwayPercentOther_PLAYERNAME_2011","MissedFairwayPercentOther_ROUNDS_2011","MissedFairwayPercentOther_Pct_2011","MissedFairwayPercentOther_TOTALMISSED_2011","MissedFairwayPercentOther_TOTALFWYS_2011","MissedFairwayPercentOther_RELATIVETOPAR_2011","stat_name","year"
1,1,"Joe Durant",71,0.79,7,883,0.43,"MissedFairwayPercentOther",2011
2,2,"KJ Choi",77,0.87,7,805,0.29,"MissedFairwayPercentOther",2011
3,3,"Nick OHern",89,0.95,10,1055,0.5,"MissedFairwayPercentOther",2011
4,4,"Heath Slocum",89,1.07,11,1032,0.91,"MissedFairwayPercentOther",2011
5,5,"John Merrick",71,1.08,9,834,0.44,"MissedFairwayPercentOther",2011
5,5,"Charl Schwartzel",58,1.08,6,556,-0.17,"MissedFairwayPercentOther",2011
7,7,"Jerry Kelly",85,1.17,11,944,0.73,"MissedFairwayPercentOther",2011
8,8,"Billy Mayfair",94,1.19,14,1181,0.71,"MissedFairwayPercentOther",2011
9,9,"Rod Pampling",72,1.2,10,835,0.5,"MissedFairwayPercentOther",2011
10,10,"David Toms",78,1.22,10,819,0.9,"MissedFairwayPercentOther",2011
11,11,"Zach Johnson",79,1.23,11,891,0.55,"MissedFairwayPercentOther",2011
12,12,"Brian Davis",105,1.26,16,1271,0.63,"MissedFairwayPercentOther",2011
13,13,"Matt Kuchar",94,1.31,13,991,0.08,"MissedFairwayPercentOther",2011
14,14,"Brian Gay",90,1.37,14,1023,1.5,"MissedFairwayPercentOther",2011
15,15,"David Hearn",88,1.42,15,1053,0.53,"MissedFairwayPercentOther",2011
16,16,"Jim Furyk",87,1.44,14,975,0.14,"MissedFairwayPercentOther",2011
17,17,"Steve Stricker",70,1.49,11,740,0.36,"MissedFairwayPercentOther",2011
18,18,"Matt McQuillan",59,1.5,10,667,0.7,"MissedFairwayPercentOther",2011
19,19,"Spencer Levin",113,1.54,20,1301,0.75,"MissedFairwayPercentOther",2011
19,19,"David Mathis",83,1.54,15,973,1.07,"MissedFairwayPercentOther",2011
21,21,"Chez Reavie",92,1.58,18,1141,0.44,"MissedFairwayPercentOther",2011
