"RightRoughTendency_RANKTHISWEEK_2012","RightRoughTendency_RANKLASTWEEK_2012","RightRoughTendency_PLAYERNAME_2012","RightRoughTendency_ROUNDS_2012","RightRoughTendency_Pct_2012","RightRoughTendency_TOTALRIGHTROUGH_2012","RightRoughTendency_POSSIBLEFWYS_2012","RightRoughTendency_RELATIVETOPAR_2012","stat_name","year"
1,1,"Jerry Kelly",84,9.48,96,1013,0.33,"RightRoughTendency",2012
2,2,"Graeme McDowell",55,9.79,52,531,0.13,"RightRoughTendency",2012
3,3,"Gavin Coles",72,10.09,80,793,-0.01,"RightRoughTendency",2012
4,4,"Billy Hurley III",70,10.42,82,787,0.18,"RightRoughTendency",2012
5,5,"Kevin Stadler",85,10.91,106,972,0.06,"RightRoughTendency",2012
6,6,"Tim Clark",60,10.94,76,695,0.12,"RightRoughTendency",2012
7,7,"Tom Gillis",75,10.98,105,956,0.24,"RightRoughTendency",2012
8,8,"Ben Curtis",62,11.21,75,669,-0.04,"RightRoughTendency",2012
9,9,"Jason Bohn",81,11.38,104,914,0.14,"RightRoughTendency",2012
10,10,"Chez Reavie",83,11.44,105,918,0.13,"RightRoughTendency",2012
11,11,"Kevin Na",80,11.5,104,904,0.03,"RightRoughTendency",2012
12,12,"Heath Slocum",93,11.7,122,1043,0.19,"RightRoughTendency",2012
13,13,"Jeff Maggert",83,11.84,128,1081,0.16,"RightRoughTendency",2012
14,14,"Jim Furyk",85,11.93,108,905,0.1,"RightRoughTendency",2012
15,15,"Steve Stricker",73,11.94,90,754,-0.08,"RightRoughTendency",2012
16,16,"Zach Johnson",95,11.96,123,1028,0.02,"RightRoughTendency",2012
17,17,"Marco Dawson",60,12.01,76,633,0.07,"RightRoughTendency",2012
18,18,"Will Claxton",99,12.08,144,1192,0.13,"RightRoughTendency",2012
19,19,"Bo Van Pelt",84,12.11,109,900,0.03,"RightRoughTendency",2012
20,20,"Nick OHern",78,12.19,114,935,0.07,"RightRoughTendency",2012
21,21,"Gary Christian",91,12.26,128,1044,0.19,"RightRoughTendency",2012
22,22,"JJ Henry",93,12.27,121,986,0.13,"RightRoughTendency",2012
23,23,"Geoff Ogilvy",73,12.37,94,760,0.05,"RightRoughTendency",2012
24,24,"Brian Harman",101,12.39,151,1219,0.11,"RightRoughTendency",2012
25,25,"Kris Blanks",65,12.48,104,833,0.16,"RightRoughTendency",2012
26,26,"Stuart Appleby",75,12.5,113,904,0.12,"RightRoughTendency",2012
27,27,"Ted Potter Jr",77,12.57,107,851,0.06,"RightRoughTendency",2012
28,28,"Billy Horschel",63,12.59,84,667,0.24,"RightRoughTendency",2012
