"3PuttAvoidance_RANKTHISWEEK_2005","3PuttAvoidance_RANKLASTWEEK_2005","3PuttAvoidance_PLAYERNAME_2005","3PuttAvoidance_ROUNDS_2005","3PuttAvoidance_Pct_2005","3PuttAvoidance_TOTAL3PUTTS_2005","3PuttAvoidance_TOTALHOLESOVERALL_2005","stat_name","year"
1,1,"Jesper Parnevik",84,1.76,26,1476,"3PuttAvoidance",2005
2,2,"Brent Geiberger",61,1.79,19,1062,"3PuttAvoidance",2005
3,3,"Steve Stricker",62,1.88,21,1116,"3PuttAvoidance",2005
4,4,"Todd Fischer",99,1.89,33,1746,"3PuttAvoidance",2005
5,5,"Ben Crane",78,2.03,27,1332,"3PuttAvoidance",2005
6,6,"Stewart Cink",98,2.04,33,1620,"3PuttAvoidance",2005
7,7,"Olin Browne",99,2.05,35,1710,"3PuttAvoidance",2005
8,8,"Chris DiMarco",83,2.07,28,1350,"3PuttAvoidance",2005
9,9,"Jason Bohn",91,2.08,34,1638,"3PuttAvoidance",2005
10,10,"Jose Maria Olazabal",55,2.1,20,954,"3PuttAvoidance",2005
11,11,"Justin Bolli",65,2.12,24,1134,"3PuttAvoidance",2005
12,12,"Brad Faxon",75,2.19,28,1278,"3PuttAvoidance",2005
13,13,"Phillip Price",77,2.21,29,1314,"3PuttAvoidance",2005
14,14,"John Cook",72,2.22,28,1260,"3PuttAvoidance",2005
15,15,"Bob Estes",92,2.23,37,1656,"3PuttAvoidance",2005
16,16,"Matt Gogel",78,2.27,31,1368,"3PuttAvoidance",2005
16,16,"Mark OMeara",66,2.27,27,1188,"3PuttAvoidance",2005
18,18,"Bob Tway",87,2.28,34,1494,"3PuttAvoidance",2005
19,19,"Arjun Atwal",65,2.31,27,1170,"3PuttAvoidance",2005
20,20,"Dean Wilson",86,2.33,36,1548,"3PuttAvoidance",2005
21,21,"Brian Gay",101,2.36,42,1782,"3PuttAvoidance",2005
21,21,"Corey Pavin",77,2.36,31,1314,"3PuttAvoidance",2005
23,23,"Aaron Baddeley",84,2.37,35,1476,"3PuttAvoidance",2005
24,24,"Steve Elkington",67,2.4,29,1206,"3PuttAvoidance",2005
25,25,"Loren Roberts",54,2.41,23,954,"3PuttAvoidance",2005
26,26,"Ryuji Imada",78,2.42,34,1404,"3PuttAvoidance",2005
26,26,"Brett Quigley",96,2.42,40,1656,"3PuttAvoidance",2005
28,28,"Nick Watney",91,2.43,39,1602,"3PuttAvoidance",2005
29,29,"Doug Barron",70,2.46,31,1260,"3PuttAvoidance",2005
29,29,"Retief Goosen",71,2.46,27,1098,"3PuttAvoidance",2005
31,31,"Patrick Sheehan",114,2.47,49,1980,"3PuttAvoidance",2005
32,32,"Charlie Wi",67,2.48,29,1170,"3PuttAvoidance",2005
33,33,"Tom Pernice Jr",111,2.49,48,1926,"3PuttAvoidance",2005
34,34,"Luke Donald",67,2.5,27,1080,"3PuttAvoidance",2005
35,35,"Paul Azinger",66,2.53,30,1188,"3PuttAvoidance",2005
35,35,"John Senden",101,2.53,45,1782,"3PuttAvoidance",2005
37,37,"Carl Pettersson",109,2.54,48,1890,"3PuttAvoidance",2005
38,38,"Bart Bryant",91,2.56,42,1638,"3PuttAvoidance",2005
38,38,"Rob Rashell",65,2.56,30,1170,"3PuttAvoidance",2005
38,38,"Kirk Triplett",55,2.56,24,936,"3PuttAvoidance",2005
41,41,"Zach Johnson",96,2.57,44,1710,"3PuttAvoidance",2005
42,42,"Jerry Kelly",101,2.58,46,1782,"3PuttAvoidance",2005
43,43,"Michael Allen",90,2.59,42,1620,"3PuttAvoidance",2005
44,44,"Chris Anderson",66,2.6,29,1116,"3PuttAvoidance",2005
44,44,"David Toms",87,2.6,36,1386,"3PuttAvoidance",2005
46,46,"Gavin Coles",70,2.62,33,1260,"3PuttAvoidance",2005
47,47,"Geoff Ogilvy",97,2.63,44,1674,"3PuttAvoidance",2005
48,48,"Jeff Sluman",94,2.66,45,1692,"3PuttAvoidance",2005
49,49,"Justin Leonard",78,2.67,36,1350,"3PuttAvoidance",2005
50,50,"Jim Furyk",94,2.69,45,1674,"3PuttAvoidance",2005
50,50,"Robert Gamez",91,2.69,44,1638,"3PuttAvoidance",2005
50,50,"Matt Kuchar",60,2.69,29,1080,"3PuttAvoidance",2005
53,53,"Hunter Mahan",103,2.7,49,1818,"3PuttAvoidance",2005
53,53,"Tiger Woods",76,2.7,36,1332,"3PuttAvoidance",2005
55,55,"Shigeki Maruyama",99,2.72,48,1764,"3PuttAvoidance",2005
56,56,"Jeff Brehaut",71,2.74,33,1206,"3PuttAvoidance",2005
56,56,"KJ Choi",78,2.74,36,1314,"3PuttAvoidance",2005
56,56,"Mario Tiziani",67,2.74,32,1170,"3PuttAvoidance",2005
