"Par4BirdieorBetterLeaders_RANKTHISWEEK_2010","Par4BirdieorBetterLeaders_RANKLASTWEEK_2010","Par4BirdieorBetterLeaders_PLAYERNAME_2010","Par4BirdieorBetterLeaders_ROUNDS_2010","Par4BirdieorBetterLeaders_Pct_2010","Par4BirdieorBetterLeaders_PAR4BIRDIESORBETTER_2010","Par4BirdieorBetterLeaders_PAR4HOLES_2010","stat_name","year"
1,1,"Ryan Palmer",84,19.93,179,898,"Par4BirdieorBetterLeaders",2010
2,2,"Ben Crane",85,19.73,177,897,"Par4BirdieorBetterLeaders",2010
3,3,"Chris Couch",66,19.6,138,704,"Par4BirdieorBetterLeaders",2010
4,4,"Joe Durant",67,19.4,142,732,"Par4BirdieorBetterLeaders",2010
4,4,"Carl Pettersson",99,19.4,206,1062,"Par4BirdieorBetterLeaders",2010
6,6,"Geoff Ogilvy",62,19.29,125,648,"Par4BirdieorBetterLeaders",2010
7,7,"Matt Every",60,19.06,122,640,"Par4BirdieorBetterLeaders",2010
8,8,"John Rollins",81,19.03,168,883,"Par4BirdieorBetterLeaders",2010
9,9,"Matt Kuchar",97,18.98,197,1038,"Par4BirdieorBetterLeaders",2010
10,10,"Rory McIlroy",54,18.82,108,574,"Par4BirdieorBetterLeaders",2010
11,11,"Aaron Baddeley",94,18.79,190,1011,"Par4BirdieorBetterLeaders",2010
12,12,"Nick Watney",91,18.76,179,954,"Par4BirdieorBetterLeaders",2010
13,13,"Bubba Watson",77,18.67,155,830,"Par4BirdieorBetterLeaders",2010
14,14,"Jeff Overton",89,18.59,182,979,"Par4BirdieorBetterLeaders",2010
15,15,"Robert Garrigus",71,18.56,144,776,"Par4BirdieorBetterLeaders",2010
16,16,"Ernie Els",72,18.55,141,760,"Par4BirdieorBetterLeaders",2010
17,17,"Charley Hoffman",85,18.49,169,914,"Par4BirdieorBetterLeaders",2010
17,17,"Jimmy Walker",82,18.49,162,876,"Par4BirdieorBetterLeaders",2010
19,19,"JB Holmes",100,18.46,202,1094,"Par4BirdieorBetterLeaders",2010
20,20,"Charlie Wi",95,18.33,189,1031,"Par4BirdieorBetterLeaders",2010
21,21,"George McNeill",79,18.3,157,858,"Par4BirdieorBetterLeaders",2010
22,22,"Paul Goydos",78,18.26,153,838,"Par4BirdieorBetterLeaders",2010
23,23,"YE Yang",72,18.25,142,778,"Par4BirdieorBetterLeaders",2010
24,24,"Dustin Johnson",83,18.23,163,894,"Par4BirdieorBetterLeaders",2010
25,25,"Bryce Molder",84,18.22,164,900,"Par4BirdieorBetterLeaders",2010
25,25,"Garrett Willis",82,18.22,160,878,"Par4BirdieorBetterLeaders",2010
27,27,"Brandt Snedeker",89,18.16,174,958,"Par4BirdieorBetterLeaders",2010
28,28,"Ricky Barnes",103,18.13,202,1114,"Par4BirdieorBetterLeaders",2010
28,28,"Adam Scott",70,18.13,132,728,"Par4BirdieorBetterLeaders",2010
30,30,"Kevin Streelman",90,18.08,175,968,"Par4BirdieorBetterLeaders",2010
31,31,"Scott Piercy",88,18.06,171,947,"Par4BirdieorBetterLeaders",2010
32,32,"Nicholas Thompson",88,18.02,169,938,"Par4BirdieorBetterLeaders",2010
33,33,"Justin Rose",78,17.99,154,856,"Par4BirdieorBetterLeaders",2010
33,33,"Chris Stroud",90,17.99,174,967,"Par4BirdieorBetterLeaders",2010
35,35,"Michael Connell",89,17.98,174,968,"Par4BirdieorBetterLeaders",2010
35,35,"Bo Van Pelt",104,17.98,205,1140,"Par4BirdieorBetterLeaders",2010
37,37,"Jeff Quinney",91,17.96,176,980,"Par4BirdieorBetterLeaders",2010
38,38,"Brendon de Jonge",114,17.93,218,1216,"Par4BirdieorBetterLeaders",2010
38,38,"Rory Sabbatini",79,17.93,149,831,"Par4BirdieorBetterLeaders",2010
38,38,"DJ Trahan",92,17.93,177,987,"Par4BirdieorBetterLeaders",2010
41,41,"Graham DeLaet",88,17.89,171,956,"Par4BirdieorBetterLeaders",2010
42,42,"Justin Leonard",89,17.73,173,976,"Par4BirdieorBetterLeaders",2010
42,42,"Pat Perez",90,17.73,172,970,"Par4BirdieorBetterLeaders",2010
44,44,"Paul Stankowski",62,17.7,120,678,"Par4BirdieorBetterLeaders",2010
45,45,"Zach Johnson",93,17.65,177,1003,"Par4BirdieorBetterLeaders",2010
46,46,"Paul Casey",64,17.64,115,652,"Par4BirdieorBetterLeaders",2010
46,46,"Kevin Na",94,17.64,179,1015,"Par4BirdieorBetterLeaders",2010
48,48,"Jim Furyk",76,17.63,141,800,"Par4BirdieorBetterLeaders",2010
48,48,"Tom Gillis",97,17.63,183,1038,"Par4BirdieorBetterLeaders",2010
50,50,"Michael Sim",64,17.59,121,688,"Par4BirdieorBetterLeaders",2010
51,51,"Freddie Jacobson",83,17.57,159,905,"Par4BirdieorBetterLeaders",2010
52,52,"Andres Romero",73,17.53,138,787,"Par4BirdieorBetterLeaders",2010
53,53,"Steve Marino",81,17.51,153,874,"Par4BirdieorBetterLeaders",2010
54,54,"Stephen Ames",75,17.46,140,802,"Par4BirdieorBetterLeaders",2010
55,55,"Charles Warren",64,17.44,121,694,"Par4BirdieorBetterLeaders",2010
56,56,"David Toms",86,17.43,160,918,"Par4BirdieorBetterLeaders",2010
57,57,"Rickie Fowler",98,17.42,185,1062,"Par4BirdieorBetterLeaders",2010
57,57,"JP Hayes",79,17.42,146,838,"Par4BirdieorBetterLeaders",2010
59,59,"Lucas Glover",75,17.41,141,810,"Par4BirdieorBetterLeaders",2010
60,60,"Robert Allenby",76,17.36,142,818,"Par4BirdieorBetterLeaders",2010
60,60,"Phil Mickelson",76,17.36,142,818,"Par4BirdieorBetterLeaders",2010
62,62,"Retief Goosen",75,17.26,135,782,"Par4BirdieorBetterLeaders",2010
63,63,"Jay Williamson",76,17.23,142,824,"Par4BirdieorBetterLeaders",2010
63,63,"Dean Wilson",54,17.23,102,592,"Par4BirdieorBetterLeaders",2010
65,65,"Camilo Villegas",78,17.17,136,792,"Par4BirdieorBetterLeaders",2010
66,66,"Angel Cabrera",64,17.15,119,694,"Par4BirdieorBetterLeaders",2010
67,67,"Blake Adams",84,17.14,157,916,"Par4BirdieorBetterLeaders",2010
68,68,"Stewart Cink",84,17.12,151,882,"Par4BirdieorBetterLeaders",2010
68,68,"Luke Donald",71,17.12,126,736,"Par4BirdieorBetterLeaders",2010
70,70,"Troy Merritt",86,17.06,158,926,"Par4BirdieorBetterLeaders",2010
71,71,"Jason Bohn",84,17.04,153,898,"Par4BirdieorBetterLeaders",2010
72,72,"Vaughn Taylor",87,17.03,158,928,"Par4BirdieorBetterLeaders",2010
73,73,"Kevin Stadler",86,16.96,155,914,"Par4BirdieorBetterLeaders",2010
74,74,"Webb Simpson",98,16.95,180,1062,"Par4BirdieorBetterLeaders",2010
75,75,"John Daly",63,16.93,118,697,"Par4BirdieorBetterLeaders",2010
76,76,"Jonathan Byrd",85,16.88,156,924,"Par4BirdieorBetterLeaders",2010
77,77,"Heath Slocum",97,16.86,177,1050,"Par4BirdieorBetterLeaders",2010
78,78,"Henrik Bjornstad",72,16.8,129,768,"Par4BirdieorBetterLeaders",2010
79,79,"Steve Stricker",73,16.79,133,792,"Par4BirdieorBetterLeaders",2010
80,80,"Will Ma Kenzie",72,16.77,131,781,"Par4BirdieorBetterLeaders",2010
81,81,"Vijay Singh",75,16.75,138,824,"Par4BirdieorBetterLeaders",2010
82,82,"Spencer Levin",110,16.72,199,1190,"Par4BirdieorBetterLeaders",2010
83,83,"Matt Jones",89,16.67,159,954,"Par4BirdieorBetterLeaders",2010
83,83,"Shaun Micheel",70,16.67,127,762,"Par4BirdieorBetterLeaders",2010
83,83,"Chris Riley",73,16.67,134,804,"Par4BirdieorBetterLeaders",2010
83,83,"Steve Wheatcroft",74,16.67,132,792,"Par4BirdieorBetterLeaders",2010
87,87,"Tim Clark",88,16.63,153,920,"Par4BirdieorBetterLeaders",2010
88,88,"Cameron Percy",73,16.6,130,783,"Par4BirdieorBetterLeaders",2010
89,89,"Greg Chalmers",93,16.57,165,996,"Par4BirdieorBetterLeaders",2010
90,90,"Chad Campbell",95,16.49,168,1019,"Par4BirdieorBetterLeaders",2010
91,91,"Michael Letzig",84,16.45,150,912,"Par4BirdieorBetterLeaders",2010
91,91,"Kevin Sutherland",86,16.45,150,912,"Par4BirdieorBetterLeaders",2010
91,91,"Johnson Wagner",85,16.45,150,912,"Par4BirdieorBetterLeaders",2010
94,94,"Cliff Kresge",50,16.42,89,542,"Par4BirdieorBetterLeaders",2010
95,95,"KJ Choi",82,16.4,145,884,"Par4BirdieorBetterLeaders",2010
95,95,"Brian Gay",101,16.4,175,1067,"Par4BirdieorBetterLeaders",2010
97,97,"Mark Calcavecchia",50,16.36,89,544,"Par4BirdieorBetterLeaders",2010
98,98,"Tom Pernice Jr",74,16.34,133,814,"Par4BirdieorBetterLeaders",2010
98,98,"John Senden",103,16.34,182,1114,"Par4BirdieorBetterLeaders",2010
100,100,"Bill Haas",87,16.31,152,932,"Par4BirdieorBetterLeaders",2010
101,101,"Brett Wetterich",54,16.27,96,590,"Par4BirdieorBetterLeaders",2010
102,102,"Chad Collins",87,16.26,154,947,"Par4BirdieorBetterLeaders",2010
103,103,"Bob Estes",79,16.2,138,852,"Par4BirdieorBetterLeaders",2010
104,104,"Jeff Maggert",76,16.16,133,823,"Par4BirdieorBetterLeaders",2010
105,105,"Jason Day",82,16.15,146,904,"Par4BirdieorBetterLeaders",2010
106,106,"Cameron Beckman",68,16.11,120,745,"Par4BirdieorBetterLeaders",2010
106,106,"Scott Verplank",74,16.11,130,807,"Par4BirdieorBetterLeaders",2010
108,108,"Woody Austin",93,16.03,160,998,"Par4BirdieorBetterLeaders",2010
109,109,"Richard Johnson",90,16.01,159,993,"Par4BirdieorBetterLeaders",2010
109,109,"Boo Weekley",88,16.01,154,962,"Par4BirdieorBetterLeaders",2010
111,111,"Jarrod Lyle",54,15.99,94,588,"Par4BirdieorBetterLeaders",2010
112,112,"DA Points",90,15.98,155,970,"Par4BirdieorBetterLeaders",2010
113,113,"Charles Howell III",103,15.97,176,1102,"Par4BirdieorBetterLeaders",2010
113,113,"Skip Kendall",58,15.97,100,626,"Par4BirdieorBetterLeaders",2010
115,115,"Mathias Gronberg",61,15.96,106,664,"Par4BirdieorBetterLeaders",2010
115,115,"Alex Prugh",88,15.96,151,946,"Par4BirdieorBetterLeaders",2010
117,117,"Jerry Kelly",99,15.95,171,1072,"Par4BirdieorBetterLeaders",2010
118,118,"Billy Mayfair",78,15.93,134,841,"Par4BirdieorBetterLeaders",2010
118,118,"Josh Teater",101,15.93,172,1080,"Par4BirdieorBetterLeaders",2010
120,120,"Hunter Mahan",85,15.9,145,912,"Par4BirdieorBetterLeaders",2010
121,121,"Aron Price",70,15.88,121,762,"Par4BirdieorBetterLeaders",2010
122,122,"Chris Tidland",77,15.86,131,826,"Par4BirdieorBetterLeaders",2010
123,123,"Kenny Perry",69,15.81,117,740,"Par4BirdieorBetterLeaders",2010
124,124,"Greg Owen",69,15.8,116,734,"Par4BirdieorBetterLeaders",2010
125,125,"Ryuji Imada",90,15.78,154,976,"Par4BirdieorBetterLeaders",2010
126,126,"James Driscoll",78,15.74,133,845,"Par4BirdieorBetterLeaders",2010
127,127,"Tim Petrovic",105,15.7,178,1134,"Par4BirdieorBetterLeaders",2010
128,128,"Sergio Garcia",58,15.66,88,562,"Par4BirdieorBetterLeaders",2010
129,129,"Ryan Moore",80,15.65,134,856,"Par4BirdieorBetterLeaders",2010
130,130,"Jeev Milkha Singh",59,15.64,96,614,"Par4BirdieorBetterLeaders",2010
131,131,"Joe Ogilvie",99,15.63,166,1062,"Par4BirdieorBetterLeaders",2010
132,132,"Scott McCarron",90,15.59,150,962,"Par4BirdieorBetterLeaders",2010
133,133,"Kevin Johnson",62,15.54,103,663,"Par4BirdieorBetterLeaders",2010
