"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2013","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2013","AverageDistanceafterGoingforitShot_PLAYERNAME_2013","AverageDistanceafterGoingforitShot_ROUNDS_2013","AverageDistanceafterGoingforitShot_AVG_2013","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2013","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2013","stat_name","year"
1,1,"Graeme McDowell",53,19.4,36347,52,"AverageDistanceafterGoingforitShot",2013
2,2,"Daniel Summerhays",83,20,97882,136,"AverageDistanceafterGoingforitShot",2013
3,3,"Nicolas Colsaerts",50,20.7,53645,72,"AverageDistanceafterGoingforitShot",2013
4,4,"Harris English",95,21.3,125083,163,"AverageDistanceafterGoingforitShot",2013
4,4,"Luke List",65,21.3,85154,111,"AverageDistanceafterGoingforitShot",2013
6,6,"Brian Stuard",78,21.6,62267,80,"AverageDistanceafterGoingforitShot",2013
7,7,"Keegan Bradley",88,21.8,147253,188,"AverageDistanceafterGoingforitShot",2013
7,7,"Ryan Moore",72,21.8,81666,104,"AverageDistanceafterGoingforitShot",2013
7,7,"Brendan Steele",86,21.8,104578,133,"AverageDistanceafterGoingforitShot",2013
10,10,"Martin Kaymer",61,21.9,68623,87,"AverageDistanceafterGoingforitShot",2013
10,10,"Charl Schwartzel",69,21.9,100113,127,"AverageDistanceafterGoingforitShot",2013
10,10,"Boo Weekley",100,21.9,129462,164,"AverageDistanceafterGoingforitShot",2013
13,13,"Rory Sabbatini",86,22,119345,151,"AverageDistanceafterGoingforitShot",2013
14,14,"Dustin Johnson",71,22.1,98667,124,"AverageDistanceafterGoingforitShot",2013
14,14,"Kyle Stanley",71,22.1,131295,165,"AverageDistanceafterGoingforitShot",2013
16,16,"William McGirt",75,22.2,91245,114,"AverageDistanceafterGoingforitShot",2013
16,16,"Vaughn Taylor",50,22.2,49454,62,"AverageDistanceafterGoingforitShot",2013
18,18,"Roberto Castro",97,22.3,109075,136,"AverageDistanceafterGoingforitShot",2013
19,19,"Graham DeLaet",94,22.4,128153,159,"AverageDistanceafterGoingforitShot",2013
19,19,"Brad Fritsch",81,22.4,99898,124,"AverageDistanceafterGoingforitShot",2013
19,19,"Jim Herman",59,22.4,77567,96,"AverageDistanceafterGoingforitShot",2013
