"Approaches250275yardsRghRTP_RANKTHISWEEK_2011","Approaches250275yardsRghRTP_RANKLASTWEEK_2011","Approaches250275yardsRghRTP_PLAYERNAME_2011","Approaches250275yardsRghRTP_ROUNDS_2011","Approaches250275yardsRghRTP_AVGRTP_2011","stat_name","year"
1,1,"Shane Bertsch",62,-1,"Approaches250275yardsRghRTP",2011
1,1,"Joseph Bramlett",73,-1,"Approaches250275yardsRghRTP",2011
1,1,"Steve Elkington",50,-1,"Approaches250275yardsRghRTP",2011
1,1,"Jarrod Lyle",83,-1,"Approaches250275yardsRghRTP",2011
1,1,"Graeme McDowell",50,-1,"Approaches250275yardsRghRTP",2011
1,1,"Geoff Ogilvy",69,-1,"Approaches250275yardsRghRTP",2011
1,1,"Mark Wilson",89,-1,"Approaches250275yardsRghRTP",2011
1,1,"YE Yang",63,-1,"Approaches250275yardsRghRTP",2011
9,9,"JB Holmes",57,-0.889,"Approaches250275yardsRghRTP",2011
10,10,"Luke Donald",73,-0.8,"Approaches250275yardsRghRTP",2011
10,10,"Bryce Molder",82,-0.8,"Approaches250275yardsRghRTP",2011
10,10,"Adam Scott",60,-0.8,"Approaches250275yardsRghRTP",2011
10,10,"Roland Thatcher",67,-0.8,"Approaches250275yardsRghRTP",2011
14,14,"Keegan Bradley",91,-0.75,"Approaches250275yardsRghRTP",2011
14,14,"Chris Couch",73,-0.75,"Approaches250275yardsRghRTP",2011
14,14,"Phil Mickelson",79,-0.75,"Approaches250275yardsRghRTP",2011
17,17,"Briny Baird",60,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Kevin Chappell",78,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Jim Furyk",87,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Brian Gay",90,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Lucas Glover",74,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"JP Hayes",56,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Lee Janzen",62,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Anthony Kim",72,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Justin Leonard",82,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Spencer Levin",113,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Hunter Mahan",92,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Billy Mayfair",94,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Rocco Mediate",53,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Carl Pettersson",95,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Chez Reavie",92,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Jim Renner",65,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Chris Riley",76,-0.667,"Approaches250275yardsRghRTP",2011
17,17,"Vijay Singh",79,-0.667,"Approaches250275yardsRghRTP",2011
