"FirstTeeLateLowestRound_RANKTHISWEEK_2014","FirstTeeLateLowestRound_RANKLASTWEEK_2014","FirstTeeLateLowestRound_PLAYERNAME_2014","FirstTeeLateLowestRound_ROUNDS_2014","FirstTeeLateLowestRound_LOWRND_2014","stat_name","year"
1,1,"Sergio Garcia",61,61,"FirstTeeLateLowestRound",2014
1,1,"George McNeill",79,61,"FirstTeeLateLowestRound",2014
3,3,"Tim Clark",75,62,"FirstTeeLateLowestRound",2014
3,3,"Ryo Ishikawa",75,62,"FirstTeeLateLowestRound",2014
3,3,"Zach Johnson",97,62,"FirstTeeLateLowestRound",2014
3,3,"Ben Martin",80,62,"FirstTeeLateLowestRound",2014
7,7,"Kevin Chappell",100,63,"FirstTeeLateLowestRound",2014
7,7,"Stewart Cink",91,63,"FirstTeeLateLowestRound",2014
7,7,"James Driscoll",71,63,"FirstTeeLateLowestRound",2014
7,7,"Morgan Hoffmann",103,63,"FirstTeeLateLowestRound",2014
7,7,"Billy Horschel",92,63,"FirstTeeLateLowestRound",2014
7,7,"Dustin Johnson",58,63,"FirstTeeLateLowestRound",2014
7,7,"Jamie Lovemark",64,63,"FirstTeeLateLowestRound",2014
7,7,"Rory McIlroy",66,63,"FirstTeeLateLowestRound",2014
7,7,"Phil Mickelson",71,63,"FirstTeeLateLowestRound",2014
7,7,"Bryce Molder",77,63,"FirstTeeLateLowestRound",2014
7,7,"Ryan Moore",86,63,"FirstTeeLateLowestRound",2014
7,7,"Jeff Overton",80,63,"FirstTeeLateLowestRound",2014
7,7,"Ryan Palmer",85,63,"FirstTeeLateLowestRound",2014
7,7,"Ian Poulter",57,63,"FirstTeeLateLowestRound",2014
7,7,"Brendon Todd",108,63,"FirstTeeLateLowestRound",2014
7,7,"Camilo Villegas",95,63,"FirstTeeLateLowestRound",2014
7,7,"Jimmy Walker",98,63,"FirstTeeLateLowestRound",2014
24,24,"Charlie Beljan",76,64,"FirstTeeLateLowestRound",2014
24,24,"Jason Bohn",81,64,"FirstTeeLateLowestRound",2014
24,24,"Angel Cabrera",69,64,"FirstTeeLateLowestRound",2014
24,24,"Chad Campbell",57,64,"FirstTeeLateLowestRound",2014
24,24,"Paul Goydos",47,64,"FirstTeeLateLowestRound",2014
24,24,"Luke Guthrie",85,64,"FirstTeeLateLowestRound",2014
24,24,"Bill Haas",107,64,"FirstTeeLateLowestRound",2014
24,24,"Justin Hicks",103,64,"FirstTeeLateLowestRound",2014
24,24,"Charley Hoffman",93,64,"FirstTeeLateLowestRound",2014
24,24,"Freddie Jacobson",91,64,"FirstTeeLateLowestRound",2014
24,24,"Martin Kaymer",65,64,"FirstTeeLateLowestRound",2014
24,24,"Chris Kirk",105,64,"FirstTeeLateLowestRound",2014
24,24,"Matt Kuchar",91,64,"FirstTeeLateLowestRound",2014
24,24,"Scott Langley",95,64,"FirstTeeLateLowestRound",2014
24,24,"Troy Matteson",62,64,"FirstTeeLateLowestRound",2014
24,24,"Graeme McDowell",66,64,"FirstTeeLateLowestRound",2014
24,24,"William McGirt",96,64,"FirstTeeLateLowestRound",2014
24,24,"Kevin Na",94,64,"FirstTeeLateLowestRound",2014
24,24,"Louis Oosthuizen",50,64,"FirstTeeLateLowestRound",2014
24,24,"Tim Petrovic",28,64,"FirstTeeLateLowestRound",2014
24,24,"Charl Schwartzel",64,64,"FirstTeeLateLowestRound",2014
24,24,"John Senden",99,64,"FirstTeeLateLowestRound",2014
24,24,"Webb Simpson",87,64,"FirstTeeLateLowestRound",2014
24,24,"Kevin Streelman",79,64,"FirstTeeLateLowestRound",2014
24,24,"Steve Stricker",41,64,"FirstTeeLateLowestRound",2014
24,24,"Andrew Svoboda",77,64,"FirstTeeLateLowestRound",2014
24,24,"Cameron Tringale",111,64,"FirstTeeLateLowestRound",2014
24,24,"Nick Watney",80,64,"FirstTeeLateLowestRound",2014
24,24,"Bubba Watson",76,64,"FirstTeeLateLowestRound",2014
24,24,"Will Wilcox",51,64,"FirstTeeLateLowestRound",2014
54,54,"Stuart Appleby",92,65,"FirstTeeLateLowestRound",2014
54,54,"Aaron Baddeley",74,65,"FirstTeeLateLowestRound",2014
54,54,"Keegan Bradley",89,65,"FirstTeeLateLowestRound",2014
54,54,"Jonathan Byrd",76,65,"FirstTeeLateLowestRound",2014
54,54,"Paul Casey",56,65,"FirstTeeLateLowestRound",2014
54,54,"Greg Chalmers",85,65,"FirstTeeLateLowestRound",2014
54,54,"KJ Choi",80,65,"FirstTeeLateLowestRound",2014
54,54,"Will Claxton",25,65,"FirstTeeLateLowestRound",2014
54,54,"Chad Collins",78,65,"FirstTeeLateLowestRound",2014
54,54,"Glen Day",12,65,"FirstTeeLateLowestRound",2014
54,54,"Jason Day",54,65,"FirstTeeLateLowestRound",2014
54,54,"Graham DeLaet",80,65,"FirstTeeLateLowestRound",2014
54,54,"Ken Duke",80,65,"FirstTeeLateLowestRound",2014
54,54,"Ernie Els",85,65,"FirstTeeLateLowestRound",2014
54,54,"Harris English",95,65,"FirstTeeLateLowestRound",2014
54,54,"Martin Flores",85,65,"FirstTeeLateLowestRound",2014
54,54,"Brad Fritsch",50,65,"FirstTeeLateLowestRound",2014
54,54,"Jim Furyk",84,65,"FirstTeeLateLowestRound",2014
54,54,"Scott Gardiner",46,65,"FirstTeeLateLowestRound",2014
54,54,"Retief Goosen",94,65,"FirstTeeLateLowestRound",2014
54,54,"Chesson Hadley",84,65,"FirstTeeLateLowestRound",2014
54,54,"James Hahn",82,65,"FirstTeeLateLowestRound",2014
54,54,"Peter Hanson",37,65,"FirstTeeLateLowestRound",2014
54,54,"Brian Harman",111,65,"FirstTeeLateLowestRound",2014
54,54,"Russell Henley",92,65,"FirstTeeLateLowestRound",2014
54,54,"JJ Henry",91,65,"FirstTeeLateLowestRound",2014
54,54,"Charles Howell III",106,65,"FirstTeeLateLowestRound",2014
54,54,"Matt Jones",83,65,"FirstTeeLateLowestRound",2014
54,54,"Jerry Kelly",80,65,"FirstTeeLateLowestRound",2014
54,54,"Kevin Kisner",85,65,"FirstTeeLateLowestRound",2014
54,54,"Brooks Koepka",56,65,"FirstTeeLateLowestRound",2014
54,54,"Danny Lee",84,65,"FirstTeeLateLowestRound",2014
54,54,"Richard Lee",80,65,"FirstTeeLateLowestRound",2014
54,54,"Marc Leishman",81,65,"FirstTeeLateLowestRound",2014
54,54,"Justin Leonard",75,65,"FirstTeeLateLowestRound",2014
54,54,"Andrew Loupe",65,65,"FirstTeeLateLowestRound",2014
54,54,"Davis Love III",74,65,"FirstTeeLateLowestRound",2014
54,54,"Shane Lowry",10,65,"FirstTeeLateLowestRound",2014
54,54,"Hunter Mahan",88,65,"FirstTeeLateLowestRound",2014
54,54,"Seung Yul Noh",92,65,"FirstTeeLateLowestRound",2014
54,54,"Geoff Ogilvy",84,65,"FirstTeeLateLowestRound",2014
54,54,"Taylor Pendrith",4,65,"FirstTeeLateLowestRound",2014
54,54,"Scott Piercy",35,65,"FirstTeeLateLowestRound",2014
