"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2007","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2007","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2007","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2007","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2007","stat_name","year"
1,1,"Jay Williamson",8,3237,"NonWGCFedExCupSeasonPointsforNonMembers",2007
2,2,"Paul Casey",10,2267,"NonWGCFedExCupSeasonPointsforNonMembers",2007
3,3,"Andres Romero",3,1870,"NonWGCFedExCupSeasonPointsforNonMembers",2007
4,4,"Niclas Fasth",10,1601,"NonWGCFedExCupSeasonPointsforNonMembers",2007
5,5,"Robert Karlsson",13,1440,"NonWGCFedExCupSeasonPointsforNonMembers",2007
6,6,"Richard Green",4,1326,"NonWGCFedExCupSeasonPointsforNonMembers",2007
7,7,"Nick Dougherty",3,959,"NonWGCFedExCupSeasonPointsforNonMembers",2007
8,8,"Simon Dyson",1,921,"NonWGCFedExCupSeasonPointsforNonMembers",2007
9,9,"Paul McGinley",5,613,"NonWGCFedExCupSeasonPointsforNonMembers",2007
10,10,"Miguel Angel Jimenez",5,592,"NonWGCFedExCupSeasonPointsforNonMembers",2007
11,11,"Markus Brier",2,507,"NonWGCFedExCupSeasonPointsforNonMembers",2007
11,11,"Paul Broadhurst",2,507,"NonWGCFedExCupSeasonPointsforNonMembers",2007
11,11,"Pelle Edberg",1,507,"NonWGCFedExCupSeasonPointsforNonMembers",2007
14,14,"Peter Hanson",3,443,"NonWGCFedExCupSeasonPointsforNonMembers",2007
15,15,"Alejandro Canizares",3,428,"NonWGCFedExCupSeasonPointsforNonMembers",2007
16,16,"Todd Fischer",4,393,"NonWGCFedExCupSeasonPointsforNonMembers",2007
17,17,"Jeev Milkha Singh",12,294,"NonWGCFedExCupSeasonPointsforNonMembers",2007
18,18,"Charl Schwartzel",6,281,"NonWGCFedExCupSeasonPointsforNonMembers",2007
19,19,"Shingo Katayama",7,278,"NonWGCFedExCupSeasonPointsforNonMembers",2007
20,20,"Andy Bare",1,261,"NonWGCFedExCupSeasonPointsforNonMembers",2007
21,21,"Johan Edfors",8,227,"NonWGCFedExCupSeasonPointsforNonMembers",2007
22,22,"YE Yang",9,211,"NonWGCFedExCupSeasonPointsforNonMembers",2007
23,23,"Kyle Thompson",1,195,"NonWGCFedExCupSeasonPointsforNonMembers",2007
24,24,"Graeme McDowell",3,194,"NonWGCFedExCupSeasonPointsforNonMembers",2007
25,25,"Pablo Martin Benavides",6,167,"NonWGCFedExCupSeasonPointsforNonMembers",2007
26,26,"Colin Montgomerie",9,157,"NonWGCFedExCupSeasonPointsforNonMembers",2007
27,27,"Franklin Langham",1,142,"NonWGCFedExCupSeasonPointsforNonMembers",2007
28,28,"Mark Foster",1,130,"NonWGCFedExCupSeasonPointsforNonMembers",2007
29,29,"Michael Campbell",9,122,"NonWGCFedExCupSeasonPointsforNonMembers",2007
30,30,"Thomas Bjorn",6,122,"NonWGCFedExCupSeasonPointsforNonMembers",2007
31,31,"Kenneth Ferrie",2,102,"NonWGCFedExCupSeasonPointsforNonMembers",2007
32,32,"Fabrizio Zanotti",1,93,"NonWGCFedExCupSeasonPointsforNonMembers",2007
33,33,"Bradley Dredge",4,85,"NonWGCFedExCupSeasonPointsforNonMembers",2007
34,34,"Ross Bain",1,83,"NonWGCFedExCupSeasonPointsforNonMembers",2007
35,35,"Andrew Ruthkoski",2,82,"NonWGCFedExCupSeasonPointsforNonMembers",2007
36,36,"Marcus Fraser",1,79,"NonWGCFedExCupSeasonPointsforNonMembers",2007
37,37,"Kelly Mitchum",4,76,"NonWGCFedExCupSeasonPointsforNonMembers",2007
38,38,"Kaname Yokoo",2,75,"NonWGCFedExCupSeasonPointsforNonMembers",2007
39,39,"Won Joon Lee",1,70,"NonWGCFedExCupSeasonPointsforNonMembers",2007
40,40,"Gregory Bourdy",1,64,"NonWGCFedExCupSeasonPointsforNonMembers",2007
41,41,"Yusaku Miyazato",1,63,"NonWGCFedExCupSeasonPointsforNonMembers",2007
42,42,"Toru Taniguchi",4,60,"NonWGCFedExCupSeasonPointsforNonMembers",2007
43,43,"Jon Bevan",1,59,"NonWGCFedExCupSeasonPointsforNonMembers",2007
43,43,"Graeme Storm",3,59,"NonWGCFedExCupSeasonPointsforNonMembers",2007
45,45,"Raphael Jacquelin",3,57,"NonWGCFedExCupSeasonPointsforNonMembers",2007
46,46,"Ricky Barnes",2,57,"NonWGCFedExCupSeasonPointsforNonMembers",2007
47,47,"Tom Gillis",2,57,"NonWGCFedExCupSeasonPointsforNonMembers",2007
47,47,"Lee Williams",2,57,"NonWGCFedExCupSeasonPointsforNonMembers",2007
49,49,"Alastair Forsyth",1,56,"NonWGCFedExCupSeasonPointsforNonMembers",2007
50,50,"Brady Schnell",1,56,"NonWGCFedExCupSeasonPointsforNonMembers",2007
51,51,"Fredrik Andersson Hed",1,55,"NonWGCFedExCupSeasonPointsforNonMembers",2007
51,51,"Mike Small",2,55,"NonWGCFedExCupSeasonPointsforNonMembers",2007
53,53,"Ryan Benzel",1,54,"NonWGCFedExCupSeasonPointsforNonMembers",2007
54,54,"David Hearn",1,54,"NonWGCFedExCupSeasonPointsforNonMembers",2007
55,55,"Bronson La Cassie",1,53,"NonWGCFedExCupSeasonPointsforNonMembers",2007
56,56,"Joe Daley",2,52,"NonWGCFedExCupSeasonPointsforNonMembers",2007
56,56,"Azuma Yano",1,52,"NonWGCFedExCupSeasonPointsforNonMembers",2007
58,58,"Matt Every",2,52,"NonWGCFedExCupSeasonPointsforNonMembers",2007
59,59,"Mike Grob",1,51,"NonWGCFedExCupSeasonPointsforNonMembers",2007
60,60,"Alan Morin",1,50,"NonWGCFedExCupSeasonPointsforNonMembers",2007
61,61,"Todd Demsey",1,49,"NonWGCFedExCupSeasonPointsforNonMembers",2007
62,62,"Chris Baryla",1,49,"NonWGCFedExCupSeasonPointsforNonMembers",2007
63,63,"Martin Rominger",1,46,"NonWGCFedExCupSeasonPointsforNonMembers",2007
64,64,"Ryan Blaum",1,44,"NonWGCFedExCupSeasonPointsforNonMembers",2007
65,65,"Esteban Toledo",2,44,"NonWGCFedExCupSeasonPointsforNonMembers",2007
66,66,"Tony Finau",1,25,"NonWGCFedExCupSeasonPointsforNonMembers",2007
