"ClubHeadSpeed_RANKTHISWEEK_2014","ClubHeadSpeed_RANKLASTWEEK_2014","ClubHeadSpeed_PLAYERNAME_2014","ClubHeadSpeed_ROUNDS_2014","ClubHeadSpeed_AVG_2014","ClubHeadSpeed_TOTALCLUBHEADSPEED_2014","ClubHeadSpeed_TOTALATTEMPTS_2014","ClubHeadSpeed_FASTESTSPEED_2014","ClubHeadSpeed_SLOWESTSPEED_2014","stat_name","year"
1,1,"Bubba Watson",76,123.7,6432.24,52,126.93,120.45,"ClubHeadSpeed",2014
2,2,"Charlie Beljan",76,123.16,8867.7,72,126.66,116.16,"ClubHeadSpeed",2014
3,3,"Andrew Loupe",65,122.81,5894.84,48,129.62,104.05,"ClubHeadSpeed",2014
4,4,"Gary Woodland",93,122.5,8084.98,66,125.55,118.4,"ClubHeadSpeed",2014
5,5,"Brooks Koepka",56,122.33,4893.06,40,127.91,119.27,"ClubHeadSpeed",2014
6,6,"Jhonattan Vegas",77,121.74,8156.39,67,125.5,115.32,"ClubHeadSpeed",2014
7,7,"Rory McIlroy",66,121.56,5834.78,48,124.74,117.58,"ClubHeadSpeed",2014
8,8,"Dustin Johnson",58,121.34,4975.07,41,123.94,118.32,"ClubHeadSpeed",2014
9,9,"Jason Kokrak",65,120.57,7234.35,60,123.8,117.57,"ClubHeadSpeed",2014
10,10,"Henrik Stenson",56,120.36,3249.72,27,123.91,117.29,"ClubHeadSpeed",2014
11,11,"Sergio Garcia",61,119.83,4433.53,37,125.72,116.23,"ClubHeadSpeed",2014
12,12,"Graham DeLaet",80,119.8,6708.52,56,122.83,116.54,"ClubHeadSpeed",2014
13,13,"Adam Scott",68,119.58,6457.57,54,121.82,115.53,"ClubHeadSpeed",2014
14,14,"JB Holmes",86,119.45,7883.61,66,122.16,116.05,"ClubHeadSpeed",2014
15,15,"Jamie Lovemark",64,119.44,5255.38,44,123.19,115.69,"ClubHeadSpeed",2014
16,16,"Robert Garrigus",80,119.41,8358.53,70,123.22,115.68,"ClubHeadSpeed",2014
17,17,"Hudson Swafford",75,119.32,6324.15,53,123.23,116.35,"ClubHeadSpeed",2014
18,18,"Derek Ernst",80,119.21,7271.66,61,122.28,115.32,"ClubHeadSpeed",2014
19,19,"Harris English",95,119.02,7617.34,64,122.54,115.07,"ClubHeadSpeed",2014
20,20,"Kevin Tway",64,118.93,5708.5,48,123.55,115.6,"ClubHeadSpeed",2014
21,21,"Charles Howell III",106,118.58,11976.49,101,121.25,115.03,"ClubHeadSpeed",2014
22,22,"Robert Streb",75,118.53,8297.38,70,120.72,115.44,"ClubHeadSpeed",2014
23,23,"Angel Cabrera",69,118.42,7934.37,67,122.16,115.11,"ClubHeadSpeed",2014
24,24,"Seung Yul Noh",92,118.38,8878.35,75,121.75,115.65,"ClubHeadSpeed",2014
25,25,"Matt Jones",83,118.27,8278.76,70,122.32,114.92,"ClubHeadSpeed",2014
26,26,"Charl Schwartzel",64,118.21,6146.78,52,121.2,113.81,"ClubHeadSpeed",2014
27,27,"Will Wilcox",51,118.06,5076.47,43,120.73,113.31,"ClubHeadSpeed",2014
28,28,"Trevor Immelman",84,118.02,7907.61,67,121.49,114.24,"ClubHeadSpeed",2014
29,29,"Rickie Fowler",91,117.91,7428.46,63,122.69,114.8,"ClubHeadSpeed",2014
30,30,"Paul Casey",56,117.8,5183.08,44,121.47,114.96,"ClubHeadSpeed",2014
31,31,"Stewart Cink",91,117.78,8008.87,68,121.35,111.77,"ClubHeadSpeed",2014
32,32,"Aaron Baddeley",74,117.54,6817.39,58,121.56,112.87,"ClubHeadSpeed",2014
33,33,"Nick Watney",80,117.53,6581.95,56,121.15,115.06,"ClubHeadSpeed",2014
34,34,"Jason Day",54,117.49,3289.62,28,120.19,114.14,"ClubHeadSpeed",2014
35,35,"Ryan Palmer",85,117.24,7972.16,68,120.52,114.22,"ClubHeadSpeed",2014
36,36,"Brendan Steele",89,117.23,8675.21,74,120.53,113.71,"ClubHeadSpeed",2014
37,37,"Martin Flores",85,117.14,8668.1,74,121.08,114.64,"ClubHeadSpeed",2014
38,38,"Jimmy Walker",98,117.06,8311.43,71,119.78,113.95,"ClubHeadSpeed",2014
39,39,"Martin Kaymer",65,117.05,6086.65,52,120.5,112.93,"ClubHeadSpeed",2014
40,40,"Keegan Bradley",89,116.94,7600.93,65,120.73,113.04,"ClubHeadSpeed",2014
41,41,"Scott Stallings",77,116.68,7467.52,64,122.05,113.16,"ClubHeadSpeed",2014
42,42,"Kevin Chappell",100,116.64,10497.22,90,120.42,112.85,"ClubHeadSpeed",2014
42,42,"John Rollins",84,116.64,7464.8,64,121,110.92,"ClubHeadSpeed",2014
44,44,"Lucas Glover",68,116.6,5829.98,50,119.67,114.27,"ClubHeadSpeed",2014
45,45,"Marc Leishman",81,116.55,8158.33,70,120.02,112.47,"ClubHeadSpeed",2014
46,46,"Charley Hoffman",93,116.44,9664.46,83,120.51,112.06,"ClubHeadSpeed",2014
47,47,"Steven Bowditch",93,116.3,9419.99,81,122.21,104.85,"ClubHeadSpeed",2014
48,48,"Michael Putnam",106,116.25,10811,93,120.42,113,"ClubHeadSpeed",2014
49,49,"Sean OHair",77,116.1,7198.08,62,119.01,109.34,"ClubHeadSpeed",2014
50,50,"Shawn Stefani",60,116.07,6499.64,56,119.88,108.04,"ClubHeadSpeed",2014
51,51,"Ricky Barnes",92,115.98,9162.43,79,118.88,112.81,"ClubHeadSpeed",2014
52,52,"Patrick Reed",92,115.9,7881.08,68,119.64,112.74,"ClubHeadSpeed",2014
53,53,"George McNeill",79,115.87,7995.11,69,118.47,112.43,"ClubHeadSpeed",2014
54,54,"Pat Perez",84,115.73,8795.44,76,121.34,112.49,"ClubHeadSpeed",2014
55,55,"Ryo Ishikawa",75,115.7,6710.42,58,118.71,113.16,"ClubHeadSpeed",2014
56,56,"Phil Mickelson",71,115.62,5781.14,50,121.06,108.51,"ClubHeadSpeed",2014
57,57,"Kyle Stanley",87,115.52,8664.11,75,121.06,111.87,"ClubHeadSpeed",2014
58,58,"Lee Westwood",57,115.48,4850.31,42,119.59,112.88,"ClubHeadSpeed",2014
59,59,"Louis Oosthuizen",50,115.44,3116.81,27,118.03,112.84,"ClubHeadSpeed",2014
60,60,"John Senden",99,115.27,10489.31,91,120.01,111.77,"ClubHeadSpeed",2014
61,61,"Martin Laird",66,115.26,5301.83,46,119.61,112.52,"ClubHeadSpeed",2014
62,62,"Andres Romero",81,115.2,7026.92,61,118.57,109.01,"ClubHeadSpeed",2014
63,63,"Gonzalo Fdez Castano",83,115.05,8628.63,75,118.87,110.14,"ClubHeadSpeed",2014
64,64,"Ben Martin",80,114.95,7126.94,62,117.83,112.14,"ClubHeadSpeed",2014
65,65,"Tyrone Van Aswegen",79,114.94,5287.08,46,118.61,111.13,"ClubHeadSpeed",2014
66,66,"Brendon de Jonge",109,114.91,11031.08,96,117.88,111.5,"ClubHeadSpeed",2014
67,67,"Matt Every",85,114.86,7695.56,67,120.72,111.21,"ClubHeadSpeed",2014
68,68,"Jim Herman",62,114.76,5508.37,48,117.97,111.96,"ClubHeadSpeed",2014
69,69,"Davis Love III",74,114.74,6540.18,57,127.89,111.43,"ClubHeadSpeed",2014
69,69,"Justin Rose",70,114.74,6196,54,118.83,111.63,"ClubHeadSpeed",2014
71,71,"James Driscoll",71,114.58,6072.93,53,120.82,110.87,"ClubHeadSpeed",2014
72,72,"Freddie Jacobson",91,114.51,8931.6,78,117.66,110.74,"ClubHeadSpeed",2014
73,73,"Troy Matteson",62,114.36,5717.93,50,116.59,111.42,"ClubHeadSpeed",2014
74,74,"Russell Henley",92,114.23,9023.95,79,117.51,111.33,"ClubHeadSpeed",2014
75,75,"Hideki Matsuyama",82,114.21,7652.15,67,119.59,110.59,"ClubHeadSpeed",2014
76,76,"Brad Fritsch",50,114.08,4220.98,37,118.13,107.86,"ClubHeadSpeed",2014
77,77,"Geoff Ogilvy",84,114.01,8094.43,71,116.59,109,"ClubHeadSpeed",2014
78,78,"Morgan Hoffmann",103,114,10374.18,91,117.14,110.42,"ClubHeadSpeed",2014
78,78,"Camilo Villegas",95,114,10716.23,94,117.27,109.59,"ClubHeadSpeed",2014
80,80,"Josh Teater",90,113.96,9116.55,80,117.52,110.32,"ClubHeadSpeed",2014
81,81,"Tommy Gainey",73,113.75,6938.67,61,116.81,110.47,"ClubHeadSpeed",2014
82,82,"JJ Henry",91,113.72,8529.09,75,117.21,109.75,"ClubHeadSpeed",2014
83,83,"Kevin Stadler",90,113.67,7615.57,67,119.06,109.97,"ClubHeadSpeed",2014
83,83,"Michael Thompson",74,113.67,6706.26,59,116.78,109.07,"ClubHeadSpeed",2014
85,85,"Billy Horschel",92,113.65,7842.18,69,117.74,109.81,"ClubHeadSpeed",2014
86,86,"Bill Haas",107,113.6,9201.6,81,118.58,109.59,"ClubHeadSpeed",2014
87,87,"Boo Weekley",73,113.53,6244.05,55,117.08,109.45,"ClubHeadSpeed",2014
88,88,"James Hahn",82,113.52,8286.62,73,118.94,104.24,"ClubHeadSpeed",2014
89,89,"Sangmoon Bae",76,113.48,7716.58,68,115.99,111.38,"ClubHeadSpeed",2014
90,90,"Kevin Streelman",79,113.38,7596.34,67,116.05,109.68,"ClubHeadSpeed",2014
91,91,"Andrew Svoboda",77,113.26,8494.5,75,118.33,109.37,"ClubHeadSpeed",2014
92,92,"Jonathan Byrd",76,113.13,7579.79,67,116.84,110.27,"ClubHeadSpeed",2014
93,93,"John Peterson",62,113.12,6674.17,59,118.64,106.68,"ClubHeadSpeed",2014
93,93,"Carl Pettersson",91,113.12,10294.16,91,118.01,109.65,"ClubHeadSpeed",2014
95,95,"Luke Guthrie",85,113.08,9272.91,82,116.23,110.05,"ClubHeadSpeed",2014
96,96,"Bo Van Pelt",83,113.05,8252.9,73,116.75,110.15,"ClubHeadSpeed",2014
97,97,"Chesson Hadley",84,112.87,9029.63,80,115.75,109.45,"ClubHeadSpeed",2014
98,98,"Erik Compton",88,112.68,9352.03,83,117.12,109.12,"ClubHeadSpeed",2014
99,99,"Rory Sabbatini",82,112.61,7657.71,68,115.91,109.02,"ClubHeadSpeed",2014
100,100,"Jason Dufner",57,112.6,4729.23,42,115.28,109.28,"ClubHeadSpeed",2014
101,101,"Bronson La Cassie",51,112.24,4489.63,40,117.12,108.93,"ClubHeadSpeed",2014
101,101,"Jim Renner",61,112.24,5948.59,53,116.18,108.67,"ClubHeadSpeed",2014
103,103,"Hunter Mahan",88,112.22,8753.38,78,115.07,103.01,"ClubHeadSpeed",2014
104,104,"David Lingmerth",80,112.21,8079.25,72,116.59,109.69,"ClubHeadSpeed",2014
104,104,"Kevin Na",94,112.21,9762.7,87,116.02,108.7,"ClubHeadSpeed",2014
106,106,"Wes Roach",67,112.19,6058.34,54,117.98,107.28,"ClubHeadSpeed",2014
107,107,"Kevin Kisner",85,112.17,8412.59,75,114.51,107.69,"ClubHeadSpeed",2014
108,108,"Johnson Wagner",69,112.14,6503.93,58,117.04,108.11,"ClubHeadSpeed",2014
109,109,"Troy Merritt",62,112.06,6835.63,61,114.64,109.33,"ClubHeadSpeed",2014
110,110,"Briny Baird",50,111.99,4367.72,39,115.25,109.45,"ClubHeadSpeed",2014
110,110,"Ernie Els",85,111.99,7279.6,65,116.9,109.07,"ClubHeadSpeed",2014
112,112,"Will Ma Kenzie",82,111.97,8957.62,80,117.31,108.78,"ClubHeadSpeed",2014
113,113,"Ian Poulter",57,111.95,4701.8,42,114.94,107.78,"ClubHeadSpeed",2014
114,114,"Retief Goosen",94,111.85,9842.55,88,115.7,108.39,"ClubHeadSpeed",2014
115,115,"Bud Cauley",56,111.84,5480.32,49,115.69,108.1,"ClubHeadSpeed",2014
116,116,"Scott Brown",100,111.83,9282.08,83,117.93,108.85,"ClubHeadSpeed",2014
117,117,"Chad Campbell",57,111.76,5140.98,46,116,109.04,"ClubHeadSpeed",2014
118,118,"YE Yang",79,111.67,6923.59,62,116.32,106.9,"ClubHeadSpeed",2014
119,119,"Chris Kirk",105,111.66,9491.07,85,114.09,107.87,"ClubHeadSpeed",2014
120,120,"Brice Garnett",92,111.65,9155.14,82,115.44,108.24,"ClubHeadSpeed",2014
121,121,"Jordan Spieth",102,111.56,9705.73,87,115.5,106.09,"ClubHeadSpeed",2014
122,122,"Vijay Singh",83,111.43,8356.88,75,115.37,108.04,"ClubHeadSpeed",2014
123,123,"Robert Allenby",83,111.26,7120.37,64,113.88,108.08,"ClubHeadSpeed",2014
124,124,"DA Points",75,111.13,6001.25,54,115.19,106.54,"ClubHeadSpeed",2014
125,125,"Webb Simpson",87,111.11,8110.93,73,115.22,107.97,"ClubHeadSpeed",2014
126,126,"Danny Lee",84,111.05,7551.46,68,114.88,107.69,"ClubHeadSpeed",2014
126,126,"John Merrick",87,111.05,8329.01,75,115.44,108.33,"ClubHeadSpeed",2014
128,128,"Ryan Moore",86,110.99,7547.24,68,113.87,107.35,"ClubHeadSpeed",2014
129,129,"Jonas Blixt",64,110.95,4216.06,38,114.91,107.44,"ClubHeadSpeed",2014
129,129,"Jeff Overton",80,110.95,7655.43,69,114.86,107.51,"ClubHeadSpeed",2014
129,129,"Nicholas Thompson",85,110.95,7877.38,71,112.94,107.93,"ClubHeadSpeed",2014
132,132,"Richard Lee",80,110.93,7654.08,69,114.42,106.96,"ClubHeadSpeed",2014
133,133,"Russell Knox",92,110.77,10745.15,97,114.11,107.49,"ClubHeadSpeed",2014
134,134,"William McGirt",96,110.7,10516.12,95,113.33,107.59,"ClubHeadSpeed",2014
135,135,"John Huh",87,110.45,7841.61,71,113.64,106.96,"ClubHeadSpeed",2014
135,135,"Cameron Tringale",111,110.45,11707.57,106,114.91,106.83,"ClubHeadSpeed",2014
137,137,"Jim Furyk",84,110.26,8379.95,76,113.8,103.87,"ClubHeadSpeed",2014
138,138,"Brandt Snedeker",89,110.22,7384.58,67,114.18,101.5,"ClubHeadSpeed",2014
139,139,"Brian Harman",111,110.09,11780.07,107,114.05,106.8,"ClubHeadSpeed",2014
140,140,"Luke Donald",57,109.95,4618.03,42,114.13,106.72,"ClubHeadSpeed",2014
141,141,"Ted Potter Jr",68,109.93,6925.77,63,114.13,106.76,"ClubHeadSpeed",2014
142,142,"Roberto Castro",76,109.82,6589.36,60,116.03,106.98,"ClubHeadSpeed",2014
143,143,"Stuart Appleby",92,109.78,9990.05,91,113.5,106.15,"ClubHeadSpeed",2014
144,144,"Woody Austin",63,109.77,6476.56,59,113.83,105.9,"ClubHeadSpeed",2014
144,144,"Graeme McDowell",66,109.77,5488.47,50,113.34,107.14,"ClubHeadSpeed",2014
146,146,"Chris Stroud",88,109.71,8008.92,73,112.8,106.17,"ClubHeadSpeed",2014
147,147,"Daniel Summerhays",98,109.62,10961.9,100,114.93,105.77,"ClubHeadSpeed",2014
148,148,"Justin Hicks",103,109.56,11393.84,104,112.55,106.57,"ClubHeadSpeed",2014
149,149,"Greg Chalmers",85,109.46,8866.48,81,114.55,105.96,"ClubHeadSpeed",2014
150,150,"Ken Duke",80,109.4,6892.51,63,113.47,106.25,"ClubHeadSpeed",2014
151,151,"Scott Langley",95,109.3,9071.71,83,112.81,104.2,"ClubHeadSpeed",2014
152,152,"Charlie Wi",72,109.19,7425.06,68,113.69,105.91,"ClubHeadSpeed",2014
153,153,"Brian Stuard",91,109.13,9166.92,84,113.38,105.36,"ClubHeadSpeed",2014
154,154,"Bryce Molder",77,108.98,7519.87,69,111.6,105.75,"ClubHeadSpeed",2014
155,155,"Jason Bohn",81,108.92,9149.55,84,112.09,105.49,"ClubHeadSpeed",2014
