"TotalDrivingEfficiency_RANKTHISWEEK_2016","TotalDrivingEfficiency_RANKLASTWEEK_2016","TotalDrivingEfficiency_PLAYERNAME_2016","TotalDrivingEfficiency_ROUNDS_2016","TotalDrivingEfficiency_COMBINEDRANK_2016","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2016","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2016","stat_name","year"
1,1,"Byeong Hun An",23,6,5,1,"TotalDrivingEfficiency",2016
2,3,"Sean OHair",45,16,6,10,"TotalDrivingEfficiency",2016
3,3,"Brett Stegmaier",57,17,4,13,"TotalDrivingEfficiency",2016
3,6,"David Toms",38,17,9,8,"TotalDrivingEfficiency",2016
5,10,"Ernie Els",34,19,13,6,"TotalDrivingEfficiency",2016
6,8,"Tim Wilkinson",40,20,10,10,"TotalDrivingEfficiency",2016
7,1,"Wes Roach",33,27,11,16,"TotalDrivingEfficiency",2016
8,11,"Vaughn Taylor",30,28,7,21,"TotalDrivingEfficiency",2016
9,18,"Scott Stallings",46,34,3,31,"TotalDrivingEfficiency",2016
10,31,"Alex Cejka",47,35,33,2,"TotalDrivingEfficiency",2016
11,5,"Andrew Landry",24,40,2,38,"TotalDrivingEfficiency",2016
12,8,"Blayne Barber",44,41,18,23,"TotalDrivingEfficiency",2016
12,21,"David Lingmerth",54,41,36,5,"TotalDrivingEfficiency",2016
14,6,"Ryan Palmer",46,42,23,19,"TotalDrivingEfficiency",2016
15,32,"Hideki Matsuyama",40,46,23,23,"TotalDrivingEfficiency",2016
16,35,"Martin Piller",37,48,36,12,"TotalDrivingEfficiency",2016
17,15,"Justin Thomas",53,50,16,34,"TotalDrivingEfficiency",2016
18,26,"Rory McIlroy",37,51,19,32,"TotalDrivingEfficiency",2016
18,28,"DA Points",32,51,25,26,"TotalDrivingEfficiency",2016
18,12,"Nick Taylor",57,51,43,8,"TotalDrivingEfficiency",2016
21,16,"Martin Laird",46,53,15,38,"TotalDrivingEfficiency",2016
22,34,"Thomas Aiken",42,54,52,2,"TotalDrivingEfficiency",2016
23,14,"Zach Johnson",42,55,26,29,"TotalDrivingEfficiency",2016
24,13,"Rory Sabbatini",40,56,50,6,"TotalDrivingEfficiency",2016
25,21,"David Hearn",55,58,31,27,"TotalDrivingEfficiency",2016
26,23,"Daniel Berger",52,60,46,14,"TotalDrivingEfficiency",2016
27,27,"Padraig Harrington",38,63,26,37,"TotalDrivingEfficiency",2016
28,46,"Brian Stuard",24,64,31,33,"TotalDrivingEfficiency",2016
29,48,"Retief Goosen",37,65,12,53,"TotalDrivingEfficiency",2016
29,37,"Chesson Hadley",51,65,8,57,"TotalDrivingEfficiency",2016
31,16,"Darron Stiles",28,67,39,28,"TotalDrivingEfficiency",2016
32,52,"Anirban Lahiri",44,78,60,18,"TotalDrivingEfficiency",2016
33,18,"Jordan Spieth",34,79,39,40,"TotalDrivingEfficiency",2016
34,24,"Andres Romero",22,80,20,60,"TotalDrivingEfficiency",2016
35,33,"Camilo Villegas",50,83,48,35,"TotalDrivingEfficiency",2016
36,62,"JB Holmes",39,86,1,85,"TotalDrivingEfficiency",2016
37,30,"Keegan Bradley",40,88,21,67,"TotalDrivingEfficiency",2016
37,29,"Lucas Lee",22,88,28,60,"TotalDrivingEfficiency",2016
39,42,"Phil Mickelson",37,90,60,30,"TotalDrivingEfficiency",2016
39,39,"Jeff Overton",51,90,68,22,"TotalDrivingEfficiency",2016
41,24,"Jason Day",36,92,43,49,"TotalDrivingEfficiency",2016
42,39,"Jamie Donaldson",28,93,39,54,"TotalDrivingEfficiency",2016
42,75,"Harris English",51,93,29,64,"TotalDrivingEfficiency",2016
44,60,"Brendan Steele",48,101,57,44,"TotalDrivingEfficiency",2016
45,41,"Kevin Kisner",49,104,100,4,"TotalDrivingEfficiency",2016
46,55,"Will Ma Kenzie",54,106,60,46,"TotalDrivingEfficiency",2016
47,78,"Adam Scott",39,107,88,19,"TotalDrivingEfficiency",2016
48,51,"Michael Thompson",46,108,17,91,"TotalDrivingEfficiency",2016
49,47,"Ryan Moore",40,109,94,15,"TotalDrivingEfficiency",2016
49,63,"Justin Rose",35,109,55,54,"TotalDrivingEfficiency",2016
51,79,"Danny Lee",53,117,35,82,"TotalDrivingEfficiency",2016
51,38,"DJ Trahan",23,117,39,78,"TotalDrivingEfficiency",2016
53,36,"Chris Kirk",51,120,69,51,"TotalDrivingEfficiency",2016
54,42,"Scott Piercy",45,126,52,74,"TotalDrivingEfficiency",2016
55,42,"Bubba Watson",30,127,57,70,"TotalDrivingEfficiency",2016
56,54,"Jonas Blixt",46,129,47,82,"TotalDrivingEfficiency",2016
57,45,"Chez Reavie",56,130,83,47,"TotalDrivingEfficiency",2016
58,49,"Tyler Aldridge",53,131,71,60,"TotalDrivingEfficiency",2016
59,70,"Ian Poulter",37,134,99,35,"TotalDrivingEfficiency",2016
