"FedExCupPointsperEventLeaders_RANKTHISWEEK_2013","FedExCupPointsperEventLeaders_RANKLASTWEEK_2013","FedExCupPointsperEventLeaders_PLAYERNAME_2013","FedExCupPointsperEventLeaders_EVENTS_2013","FedExCupPointsperEventLeaders_POINTSPEREVENT_2013","FedExCupPointsperEventLeaders_TOTALPOINTS_2013","stat_name","year"
1,1,"Tiger Woods",12,254.944,3059.333,"FedExCupPointsperEventLeaders",2013
2,2,"Phil Mickelson",17,127.409,2165.95,"FedExCupPointsperEventLeaders",2013
3,3,"Matt Kuchar",19,120.671,2292.75,"FedExCupPointsperEventLeaders",2013
4,4,"Brandt Snedeker",19,116.756,2218.357,"FedExCupPointsperEventLeaders",2013
5,5,"Adam Scott",12,112.22,1346.643,"FedExCupPointsperEventLeaders",2013
6,6,"Steve Stricker",10,111.729,1117.286,"FedExCupPointsperEventLeaders",2013
7,7,"Justin Rose",13,111.286,1446.713,"FedExCupPointsperEventLeaders",2013
8,8,"Henrik Stenson",14,101.857,1426,"FedExCupPointsperEventLeaders",2013
9,9,"Jordan Spieth",19,75.582,1436.056,"FedExCupPointsperEventLeaders",2013
10,10,"Jason Day",17,75.513,1283.726,"FedExCupPointsperEventLeaders",2013
11,11,"Graeme McDowell",13,72.362,940.706,"FedExCupPointsperEventLeaders",2013
12,12,"Bill Haas",21,71.671,1505.083,"FedExCupPointsperEventLeaders",2013
13,13,"Jason Dufner",18,69.764,1255.75,"FedExCupPointsperEventLeaders",2013
14,14,"Dustin Johnson",18,68.086,1225.55,"FedExCupPointsperEventLeaders",2013
15,15,"Billy Horschel",22,67.57,1486.534,"FedExCupPointsperEventLeaders",2013
16,16,"Keegan Bradley",21,67.425,1415.916,"FedExCupPointsperEventLeaders",2013
17,17,"Kevin Streelman",21,63.46,1332.669,"FedExCupPointsperEventLeaders",2013
18,18,"Rory McIlroy",13,59.784,777.19,"FedExCupPointsperEventLeaders",2013
19,19,"Jim Furyk",18,58.721,1056.98,"FedExCupPointsperEventLeaders",2013
20,20,"Charl Schwartzel",15,58.067,871,"FedExCupPointsperEventLeaders",2013
21,21,"Boo Weekley",23,58.054,1335.253,"FedExCupPointsperEventLeaders",2013
22,22,"Webb Simpson",21,56.587,1188.333,"FedExCupPointsperEventLeaders",2013
23,23,"Luke Donald",13,54.42,707.456,"FedExCupPointsperEventLeaders",2013
24,24,"Zach Johnson",21,54.319,1140.706,"FedExCupPointsperEventLeaders",2013
25,25,"Lee Westwood",16,53.507,856.11,"FedExCupPointsperEventLeaders",2013
26,26,"Sergio Garcia",13,52.622,684.087,"FedExCupPointsperEventLeaders",2013
27,27,"Hunter Mahan",21,52.41,1100.603,"FedExCupPointsperEventLeaders",2013
28,28,"Russell Henley",21,49.882,1047.52,"FedExCupPointsperEventLeaders",2013
29,29,"Ian Poulter",13,49.615,645,"FedExCupPointsperEventLeaders",2013
30,30,"Harris English",23,49.321,1134.373,"FedExCupPointsperEventLeaders",2013
31,31,"Jimmy Walker",21,47.427,995.976,"FedExCupPointsperEventLeaders",2013
32,32,"Patrick Reed",23,46.181,1062.16,"FedExCupPointsperEventLeaders",2013
33,33,"Bubba Watson",18,46.097,829.75,"FedExCupPointsperEventLeaders",2013
34,34,"Angel Cabrera",18,45.903,826.247,"FedExCupPointsperEventLeaders",2013
35,35,"John Merrick",20,45.433,908.667,"FedExCupPointsperEventLeaders",2013
36,36,"Michael Thompson",19,43.581,828.04,"FedExCupPointsperEventLeaders",2013
37,37,"Jonas Blixt",21,43.436,912.16,"FedExCupPointsperEventLeaders",2013
38,38,"Charles Howell III",23,43.296,995.812,"FedExCupPointsperEventLeaders",2013
39,39,"DA Points",24,43.254,1038.1,"FedExCupPointsperEventLeaders",2013
40,40,"Rickie Fowler",19,43.246,821.68,"FedExCupPointsperEventLeaders",2013
41,41,"Chris Kirk",21,43.048,904,"FedExCupPointsperEventLeaders",2013
42,42,"Martin Laird",19,42.604,809.47,"FedExCupPointsperEventLeaders",2013
43,43,"Bernhard Langer",1,41.5,41.5,"FedExCupPointsperEventLeaders",2013
44,44,"Woody Austin",8,40.75,326,"FedExCupPointsperEventLeaders",2013
45,45,"Ryan Palmer",20,40.025,800.5,"FedExCupPointsperEventLeaders",2013
46,46,"Matt Jones",21,39.81,836.003,"FedExCupPointsperEventLeaders",2013
47,47,"Charley Hoffman",20,39.67,793.39,"FedExCupPointsperEventLeaders",2013
48,48,"Tim Clark",18,39.069,703.25,"FedExCupPointsperEventLeaders",2013
49,49,"Graham DeLaet",22,38.93,856.463,"FedExCupPointsperEventLeaders",2013
50,50,"Freddie Jacobson",17,38.75,658.75,"FedExCupPointsperEventLeaders",2013
51,51,"David Lingmerth",21,38.393,806.25,"FedExCupPointsperEventLeaders",2013
52,52,"David Lynn",19,37.684,716,"FedExCupPointsperEventLeaders",2013
53,53,"Scott Piercy",21,36.793,772.65,"FedExCupPointsperEventLeaders",2013
54,54,"Sangmoon Bae",23,36.415,837.55,"FedExCupPointsperEventLeaders",2013
55,55,"Ken Duke",25,36.08,902,"FedExCupPointsperEventLeaders",2013
56,56,"Ernie Els",16,35.685,570.967,"FedExCupPointsperEventLeaders",2013
57,57,"Brian Gay",21,35.45,744.44,"FedExCupPointsperEventLeaders",2013
58,58,"Chris Stroud",23,34.787,800.097,"FedExCupPointsperEventLeaders",2013
59,59,"Fred Couples",4,34.575,138.3,"FedExCupPointsperEventLeaders",2013
60,60,"Ryan Moore",19,34.364,652.917,"FedExCupPointsperEventLeaders",2013
61,61,"Scott Stallings",24,34.017,816.4,"FedExCupPointsperEventLeaders",2013
62,62,"Roberto Castro",25,32.914,822.846,"FedExCupPointsperEventLeaders",2013
63,63,"Kevin Chappell",21,32.816,689.132,"FedExCupPointsperEventLeaders",2013
64,64,"Bob Estes",16,32.656,522.5,"FedExCupPointsperEventLeaders",2013
65,65,"Marc Leishman",20,32.415,648.299,"FedExCupPointsperEventLeaders",2013
66,66,"David Hearn",23,31.659,728.16,"FedExCupPointsperEventLeaders",2013
67,67,"John Rollins",22,31.626,695.78,"FedExCupPointsperEventLeaders",2013
68,68,"Martin Kaymer",15,31.6,474,"FedExCupPointsperEventLeaders",2013
69,69,"Derek Ernst",19,31.447,597.5,"FedExCupPointsperEventLeaders",2013
70,70,"Gary Woodland",22,31.05,683.09,"FedExCupPointsperEventLeaders",2013
71,71,"Josh Teater",22,30.979,681.54,"FedExCupPointsperEventLeaders",2013
72,72,"Scott Brown",19,30.97,588.43,"FedExCupPointsperEventLeaders",2013
73,73,"KJ Choi",22,30.265,665.833,"FedExCupPointsperEventLeaders",2013
74,74,"Nick Watney",22,30.118,662.596,"FedExCupPointsperEventLeaders",2013
75,75,"Kyle Stanley",22,30.074,661.626,"FedExCupPointsperEventLeaders",2013
76,76,"Robert Garrigus",20,30.065,601.29,"FedExCupPointsperEventLeaders",2013
77,77,"Cameron Tringale",22,29.705,653.5,"FedExCupPointsperEventLeaders",2013
78,78,"Brendon de Jonge",26,29.589,769.306,"FedExCupPointsperEventLeaders",2013
79,79,"Brendon Todd",10,29.25,292.5,"FedExCupPointsperEventLeaders",2013
80,80,"Jerry Kelly",20,28.975,579.5,"FedExCupPointsperEventLeaders",2013
81,81,"Stewart Cink",20,28.389,567.77,"FedExCupPointsperEventLeaders",2013
82,82,"Peter Lonard",1,27.5,27.5,"FedExCupPointsperEventLeaders",2013
82,82,"Paul Stankowski",1,27.5,27.5,"FedExCupPointsperEventLeaders",2013
84,84,"Geoff Ogilvy",18,27.306,491.5,"FedExCupPointsperEventLeaders",2013
85,85,"Pat Perez",20,27.219,544.387,"FedExCupPointsperEventLeaders",2013
86,86,"Bo Van Pelt",20,27.076,541.523,"FedExCupPointsperEventLeaders",2013
87,87,"Russ Cochran",1,26.5,26.5,"FedExCupPointsperEventLeaders",2013
88,88,"Mark Wilson",18,26.471,476.473,"FedExCupPointsperEventLeaders",2013
89,89,"John Huh",25,26.451,661.27,"FedExCupPointsperEventLeaders",2013
90,90,"Daniel Summerhays",23,25.841,594.338,"FedExCupPointsperEventLeaders",2013
91,91,"Richard Lee",22,25.668,564.692,"FedExCupPointsperEventLeaders",2013
92,92,"Brian Stuard",23,25.331,582.603,"FedExCupPointsperEventLeaders",2013
93,93,"Brendan Steele",23,24.948,573.812,"FedExCupPointsperEventLeaders",2013
94,94,"Kevin Stadler",22,24.869,547.116,"FedExCupPointsperEventLeaders",2013
95,95,"Brian Davis",25,24.864,621.607,"FedExCupPointsperEventLeaders",2013
96,96,"Ted Potter Jr",21,24.675,518.167,"FedExCupPointsperEventLeaders",2013
97,97,"Justin Leonard",22,24.377,536.29,"FedExCupPointsperEventLeaders",2013
98,98,"Luke Guthrie",25,24.28,606.996,"FedExCupPointsperEventLeaders",2013
99,99,"William McGirt",22,24.221,532.87,"FedExCupPointsperEventLeaders",2013
100,100,"Martin Flores",23,24.011,552.25,"FedExCupPointsperEventLeaders",2013
101,101,"Bryce Molder",21,23.98,503.588,"FedExCupPointsperEventLeaders",2013
102,102,"James Driscoll",22,23.809,523.787,"FedExCupPointsperEventLeaders",2013
103,103,"Peter Hanson",15,23.766,356.493,"FedExCupPointsperEventLeaders",2013
104,104,"Jason Kokrak",22,23.668,520.7,"FedExCupPointsperEventLeaders",2013
105,105,"Morgan Hoffmann",19,23.392,444.446,"FedExCupPointsperEventLeaders",2013
106,106,"Rory Sabbatini",24,23.033,552.786,"FedExCupPointsperEventLeaders",2013
