"LeftRoughTendency_RANKTHISWEEK_2014","LeftRoughTendency_RANKLASTWEEK_2014","LeftRoughTendency_PLAYERNAME_2014","LeftRoughTendency_ROUNDS_2014","LeftRoughTendency_Pct_2014","LeftRoughTendency_TOTALLEFTROUGH_2014","LeftRoughTendency_POSSIBLEFWYS_2014","LeftRoughTendency_RELATIVETOPAR_2014","stat_name","year"
1,1,"David Toms",64,8,60,750,0.2,"LeftRoughTendency",2014
2,2,"Tim Clark",75,8.82,76,862,0.12,"LeftRoughTendency",2014
3,3,"Mark Wilson",69,9.24,73,790,0.07,"LeftRoughTendency",2014
4,4,"David Hearn",97,9.35,106,1134,0.21,"LeftRoughTendency",2014
5,5,"Bryce Molder",77,9.74,86,883,0.02,"LeftRoughTendency",2014
6,6,"Jim Furyk",84,9.8,90,918,0.07,"LeftRoughTendency",2014
7,7,"George McNeill",79,10.02,97,968,0.16,"LeftRoughTendency",2014
8,8,"Troy Merritt",62,10.1,77,762,0.01,"LeftRoughTendency",2014
9,9,"Nick Watney",80,10.22,80,783,0.14,"LeftRoughTendency",2014
10,10,"Ken Duke",80,10.53,97,921,0.2,"LeftRoughTendency",2014
11,11,"Boo Weekley",73,10.57,83,785,-0.06,"LeftRoughTendency",2014
12,12,"Justin Hicks",103,10.77,135,1253,0.11,"LeftRoughTendency",2014
13,13,"Greg Chalmers",85,10.97,110,1003,0.12,"LeftRoughTendency",2014
14,14,"Henrik Stenson",56,11.03,58,526,0.07,"LeftRoughTendency",2014
15,15,"Kevin Streelman",79,11.24,94,836,0.16,"LeftRoughTendency",2014
16,16,"Hunter Mahan",88,11.29,113,1001,0.07,"LeftRoughTendency",2014
17,17,"Russell Knox",92,11.43,132,1155,0.07,"LeftRoughTendency",2014
18,18,"Kevin Chappell",100,11.51,138,1199,0.06,"LeftRoughTendency",2014
19,19,"Heath Slocum",71,11.53,100,867,-0.05,"LeftRoughTendency",2014
20,20,"Aaron Baddeley",74,11.54,92,797,-0.01,"LeftRoughTendency",2014
21,21,"Kevin Kisner",85,11.59,112,966,0.06,"LeftRoughTendency",2014
22,22,"Ryan Moore",86,11.62,101,869,0.17,"LeftRoughTendency",2014
23,23,"Billy Hurley III",86,11.67,117,1003,0.15,"LeftRoughTendency",2014
24,24,"Ted Potter Jr",68,11.75,98,834,0.1,"LeftRoughTendency",2014
25,25,"Nicholas Thompson",85,11.76,114,969,0.27,"LeftRoughTendency",2014
26,26,"Trevor Immelman",84,11.78,109,925,0.09,"LeftRoughTendency",2014
27,27,"Gonzalo Fdez Castano",83,11.8,113,958,0.12,"LeftRoughTendency",2014
28,28,"Kyle Stanley",87,11.81,117,991,0.15,"LeftRoughTendency",2014
29,29,"Scott Langley",95,11.82,129,1091,0.07,"LeftRoughTendency",2014
30,30,"Martin Kaymer",65,11.83,79,668,0.25,"LeftRoughTendency",2014
31,31,"John Huh",87,11.9,116,975,0.2,"LeftRoughTendency",2014
32,32,"Tim Wilkinson",86,12.02,119,990,0.15,"LeftRoughTendency",2014
33,33,"Derek Ernst",80,12.06,106,879,0.17,"LeftRoughTendency",2014
34,34,"James Hahn",82,12.08,122,1010,0.1,"LeftRoughTendency",2014
35,35,"Bill Haas",107,12.13,137,1129,0.03,"LeftRoughTendency",2014
36,36,"Ben Crane",81,12.15,131,1078,0.14,"LeftRoughTendency",2014
37,37,"Marc Leishman",81,12.17,115,945,0.05,"LeftRoughTendency",2014
38,38,"Zach Johnson",97,12.18,143,1174,0.03,"LeftRoughTendency",2014
39,39,"Jason Dufner",57,12.29,72,586,0.14,"LeftRoughTendency",2014
40,40,"KJ Choi",80,12.32,114,925,0.18,"LeftRoughTendency",2014
40,40,"Charlie Wi",72,12.32,111,901,0.03,"LeftRoughTendency",2014
42,42,"John Peterson",62,12.43,95,764,0.18,"LeftRoughTendency",2014
43,43,"DH Lee",54,12.46,78,626,0.21,"LeftRoughTendency",2014
43,43,"Ben Martin",80,12.46,109,875,0.06,"LeftRoughTendency",2014
45,45,"Rickie Fowler",91,12.51,106,847,0.09,"LeftRoughTendency",2014
46,46,"Brendon de Jonge",109,12.53,160,1277,0.04,"LeftRoughTendency",2014
47,47,"Ben Curtis",77,12.54,111,885,0.18,"LeftRoughTendency",2014
48,48,"Billy Horschel",92,12.56,121,963,0.07,"LeftRoughTendency",2014
48,48,"Lee Westwood",57,12.56,75,597,0.15,"LeftRoughTendency",2014
50,50,"Brice Garnett",92,12.59,136,1080,0.01,"LeftRoughTendency",2014
51,51,"Sangmoon Bae",76,12.61,114,904,0.06,"LeftRoughTendency",2014
52,52,"Lucas Glover",68,12.63,82,649,0.16,"LeftRoughTendency",2014
53,53,"Graeme McDowell",66,12.66,81,640,0.12,"LeftRoughTendency",2014
54,54,"Jamie Lovemark",64,12.67,82,647,-0.04,"LeftRoughTendency",2014
55,55,"Charley Hoffman",93,12.69,133,1048,-0.03,"LeftRoughTendency",2014
55,55,"Justin Rose",70,12.69,91,717,0.04,"LeftRoughTendency",2014
57,57,"YE Yang",79,12.72,107,841,0.07,"LeftRoughTendency",2014
58,58,"Vijay Singh",83,12.73,134,1053,0.07,"LeftRoughTendency",2014
59,59,"Kevin Stadler",90,12.82,116,905,0.16,"LeftRoughTendency",2014
60,60,"John Senden",99,12.83,144,1122,0.03,"LeftRoughTendency",2014
61,61,"Russell Henley",92,12.88,134,1040,0.09,"LeftRoughTendency",2014
61,61,"Jerry Kelly",80,12.88,118,916,0.05,"LeftRoughTendency",2014
63,63,"Daniel Summerhays",98,12.89,158,1226,0.05,"LeftRoughTendency",2014
64,64,"Wes Roach",67,12.93,90,696,0.13,"LeftRoughTendency",2014
64,64,"Jhonattan Vegas",77,12.93,114,882,-0.07,"LeftRoughTendency",2014
66,66,"Brian Stuard",91,12.94,133,1028,0.18,"LeftRoughTendency",2014
67,67,"Matt Kuchar",91,12.97,137,1056,0.04,"LeftRoughTendency",2014
68,68,"Hudson Swafford",75,12.98,104,801,-0.02,"LeftRoughTendency",2014
69,69,"Chris Stroud",88,12.99,130,1001,0.1,"LeftRoughTendency",2014
70,70,"Josh Teater",90,13.03,135,1036,0.05,"LeftRoughTendency",2014
71,71,"John Rollins",84,13.04,120,920,0.02,"LeftRoughTendency",2014
72,72,"Andrew Svoboda",77,13.07,120,918,0.13,"LeftRoughTendency",2014
73,73,"Kevin Na",94,13.08,141,1078,0.05,"LeftRoughTendency",2014
74,74,"Charl Schwartzel",64,13.1,98,748,-0.09,"LeftRoughTendency",2014
75,75,"Scott Brown",100,13.19,153,1160,0.13,"LeftRoughTendency",2014
76,76,"Hideki Matsuyama",82,13.21,118,893,0.04,"LeftRoughTendency",2014
77,77,"Brendon Todd",108,13.22,167,1263,0.05,"LeftRoughTendency",2014
78,78,"Jeff Maggert",54,13.24,81,612,0.14,"LeftRoughTendency",2014
79,79,"John Merrick",87,13.27,133,1002,0.08,"LeftRoughTendency",2014
80,80,"Paul Casey",56,13.3,81,609,0.23,"LeftRoughTendency",2014
81,81,"William McGirt",96,13.36,156,1168,0.08,"LeftRoughTendency",2014
82,82,"Pat Perez",84,13.38,139,1039,0.12,"LeftRoughTendency",2014
83,83,"Rory Sabbatini",82,13.39,120,896,0.18,"LeftRoughTendency",2014
84,84,"Chad Campbell",57,13.4,86,642,0.01,"LeftRoughTendency",2014
85,85,"Adam Scott",68,13.41,105,783,0.06,"LeftRoughTendency",2014
86,86,"Ian Poulter",57,13.45,76,565,0,"LeftRoughTendency",2014
86,86,"Kevin Tway",64,13.45,87,647,-0.01,"LeftRoughTendency",2014
88,88,"Michael Thompson",74,13.51,112,829,0.13,"LeftRoughTendency",2014
89,89,"Cameron Tringale",111,13.57,184,1356,0.07,"LeftRoughTendency",2014
90,90,"Sergio Garcia",61,13.59,75,552,-0.05,"LeftRoughTendency",2014
90,90,"Chris Kirk",105,13.59,163,1199,0.07,"LeftRoughTendency",2014
92,92,"Jason Bohn",81,13.66,138,1010,0.17,"LeftRoughTendency",2014
93,93,"Jonathan Byrd",76,13.7,123,898,0.07,"LeftRoughTendency",2014
94,94,"Brad Fritsch",50,13.73,74,539,0.11,"LeftRoughTendency",2014
95,95,"Justin Leonard",75,13.75,118,858,0.14,"LeftRoughTendency",2014
96,96,"Tommy Gainey",73,13.77,114,828,0.11,"LeftRoughTendency",2014
97,97,"Brandt Snedeker",89,13.79,126,914,0.06,"LeftRoughTendency",2014
98,98,"Brian Davis",93,13.8,155,1123,0.1,"LeftRoughTendency",2014
98,98,"Jordan Spieth",102,13.8,151,1094,0.13,"LeftRoughTendency",2014
100,100,"Will Ma Kenzie",82,13.82,139,1006,0.19,"LeftRoughTendency",2014
101,101,"Danny Lee",84,13.91,133,956,0.08,"LeftRoughTendency",2014
102,102,"Briny Baird",50,13.94,87,624,0.18,"LeftRoughTendency",2014
102,102,"Brian Gay",81,13.94,122,875,0.07,"LeftRoughTendency",2014
104,104,"Richard Lee",80,13.95,118,846,0.15,"LeftRoughTendency",2014
105,105,"Jim Herman",62,13.98,93,665,0.06,"LeftRoughTendency",2014
106,106,"Freddie Jacobson",91,14.05,156,1110,0.04,"LeftRoughTendency",2014
107,107,"Harris English",95,14.15,144,1018,0.06,"LeftRoughTendency",2014
108,108,"Martin Laird",66,14.23,109,766,0.07,"LeftRoughTendency",2014
109,109,"Martin Flores",85,14.24,133,934,0.03,"LeftRoughTendency",2014
110,110,"Roberto Castro",76,14.3,116,811,0.1,"LeftRoughTendency",2014
110,110,"Ernie Els",85,14.3,123,860,0.1,"LeftRoughTendency",2014
112,112,"Seung Yul Noh",92,14.38,148,1029,0.09,"LeftRoughTendency",2014
113,113,"Charlie Beljan",76,14.39,133,924,0.09,"LeftRoughTendency",2014
114,114,"Bud Cauley",56,14.42,92,638,0.15,"LeftRoughTendency",2014
115,115,"Keegan Bradley",89,14.44,134,928,0.1,"LeftRoughTendency",2014
116,116,"Gary Woodland",93,14.46,146,1010,0.06,"LeftRoughTendency",2014
117,117,"Jonas Blixt",64,14.5,86,593,0.13,"LeftRoughTendency",2014
118,118,"David Lingmerth",80,14.54,133,915,0.16,"LeftRoughTendency",2014
119,119,"JJ Henry",91,14.56,157,1078,0.01,"LeftRoughTendency",2014
120,120,"Chad Collins",78,14.61,123,842,0.18,"LeftRoughTendency",2014
121,121,"Shawn Stefani",60,14.63,116,793,0.04,"LeftRoughTendency",2014
122,122,"Brooks Koepka",56,14.66,85,580,-0.02,"LeftRoughTendency",2014
123,123,"Luke Donald",57,14.69,89,606,0.19,"LeftRoughTendency",2014
123,123,"Troy Matteson",62,14.69,98,667,0.1,"LeftRoughTendency",2014
123,123,"Bubba Watson",76,14.69,114,776,-0.07,"LeftRoughTendency",2014
126,126,"Geoff Ogilvy",84,14.8,149,1007,0.13,"LeftRoughTendency",2014
127,127,"Matt Jones",83,14.82,122,823,-0.02,"LeftRoughTendency",2014
127,127,"Michael Putnam",106,14.82,186,1255,0.11,"LeftRoughTendency",2014
129,129,"Mike Weir",69,14.88,108,726,0.11,"LeftRoughTendency",2014
130,130,"Graham DeLaet",80,14.92,132,885,0.08,"LeftRoughTendency",2014
131,131,"Brendan Steele",89,14.93,145,971,0.09,"LeftRoughTendency",2014
132,132,"Stuart Appleby",92,15.03,175,1164,0.13,"LeftRoughTendency",2014
133,133,"Bo Van Pelt",83,15.04,140,931,0.09,"LeftRoughTendency",2014
134,134,"Luke Guthrie",85,15.17,159,1048,0.03,"LeftRoughTendency",2014
135,135,"Retief Goosen",94,15.19,163,1073,0.04,"LeftRoughTendency",2014
136,136,"DA Points",75,15.2,116,763,0.22,"LeftRoughTendency",2014
137,137,"Robert Garrigus",80,15.24,153,1004,0.07,"LeftRoughTendency",2014
138,138,"Jeff Overton",80,15.32,140,914,0.06,"LeftRoughTendency",2014
138,138,"Carl Pettersson",91,15.32,180,1175,0.05,"LeftRoughTendency",2014
140,140,"Stewart Cink",91,15.34,152,991,0.05,"LeftRoughTendency",2014
141,141,"Brian Harman",111,15.47,217,1403,0.13,"LeftRoughTendency",2014
142,142,"Camilo Villegas",95,15.48,179,1156,0.15,"LeftRoughTendency",2014
143,143,"Angel Cabrera",69,15.56,131,842,0.08,"LeftRoughTendency",2014
143,143,"Will Wilcox",51,15.56,87,559,0.02,"LeftRoughTendency",2014
145,145,"Webb Simpson",87,15.69,161,1026,0.05,"LeftRoughTendency",2014
146,146,"Morgan Hoffmann",103,15.75,194,1232,0.14,"LeftRoughTendency",2014
147,147,"Patrick Reed",92,15.77,162,1027,0.09,"LeftRoughTendency",2014
148,148,"Woody Austin",63,15.78,125,792,0.11,"LeftRoughTendency",2014
149,149,"Spencer Levin",59,15.92,110,691,0.19,"LeftRoughTendency",2014
150,150,"Rory McIlroy",66,15.94,106,665,-0.07,"LeftRoughTendency",2014
151,151,"Jason Day",54,16,72,450,0.17,"LeftRoughTendency",2014
152,152,"Louis Oosthuizen",50,16.14,67,415,0.28,"LeftRoughTendency",2014
153,153,"Ryan Palmer",85,16.16,150,928,-0.01,"LeftRoughTendency",2014
154,154,"Scott Stallings",77,16.22,140,863,0.22,"LeftRoughTendency",2014
155,155,"Johnson Wagner",69,16.23,130,801,0.15,"LeftRoughTendency",2014
156,156,"Jim Renner",61,16.34,117,716,0.09,"LeftRoughTendency",2014
157,157,"JB Holmes",86,16.38,171,1044,0.09,"LeftRoughTendency",2014
158,158,"Andres Romero",81,16.4,161,982,0.05,"LeftRoughTendency",2014
159,159,"Ricky Barnes",92,16.43,177,1077,0.01,"LeftRoughTendency",2014
160,160,"Phil Mickelson",71,16.52,114,690,-0.01,"LeftRoughTendency",2014
160,160,"Sean OHair",77,16.52,151,914,0.07,"LeftRoughTendency",2014
162,162,"Jason Kokrak",65,16.65,139,835,-0.04,"LeftRoughTendency",2014
163,163,"Dustin Johnson",58,16.75,96,573,-0.02,"LeftRoughTendency",2014
164,164,"Erik Compton",88,16.91,174,1029,0.14,"LeftRoughTendency",2014
165,165,"Andrew Loupe",65,16.94,115,679,0.05,"LeftRoughTendency",2014
166,166,"Matt Every",85,17.14,152,887,0,"LeftRoughTendency",2014
167,167,"Ryo Ishikawa",75,17.26,146,846,0.12,"LeftRoughTendency",2014
168,168,"Bronson La Cassie",51,17.27,86,498,0.05,"LeftRoughTendency",2014
169,169,"Robert Allenby",83,17.41,168,965,0.08,"LeftRoughTendency",2014
170,170,"Steven Bowditch",93,17.5,188,1074,0.11,"LeftRoughTendency",2014
171,171,"Robert Streb",75,17.7,157,887,0.06,"LeftRoughTendency",2014
172,172,"James Driscoll",71,17.76,141,794,0.2,"LeftRoughTendency",2014
173,173,"Jimmy Walker",98,17.85,179,1003,0.01,"LeftRoughTendency",2014
174,174,"Davis Love III",74,17.98,155,862,0.15,"LeftRoughTendency",2014
175,175,"Charles Howell III",106,18.04,236,1308,-0.09,"LeftRoughTendency",2014
176,176,"Chesson Hadley",84,18.29,180,984,0.16,"LeftRoughTendency",2014
177,177,"Tyrone Van Aswegen",79,19.19,170,886,0.08,"LeftRoughTendency",2014
