"DistancetoApex_RANKTHISWEEK_2016","DistancetoApex_RANKLASTWEEK_2016","DistancetoApex_PLAYERNAME_2016","DistancetoApex_ROUNDS_2016","DistancetoApex_AVG_2016","DistancetoApex_TOTALAPEXRANGE_2016","DistancetoApex_TOTALATTEMPTS_2016","DistancetoApex_LONGESTDISTTOAPEX_2016","DistancetoApex_SHORTESTDISTTOAPEX_2016","stat_name","year"
1,1,"Andrew Loupe",50,204.7,9006.5,44,215.4,187.9,"DistancetoApex",2016
2,2,"JB Holmes",39,202.5,6276.5,31,214.6,176.2,"DistancetoApex",2016
3,3,"Tony Finau",49,202.4,6679.8,33,221.4,167.9,"DistancetoApex",2016
4,4,"Dustin Johnson",37,200.6,4613,23,217.7,175.2,"DistancetoApex",2016
5,5,"Bubba Watson",30,199.5,3392.3,17,210.3,181.1,"DistancetoApex",2016
6,7,"Jamie Lovemark",57,198.7,10731.1,54,212,182.4,"DistancetoApex",2016
6,6,"Gary Woodland",45,198.7,6756.2,34,211.4,168.5,"DistancetoApex",2016
8,8,"Jason Kokrak",52,198,7723.4,39,217.1,158.9,"DistancetoApex",2016
8,9,"Rory McIlroy",37,198,4949.2,25,207.8,173.1,"DistancetoApex",2016
10,11,"Jhonattan Vegas",49,197.9,6927.7,35,212.4,179.4,"DistancetoApex",2016
11,10,"Luke List",51,197.8,8702.9,44,210.2,180.6,"DistancetoApex",2016
12,12,"Hudson Swafford",52,196.1,6863.1,35,207.8,172.5,"DistancetoApex",2016
13,14,"Ollie Schniederjans",23,195.9,3133.9,16,213.2,164.5,"DistancetoApex",2016
14,13,"Brooks Koepka",39,195.5,5279.3,27,209.1,156.8,"DistancetoApex",2016
15,15,"Smylie Kaufman",57,194.5,7586.5,39,204.4,181.1,"DistancetoApex",2016
16,16,"Brendan Steele",48,194.1,6600.2,34,213.2,180.6,"DistancetoApex",2016
17,18,"Patrick Rodgers",49,193.8,7559.8,39,210.5,167.1,"DistancetoApex",2016
18,17,"Charles Howell III",63,193.2,11203.6,58,208.7,152.2,"DistancetoApex",2016
19,19,"Adam Scott",39,192.3,5192.9,27,205.5,180.2,"DistancetoApex",2016
20,19,"Martin Laird",46,192.2,6919.7,36,202.8,167.5,"DistancetoApex",2016
21,21,"Justin Thomas",53,191.9,9021,47,201.3,178.8,"DistancetoApex",2016
22,23,"Scott Pinckney",53,191.8,7479.3,39,210.4,178,"DistancetoApex",2016
23,22,"Charlie Beljan",26,191.7,2492.1,13,206.6,179.5,"DistancetoApex",2016
24,24,"Sergio Garcia",28,191.3,2678.8,14,201.1,172.4,"DistancetoApex",2016
25,25,"Jason Day",36,190.9,5346.2,28,209.8,168.8,"DistancetoApex",2016
26,26,"Harris English",51,190.7,7245.5,38,203.1,173,"DistancetoApex",2016
26,29,"Rickie Fowler",42,190.7,6675.5,35,211.1,170.8,"DistancetoApex",2016
28,26,"Henrik Stenson",30,190.6,2096.2,11,202.4,180.4,"DistancetoApex",2016
29,28,"Charl Schwartzel",29,189.9,4368.3,23,204,149.9,"DistancetoApex",2016
30,30,"Keegan Bradley",40,189.4,6249.2,33,203,165.1,"DistancetoApex",2016
31,32,"Phil Mickelson",37,189.3,5300.4,28,205.7,170.3,"DistancetoApex",2016
32,35,"Carlos Ortiz",47,189,8129,43,207.9,143.5,"DistancetoApex",2016
33,31,"Ryan Palmer",46,188.9,9635.5,51,204.5,174.2,"DistancetoApex",2016
34,33,"Graham DeLaet",50,188.7,8491.9,45,204.8,171.5,"DistancetoApex",2016
34,40,"Justin Rose",35,188.7,5284.5,28,198.9,168.9,"DistancetoApex",2016
36,33,"Greg Owen",56,188.4,9044.9,48,205.3,160.1,"DistancetoApex",2016
37,38,"Robert Garrigus",34,188.3,4706.5,25,199.7,163.6,"DistancetoApex",2016
38,36,"Andres Romero",22,188.2,2823.7,15,201.4,176.8,"DistancetoApex",2016
39,37,"Aaron Baddeley",51,188.1,6770.7,36,202.8,167.9,"DistancetoApex",2016
40,38,"Seung Yul Noh",54,188,9212.1,49,204.7,128.2,"DistancetoApex",2016
41,41,"Derek Ernst",36,187.6,4127.7,22,200.2,163.3,"DistancetoApex",2016
42,43,"Kevin Chappell",49,187.5,6563.1,35,208.1,164.9,"DistancetoApex",2016
43,48,"Patrick Reed",53,187.2,7486.5,40,200.4,174.3,"DistancetoApex",2016
44,42,"Billy Horschel",45,186.8,8034.4,43,198.1,168.1,"DistancetoApex",2016
44,46,"Hideki Matsuyama",40,186.8,5790.1,31,200.9,168.1,"DistancetoApex",2016
46,43,"Charley Hoffman",49,186.4,8762.5,47,205.4,160.9,"DistancetoApex",2016
46,43,"Matt Jones",45,186.4,4101.4,22,196.1,171.2,"DistancetoApex",2016
48,49,"Harold Varner III",58,186.1,9863.1,53,202.1,161,"DistancetoApex",2016
