"OnePuttPercentage_RANKTHISWEEK_2015","OnePuttPercentage_RANKLASTWEEK_2015","OnePuttPercentage_PLAYERNAME_2015","OnePuttPercentage_ROUNDS_2015","OnePuttPercentage_Pct_2015","OnePuttPercentage_OF1PUTTS_2015","OnePuttPercentage_OFHOLES_2015","stat_name","year"
1,1,"Jordan Spieth",91,44.26,701,1584,"OnePuttPercentage",2015
2,2,"Andrew Putnam",68,43.58,502,1152,"OnePuttPercentage",2015
3,3,"Phil Mickelson",70,43.41,547,1260,"OnePuttPercentage",2015
4,4,"Jerry Kelly",79,43.04,612,1422,"OnePuttPercentage",2015
5,5,"Brendon Todd",96,43.01,720,1674,"OnePuttPercentage",2015
6,6,"Brandt Snedeker",98,42.81,732,1710,"OnePuttPercentage",2015
7,7,"JB Holmes",89,42.75,654,1530,"OnePuttPercentage",2015
8,8,"Aaron Baddeley",76,42.72,569,1332,"OnePuttPercentage",2015
9,9,"Danny Lee",120,42.64,921,2160,"OnePuttPercentage",2015
10,10,"Steven Bowditch",103,42.61,790,1854,"OnePuttPercentage",2015
10,10,"Matt Kuchar",97,42.61,721,1692,"OnePuttPercentage",2015
12,12,"Kevin Na",98,42.51,727,1710,"OnePuttPercentage",2015
13,13,"Matt Jones",89,42.38,656,1548,"OnePuttPercentage",2015
14,14,"Carl Pettersson",106,42.3,807,1908,"OnePuttPercentage",2015
15,15,"Patrick Reed",103,42.11,758,1800,"OnePuttPercentage",2015
16,16,"Jason Day",75,42.05,545,1296,"OnePuttPercentage",2015
17,17,"Justin Thomas",106,41.93,800,1908,"OnePuttPercentage",2015
18,18,"Chesson Hadley",101,41.91,762,1818,"OnePuttPercentage",2015
19,19,"Fabian Gomez",83,41.9,626,1494,"OnePuttPercentage",2015
20,20,"Sangmoon Bae",98,41.78,737,1764,"OnePuttPercentage",2015
21,21,"Erik Compton",86,41.73,646,1548,"OnePuttPercentage",2015
22,22,"Ricky Barnes",82,41.67,585,1404,"OnePuttPercentage",2015
23,23,"Brian Davis",86,41.6,614,1476,"OnePuttPercentage",2015
24,24,"KJ Choi",66,41.49,463,1116,"OnePuttPercentage",2015
25,25,"Luke Guthrie",84,41.46,612,1476,"OnePuttPercentage",2015
26,26,"Morgan Hoffmann",85,41.44,634,1530,"OnePuttPercentage",2015
27,27,"Steve Wheatcroft",87,41.43,619,1494,"OnePuttPercentage",2015
28,28,"Eric Axley",57,41.31,409,990,"OnePuttPercentage",2015
29,29,"Jimmy Walker",89,41.28,639,1548,"OnePuttPercentage",2015
30,30,"Greg Chalmers",58,41.26,401,972,"OnePuttPercentage",2015
31,31,"Ryan Moore",81,41.17,578,1404,"OnePuttPercentage",2015
32,32,"Daniel Summerhays",101,41.09,747,1818,"OnePuttPercentage",2015
33,33,"Scott Brown",97,41.07,717,1746,"OnePuttPercentage",2015
33,33,"Chad Collins",79,41.07,584,1422,"OnePuttPercentage",2015
35,35,"Rickie Fowler",76,40.97,531,1296,"OnePuttPercentage",2015
36,36,"Brian Stuard",97,40.92,685,1674,"OnePuttPercentage",2015
37,37,"Matt Every",73,40.87,515,1260,"OnePuttPercentage",2015
37,37,"Chris Kirk",76,40.87,537,1314,"OnePuttPercentage",2015
39,39,"David Lingmerth",90,40.86,662,1620,"OnePuttPercentage",2015
