"OnePuttPercentageRound4_RANKTHISWEEK_2005","OnePuttPercentageRound4_RANKLASTWEEK_2005","OnePuttPercentageRound4_PLAYERNAME_2005","OnePuttPercentageRound4__2005","OnePuttPercentageRound4_Pct_2005","OnePuttPercentageRound4_OF1PUTTS_2005","OnePuttPercentageRound4_OFHOLES_2005","stat_name","year"
1,1,"Bob Heintz",NA,50,81,162,"OnePuttPercentageRound4",2005
2,2,"Kevin Na",NA,49.6,125,252,"OnePuttPercentageRound4",2005
3,3,"Rory Sabbatini",NA,49.21,124,252,"OnePuttPercentageRound4",2005
4,4,"Jose Coceres",NA,48.15,52,108,"OnePuttPercentageRound4",2005
4,4,"Loren Roberts",NA,48.15,78,162,"OnePuttPercentageRound4",2005
6,6,"Skip Kendall",NA,47.62,60,126,"OnePuttPercentageRound4",2005
7,7,"Glen Day",NA,45.73,107,234,"OnePuttPercentageRound4",2005
8,8,"Aaron Baddeley",NA,45.63,115,252,"OnePuttPercentageRound4",2005
9,9,"John Cook",NA,45.56,82,180,"OnePuttPercentageRound4",2005
10,10,"Hank Kuehne",NA,45.37,98,216,"OnePuttPercentageRound4",2005
11,11,"Tim Herron",NA,45.2,179,396,"OnePuttPercentageRound4",2005
12,12,"Michael Allen",NA,45.19,122,270,"OnePuttPercentageRound4",2005
13,13,"David Toms",NA,45.1,138,306,"OnePuttPercentageRound4",2005
14,14,"Steve Stricker",NA,45.06,73,162,"OnePuttPercentageRound4",2005
15,15,"Todd Fischer",NA,44.81,121,270,"OnePuttPercentageRound4",2005
16,16,"Ben Crane",NA,44.44,136,306,"OnePuttPercentageRound4",2005
17,17,"Tom Gillis",NA,43.89,79,180,"OnePuttPercentageRound4",2005
17,17,"Joe Ogilvie",NA,43.89,158,360,"OnePuttPercentageRound4",2005
19,19,"Mark OMeara",NA,43.52,94,216,"OnePuttPercentageRound4",2005
20,20,"Rich Beem",NA,43.33,39,90,"OnePuttPercentageRound4",2005
21,21,"Ben Curtis",NA,43.06,62,144,"OnePuttPercentageRound4",2005
22,22,"Scott Verplank",NA,42.98,147,342,"OnePuttPercentageRound4",2005
23,23,"John Huston",NA,42.86,108,252,"OnePuttPercentageRound4",2005
24,24,"Brenden Pappas",NA,42.78,77,180,"OnePuttPercentageRound4",2005
25,25,"Brad Faxon",NA,42.74,100,234,"OnePuttPercentageRound4",2005
26,26,"Daniel Chopra",NA,42.69,146,342,"OnePuttPercentageRound4",2005
27,27,"Lucas Glover",NA,42.59,115,270,"OnePuttPercentageRound4",2005
27,27,"Arron Oberholser",NA,42.59,92,216,"OnePuttPercentageRound4",2005
27,27,"Tag Ridings",NA,42.59,115,270,"OnePuttPercentageRound4",2005
27,27,"Chris Riley",NA,42.59,69,162,"OnePuttPercentageRound4",2005
31,31,"Corey Pavin",NA,42.46,107,252,"OnePuttPercentageRound4",2005
32,32,"Mark Wilson",NA,42.42,84,198,"OnePuttPercentageRound4",2005
33,33,"Dan Forsman",NA,42.36,61,144,"OnePuttPercentageRound4",2005
34,34,"Tiger Woods",NA,42.16,129,306,"OnePuttPercentageRound4",2005
35,35,"Kirk Triplett",NA,41.98,68,162,"OnePuttPercentageRound4",2005
35,35,"Jay Williamson",NA,41.98,68,162,"OnePuttPercentageRound4",2005
37,37,"Stewart Cink",NA,41.94,151,360,"OnePuttPercentageRound4",2005
38,38,"Justin Bolli",NA,41.67,60,144,"OnePuttPercentageRound4",2005
38,38,"Brian Gay",NA,41.67,135,324,"OnePuttPercentageRound4",2005
38,38,"Tom Lehman",NA,41.67,105,252,"OnePuttPercentageRound4",2005
38,38,"Rocco Mediate",NA,41.67,105,252,"OnePuttPercentageRound4",2005
38,38,"Hideto Tanihara",NA,41.67,30,72,"OnePuttPercentageRound4",2005
43,43,"Doug Barron",NA,41.41,82,198,"OnePuttPercentageRound4",2005
44,44,"Brian Davis",NA,41.27,104,252,"OnePuttPercentageRound4",2005
44,44,"Rob Rashell",NA,41.27,52,126,"OnePuttPercentageRound4",2005
46,46,"Marco Dawson",NA,41.05,133,324,"OnePuttPercentageRound4",2005
47,47,"Len Mattiace",NA,40.97,59,144,"OnePuttPercentageRound4",2005
48,48,"Jose Maria Olazabal",NA,40.91,81,198,"OnePuttPercentageRound4",2005
49,49,"Duffy Waldorf",NA,40.87,103,252,"OnePuttPercentageRound4",2005
50,50,"Tom Pernice Jr",NA,40.74,154,378,"OnePuttPercentageRound4",2005
50,50,"Darron Stiles",NA,40.74,88,216,"OnePuttPercentageRound4",2005
52,52,"Cameron Beckman",NA,40.63,117,288,"OnePuttPercentageRound4",2005
53,53,"Brett Wetterich",NA,40.56,73,180,"OnePuttPercentageRound4",2005
54,54,"Stephen Ames",NA,40.52,124,306,"OnePuttPercentageRound4",2005
54,54,"Robert Gamez",NA,40.52,124,306,"OnePuttPercentageRound4",2005
56,56,"Jim Furyk",NA,40.48,153,378,"OnePuttPercentageRound4",2005
57,57,"Mark Calcavecchia",NA,40.35,138,342,"OnePuttPercentageRound4",2005
57,57,"Tim Clark",NA,40.35,138,342,"OnePuttPercentageRound4",2005
59,59,"Gavin Coles",NA,40.28,87,216,"OnePuttPercentageRound4",2005
59,59,"John Elliott",NA,40.28,29,72,"OnePuttPercentageRound4",2005
59,59,"Justin Rose",NA,40.28,145,360,"OnePuttPercentageRound4",2005
62,62,"Fred Couples",NA,40.17,94,234,"OnePuttPercentageRound4",2005
62,62,"Charles Warren",NA,40.17,94,234,"OnePuttPercentageRound4",2005
64,64,"Ryan Palmer",NA,40.12,130,324,"OnePuttPercentageRound4",2005
64,64,"Ian Poulter",NA,40.12,65,162,"OnePuttPercentageRound4",2005
66,66,"Jeff Sluman",NA,40.06,137,342,"OnePuttPercentageRound4",2005
67,67,"Charlie Wi",NA,39.9,79,198,"OnePuttPercentageRound4",2005
68,68,"Jason Bohn",NA,39.87,122,306,"OnePuttPercentageRound4",2005
68,68,"Pat Perez",NA,39.87,122,306,"OnePuttPercentageRound4",2005
70,70,"Matt Davidson",NA,39.81,43,108,"OnePuttPercentageRound4",2005
70,70,"Craig Perks",NA,39.81,43,108,"OnePuttPercentageRound4",2005
72,72,"Jerry Kelly",NA,39.77,136,342,"OnePuttPercentageRound4",2005
73,73,"Omar Uresti",NA,39.68,100,252,"OnePuttPercentageRound4",2005
74,74,"Peter Lonard",NA,39.63,107,270,"OnePuttPercentageRound4",2005
75,75,"Larry Mize",NA,39.58,57,144,"OnePuttPercentageRound4",2005
76,76,"Dudley Hart",NA,39.51,128,324,"OnePuttPercentageRound4",2005
77,77,"Mark Brooks",NA,39.44,71,180,"OnePuttPercentageRound4",2005
77,77,"James Driscoll",NA,39.44,71,180,"OnePuttPercentageRound4",2005
77,77,"Mathias Gronberg",NA,39.44,71,180,"OnePuttPercentageRound4",2005
80,80,"Bob Estes",NA,39.42,149,378,"OnePuttPercentageRound4",2005
81,81,"Paul Azinger",NA,39.39,78,198,"OnePuttPercentageRound4",2005
82,82,"Kevin Stadler",NA,39.35,85,216,"OnePuttPercentageRound4",2005
83,83,"DA Points",NA,39.32,92,234,"OnePuttPercentageRound4",2005
83,83,"Nick Watney",NA,39.32,92,234,"OnePuttPercentageRound4",2005
85,85,"Scott McCarron",NA,39.29,99,252,"OnePuttPercentageRound4",2005
86,86,"Justin Leonard",NA,39.26,106,270,"OnePuttPercentageRound4",2005
86,86,"Davis Love III",NA,39.26,106,270,"OnePuttPercentageRound4",2005
88,88,"Neal Lancaster",NA,39.24,113,288,"OnePuttPercentageRound4",2005
89,89,"Zach Johnson",NA,39.2,127,324,"OnePuttPercentageRound4",2005
89,89,"JL Lewis",NA,39.2,127,324,"OnePuttPercentageRound4",2005
91,91,"Vaughn Taylor",NA,39.18,134,342,"OnePuttPercentageRound4",2005
92,92,"Heath Slocum",NA,39.15,148,378,"OnePuttPercentageRound4",2005
93,93,"Steve Allan",NA,38.89,126,324,"OnePuttPercentageRound4",2005
93,93,"Steve Elkington",NA,38.89,91,234,"OnePuttPercentageRound4",2005
93,93,"Brent Geiberger",NA,38.89,63,162,"OnePuttPercentageRound4",2005
93,93,"Padraig Harrington",NA,38.89,70,180,"OnePuttPercentageRound4",2005
93,93,"JP Hayes",NA,38.89,70,180,"OnePuttPercentageRound4",2005
93,93,"Glen Hnatiuk",NA,38.89,49,126,"OnePuttPercentageRound4",2005
93,93,"Brandt Jobe",NA,38.89,133,342,"OnePuttPercentageRound4",2005
93,93,"Jonathan Kaye",NA,38.89,112,288,"OnePuttPercentageRound4",2005
93,93,"Will Ma Kenzie",NA,38.89,84,216,"OnePuttPercentageRound4",2005
93,93,"Greg Owen",NA,38.89,119,306,"OnePuttPercentageRound4",2005
93,93,"Patrick Sheehan",NA,38.89,140,360,"OnePuttPercentageRound4",2005
104,104,"Bob Tway",NA,38.54,111,288,"OnePuttPercentageRound4",2005
105,105,"John Daly",NA,38.49,97,252,"OnePuttPercentageRound4",2005
106,106,"Vijay Singh",NA,38.44,173,450,"OnePuttPercentageRound4",2005
107,107,"Phillip Price",NA,38.43,83,216,"OnePuttPercentageRound4",2005
108,108,"Andrew Magee",NA,38.38,76,198,"OnePuttPercentageRound4",2005
109,109,"Shigeki Maruyama",NA,38.36,145,378,"OnePuttPercentageRound4",2005
110,110,"Olin Browne",NA,38.3,131,342,"OnePuttPercentageRound4",2005
110,110,"Bart Bryant",NA,38.3,131,342,"OnePuttPercentageRound4",2005
110,110,"Carl Pettersson",NA,38.3,131,342,"OnePuttPercentageRound4",2005
113,113,"Phil Mickelson",NA,38.24,117,306,"OnePuttPercentageRound4",2005
114,114,"Robert Damron",NA,38.19,110,288,"OnePuttPercentageRound4",2005
115,115,"Sean OHair",NA,38.13,151,396,"OnePuttPercentageRound4",2005
116,116,"Chris Anderson",NA,38.1,48,126,"OnePuttPercentageRound4",2005
116,116,"Chris Smith",NA,38.1,96,252,"OnePuttPercentageRound4",2005
118,118,"Hunter Haas",NA,37.96,82,216,"OnePuttPercentageRound4",2005
119,119,"Hunter Mahan",NA,37.91,116,306,"OnePuttPercentageRound4",2005
120,120,"Joey Sindelar",NA,37.88,150,396,"OnePuttPercentageRound4",2005
121,121,"Todd Hamilton",NA,37.85,109,288,"OnePuttPercentageRound4",2005
122,122,"Arjun Atwal",NA,37.78,102,270,"OnePuttPercentageRound4",2005
123,123,"Carlos Franco",NA,37.7,95,252,"OnePuttPercentageRound4",2005
123,123,"Jeff Maggert",NA,37.7,95,252,"OnePuttPercentageRound4",2005
125,125,"Joey Snyder III",NA,37.65,122,324,"OnePuttPercentageRound4",2005
126,126,"DJ Trahan",NA,37.61,88,234,"OnePuttPercentageRound4",2005
127,127,"Jesper Parnevik",NA,37.58,115,306,"OnePuttPercentageRound4",2005
128,128,"Mike Weir",NA,37.5,81,216,"OnePuttPercentageRound4",2005
129,129,"Jonathan Byrd",NA,37.43,128,342,"OnePuttPercentageRound4",2005
130,130,"Chris DiMarco",NA,37.41,101,270,"OnePuttPercentageRound4",2005
131,131,"JJ Henry",NA,37.35,121,324,"OnePuttPercentageRound4",2005
131,131,"Kenny Perry",NA,37.35,121,324,"OnePuttPercentageRound4",2005
133,133,"Kent Jones",NA,37.25,114,306,"OnePuttPercentageRound4",2005
133,133,"Frank Lickliter II",NA,37.25,114,306,"OnePuttPercentageRound4",2005
135,135,"DJ Brigman",NA,37.22,67,180,"OnePuttPercentageRound4",2005
136,136,"Craig Barlow",NA,37.18,87,234,"OnePuttPercentageRound4",2005
136,136,"Ryuji Imada",NA,37.18,87,234,"OnePuttPercentageRound4",2005
138,138,"Billy Andrade",NA,37.04,100,270,"OnePuttPercentageRound4",2005
138,138,"Fred Funk",NA,37.04,140,378,"OnePuttPercentageRound4",2005
138,138,"Scott Hend",NA,37.04,60,162,"OnePuttPercentageRound4",2005
138,138,"Richard Johnson",NA,37.04,60,162,"OnePuttPercentageRound4",2005
138,138,"Tjaart van der Walt",NA,37.04,60,162,"OnePuttPercentageRound4",2005
143,143,"Harrison Frazar",NA,36.94,133,360,"OnePuttPercentageRound4",2005
144,144,"Steve Lowery",NA,36.93,113,306,"OnePuttPercentageRound4",2005
145,145,"Bernhard Langer",NA,36.9,93,252,"OnePuttPercentageRound4",2005
146,146,"Sergio Garcia",NA,36.81,106,288,"OnePuttPercentageRound4",2005
146,146,"Dean Wilson",NA,36.81,106,288,"OnePuttPercentageRound4",2005
148,148,"Hidemichi Tanaka",NA,36.73,119,324,"OnePuttPercentageRound4",2005
149,149,"Woody Austin",NA,36.67,132,360,"OnePuttPercentageRound4",2005
149,149,"Chad Campbell",NA,36.67,132,360,"OnePuttPercentageRound4",2005
149,149,"Jay Haas",NA,36.67,66,180,"OnePuttPercentageRound4",2005
152,152,"Bo Van Pelt",NA,36.62,145,396,"OnePuttPercentageRound4",2005
153,153,"Alex Cejka",NA,36.57,79,216,"OnePuttPercentageRound4",2005
154,154,"Luke Donald",NA,36.51,92,252,"OnePuttPercentageRound4",2005
155,155,"Jeff Hart",NA,36.42,59,162,"OnePuttPercentageRound4",2005
155,155,"Matt Kuchar",NA,36.42,59,162,"OnePuttPercentageRound4",2005
155,155,"Rod Pampling",NA,36.42,118,324,"OnePuttPercentageRound4",2005
158,158,"Matt Gogel",NA,36.36,72,198,"OnePuttPercentageRound4",2005
158,158,"Lee Janzen",NA,36.36,72,198,"OnePuttPercentageRound4",2005
158,158,"Mario Tiziani",NA,36.36,72,198,"OnePuttPercentageRound4",2005
161,161,"Franklin Langham",NA,36.32,85,234,"OnePuttPercentageRound4",2005
162,162,"Geoff Ogilvy",NA,36.24,137,378,"OnePuttPercentageRound4",2005
163,163,"Tommy Armour III",NA,36.11,143,396,"OnePuttPercentageRound4",2005
164,164,"Billy Mayfair",NA,35.88,155,432,"OnePuttPercentageRound4",2005
165,165,"Roland Thatcher",NA,35.65,77,216,"OnePuttPercentageRound4",2005
166,166,"Charles Howell III",NA,35.49,115,324,"OnePuttPercentageRound4",2005
167,167,"Freddie Jacobson",NA,35.47,83,234,"OnePuttPercentageRound4",2005
168,168,"Steve Jones",NA,35.42,51,144,"OnePuttPercentageRound4",2005
169,169,"KJ Choi",NA,35.19,95,270,"OnePuttPercentageRound4",2005
169,169,"Steve Flesch",NA,35.19,95,270,"OnePuttPercentageRound4",2005
169,169,"Mark Hensby",NA,35.19,95,270,"OnePuttPercentageRound4",2005
169,169,"Tim Petrovic",NA,35.19,95,270,"OnePuttPercentageRound4",2005
169,169,"Kevin Sutherland",NA,35.19,114,324,"OnePuttPercentageRound4",2005
174,174,"Robert Allenby",NA,34.81,94,270,"OnePuttPercentageRound4",2005
174,174,"Scott Gutschewski",NA,34.81,94,270,"OnePuttPercentageRound4",2005
174,174,"Brett Quigley",NA,34.81,94,270,"OnePuttPercentageRound4",2005
177,177,"Paul Gow",NA,34.72,75,216,"OnePuttPercentageRound4",2005
177,177,"Thomas Levet",NA,34.72,50,144,"OnePuttPercentageRound4",2005
179,179,"Brian Bateman",NA,34.44,93,270,"OnePuttPercentageRound4",2005
179,179,"Joe Durant",NA,34.44,93,270,"OnePuttPercentageRound4",2005
181,181,"Adam Scott",NA,34.03,98,288,"OnePuttPercentageRound4",2005
182,182,"Stuart Appleby",NA,33.99,104,306,"OnePuttPercentageRound4",2005
183,183,"John Senden",NA,33.86,128,378,"OnePuttPercentageRound4",2005
184,184,"Brendan Jones",NA,33.8,73,216,"OnePuttPercentageRound4",2005
185,185,"Tom Byrum",NA,33.73,85,252,"OnePuttPercentageRound4",2005
186,186,"Ted Purdy",NA,33.33,156,468,"OnePuttPercentageRound4",2005
186,186,"John Rollins",NA,33.33,108,324,"OnePuttPercentageRound4",2005
188,188,"Michael Long",NA,32.72,53,162,"OnePuttPercentageRound4",2005
189,189,"Danny Briggs",NA,32.64,47,144,"OnePuttPercentageRound4",2005
190,190,"Stephen Leaney",NA,32.59,88,270,"OnePuttPercentageRound4",2005
191,191,"Paul Claxton",NA,32.22,58,180,"OnePuttPercentageRound4",2005
192,192,"Dennis Paulson",NA,31.94,46,144,"OnePuttPercentageRound4",2005
193,193,"Jeff Brehaut",NA,31.82,63,198,"OnePuttPercentageRound4",2005
194,194,"Lee Westwood",NA,31.11,56,180,"OnePuttPercentageRound4",2005
195,195,"Briny Baird",NA,31.05,95,306,"OnePuttPercentageRound4",2005
196,196,"Retief Goosen",NA,30.95,78,252,"OnePuttPercentageRound4",2005
197,197,"Shaun Micheel",NA,30.81,61,198,"OnePuttPercentageRound4",2005
198,198,"Jim Carter",NA,30.56,33,108,"OnePuttPercentageRound4",2005
199,199,"Bill Glasson",NA,30.16,38,126,"OnePuttPercentageRound4",2005
