"StrokeDifferentialFieldAverage_RANKTHISWEEK_2014","StrokeDifferentialFieldAverage_RANKLASTWEEK_2014","StrokeDifferentialFieldAverage_PLAYERNAME_2014","StrokeDifferentialFieldAverage_ROUNDS_2014","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2014","StrokeDifferentialFieldAverage_PLAYERSSCORE_2014","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2014","stat_name","year"
1,1,"Rory McIlroy",66,2.36,69.27,71.63,"StrokeDifferentialFieldAverage",2014
2,2,"Sergio Garcia",61,2.08,69.38,71.46,"StrokeDifferentialFieldAverage",2014
3,3,"Jim Furyk",84,1.88,69.79,71.67,"StrokeDifferentialFieldAverage",2014
4,4,"Adam Scott",68,1.85,69.49,71.34,"StrokeDifferentialFieldAverage",2014
5,5,"Dustin Johnson",58,1.66,69.88,71.54,"StrokeDifferentialFieldAverage",2014
6,6,"Justin Rose",70,1.61,70.18,71.79,"StrokeDifferentialFieldAverage",2014
7,7,"Matt Kuchar",91,1.56,69.77,71.33,"StrokeDifferentialFieldAverage",2014
8,8,"Jason Day",54,1.43,70.19,71.62,"StrokeDifferentialFieldAverage",2014
9,9,"Bubba Watson",76,1.41,69.97,71.38,"StrokeDifferentialFieldAverage",2014
10,10,"Jimmy Walker",98,1.39,69.98,71.37,"StrokeDifferentialFieldAverage",2014
11,11,"Graeme McDowell",66,1.37,70.21,71.58,"StrokeDifferentialFieldAverage",2014
11,11,"Charl Schwartzel",64,1.37,70.06,71.43,"StrokeDifferentialFieldAverage",2014
13,13,"Jordan Spieth",102,1.24,70.34,71.58,"StrokeDifferentialFieldAverage",2014
14,14,"Keegan Bradley",89,1.17,70.24,71.41,"StrokeDifferentialFieldAverage",2014
15,15,"Graham DeLaet",80,1.12,70.19,71.31,"StrokeDifferentialFieldAverage",2014
16,16,"Bill Haas",107,1.09,70.29,71.38,"StrokeDifferentialFieldAverage",2014
16,16,"Henrik Stenson",56,1.09,70.65,71.74,"StrokeDifferentialFieldAverage",2014
18,18,"Phil Mickelson",71,1.04,70.75,71.79,"StrokeDifferentialFieldAverage",2014
19,19,"Rickie Fowler",91,1.03,70.41,71.44,"StrokeDifferentialFieldAverage",2014
19,19,"Kevin Na",94,1.03,70.1,71.13,"StrokeDifferentialFieldAverage",2014
21,21,"Gary Woodland",93,1.02,70.54,71.56,"StrokeDifferentialFieldAverage",2014
22,22,"Hideki Matsuyama",82,1.01,70.44,71.45,"StrokeDifferentialFieldAverage",2014
23,23,"Ryan Palmer",85,0.99,70.06,71.05,"StrokeDifferentialFieldAverage",2014
24,24,"Chris Kirk",105,0.95,70.37,71.32,"StrokeDifferentialFieldAverage",2014
25,25,"Ryan Moore",86,0.94,70.31,71.25,"StrokeDifferentialFieldAverage",2014
26,26,"Brooks Koepka",56,0.91,70.23,71.14,"StrokeDifferentialFieldAverage",2014
27,27,"Brendon Todd",108,0.89,70.25,71.14,"StrokeDifferentialFieldAverage",2014
