"LateLowestRound_RANKTHISWEEK_2011","LateLowestRound_RANKLASTWEEK_2011","LateLowestRound_PLAYERNAME_2011","LateLowestRound__2011","LateLowestRound_LOWRND_2011","stat_name","year"
1,1,"Trevor Immelman",NA,62,"LateLowestRound",2011
1,1,"Anthony Kim",NA,62,"LateLowestRound",2011
1,1,"Will Ma Kenzie",NA,62,"LateLowestRound",2011
1,1,"Graeme McDowell",NA,62,"LateLowestRound",2011
1,1,"Jim Renner",NA,62,"LateLowestRound",2011
1,1,"Adam Scott",NA,62,"LateLowestRound",2011
1,1,"Michael Thompson",NA,62,"LateLowestRound",2011
1,1,"David Toms",NA,62,"LateLowestRound",2011
1,1,"Nick Watney",NA,62,"LateLowestRound",2011
10,10,"Shane Bertsch",NA,63,"LateLowestRound",2011
10,10,"Kris Blanks",NA,63,"LateLowestRound",2011
10,10,"Ben Crane",NA,63,"LateLowestRound",2011
10,10,"Brendon de Jonge",NA,63,"LateLowestRound",2011
10,10,"Tommy Gainey",NA,63,"LateLowestRound",2011
10,10,"Robert Garrigus",NA,63,"LateLowestRound",2011
10,10,"Freddie Jacobson",NA,63,"LateLowestRound",2011
10,10,"Matt Kuchar",NA,63,"LateLowestRound",2011
10,10,"Derek Lamely",NA,63,"LateLowestRound",2011
10,10,"Hunter Mahan",NA,63,"LateLowestRound",2011
10,10,"Steve Marino",NA,63,"LateLowestRound",2011
10,10,"William McGirt",NA,63,"LateLowestRound",2011
10,10,"Zack Miller",NA,63,"LateLowestRound",2011
10,10,"Ryan Moore",NA,63,"LateLowestRound",2011
10,10,"Nick OHern",NA,63,"LateLowestRound",2011
10,10,"DA Points",NA,63,"LateLowestRound",2011
10,10,"Fran Quinn",NA,63,"LateLowestRound",2011
10,10,"John Rollins",NA,63,"LateLowestRound",2011
10,10,"Webb Simpson",NA,63,"LateLowestRound",2011
10,10,"Steve Stricker",NA,63,"LateLowestRound",2011
10,10,"Cameron Tringale",NA,63,"LateLowestRound",2011
10,10,"Jhonattan Vegas",NA,63,"LateLowestRound",2011
10,10,"Johnson Wagner",NA,63,"LateLowestRound",2011
10,10,"Jimmy Walker",NA,63,"LateLowestRound",2011
34,34,"Stuart Appleby",NA,64,"LateLowestRound",2011
34,34,"Aaron Baddeley",NA,64,"LateLowestRound",2011
34,34,"Briny Baird",NA,64,"LateLowestRound",2011
34,34,"Cameron Beckman",NA,64,"LateLowestRound",2011
34,34,"Keegan Bradley",NA,64,"LateLowestRound",2011
34,34,"DJ Brigman",NA,64,"LateLowestRound",2011
34,34,"KJ Choi",NA,64,"LateLowestRound",2011
34,34,"Erik Compton",NA,64,"LateLowestRound",2011
34,34,"Chris Couch",NA,64,"LateLowestRound",2011
34,34,"Jason Day",NA,64,"LateLowestRound",2011
34,34,"Luke Donald",NA,64,"LateLowestRound",2011
34,34,"Bob Estes",NA,64,"LateLowestRound",2011
34,34,"Rickie Fowler",NA,64,"LateLowestRound",2011
34,34,"Harrison Frazar",NA,64,"LateLowestRound",2011
34,34,"Brian Gay",NA,64,"LateLowestRound",2011
34,34,"Nathan Green",NA,64,"LateLowestRound",2011
34,34,"Hunter Haas",NA,64,"LateLowestRound",2011
34,34,"Bill Haas",NA,64,"LateLowestRound",2011
34,34,"JB Holmes",NA,64,"LateLowestRound",2011
