"PuttingfromInside5_RANKTHISWEEK_2013","PuttingfromInside5_RANKLASTWEEK_2013","PuttingfromInside5_PLAYERNAME_2013","PuttingfromInside5_ROUNDS_2013","PuttingfromInside5_Pct_2013","PuttingfromInside5_ATTEMPTS_2013","PuttingfromInside5_PUTTSMADE_2013","stat_name","year"
1,1,"Greg Chalmers",77,98.52,949,935,"PuttingfromInside5",2013
2,2,"David Lynn",70,98.09,785,770,"PuttingfromInside5",2013
3,3,"Andrew Svoboda",46,98.03,508,498,"PuttingfromInside5",2013
4,4,"Matt Kuchar",93,97.76,981,959,"PuttingfromInside5",2013
4,4,"Aaron Watkins",46,97.76,491,480,"PuttingfromInside5",2013
6,6,"Brendan Steele",86,97.69,1127,1101,"PuttingfromInside5",2013
7,7,"Brandt Jobe",62,97.63,761,743,"PuttingfromInside5",2013
7,7,"Hunter Mahan",91,97.63,972,949,"PuttingfromInside5",2013
9,9,"Jeff Overton",78,97.58,1032,1007,"PuttingfromInside5",2013
10,10,"Ernie Els",63,97.55,694,677,"PuttingfromInside5",2013
11,11,"Ian Poulter",59,97.53,567,553,"PuttingfromInside5",2013
12,12,"Graeme McDowell",53,97.51,522,509,"PuttingfromInside5",2013
13,13,"Freddie Jacobson",63,97.49,638,622,"PuttingfromInside5",2013
14,14,"Chris Stroud",88,97.47,1108,1080,"PuttingfromInside5",2013
15,15,"Jin Park",52,97.46,630,614,"PuttingfromInside5",2013
16,16,"Justin Leonard",86,97.43,1090,1062,"PuttingfromInside5",2013
17,17,"Brendon de Jonge",110,97.41,1388,1352,"PuttingfromInside5",2013
18,18,"Bryce Molder",82,97.4,1001,975,"PuttingfromInside5",2013
19,19,"Peter Hanson",45,97.35,453,441,"PuttingfromInside5",2013
20,20,"Ryan Palmer",79,97.34,976,950,"PuttingfromInside5",2013
20,20,"Gary Woodland",94,97.34,1165,1134,"PuttingfromInside5",2013
22,22,"Ben Kohles",75,97.33,862,839,"PuttingfromInside5",2013
22,22,"Patrick Reed",83,97.33,1050,1022,"PuttingfromInside5",2013
24,24,"Keegan Bradley",88,97.29,1034,1006,"PuttingfromInside5",2013
24,24,"Scott Brown",65,97.29,811,789,"PuttingfromInside5",2013
26,26,"Stephen Ames",49,97.24,617,600,"PuttingfromInside5",2013
27,27,"Bob Estes",66,97.23,903,878,"PuttingfromInside5",2013
28,28,"Jonas Blixt",76,97.22,971,944,"PuttingfromInside5",2013
29,29,"Johnson Wagner",64,97.19,748,727,"PuttingfromInside5",2013
30,30,"Luke Donald",60,97.18,638,620,"PuttingfromInside5",2013
