"Top10Finishes_RANKTHISWEEK_2016","Top10Finishes_RANKLASTWEEK_2016","Top10Finishes_PLAYERNAME_2016","Top10Finishes_EVENTS_2016","Top10Finishes_TOP10_2016","Top10Finishes_1ST_2016","Top10Finishes_2ND_2016","Top10Finishes_3RD_2016","stat_name","year"
1,1,"Patrick Reed",14,8,NA,2,NA,"Top10Finishes",2016
2,3,"Rickie Fowler",12,6,NA,1,NA,"Top10Finishes",2016
2,2,"Dustin Johnson",9,6,NA,NA,1,"Top10Finishes",2016
4,3,"Jason Day",9,5,2,NA,NA,"Top10Finishes",2016
4,3,"Patton Kizzire",16,5,NA,1,NA,"Top10Finishes",2016
4,3,"Jamie Lovemark",17,5,NA,1,NA,"Top10Finishes",2016
4,3,"Ryan Moore",11,5,NA,NA,1,"Top10Finishes",2016
4,3,"Kevin Na",14,5,NA,2,2,"Top10Finishes",2016
4,10,"Justin Rose",10,5,NA,NA,1,"Top10Finishes",2016
4,3,"Brandt Snedeker",14,5,1,1,1,"Top10Finishes",2016
11,10,"Aaron Baddeley",15,4,NA,NA,NA,"Top10Finishes",2016
11,10,"Scott Brown",17,4,NA,NA,NA,"Top10Finishes",2016
11,10,"Kevin Chappell",14,4,NA,2,NA,"Top10Finishes",2016
11,10,"Bill Haas",12,4,NA,1,NA,"Top10Finishes",2016
11,10,"Charles Howell III",17,4,NA,NA,NA,"Top10Finishes",2016
11,10,"Kevin Kisner",14,4,1,1,NA,"Top10Finishes",2016
11,22,"Andrew Loupe",16,4,NA,NA,1,"Top10Finishes",2016
11,10,"Hideki Matsuyama",12,4,1,NA,NA,"Top10Finishes",2016
11,10,"William McGirt",15,4,NA,1,NA,"Top10Finishes",2016
11,22,"Rory McIlroy",9,4,NA,NA,1,"Top10Finishes",2016
11,22,"Phil Mickelson",11,4,NA,1,1,"Top10Finishes",2016
11,10,"Bryce Molder",16,4,NA,NA,NA,"Top10Finishes",2016
11,10,"Adam Scott",10,4,2,2,NA,"Top10Finishes",2016
11,10,"Jordan Spieth",9,4,1,1,NA,"Top10Finishes",2016
25,22,"Jason Bohn",11,3,NA,2,1,"Top10Finishes",2016
25,22,"Paul Casey",11,3,NA,NA,NA,"Top10Finishes",2016
25,47,"Roberto Castro",16,3,NA,1,NA,"Top10Finishes",2016
25,22,"Jason Dufner",15,3,1,NA,NA,"Top10Finishes",2016
25,47,"Fabian Gomez",15,3,1,NA,NA,"Top10Finishes",2016
25,22,"Branden Grace",9,3,1,NA,NA,"Top10Finishes",2016
25,22,"Russell Henley",14,3,NA,NA,NA,"Top10Finishes",2016
25,22,"JB Holmes",10,3,NA,NA,NA,"Top10Finishes",2016
25,22,"Billy Horschel",12,3,NA,NA,NA,"Top10Finishes",2016
25,22,"John Huh",16,3,NA,NA,NA,"Top10Finishes",2016
25,22,"Freddie Jacobson",16,3,NA,NA,NA,"Top10Finishes",2016
25,22,"Zach Johnson",12,3,NA,NA,NA,"Top10Finishes",2016
25,22,"Smylie Kaufman",16,3,1,NA,NA,"Top10Finishes",2016
25,22,"Russell Knox",14,3,1,2,NA,"Top10Finishes",2016
25,22,"Brooks Koepka",11,3,NA,NA,1,"Top10Finishes",2016
25,22,"Matt Kuchar",12,3,NA,NA,NA,"Top10Finishes",2016
25,22,"Peter Malnati",19,3,1,NA,NA,"Top10Finishes",2016
25,22,"Graeme McDowell",11,3,1,NA,1,"Top10Finishes",2016
25,22,"Justin Thomas",15,3,1,NA,2,"Top10Finishes",2016
25,22,"Harold Varner III",18,3,NA,NA,NA,"Top10Finishes",2016
25,22,"Jhonattan Vegas",14,3,NA,NA,NA,"Top10Finishes",2016
25,22,"Jimmy Walker",12,3,NA,NA,NA,"Top10Finishes",2016
25,22,"Bubba Watson",8,3,1,1,NA,"Top10Finishes",2016
25,22,"Danny Willett",5,3,1,NA,2,"Top10Finishes",2016
49,47,"Byeong Hun An",7,2,NA,1,NA,"Top10Finishes",2016
49,47,"Ricky Barnes",18,2,NA,NA,NA,"Top10Finishes",2016
49,47,"Daniel Berger",15,2,NA,NA,NA,"Top10Finishes",2016
49,47,"Zac Blair",18,2,NA,NA,1,"Top10Finishes",2016
49,47,"Jonas Blixt",16,2,NA,NA,1,"Top10Finishes",2016
49,47,"Rafa Cabrera Bello",4,2,NA,NA,1,"Top10Finishes",2016
49,47,"Chad Campbell",18,2,NA,NA,NA,"Top10Finishes",2016
49,47,"Alex Cejka",15,2,NA,1,NA,"Top10Finishes",2016
49,47,"KJ Choi",14,2,NA,1,NA,"Top10Finishes",2016
49,47,"Jon Curran",18,2,NA,NA,NA,"Top10Finishes",2016
49,47,"Graham DeLaet",14,2,NA,NA,NA,"Top10Finishes",2016
49,47,"Harris English",15,2,NA,NA,1,"Top10Finishes",2016
