"HitFairwayPercentage_RANKTHISWEEK_2007","HitFairwayPercentage_RANKLASTWEEK_2007","HitFairwayPercentage_PLAYERNAME_2007","HitFairwayPercentage_ROUNDS_2007","HitFairwayPercentage_Pct_2007","HitFairwayPercentage_FAIRWAYSHIT_2007","HitFairwayPercentage_POSSIBLEFAIRWAYS_2007","HitFairwayPercentage_RELATIVETOPAR_2007","stat_name","year"
1,1,"Jose Coceres",50,75.97,468,616,-0.07,"HitFairwayPercentage",2007
2,2,"Fred Funk",65,74.9,555,741,-0.08,"HitFairwayPercentage",2007
3,3,"Jim Furyk",84,74.87,715,955,-0.16,"HitFairwayPercentage",2007
4,4,"Joe Durant",88,74.61,808,1083,-0.11,"HitFairwayPercentage",2007
5,5,"Michael Boyd",61,74.47,595,799,-0.05,"HitFairwayPercentage",2007
6,6,"Heath Slocum",101,73.8,997,1351,-0.13,"HitFairwayPercentage",2007
7,7,"Zach Johnson",76,73.76,627,850,-0.17,"HitFairwayPercentage",2007
8,8,"Mark Brooks",53,73.63,483,656,-0.1,"HitFairwayPercentage",2007
9,9,"Craig Bowden",78,73.07,776,1062,-0.1,"HitFairwayPercentage",2007
10,10,"Brian Gay",107,72.9,1049,1439,-0.12,"HitFairwayPercentage",2007
11,11,"Doug LaBelle II",104,72.85,1017,1396,-0.13,"HitFairwayPercentage",2007
12,12,"Jay Williamson",50,72.57,508,700,-0.15,"HitFairwayPercentage",2007
13,13,"Steve Elkington",87,72.5,796,1098,-0.11,"HitFairwayPercentage",2007
14,14,"Scott Verplank",82,72.28,657,909,-0.16,"HitFairwayPercentage",2007
15,15,"Tom Byrum",50,72.07,462,641,-0.1,"HitFairwayPercentage",2007
16,16,"Brian Davis",101,71.98,976,1356,-0.13,"HitFairwayPercentage",2007
17,17,"Billy Mayfair",98,71.75,899,1253,-0.17,"HitFairwayPercentage",2007
18,18,"Chris Riley",59,71.52,550,769,-0.19,"HitFairwayPercentage",2007
19,19,"Bart Bryant",87,71.31,798,1119,-0.15,"HitFairwayPercentage",2007
20,20,"Justin Leonard",95,70.95,884,1246,-0.15,"HitFairwayPercentage",2007
21,21,"Glen Day",85,70.68,798,1129,-0.11,"HitFairwayPercentage",2007
22,22,"Kirk Triplett",77,70.46,737,1046,-0.14,"HitFairwayPercentage",2007
23,23,"Ryan Armour",107,70.31,1011,1438,-0.13,"HitFairwayPercentage",2007
24,24,"Gavin Coles",87,70.27,813,1157,-0.09,"HitFairwayPercentage",2007
25,25,"Jerry Kelly",101,70.22,816,1162,-0.13,"HitFairwayPercentage",2007
26,26,"Tommy Armour III",81,70.17,755,1076,-0.12,"HitFairwayPercentage",2007
27,27,"John Mallinger",96,69.99,935,1336,-0.1,"HitFairwayPercentage",2007
28,28,"Darron Stiles",65,69.7,575,825,-0.12,"HitFairwayPercentage",2007
29,29,"Robert Gamez",88,69.54,815,1172,-0.11,"HitFairwayPercentage",2007
30,30,"Paul Goydos",60,69.48,510,734,-0.11,"HitFairwayPercentage",2007
31,31,"Corey Pavin",81,69.33,746,1076,-0.11,"HitFairwayPercentage",2007
32,32,"Tim Clark",66,69.15,520,752,-0.14,"HitFairwayPercentage",2007
32,32,"Hunter Mahan",91,69.15,762,1102,-0.15,"HitFairwayPercentage",2007
34,34,"Jaco Van Zyl",51,68.76,471,685,-0.08,"HitFairwayPercentage",2007
35,35,"Kent Jones",97,68.61,929,1354,-0.17,"HitFairwayPercentage",2007
35,35,"Shaun Micheel",91,68.61,728,1061,-0.1,"HitFairwayPercentage",2007
37,37,"Luke Donald",69,68.46,510,745,-0.15,"HitFairwayPercentage",2007
38,38,"Ken Duke",112,68.43,995,1454,-0.12,"HitFairwayPercentage",2007
39,39,"Alex Cejka",80,68.17,741,1087,-0.18,"HitFairwayPercentage",2007
40,40,"Rocco Mediate",72,68.01,674,991,-0.13,"HitFairwayPercentage",2007
41,41,"Stephen Ames",81,67.72,600,886,-0.15,"HitFairwayPercentage",2007
42,42,"Cameron Beckman",96,67.7,870,1285,-0.15,"HitFairwayPercentage",2007
