"LeftTendency_RANKTHISWEEK_2016","LeftTendency_RANKLASTWEEK_2016","LeftTendency_PLAYERNAME_2016","LeftTendency_EVENTS_2016","LeftTendency_Pct_2016","LeftTendency_NUMBEROFTIMES_2016","LeftTendency_ATTEMPTS_2016","LeftTendency_AVGRTPSCORE_2016","stat_name","year"
1,1,"Bryce Molder",16,28.7,56,195,-0.18,"LeftTendency",2016
2,5,"Charley Hoffman",14,31.4,72,229,1.39,"LeftTendency",2016
2,2,"Scott Langley",13,31.4,50,159,0,"LeftTendency",2016
4,3,"Scott Stallings",17,31.9,73,229,0.82,"LeftTendency",2016
5,4,"Jeff Overton",17,32,79,247,1.9,"LeftTendency",2016
6,8,"David Toms",11,34.2,50,146,0.6,"LeftTendency",2016
7,7,"Thomas Aiken",13,34.4,31,90,0,"LeftTendency",2016
8,11,"Francesco Molinari",10,34.9,65,186,0.46,"LeftTendency",2016
9,16,"Roberto Castro",16,35.7,71,199,1.83,"LeftTendency",2016
10,13,"George McNeill",13,36.6,59,161,3.73,"LeftTendency",2016
11,6,"Patrick Reed",14,36.9,66,179,0.76,"LeftTendency",2016
12,13,"Charl Schwartzel",8,37.2,45,121,-0.22,"LeftTendency",2016
13,12,"Ernie Els",10,37.6,65,173,1.38,"LeftTendency",2016
14,10,"Steve Marino",14,37.7,61,162,3.93,"LeftTendency",2016
15,17,"Charles Howell III",17,37.9,128,338,1.17,"LeftTendency",2016
16,18,"Hiroshi Iwata",18,38.5,79,205,2.91,"LeftTendency",2016
17,15,"Ricky Barnes",18,38.7,111,287,1.62,"LeftTendency",2016
17,19,"John Huh",16,38.7,75,194,2.13,"LeftTendency",2016
17,28,"Shane Lowry",10,38.7,41,106,1.71,"LeftTendency",2016
20,20,"KJ Choi",14,38.8,76,196,0,"LeftTendency",2016
21,31,"Mark Wilson",13,39.1,63,161,1.75,"LeftTendency",2016
22,21,"Ollie Schniederjans",7,39.4,52,132,1.73,"LeftTendency",2016
23,22,"Aaron Baddeley",15,39.6,86,217,0.35,"LeftTendency",2016
24,37,"Patrick Rodgers",16,40.1,89,222,0.67,"LeftTendency",2016
25,29,"Derek Ernst",12,40.3,50,124,2,"LeftTendency",2016
25,35,"Bill Haas",12,40.3,54,134,0.93,"LeftTendency",2016
25,25,"Chris Kirk",15,40.3,81,201,0.62,"LeftTendency",2016
25,33,"Kelly Kraft",12,40.3,54,134,0.93,"LeftTendency",2016
29,49,"Matt Jones",15,40.4,65,161,2.15,"LeftTendency",2016
29,23,"Si Woo Kim",19,40.4,105,260,0.95,"LeftTendency",2016
31,27,"Cameron Percy",7,40.6,28,69,1.07,"LeftTendency",2016
32,24,"David Hearn",18,40.7,74,182,1.22,"LeftTendency",2016
33,29,"Smylie Kaufman",16,40.9,101,247,0,"LeftTendency",2016
34,89,"Ian Poulter",10,41.1,51,124,1.76,"LeftTendency",2016
35,38,"Peter Malnati",19,41.5,95,229,1.79,"LeftTendency",2016
36,36,"Branden Grace",9,41.7,45,108,-1.11,"LeftTendency",2016
37,38,"Brian Gay",8,41.9,39,93,3.08,"LeftTendency",2016
38,43,"Mark Hubbard",20,42,113,269,1.06,"LeftTendency",2016
38,40,"Jamie Lovemark",17,42,124,295,1.53,"LeftTendency",2016
40,31,"Jhonattan Vegas",14,42.2,81,192,0.49,"LeftTendency",2016
41,51,"Cameron Smith",14,42.5,62,146,1.45,"LeftTendency",2016
42,46,"Rhein Gibson",13,42.6,72,169,2.36,"LeftTendency",2016
42,46,"Dicky Pride",13,42.6,46,108,0.87,"LeftTendency",2016
42,43,"Kyle Stanley",17,42.6,101,237,1.39,"LeftTendency",2016
45,26,"Kevin Chappell",14,42.9,96,224,1.04,"LeftTendency",2016
45,56,"Whee Kim",18,42.9,90,210,1.78,"LeftTendency",2016
45,41,"William McGirt",15,42.9,97,226,0.62,"LeftTendency",2016
