"Approachesfrom225250yardsRgh_RANKTHISWEEK_2016","Approachesfrom225250yardsRgh_RANKLASTWEEK_2016","Approachesfrom225250yardsRgh_PLAYERNAME_2016","Approachesfrom225250yardsRgh_ROUNDS_2016","Approachesfrom225250yardsRgh_AVG_2016","Approachesfrom225250yardsRgh_TOTALDISTANCEFEET_2016","Approachesfrom225250yardsRgh_OFATTEMPTS_2016","Approachesfrom225250yardsRgh_RELATIVETOPAR_2016","stat_name","year"
166,157,"Cameron Tringale",47,NA,721.833,8,3,"Approachesfrom225250yardsRgh",2016
168,155,"Ricky Barnes",57,NA,903.667,10,2,"Approachesfrom225250yardsRgh",2016
169,162,"Dawie van der Walt",48,NA,181.5,2,1,"Approachesfrom225250yardsRgh",2016
170,168,"Daniel Summerhays",55,NA,638.417,7,-4,"Approachesfrom225250yardsRgh",2016
171,167,"Whee Kim",54,NA,366.75,4,1,"Approachesfrom225250yardsRgh",2016
172,169,"Brice Garnett",29,NA,184.167,2,0,"Approachesfrom225250yardsRgh",2016
173,170,"John Huh",51,NA,277.917,3,-3,"Approachesfrom225250yardsRgh",2016
174,171,"Troy Merritt",41,NA,466,5,-3,"Approachesfrom225250yardsRgh",2016
175,173,"Russell Henley",42,NA,467.917,5,2,"Approachesfrom225250yardsRgh",2016
176,174,"Peter Malnati",53,NA,374.5,4,2,"Approachesfrom225250yardsRgh",2016
177,185,"Angel Cabrera",42,NA,468.833,5,0,"Approachesfrom225250yardsRgh",2016
177,194,"Hunter Mahan",43,NA,562.667,6,-2,"Approachesfrom225250yardsRgh",2016
179,176,"Scott Piercy",45,NA,283.083,3,-2,"Approachesfrom225250yardsRgh",2016
180,177,"Colt Knost",56,NA,472.5,5,-1,"Approachesfrom225250yardsRgh",2016
181,178,"Phil Mickelson",37,NA,379.25,4,0,"Approachesfrom225250yardsRgh",2016
182,172,"Steve Marino",40,NA,285,3,1,"Approachesfrom225250yardsRgh",2016
183,179,"Padraig Harrington",38,NA,575.333,6,1,"Approachesfrom225250yardsRgh",2016
183,112,"Jim Herman",55,NA,575.417,6,1,"Approachesfrom225250yardsRgh",2016
185,180,"Matthew Fitzpatrick",23,NA,96,1,0,"Approachesfrom225250yardsRgh",2016
186,181,"Brandt Snedeker",47,NA,385.417,4,2,"Approachesfrom225250yardsRgh",2016
187,182,"Zach Johnson",42,NA,484.333,5,0,"Approachesfrom225250yardsRgh",2016
188,184,"Ken Duke",26,NA,195.083,2,1,"Approachesfrom225250yardsRgh",2016
189,157,"Chad Collins",45,NA,785.25,8,1,"Approachesfrom225250yardsRgh",2016
190,186,"Andrew Landry",24,NA,99.833,1,0,"Approachesfrom225250yardsRgh",2016
191,190,"Robert Streb",51,NA,1104.333,11,-1,"Approachesfrom225250yardsRgh",2016
192,189,"Vijay Singh",42,NA,818.417,8,1,"Approachesfrom225250yardsRgh",2016
193,192,"Henrik Stenson",30,NA,103.417,1,-1,"Approachesfrom225250yardsRgh",2016
194,193,"Luke Guthrie",31,NA,207,2,0,"Approachesfrom225250yardsRgh",2016
194,195,"Si Woo Kim",63,NA,931.417,9,-3,"Approachesfrom225250yardsRgh",2016
196,191,"Daniel Berger",52,NA,836.833,8,-1,"Approachesfrom225250yardsRgh",2016
197,187,"Kevin Kisner",49,NA,215.917,2,2,"Approachesfrom225250yardsRgh",2016
198,196,"Harris English",51,NA,216.167,2,1,"Approachesfrom225250yardsRgh",2016
199,197,"Kevin Streelman",46,NA,217.5,2,0,"Approachesfrom225250yardsRgh",2016
200,198,"Louis Oosthuizen",25,NA,109.417,1,0,"Approachesfrom225250yardsRgh",2016
201,199,"Charlie Beljan",26,NA,227.25,2,0,"Approachesfrom225250yardsRgh",2016
202,200,"Brendon de Jonge",55,NA,940.417,8,3,"Approachesfrom225250yardsRgh",2016
203,201,"Darron Stiles",28,NA,117.75,1,1,"Approachesfrom225250yardsRgh",2016
