"GoodDrivePercentage_RANKTHISWEEK_2006","GoodDrivePercentage_RANKLASTWEEK_2006","GoodDrivePercentage_PLAYERNAME_2006","GoodDrivePercentage_ROUNDS_2006","GoodDrivePercentage_Pct_2006","GoodDrivePercentage_HIT_2006","GoodDrivePercentage_TOTALATTEMPTS_2006","stat_name","year"
1,1,"Joe Durant",101,90.32,1269,1405,"GoodDrivePercentage",2006
2,2,"Omar Uresti",61,89.16,732,821,"GoodDrivePercentage",2006
3,3,"Steve Elkington",52,88.72,629,709,"GoodDrivePercentage",2006
4,4,"Briny Baird",81,88.35,948,1073,"GoodDrivePercentage",2006
5,5,"Jim Furyk",89,88.26,1090,1235,"GoodDrivePercentage",2006
6,6,"Greg Owen",79,88.18,947,1074,"GoodDrivePercentage",2006
7,7,"Heath Slocum",96,87.99,1143,1299,"GoodDrivePercentage",2006
8,8,"Olin Browne",108,87.98,1281,1456,"GoodDrivePercentage",2006
9,9,"Bart Bryant",87,87.96,1059,1204,"GoodDrivePercentage",2006
10,10,"Fred Funk",106,87.7,1284,1464,"GoodDrivePercentage",2006
10,10,"Scott Verplank",88,87.7,1048,1195,"GoodDrivePercentage",2006
12,12,"Paul Goydos",72,87,870,1000,"GoodDrivePercentage",2006
13,13,"Jeff Gove",91,86.95,1053,1211,"GoodDrivePercentage",2006
14,14,"Billy Mayfair",94,86.6,1137,1313,"GoodDrivePercentage",2006
15,15,"Kirk Triplett",58,86.57,677,782,"GoodDrivePercentage",2006
16,16,"Skip Kendall",72,86.44,867,1003,"GoodDrivePercentage",2006
17,17,"Larry Mize",53,86.32,612,709,"GoodDrivePercentage",2006
18,18,"Daisuke Maruyama",83,86.29,950,1101,"GoodDrivePercentage",2006
19,19,"Frank Lickliter II",99,86.2,1162,1348,"GoodDrivePercentage",2006
20,20,"David Branshaw",98,86.13,1174,1363,"GoodDrivePercentage",2006
21,21,"Jonathan Byrd",66,86.01,787,915,"GoodDrivePercentage",2006
21,21,"Kenny Perry",73,86.01,867,1008,"GoodDrivePercentage",2006
23,23,"Brian Davis",92,85.99,1080,1256,"GoodDrivePercentage",2006
