"Par3BirdieorBetterLeaders_RANKTHISWEEK_2007","Par3BirdieorBetterLeaders_RANKLASTWEEK_2007","Par3BirdieorBetterLeaders_PLAYERNAME_2007","Par3BirdieorBetterLeaders_ROUNDS_2007","Par3BirdieorBetterLeaders_Pct_2007","Par3BirdieorBetterLeaders_PAR3BIRDIESORBETTER_2007","Par3BirdieorBetterLeaders_PAR3HOLES_2007","stat_name","year"
1,1,"Tim Clark",66,19.62,51,260,"Par3BirdieorBetterLeaders",2007
2,2,"Henrik Stenson",52,17.03,31,182,"Par3BirdieorBetterLeaders",2007
3,3,"Padraig Harrington",64,16.73,41,245,"Par3BirdieorBetterLeaders",2007
4,4,"Steve Allan",63,16.34,42,257,"Par3BirdieorBetterLeaders",2007
5,5,"Freddie Jacobson",70,16.3,45,276,"Par3BirdieorBetterLeaders",2007
6,6,"Sergio Garcia",68,16.29,43,264,"Par3BirdieorBetterLeaders",2007
7,7,"Joe Ogilvie",102,16.27,68,418,"Par3BirdieorBetterLeaders",2007
8,8,"Briny Baird",115,16.13,75,465,"Par3BirdieorBetterLeaders",2007
9,9,"Tom Lehman",62,16.06,40,249,"Par3BirdieorBetterLeaders",2007
10,10,"Tommy Armour III",81,15.95,52,326,"Par3BirdieorBetterLeaders",2007
10,10,"Shaun Micheel",91,15.95,56,351,"Par3BirdieorBetterLeaders",2007
12,12,"Michael Putnam",96,15.93,61,383,"Par3BirdieorBetterLeaders",2007
13,13,"Kevin Na",84,15.43,52,337,"Par3BirdieorBetterLeaders",2007
13,13,"Rory Sabbatini",81,15.43,48,311,"Par3BirdieorBetterLeaders",2007
13,13,"Camilo Villegas",82,15.43,52,337,"Par3BirdieorBetterLeaders",2007
16,16,"Dean Wilson",92,15.14,56,370,"Par3BirdieorBetterLeaders",2007
17,17,"Heath Slocum",101,15.09,62,411,"Par3BirdieorBetterLeaders",2007
18,18,"Brian Gay",107,15.08,65,431,"Par3BirdieorBetterLeaders",2007
19,19,"Jose Coceres",50,15,30,200,"Par3BirdieorBetterLeaders",2007
19,19,"Jay Williamson",50,15,30,200,"Par3BirdieorBetterLeaders",2007
21,21,"Jeff Overton",60,14.81,36,243,"Par3BirdieorBetterLeaders",2007
22,22,"Jesper Parnevik",88,14.8,53,358,"Par3BirdieorBetterLeaders",2007
23,23,"Arron Oberholser",69,14.76,40,271,"Par3BirdieorBetterLeaders",2007
24,24,"Jonathan Byrd",73,14.68,43,293,"Par3BirdieorBetterLeaders",2007
25,25,"Justin Rose",63,14.59,34,233,"Par3BirdieorBetterLeaders",2007
26,26,"Lucas Glover",98,14.55,56,385,"Par3BirdieorBetterLeaders",2007
26,26,"Craig Kanada",109,14.55,64,440,"Par3BirdieorBetterLeaders",2007
28,28,"Glen Day",85,14.49,50,345,"Par3BirdieorBetterLeaders",2007
29,29,"Tiger Woods",63,14.41,34,236,"Par3BirdieorBetterLeaders",2007
30,30,"Brendon de Jonge",76,14.33,44,307,"Par3BirdieorBetterLeaders",2007
31,31,"Michael Allen",74,14.29,43,301,"Par3BirdieorBetterLeaders",2007
32,32,"Jeff Maggert",79,14.24,45,316,"Par3BirdieorBetterLeaders",2007
33,33,"Ken Duke",112,14.22,64,450,"Par3BirdieorBetterLeaders",2007
34,34,"Rocco Mediate",72,14.09,41,291,"Par3BirdieorBetterLeaders",2007
35,35,"Steve Elkington",87,14.04,50,356,"Par3BirdieorBetterLeaders",2007
36,36,"Mark Hensby",81,14.02,46,328,"Par3BirdieorBetterLeaders",2007
37,37,"George McNeill",95,13.88,54,389,"Par3BirdieorBetterLeaders",2007
38,38,"Jeff Brehaut",59,13.81,33,239,"Par3BirdieorBetterLeaders",2007
39,39,"Daniel Chopra",106,13.79,59,428,"Par3BirdieorBetterLeaders",2007
40,40,"Chad Campbell",96,13.73,49,357,"Par3BirdieorBetterLeaders",2007
41,41,"Mark Calcavecchia",93,13.71,51,372,"Par3BirdieorBetterLeaders",2007
41,41,"Jim Furyk",84,13.71,44,321,"Par3BirdieorBetterLeaders",2007
43,43,"Brian Davis",101,13.68,55,402,"Par3BirdieorBetterLeaders",2007
43,43,"Craig Lile",77,13.68,42,307,"Par3BirdieorBetterLeaders",2007
45,45,"Mike Weir",82,13.66,44,322,"Par3BirdieorBetterLeaders",2007
46,46,"Shigeki Maruyama",84,13.61,46,338,"Par3BirdieorBetterLeaders",2007
47,47,"Ernie Els",59,13.6,31,228,"Par3BirdieorBetterLeaders",2007
48,48,"Michael Boyd",61,13.58,33,243,"Par3BirdieorBetterLeaders",2007
49,49,"John Merrick",92,13.55,50,369,"Par3BirdieorBetterLeaders",2007
