"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2008","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2008","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2008","PercentageofYardagecoveredbyTeeShots_ROUNDS_2008","PercentageofYardagecoveredbyTeeShots_AVGPct_2008","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2008","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2008","stat_name","year"
1,NA,"JB Holmes",86,65.96,292708,443741,"PercentageofYardagecoveredbyTeeShots",2008
2,NA,"Dustin Johnson",92,65.25,334376.8,512436,"PercentageofYardagecoveredbyTeeShots",2008
3,NA,"Robert Garrigus",90,64.74,354040,546883,"PercentageofYardagecoveredbyTeeShots",2008
4,NA,"Bubba Watson",97,64.69,330411.3,510754,"PercentageofYardagecoveredbyTeeShots",2008
5,NA,"Vijay Singh",82,64.32,260031.4,404247,"PercentageofYardagecoveredbyTeeShots",2008
6,NA,"Nick Watney",96,64.22,345858.8,538520,"PercentageofYardagecoveredbyTeeShots",2008
7,NA,"Steve Allan",58,64.05,195597.8,305388,"PercentageofYardagecoveredbyTeeShots",2008
8,NA,"Harrison Frazar",73,63.89,251214.4,393223,"PercentageofYardagecoveredbyTeeShots",2008
9,NA,"Angel Cabrera",55,63.88,161354.8,252572,"PercentageofYardagecoveredbyTeeShots",2008
9,NA,"Anthony Kim",81,63.88,265812.2,416096,"PercentageofYardagecoveredbyTeeShots",2008
11,NA,"Tommy Gainey",60,63.85,186506.6,292123,"PercentageofYardagecoveredbyTeeShots",2008
12,NA,"Charley Hoffman",94,63.77,351175.4,550690,"PercentageofYardagecoveredbyTeeShots",2008
13,NA,"Andres Romero",69,63.64,200590.1,315207,"PercentageofYardagecoveredbyTeeShots",2008
14,NA,"Adam Scott",51,63.57,143220.3,225308,"PercentageofYardagecoveredbyTeeShots",2008
15,NA,"Tag Ridings",88,63.52,328138.1,516606,"PercentageofYardagecoveredbyTeeShots",2008
16,NA,"Daniel Chopra",84,63.48,279680.9,440557,"PercentageofYardagecoveredbyTeeShots",2008
17,NA,"Jason Allred",63,63.44,200363.3,315812,"PercentageofYardagecoveredbyTeeShots",2008
18,NA,"Fred Couples",60,63.39,207971.9,328058,"PercentageofYardagecoveredbyTeeShots",2008
19,NA,"Richard Johnson",77,63.37,273650.7,431863,"PercentageofYardagecoveredbyTeeShots",2008
20,NA,"Charles Warren",79,63.32,300032.5,473835,"PercentageofYardagecoveredbyTeeShots",2008
21,NA,"Phil Mickelson",80,63.23,240158.5,379800,"PercentageofYardagecoveredbyTeeShots",2008
22,NA,"Travis Perkins",53,63.21,162158.1,256532,"PercentageofYardagecoveredbyTeeShots",2008
23,NA,"Davis Love III",78,63.18,261626.8,414087,"PercentageofYardagecoveredbyTeeShots",2008
24,NA,"Jeff Overton",103,63.15,368418.3,583419,"PercentageofYardagecoveredbyTeeShots",2008
25,NA,"Bill Haas",99,63.11,360338.8,570979,"PercentageofYardagecoveredbyTeeShots",2008
26,NA,"Jason Day",81,63.1,310222.1,491630,"PercentageofYardagecoveredbyTeeShots",2008
27,NA,"Martin Laird",98,63.08,341875.8,541989,"PercentageofYardagecoveredbyTeeShots",2008
28,NA,"Kevin Streelman",114,63.02,388540.4,616549,"PercentageofYardagecoveredbyTeeShots",2008
29,NA,"Sean OHair",81,62.96,272379,432623,"PercentageofYardagecoveredbyTeeShots",2008
30,NA,"Lucas Glover",91,62.95,332394.8,528048,"PercentageofYardagecoveredbyTeeShots",2008
31,NA,"Kenny Perry",97,62.9,367654.9,584463,"PercentageofYardagecoveredbyTeeShots",2008
32,NA,"Nicholas Thompson",113,62.82,383944.5,611183,"PercentageofYardagecoveredbyTeeShots",2008
33,NA,"Brenden Pappas",66,62.77,222835.8,355001,"PercentageofYardagecoveredbyTeeShots",2008
34,NA,"Rory Sabbatini",77,62.76,253932,404629,"PercentageofYardagecoveredbyTeeShots",2008
35,NA,"John Huston",56,62.73,195275.2,311278,"PercentageofYardagecoveredbyTeeShots",2008
36,NA,"Boo Weekley",86,62.72,257961.5,411311,"PercentageofYardagecoveredbyTeeShots",2008
37,NA,"Brandt Jobe",52,62.66,186311.4,297360,"PercentageofYardagecoveredbyTeeShots",2008
38,NA,"Pat Perez",93,62.61,315181.4,503368,"PercentageofYardagecoveredbyTeeShots",2008
39,NA,"Steve Marino",119,62.6,414095.9,661500,"PercentageofYardagecoveredbyTeeShots",2008
40,NA,"Tim Herron",97,62.58,344010.8,549718,"PercentageofYardagecoveredbyTeeShots",2008
41,NA,"Charles Howell III",101,62.56,350219.2,559774,"PercentageofYardagecoveredbyTeeShots",2008
42,NA,"DJ Trahan",94,62.55,309466.1,494741,"PercentageofYardagecoveredbyTeeShots",2008
43,NA,"Mathias Gronberg",87,62.52,314352.2,502824,"PercentageofYardagecoveredbyTeeShots",2008
44,NA,"George McNeill",97,62.51,358511.2,573486,"PercentageofYardagecoveredbyTeeShots",2008
45,NA,"Troy Matteson",94,62.48,354733.2,567787,"PercentageofYardagecoveredbyTeeShots",2008
46,NA,"Ted Purdy",68,62.47,234310,375088,"PercentageofYardagecoveredbyTeeShots",2008
46,NA,"Kevin Stadler",90,62.47,292561.5,468313,"PercentageofYardagecoveredbyTeeShots",2008
48,NA,"Stewart Cink",87,62.46,256162.5,410100,"PercentageofYardagecoveredbyTeeShots",2008
49,NA,"Joe Ogilvie",100,62.44,345276.5,552950,"PercentageofYardagecoveredbyTeeShots",2008
50,NA,"Ryan Palmer",69,62.4,237929.2,381302,"PercentageofYardagecoveredbyTeeShots",2008
51,NA,"Michael Letzig",88,62.38,293030.1,469766,"PercentageofYardagecoveredbyTeeShots",2008
