"DrivingAccuracyPercentage_RANKTHISWEEK_2007","DrivingAccuracyPercentage_RANKLASTWEEK_2007","DrivingAccuracyPercentage_PLAYERNAME_2007","DrivingAccuracyPercentage_ROUNDS_2007","DrivingAccuracyPercentage_Pct_2007","DrivingAccuracyPercentage_FAIRWAYSHIT_2007","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2007","stat_name","year"
1,1,"Jose Coceres",50,75.47,486,644,"DrivingAccuracyPercentage",2007
2,2,"Fred Funk",65,75.26,642,853,"DrivingAccuracyPercentage",2007
3,3,"Jim Furyk",84,74.37,859,1155,"DrivingAccuracyPercentage",2007
4,4,"Michael Boyd",61,74.34,594,799,"DrivingAccuracyPercentage",2007
5,5,"Joe Durant",88,73.71,903,1225,"DrivingAccuracyPercentage",2007
6,6,"Heath Slocum",101,73.28,1031,1407,"DrivingAccuracyPercentage",2007
7,7,"Craig Bowden",78,73.07,776,1062,"DrivingAccuracyPercentage",2007
8,8,"Zach Johnson",76,73.05,767,1050,"DrivingAccuracyPercentage",2007
9,9,"Brian Gay",107,72.9,1049,1439,"DrivingAccuracyPercentage",2007
10,10,"Mark Brooks",53,72.81,498,684,"DrivingAccuracyPercentage",2007
11,11,"Doug LaBelle II",104,72.78,1016,1396,"DrivingAccuracyPercentage",2007
12,12,"Jay Williamson",50,72.57,508,700,"DrivingAccuracyPercentage",2007
13,13,"Brian Davis",101,71.96,1019,1416,"DrivingAccuracyPercentage",2007
14,14,"Steve Elkington",87,71.84,829,1154,"DrivingAccuracyPercentage",2007
15,15,"Tom Byrum",50,71.75,480,669,"DrivingAccuracyPercentage",2007
16,16,"Scott Verplank",82,71.42,812,1137,"DrivingAccuracyPercentage",2007
17,17,"Chris Riley",59,71.39,549,769,"DrivingAccuracyPercentage",2007
18,18,"Billy Mayfair",98,70.7,965,1365,"DrivingAccuracyPercentage",2007
19,19,"Bart Bryant",87,70.66,850,1203,"DrivingAccuracyPercentage",2007
20,20,"Glen Day",85,70.42,795,1129,"DrivingAccuracyPercentage",2007
21,21,"Kirk Triplett",77,70.39,756,1074,"DrivingAccuracyPercentage",2007
22,22,"Ryan Armour",107,70.31,1011,1438,"DrivingAccuracyPercentage",2007
23,23,"Gavin Coles",87,70.27,813,1157,"DrivingAccuracyPercentage",2007
24,24,"Tommy Armour III",81,70.17,755,1076,"DrivingAccuracyPercentage",2007
25,25,"Justin Leonard",95,70.05,933,1332,"DrivingAccuracyPercentage",2007
26,26,"John Mallinger",96,69.91,934,1336,"DrivingAccuracyPercentage",2007
27,27,"Robert Gamez",88,69.28,812,1172,"DrivingAccuracyPercentage",2007
28,28,"Tim Clark",66,68.95,615,892,"DrivingAccuracyPercentage",2007
29,29,"Paul Goydos",60,68.83,563,818,"DrivingAccuracyPercentage",2007
30,30,"Corey Pavin",81,68.82,779,1132,"DrivingAccuracyPercentage",2007
31,31,"Jaco Van Zyl",51,68.61,470,685,"DrivingAccuracyPercentage",2007
32,32,"Kent Jones",97,68.46,927,1354,"DrivingAccuracyPercentage",2007
33,33,"Darron Stiles",65,68.35,583,853,"DrivingAccuracyPercentage",2007
34,34,"Jerry Kelly",101,68.28,930,1362,"DrivingAccuracyPercentage",2007
35,35,"Luke Donald",69,68.15,644,945,"DrivingAccuracyPercentage",2007
36,36,"Alex Cejka",80,68.08,740,1087,"DrivingAccuracyPercentage",2007
37,37,"Hunter Mahan",91,68.05,867,1274,"DrivingAccuracyPercentage",2007
38,38,"Rocco Mediate",72,67.76,681,1005,"DrivingAccuracyPercentage",2007
39,39,"Shaun Micheel",91,67.72,835,1233,"DrivingAccuracyPercentage",2007
40,40,"Cameron Beckman",96,67.7,870,1285,"DrivingAccuracyPercentage",2007
41,41,"Ken Duke",112,67.5,1057,1566,"DrivingAccuracyPercentage",2007
42,42,"Daisuke Maruyama",86,67.42,772,1145,"DrivingAccuracyPercentage",2007
43,43,"Ben Curtis",80,67.37,762,1131,"DrivingAccuracyPercentage",2007
44,44,"Mathew Goggin",97,67.36,910,1351,"DrivingAccuracyPercentage",2007
45,45,"Jim Rutledge",59,67.27,518,770,"DrivingAccuracyPercentage",2007
46,46,"Mark Wilson",87,67.1,773,1152,"DrivingAccuracyPercentage",2007
47,47,"Stephen Ames",81,67.07,727,1084,"DrivingAccuracyPercentage",2007
48,48,"Anders Hansen",55,66.95,480,717,"DrivingAccuracyPercentage",2007
49,49,"Tom Pernice Jr",104,66.83,973,1456,"DrivingAccuracyPercentage",2007
50,50,"Charles Warren",101,66.81,942,1410,"DrivingAccuracyPercentage",2007
51,51,"Peter Lonard",85,66.7,753,1129,"DrivingAccuracyPercentage",2007
52,52,"Charlie Wi",90,66.59,817,1227,"DrivingAccuracyPercentage",2007
53,53,"Chris Stroud",66,66.56,597,897,"DrivingAccuracyPercentage",2007
54,54,"Steve Wheatcroft",73,66.29,639,964,"DrivingAccuracyPercentage",2007
55,55,"Briny Baird",115,66.24,1026,1549,"DrivingAccuracyPercentage",2007
56,56,"Matt Kuchar",85,66.2,752,1136,"DrivingAccuracyPercentage",2007
57,57,"Jeff Brehaut",59,66.04,525,795,"DrivingAccuracyPercentage",2007
58,58,"Jeff Quinney",95,65.99,877,1329,"DrivingAccuracyPercentage",2007
59,59,"Craig Kanada",109,65.96,967,1466,"DrivingAccuracyPercentage",2007
60,60,"John Senden",97,65.91,897,1361,"DrivingAccuracyPercentage",2007
61,61,"Stephen Leaney",82,65.82,751,1141,"DrivingAccuracyPercentage",2007
62,62,"David Branshaw",83,65.74,760,1156,"DrivingAccuracyPercentage",2007
63,63,"Jeff Maggert",79,65.73,727,1106,"DrivingAccuracyPercentage",2007
64,64,"Jeff Gove",103,65.67,943,1436,"DrivingAccuracyPercentage",2007
65,65,"Frank Lickliter II",95,65.64,871,1327,"DrivingAccuracyPercentage",2007
66,66,"Richard Johnson",93,65.56,830,1266,"DrivingAccuracyPercentage",2007
67,67,"Paul Gow",70,65.51,604,922,"DrivingAccuracyPercentage",2007
68,68,"DJ Trahan",99,65.36,902,1380,"DrivingAccuracyPercentage",2007
69,69,"Joey Sindelar",75,65.29,681,1043,"DrivingAccuracyPercentage",2007
70,70,"Bob Estes",88,65.28,803,1230,"DrivingAccuracyPercentage",2007
71,71,"Rich Beem",89,65.25,815,1249,"DrivingAccuracyPercentage",2007
72,72,"Jason Bohn",57,65.2,517,793,"DrivingAccuracyPercentage",2007
73,73,"Mark Calcavecchia",93,65.09,811,1246,"DrivingAccuracyPercentage",2007
74,74,"Duffy Waldorf",69,64.88,628,968,"DrivingAccuracyPercentage",2007
75,75,"Trevor Immelman",74,64.85,620,956,"DrivingAccuracyPercentage",2007
75,75,"David Toms",80,64.85,703,1084,"DrivingAccuracyPercentage",2007
77,77,"John Rollins",102,64.81,917,1415,"DrivingAccuracyPercentage",2007
78,78,"Bob Heintz",85,64.74,729,1126,"DrivingAccuracyPercentage",2007
79,79,"KJ Choi",87,64.71,772,1193,"DrivingAccuracyPercentage",2007
79,79,"Sean OHair",98,64.71,891,1377,"DrivingAccuracyPercentage",2007
81,81,"Boo Weekley",101,64.65,878,1358,"DrivingAccuracyPercentage",2007
82,82,"Kenny Perry",83,64.61,745,1153,"DrivingAccuracyPercentage",2007
83,83,"Tom Johnson",74,64.57,647,1002,"DrivingAccuracyPercentage",2007
