"YTDConsecutiveCuts_RANKTHISWEEK_2015","YTDConsecutiveCuts_RANKLASTWEEK_2015","YTDConsecutiveCuts_PLAYERNAME_2015","YTDConsecutiveCuts__2015","YTDConsecutiveCuts_NUMBEROFCUTS_2015","stat_name","year"
1,1,"Henrik Stenson",NA,16,"YTDConsecutiveCuts",2015
2,2,"Sergio Garcia",NA,15,"YTDConsecutiveCuts",2015
3,3,"Robert Streb",NA,14,"YTDConsecutiveCuts",2015
4,4,"Harris English",NA,13,"YTDConsecutiveCuts",2015
5,5,"Paul Casey",NA,12,"YTDConsecutiveCuts",2015
6,6,"Matt Kuchar",NA,11,"YTDConsecutiveCuts",2015
6,6,"Rory McIlroy",NA,11,"YTDConsecutiveCuts",2015
8,8,"Phil Mickelson",NA,10,"YTDConsecutiveCuts",2015
9,9,"Jason Day",NA,9,"YTDConsecutiveCuts",2015
9,9,"Luke Donald",NA,9,"YTDConsecutiveCuts",2015
9,9,"Jason Dufner",NA,9,"YTDConsecutiveCuts",2015
12,12,"Jim Furyk",NA,8,"YTDConsecutiveCuts",2015
12,12,"Bill Haas",NA,8,"YTDConsecutiveCuts",2015
12,12,"Dustin Johnson",NA,8,"YTDConsecutiveCuts",2015
12,12,"Francesco Molinari",NA,8,"YTDConsecutiveCuts",2015
12,12,"Patrick Reed",NA,8,"YTDConsecutiveCuts",2015
12,12,"Justin Thomas",NA,8,"YTDConsecutiveCuts",2015
18,18,"JB Holmes",NA,7,"YTDConsecutiveCuts",2015
18,18,"Charles Howell III",NA,7,"YTDConsecutiveCuts",2015
18,18,"Danny Lee",NA,7,"YTDConsecutiveCuts",2015
18,18,"Webb Simpson",NA,7,"YTDConsecutiveCuts",2015
18,18,"Vaughn Taylor",NA,7,"YTDConsecutiveCuts",2015
18,18,"Bubba Watson",NA,7,"YTDConsecutiveCuts",2015
24,24,"Sangmoon Bae",NA,6,"YTDConsecutiveCuts",2015
24,24,"Gonzalo Fdez Castano",NA,6,"YTDConsecutiveCuts",2015
24,24,"Troy Merritt",NA,6,"YTDConsecutiveCuts",2015
24,24,"Seung Yul Noh",NA,6,"YTDConsecutiveCuts",2015
24,24,"Louis Oosthuizen",NA,6,"YTDConsecutiveCuts",2015
24,24,"Kyle Stanley",NA,6,"YTDConsecutiveCuts",2015
30,30,"Roberto Castro",NA,5,"YTDConsecutiveCuts",2015
30,30,"Kevin Chappell",NA,5,"YTDConsecutiveCuts",2015
30,30,"Austin Cook",NA,5,"YTDConsecutiveCuts",2015
30,30,"Tom Hoge",NA,5,"YTDConsecutiveCuts",2015
30,30,"David Lipsky",NA,5,"YTDConsecutiveCuts",2015
30,30,"Andres Romero",NA,5,"YTDConsecutiveCuts",2015
30,30,"Marc Warren",NA,5,"YTDConsecutiveCuts",2015
30,30,"Lee Westwood",NA,5,"YTDConsecutiveCuts",2015
38,38,"Thomas Aiken",NA,4,"YTDConsecutiveCuts",2015
38,38,"Jonathan Byrd",NA,4,"YTDConsecutiveCuts",2015
38,38,"Greg Chalmers",NA,4,"YTDConsecutiveCuts",2015
38,38,"KJ Choi",NA,4,"YTDConsecutiveCuts",2015
38,38,"Retief Goosen",NA,4,"YTDConsecutiveCuts",2015
38,38,"Branden Grace",NA,4,"YTDConsecutiveCuts",2015
38,38,"Charley Hoffman",NA,4,"YTDConsecutiveCuts",2015
38,38,"Morgan Hoffmann",NA,4,"YTDConsecutiveCuts",2015
38,38,"Zach Johnson",NA,4,"YTDConsecutiveCuts",2015
38,38,"Matt Jones",NA,4,"YTDConsecutiveCuts",2015
38,38,"Martin Kaymer",NA,4,"YTDConsecutiveCuts",2015
38,38,"Kevin Kisner",NA,4,"YTDConsecutiveCuts",2015
38,38,"Ben Martin",NA,4,"YTDConsecutiveCuts",2015
