"TenthTeeLatePar3ScoringAverage_RANKTHISWEEK_2014","TenthTeeLatePar3ScoringAverage_RANKLASTWEEK_2014","TenthTeeLatePar3ScoringAverage_PLAYERNAME_2014","TenthTeeLatePar3ScoringAverage_ROUNDS_2014","TenthTeeLatePar3ScoringAverage_AVG_2014","TenthTeeLatePar3ScoringAverage_TOTALSTROKES_2014","TenthTeeLatePar3ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Keegan Bradley",89,2.84,91,32,"TenthTeeLatePar3ScoringAverage",2014
2,2,"Ryan Moore",86,2.85,137,48,"TenthTeeLatePar3ScoringAverage",2014
3,3,"Brandt Snedeker",89,2.86,80,28,"TenthTeeLatePar3ScoringAverage",2014
4,4,"Brad Fritsch",50,2.88,92,32,"TenthTeeLatePar3ScoringAverage",2014
4,4,"Zach Johnson",97,2.88,46,16,"TenthTeeLatePar3ScoringAverage",2014
4,4,"Rory McIlroy",66,2.88,23,8,"TenthTeeLatePar3ScoringAverage",2014
4,4,"Bubba Watson",76,2.88,46,16,"TenthTeeLatePar3ScoringAverage",2014
8,8,"Brendon Todd",108,2.89,188,65,"TenthTeeLatePar3ScoringAverage",2014
9,9,"Louis Oosthuizen",50,2.91,96,33,"TenthTeeLatePar3ScoringAverage",2014
9,9,"Heath Slocum",71,2.91,198,68,"TenthTeeLatePar3ScoringAverage",2014
11,11,"Ricky Barnes",92,2.93,220,75,"TenthTeeLatePar3ScoringAverage",2014
11,11,"Billy Horschel",92,2.93,167,57,"TenthTeeLatePar3ScoringAverage",2014
11,11,"Patrick Reed",92,2.93,85,29,"TenthTeeLatePar3ScoringAverage",2014
14,14,"Harris English",95,2.94,94,32,"TenthTeeLatePar3ScoringAverage",2014
14,14,"Bill Haas",107,2.94,141,48,"TenthTeeLatePar3ScoringAverage",2014
14,14,"Camilo Villegas",95,2.94,212,72,"TenthTeeLatePar3ScoringAverage",2014
14,14,"Jimmy Walker",98,2.94,47,16,"TenthTeeLatePar3ScoringAverage",2014
18,18,"Briny Baird",50,2.96,74,25,"TenthTeeLatePar3ScoringAverage",2014
18,18,"Martin Kaymer",65,2.96,71,24,"TenthTeeLatePar3ScoringAverage",2014
18,18,"Jason Kokrak",65,2.96,169,57,"TenthTeeLatePar3ScoringAverage",2014
18,18,"Tyrone Van Aswegen",79,2.96,216,73,"TenthTeeLatePar3ScoringAverage",2014
18,18,"Bo Van Pelt",83,2.96,213,72,"TenthTeeLatePar3ScoringAverage",2014
23,23,"Chad Campbell",57,2.97,110,37,"TenthTeeLatePar3ScoringAverage",2014
23,23,"Ben Crane",81,2.97,196,66,"TenthTeeLatePar3ScoringAverage",2014
23,23,"Justin Hicks",103,2.97,276,93,"TenthTeeLatePar3ScoringAverage",2014
23,23,"Josh Teater",90,2.97,229,77,"TenthTeeLatePar3ScoringAverage",2014
27,27,"Scott Brown",100,2.98,313,105,"TenthTeeLatePar3ScoringAverage",2014
27,27,"Ernie Els",85,2.98,158,53,"TenthTeeLatePar3ScoringAverage",2014
27,27,"Billy Hurley III",86,2.98,173,58,"TenthTeeLatePar3ScoringAverage",2014
27,27,"Troy Merritt",62,2.98,131,44,"TenthTeeLatePar3ScoringAverage",2014
31,31,"Robert Allenby",83,2.99,206,69,"TenthTeeLatePar3ScoringAverage",2014
31,31,"John Senden",99,2.99,206,69,"TenthTeeLatePar3ScoringAverage",2014
33,33,"Jason Day",54,3,36,12,"TenthTeeLatePar3ScoringAverage",2014
33,33,"Matt Jones",83,3,228,76,"TenthTeeLatePar3ScoringAverage",2014
33,33,"Justin Leonard",75,3,159,53,"TenthTeeLatePar3ScoringAverage",2014
33,33,"Bryce Molder",77,3,120,40,"TenthTeeLatePar3ScoringAverage",2014
33,33,"Kevin Na",94,3,222,74,"TenthTeeLatePar3ScoringAverage",2014
33,33,"Ryan Palmer",85,3,156,52,"TenthTeeLatePar3ScoringAverage",2014
