"TenthTeeLatePar5ScoringAverage_RANKTHISWEEK_2006","TenthTeeLatePar5ScoringAverage_RANKLASTWEEK_2006","TenthTeeLatePar5ScoringAverage_PLAYERNAME_2006","TenthTeeLatePar5ScoringAverage_ROUNDS_2006","TenthTeeLatePar5ScoringAverage_AVG_2006","TenthTeeLatePar5ScoringAverage_TOTALSTROKES_2006","TenthTeeLatePar5ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Luke Donald",66,4,12,3,"TenthTeeLatePar5ScoringAverage",2006
2,2,"Geoff Ogilvy",76,4.31,125,29,"TenthTeeLatePar5ScoringAverage",2006
3,3,"Phil Mickelson",74,4.33,78,18,"TenthTeeLatePar5ScoringAverage",2006
4,4,"Stephen Ames",63,4.38,171,39,"TenthTeeLatePar5ScoringAverage",2006
5,5,"John Daly",51,4.41,128,29,"TenthTeeLatePar5ScoringAverage",2006
6,6,"Arron Oberholser",82,4.43,102,23,"TenthTeeLatePar5ScoringAverage",2006
7,7,"Scott Gutschewski",53,4.44,111,25,"TenthTeeLatePar5ScoringAverage",2006
7,7,"JJ Henry",96,4.44,173,39,"TenthTeeLatePar5ScoringAverage",2006
9,9,"Retief Goosen",68,4.46,58,13,"TenthTeeLatePar5ScoringAverage",2006
9,9,"Frank Lickliter II",99,4.46,223,50,"TenthTeeLatePar5ScoringAverage",2006
11,11,"Stewart Cink",93,4.48,179,40,"TenthTeeLatePar5ScoringAverage",2006
12,12,"Joe Durant",101,4.49,355,79,"TenthTeeLatePar5ScoringAverage",2006
12,12,"Nathan Green",108,4.49,265,59,"TenthTeeLatePar5ScoringAverage",2006
12,12,"Dudley Hart",83,4.49,184,41,"TenthTeeLatePar5ScoringAverage",2006
15,15,"Chris Riley",86,4.5,351,78,"TenthTeeLatePar5ScoringAverage",2006
16,16,"Harrison Frazar",95,4.51,221,49,"TenthTeeLatePar5ScoringAverage",2006
16,16,"Tim Herron",82,4.51,221,49,"TenthTeeLatePar5ScoringAverage",2006
16,16,"Bubba Watson",83,4.51,185,41,"TenthTeeLatePar5ScoringAverage",2006
19,19,"Tim Clark",80,4.52,131,29,"TenthTeeLatePar5ScoringAverage",2006
19,19,"Trevor Immelman",86,4.52,140,31,"TenthTeeLatePar5ScoringAverage",2006
19,19,"Will Ma Kenzie",91,4.52,285,63,"TenthTeeLatePar5ScoringAverage",2006
19,19,"Shigeki Maruyama",94,4.52,199,44,"TenthTeeLatePar5ScoringAverage",2006
19,19,"Shaun Micheel",96,4.52,226,50,"TenthTeeLatePar5ScoringAverage",2006
19,19,"John Rollins",93,4.52,280,62,"TenthTeeLatePar5ScoringAverage",2006
19,19,"Dean Wilson",115,4.52,357,79,"TenthTeeLatePar5ScoringAverage",2006
26,26,"Lee Janzen",79,4.53,222,49,"TenthTeeLatePar5ScoringAverage",2006
26,26,"Tom Lehman",70,4.53,86,19,"TenthTeeLatePar5ScoringAverage",2006
26,26,"Troy Matteson",101,4.53,308,68,"TenthTeeLatePar5ScoringAverage",2006
26,26,"Vance Veazey",59,4.53,272,60,"TenthTeeLatePar5ScoringAverage",2006
26,26,"Brett Wetterich",82,4.53,290,64,"TenthTeeLatePar5ScoringAverage",2006
31,31,"Charley Hoffman",100,4.54,345,76,"TenthTeeLatePar5ScoringAverage",2006
32,32,"Ryuji Imada",105,4.55,273,60,"TenthTeeLatePar5ScoringAverage",2006
32,32,"Jose Maria Olazabal",62,4.55,91,20,"TenthTeeLatePar5ScoringAverage",2006
32,32,"Rory Sabbatini",84,4.55,150,33,"TenthTeeLatePar5ScoringAverage",2006
35,35,"Rich Beem",85,4.56,251,55,"TenthTeeLatePar5ScoringAverage",2006
35,35,"Kris Cox",83,4.56,246,54,"TenthTeeLatePar5ScoringAverage",2006
35,35,"JB Holmes",81,4.56,155,34,"TenthTeeLatePar5ScoringAverage",2006
38,38,"Chad Campbell",91,4.57,169,37,"TenthTeeLatePar5ScoringAverage",2006
38,38,"Jeff Gove",91,4.57,288,63,"TenthTeeLatePar5ScoringAverage",2006
38,38,"Brandt Jobe",91,4.57,160,35,"TenthTeeLatePar5ScoringAverage",2006
38,38,"Joey Sindelar",90,4.57,320,70,"TenthTeeLatePar5ScoringAverage",2006
38,38,"Charles Warren",93,4.57,306,67,"TenthTeeLatePar5ScoringAverage",2006
38,38,"Mike Weir",88,4.57,215,47,"TenthTeeLatePar5ScoringAverage",2006
44,44,"KJ Choi",93,4.58,183,40,"TenthTeeLatePar5ScoringAverage",2006
44,44,"Ben Crane",85,4.58,165,36,"TenthTeeLatePar5ScoringAverage",2006
44,44,"Brian Davis",92,4.58,243,53,"TenthTeeLatePar5ScoringAverage",2006
44,44,"Jesper Parnevik",84,4.58,220,48,"TenthTeeLatePar5ScoringAverage",2006
44,44,"Ian Poulter",53,4.58,119,26,"TenthTeeLatePar5ScoringAverage",2006
44,44,"Jimmy Walker",60,4.58,206,45,"TenthTeeLatePar5ScoringAverage",2006
50,50,"Bob Estes",85,4.59,225,49,"TenthTeeLatePar5ScoringAverage",2006
50,50,"Kent Jones",103,4.59,340,74,"TenthTeeLatePar5ScoringAverage",2006
50,50,"Bernhard Langer",77,4.59,179,39,"TenthTeeLatePar5ScoringAverage",2006
50,50,"Thomas Levet",53,4.59,147,32,"TenthTeeLatePar5ScoringAverage",2006
50,50,"David McKenzie",82,4.59,326,71,"TenthTeeLatePar5ScoringAverage",2006
50,50,"Sean OHair",100,4.59,248,54,"TenthTeeLatePar5ScoringAverage",2006
50,50,"John Senden",96,4.59,289,63,"TenthTeeLatePar5ScoringAverage",2006
57,57,"Paul Goydos",72,4.6,221,48,"TenthTeeLatePar5ScoringAverage",2006
57,57,"Jonathan Kaye",95,4.6,244,53,"TenthTeeLatePar5ScoringAverage",2006
57,57,"Greg Owen",79,4.6,138,30,"TenthTeeLatePar5ScoringAverage",2006
57,57,"Bo Van Pelt",102,4.6,244,53,"TenthTeeLatePar5ScoringAverage",2006
57,57,"Nick Watney",97,4.6,184,40,"TenthTeeLatePar5ScoringAverage",2006
62,62,"Stuart Appleby",83,4.61,106,23,"TenthTeeLatePar5ScoringAverage",2006
62,62,"Arjun Atwal",97,4.61,406,88,"TenthTeeLatePar5ScoringAverage",2006
62,62,"Alex Cejka",93,4.61,281,61,"TenthTeeLatePar5ScoringAverage",2006
62,62,"Fred Couples",52,4.61,83,18,"TenthTeeLatePar5ScoringAverage",2006
62,62,"Robert Garrigus",85,4.61,295,64,"TenthTeeLatePar5ScoringAverage",2006
62,62,"Mathew Goggin",72,4.61,212,46,"TenthTeeLatePar5ScoringAverage",2006
62,62,"Bob May",65,4.61,226,49,"TenthTeeLatePar5ScoringAverage",2006
62,62,"Rod Pampling",89,4.61,226,49,"TenthTeeLatePar5ScoringAverage",2006
62,62,"Jeff Sluman",101,4.61,249,54,"TenthTeeLatePar5ScoringAverage",2006
71,71,"Lucas Glover",105,4.62,231,50,"TenthTeeLatePar5ScoringAverage",2006
71,71,"Heath Slocum",96,4.62,254,55,"TenthTeeLatePar5ScoringAverage",2006
73,73,"Fred Funk",106,4.63,264,57,"TenthTeeLatePar5ScoringAverage",2006
73,73,"Billy Mayfair",94,4.63,213,46,"TenthTeeLatePar5ScoringAverage",2006
73,73,"Jeff Overton",95,4.63,241,52,"TenthTeeLatePar5ScoringAverage",2006
73,73,"Ted Purdy",103,4.63,250,54,"TenthTeeLatePar5ScoringAverage",2006
73,73,"Brett Quigley",109,4.63,278,60,"TenthTeeLatePar5ScoringAverage",2006
73,73,"Vaughn Taylor",88,4.63,259,56,"TenthTeeLatePar5ScoringAverage",2006
73,73,"Camilo Villegas",95,4.63,213,46,"TenthTeeLatePar5ScoringAverage",2006
73,73,"Duffy Waldorf",96,4.63,301,65,"TenthTeeLatePar5ScoringAverage",2006
81,81,"Chris Couch",75,4.64,181,39,"TenthTeeLatePar5ScoringAverage",2006
81,81,"Chris DiMarco",83,4.64,116,25,"TenthTeeLatePar5ScoringAverage",2006
81,81,"Danny Ellis",68,4.64,181,39,"TenthTeeLatePar5ScoringAverage",2006
81,81,"Mathias Gronberg",92,4.64,334,72,"TenthTeeLatePar5ScoringAverage",2006
81,81,"David Howell",52,4.64,65,14,"TenthTeeLatePar5ScoringAverage",2006
81,81,"Charles Howell III",96,4.64,204,44,"TenthTeeLatePar5ScoringAverage",2006
81,81,"DA Points",82,4.64,255,55,"TenthTeeLatePar5ScoringAverage",2006
88,88,"Jason Bohn",104,4.65,256,55,"TenthTeeLatePar5ScoringAverage",2006
88,88,"Bill Haas",99,4.65,377,81,"TenthTeeLatePar5ScoringAverage",2006
88,88,"Steve Lowery",99,4.65,321,69,"TenthTeeLatePar5ScoringAverage",2006
88,88,"Carl Pettersson",95,4.65,279,60,"TenthTeeLatePar5ScoringAverage",2006
88,88,"Justin Rose",98,4.65,223,48,"TenthTeeLatePar5ScoringAverage",2006
93,93,"Woody Austin",107,4.66,359,77,"TenthTeeLatePar5ScoringAverage",2006
93,93,"Brad Faxon",78,4.66,270,58,"TenthTeeLatePar5ScoringAverage",2006
93,93,"Brian Gay",107,4.66,303,65,"TenthTeeLatePar5ScoringAverage",2006
93,93,"JP Hayes",55,4.66,163,35,"TenthTeeLatePar5ScoringAverage",2006
93,93,"Tim Petrovic",95,4.66,205,44,"TenthTeeLatePar5ScoringAverage",2006
93,93,"Bob Tway",81,4.66,261,56,"TenthTeeLatePar5ScoringAverage",2006
93,93,"Tjaart van der Walt",60,4.66,205,44,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Briny Baird",81,4.67,285,61,"TenthTeeLatePar5ScoringAverage",2006
100,100,"David Branshaw",98,4.67,350,75,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Olin Browne",108,4.67,294,63,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Jonathan Byrd",66,4.67,210,45,"TenthTeeLatePar5ScoringAverage",2006
100,100,"James Driscoll",80,4.67,201,43,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Steve Elkington",52,4.67,196,42,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Todd Hamilton",72,4.67,322,69,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Jerry Kelly",100,4.67,243,52,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Hunter Mahan",98,4.67,280,60,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Patrick Sheehan",104,4.67,411,88,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Wes Short Jr",96,4.67,397,85,"TenthTeeLatePar5ScoringAverage",2006
100,100,"Mark Wilson",79,4.67,201,43,"TenthTeeLatePar5ScoringAverage",2006
112,112,"Michael Allen",84,4.68,356,76,"TenthTeeLatePar5ScoringAverage",2006
112,112,"Steve Jones",83,4.68,234,50,"TenthTeeLatePar5ScoringAverage",2006
112,112,"Stephen Leaney",84,4.68,267,57,"TenthTeeLatePar5ScoringAverage",2006
112,112,"Corey Pavin",74,4.68,178,38,"TenthTeeLatePar5ScoringAverage",2006
116,116,"Jeff Brehaut",100,4.69,352,75,"TenthTeeLatePar5ScoringAverage",2006
116,116,"Robert Gamez",94,4.69,225,48,"TenthTeeLatePar5ScoringAverage",2006
116,116,"Jason Gore",86,4.69,244,52,"TenthTeeLatePar5ScoringAverage",2006
116,116,"Chris Smith",67,4.69,211,45,"TenthTeeLatePar5ScoringAverage",2006
120,120,"Todd Fischer",101,4.7,395,84,"TenthTeeLatePar5ScoringAverage",2006
120,120,"Ryan Hietala",61,4.7,268,57,"TenthTeeLatePar5ScoringAverage",2006
120,120,"Greg Kraft",79,4.7,216,46,"TenthTeeLatePar5ScoringAverage",2006
120,120,"Ryan Moore",68,4.7,141,30,"TenthTeeLatePar5ScoringAverage",2006
120,120,"Joe Ogilvie",95,4.7,296,63,"TenthTeeLatePar5ScoringAverage",2006
125,125,"Billy Andrade",78,4.71,264,56,"TenthTeeLatePar5ScoringAverage",2006
125,125,"Eric Axley",91,4.71,297,63,"TenthTeeLatePar5ScoringAverage",2006
125,125,"Paul Azinger",87,4.71,273,58,"TenthTeeLatePar5ScoringAverage",2006
125,125,"Tag Ridings",103,4.71,363,77,"TenthTeeLatePar5ScoringAverage",2006
125,125,"Kevin Sutherland",100,4.71,372,79,"TenthTeeLatePar5ScoringAverage",2006
130,130,"David Duval",71,4.72,307,65,"TenthTeeLatePar5ScoringAverage",2006
130,130,"Len Mattiace",59,4.72,255,54,"TenthTeeLatePar5ScoringAverage",2006
130,130,"Jason Schultz",77,4.72,274,58,"TenthTeeLatePar5ScoringAverage",2006
130,130,"Jerry Smith",94,4.72,217,46,"TenthTeeLatePar5ScoringAverage",2006
134,134,"Brian Bateman",69,4.73,175,37,"TenthTeeLatePar5ScoringAverage",2006
134,134,"Shane Bertsch",104,4.73,345,73,"TenthTeeLatePar5ScoringAverage",2006
134,134,"Robert Damron",91,4.73,208,44,"TenthTeeLatePar5ScoringAverage",2006
134,134,"Sergio Garcia",59,4.73,71,15,"TenthTeeLatePar5ScoringAverage",2006
138,138,"Bart Bryant",87,4.74,166,35,"TenthTeeLatePar5ScoringAverage",2006
138,138,"Steve Flesch",119,4.74,275,58,"TenthTeeLatePar5ScoringAverage",2006
138,138,"Steve Stricker",64,4.74,90,19,"TenthTeeLatePar5ScoringAverage",2006
138,138,"Roger Tambellini",64,4.74,223,47,"TenthTeeLatePar5ScoringAverage",2006
138,138,"Ron Whittaker",81,4.74,446,94,"TenthTeeLatePar5ScoringAverage",2006
143,143,"Mark Calcavecchia",94,4.75,271,57,"TenthTeeLatePar5ScoringAverage",2006
143,143,"Daniel Chopra",110,4.75,337,71,"TenthTeeLatePar5ScoringAverage",2006
143,143,"Ben Curtis",86,4.75,271,57,"TenthTeeLatePar5ScoringAverage",2006
143,143,"Ernie Els",69,4.75,38,8,"TenthTeeLatePar5ScoringAverage",2006
143,143,"John Huston",74,4.75,114,24,"TenthTeeLatePar5ScoringAverage",2006
143,143,"JL Lewis",57,4.75,190,40,"TenthTeeLatePar5ScoringAverage",2006
143,143,"Daisuke Maruyama",83,4.75,323,68,"TenthTeeLatePar5ScoringAverage",2006
143,143,"Vijay Singh",103,4.75,38,8,"TenthTeeLatePar5ScoringAverage",2006
143,143,"DJ Trahan",92,4.75,342,72,"TenthTeeLatePar5ScoringAverage",2006
152,152,"Robert Allenby",79,4.76,162,34,"TenthTeeLatePar5ScoringAverage",2006
152,152,"Padraig Harrington",54,4.76,81,17,"TenthTeeLatePar5ScoringAverage",2006
152,152,"Skip Kendall",72,4.76,262,55,"TenthTeeLatePar5ScoringAverage",2006
152,152,"Mark OMeara",52,4.76,138,29,"TenthTeeLatePar5ScoringAverage",2006
152,152,"Hidemichi Tanaka",74,4.76,338,71,"TenthTeeLatePar5ScoringAverage",2006
157,157,"Tommy Armour III",65,4.77,205,43,"TenthTeeLatePar5ScoringAverage",2006
157,157,"Doug Barron",74,4.77,267,56,"TenthTeeLatePar5ScoringAverage",2006
157,157,"Davis Love III",85,4.77,143,30,"TenthTeeLatePar5ScoringAverage",2006
160,160,"Alex Aragon",63,4.78,191,40,"TenthTeeLatePar5ScoringAverage",2006
160,160,"Henrik Bjornstad",97,4.78,330,69,"TenthTeeLatePar5ScoringAverage",2006
160,160,"Ian Leggatt",80,4.78,282,59,"TenthTeeLatePar5ScoringAverage",2006
160,160,"Justin Leonard",83,4.78,215,45,"TenthTeeLatePar5ScoringAverage",2006
164,164,"Michael Connell",51,4.79,163,34,"TenthTeeLatePar5ScoringAverage",2006
164,164,"Brent Geiberger",99,4.79,436,91,"TenthTeeLatePar5ScoringAverage",2006
164,164,"Pat Perez",50,4.79,163,34,"TenthTeeLatePar5ScoringAverage",2006
164,164,"Tom Pernice Jr",108,4.79,201,42,"TenthTeeLatePar5ScoringAverage",2006
164,164,"Kirk Triplett",58,4.79,187,39,"TenthTeeLatePar5ScoringAverage",2006
169,169,"Mark Brooks",90,4.8,403,84,"TenthTeeLatePar5ScoringAverage",2006
169,169,"John Cook",67,4.8,168,35,"TenthTeeLatePar5ScoringAverage",2006
169,169,"Jeff Maggert",81,4.8,192,40,"TenthTeeLatePar5ScoringAverage",2006
