"LowestRound_RANKTHISWEEK_2016","LowestRound_RANKLASTWEEK_2016","LowestRound_PLAYERNAME_2016","LowestRound_ROUNDS_2016","LowestRound_VALUE_2016","LowestRound_TOURNCOURSE_2016","LowestRound_ROUND_2016","stat_name","year"
1,1,"Sung Kang",51,60,NA,2,"LowestRound",2016
2,2,"Smylie Kaufman",57,61,NA,4,"LowestRound",2016
2,2,"Justin Thomas",53,61,NA,2,"LowestRound",2016
4,4,"Roberto Castro",55,62,NA,1,"LowestRound",2016
4,4,"Graham DeLaet",50,62,NA,2,"LowestRound",2016
4,4,"Fabian Gomez",49,62,NA,4,"LowestRound",2016
4,4,"Matt Kuchar",46,62,NA,3,"LowestRound",2016
4,4,"David Lingmerth",54,62,NA,3,"LowestRound",2016
4,4,"William McGirt",54,62,NA,4,"LowestRound",2016
4,4,"Kevin Na",52,62,NA,3,"LowestRound",2016
4,4,"Scott Piercy",45,62,NA,1,"LowestRound",2016
4,4,"Harold Varner III",58,62,NA,2,"LowestRound",2016
4,4,"Danny Willett",19,62,NA,4,"LowestRound",2016
14,14,"Ricky Barnes",57,63,NA,1,"LowestRound",2016
14,14,"Jason Bohn",37,63,NA,2,"LowestRound",2016
14,14,"Branden Grace",31,63,NA,1,"LowestRound",2016
14,14,"Brian Harman",60,63,NA,2,"LowestRound",2016
14,14,"Morgan Hoffmann",43,63,NA,1,"LowestRound",2016
14,14,"Freddie Jacobson",54,63,NA,3,"LowestRound",2016
14,14,"Kevin Kisner",49,63,NA,1,"LowestRound",2016
14,14,"Patton Kizzire",57,63,NA,4,"LowestRound",2016
14,14,"Brooks Koepka",39,63,NA,3,"LowestRound",2016
14,14,"Andrew Loupe",50,63,NA,3,"LowestRound",2016
14,14,"Graeme McDowell",33,63,NA,2,"LowestRound",2016
14,14,"Chez Reavie",56,63,NA,1,"LowestRound",2016
14,14,"Adam Scott",39,63,NA,4,"LowestRound",2016
14,14,"Vijay Singh",42,63,NA,1,"LowestRound",2016
14,14,"Brandt Snedeker",47,63,NA,1,"LowestRound",2016
14,14,"Jordan Spieth",34,63,NA,3,"LowestRound",2016
14,14,"Brendan Steele",48,63,NA,2,"LowestRound",2016
14,14,"Camilo Villegas",50,63,NA,1,"LowestRound",2016
14,14,"Jimmy Walker",43,63,NA,3,"LowestRound",2016
33,33,"Tyler Aldridge",53,64,NA,1,"LowestRound",2016
33,33,"Aaron Baddeley",51,64,NA,1,"LowestRound",2016
33,33,"Zac Blair",56,64,NA,3,"LowestRound",2016
33,33,"Steven Bowditch",40,64,NA,1,"LowestRound",2016
33,33,"Bronson Burgoon",53,64,NA,1,"LowestRound",2016
33,33,"Rafael Campos",8,64,NA,1,"LowestRound",2016
33,33,"Stewart Cink",45,64,NA,2,"LowestRound",2016
33,33,"Chad Collins",45,64,NA,2,"LowestRound",2016
33,33,"Jason Dufner",53,64,NA,3,"LowestRound",2016
33,33,"Jason Gore",51,64,NA,2,"LowestRound",2016
33,33,"Adam Hadwin",53,64,NA,3,"LowestRound",2016
33,33,"James Hahn",45,64,NA,3,"LowestRound",2016
33,33,"David Hearn",55,64,NA,1,"LowestRound",2016
33,33,"Charley Hoffman",49,64,NA,1,"LowestRound",2016
33,33,"Tom Hoge",47,64,NA,1,"LowestRound",2016
33,33,"Charles Howell III",63,64,NA,1,"LowestRound",2016
33,33,"Mark Hubbard",73,64,NA,1,"LowestRound",2016
33,33,"John Huh",51,64,NA,2,"LowestRound",2016
33,33,"Zach Johnson",42,64,NA,1,"LowestRound",2016
33,33,"Dustin Johnson",37,64,NA,2,"LowestRound",2016
33,33,"Daisuke Kataoka",4,64,NA,3,"LowestRound",2016
33,33,"Jerry Kelly",44,64,NA,1,"LowestRound",2016
33,33,"Si Woo Kim",63,64,NA,3,"LowestRound",2016
33,33,"Jason Kokrak",52,64,NA,2,"LowestRound",2016
33,33,"Anirban Lahiri",44,64,NA,1,"LowestRound",2016
33,33,"Spencer Levin",62,64,NA,2,"LowestRound",2016
33,33,"Bryce Molder",50,64,NA,3,"LowestRound",2016
33,33,"Thorbjorn Olesen",7,64,NA,1,"LowestRound",2016
33,33,"Jeff Overton",51,64,NA,1,"LowestRound",2016
33,33,"Greg Owen",56,64,NA,4,"LowestRound",2016
33,33,"Patrick Rodgers",49,64,NA,2,"LowestRound",2016
33,33,"Cameron Smith",45,64,NA,1,"LowestRound",2016
33,33,"Kyle Stanley",57,64,NA,4,"LowestRound",2016
33,33,"Brian Stuard",24,64,NA,1,"LowestRound",2016
33,33,"Michael Thompson",46,64,NA,1,"LowestRound",2016
33,33,"Dawie van der Walt",48,64,NA,3,"LowestRound",2016
33,33,"Jhonattan Vegas",49,64,NA,1,"LowestRound",2016
33,33,"Boo Weekley",53,64,NA,4,"LowestRound",2016
33,33,"Bobby Wyatt",8,64,NA,3,"LowestRound",2016
72,72,"Byeong Hun An",23,65,NA,3,"LowestRound",2016
