"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2014","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2014","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2014","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2014","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2014","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2014","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2014","stat_name","year"
1,1,"Dustin Johnson",58,56.3,38711.4,68761,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
2,2,"Bubba Watson",76,55.75,51679.7,92700,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
3,3,"Andrew Loupe",65,55.13,44949.5,81533,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
4,4,"Jhonattan Vegas",77,54.99,57965.9,105411,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
5,5,"Jamie Lovemark",64,54.91,40922.4,74530,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
6,6,"Rory McIlroy",66,54.75,45877.6,83802,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
7,7,"Charlie Beljan",76,54.73,60921.3,111316,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
8,8,"Robert Garrigus",80,54.7,69835.8,127672,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
9,9,"JB Holmes",86,54.54,76897.5,140994,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
10,10,"Charles Howell III",106,54.49,86971.8,159617,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
11,11,"Brooks Koepka",56,54.47,37067.9,68054,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
12,12,"Lucas Glover",68,54.37,46148.2,84876,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
13,13,"Will Wilcox",51,54.34,32926.9,60595,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
14,14,"Sean OHair",77,54.29,59816.3,110182,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
15,15,"Jason Kokrak",65,54.25,59105.3,108943,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
16,16,"Harris English",95,54.12,65447.5,120920,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
17,17,"Jason Day",54,54,29361.1,54374,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
18,18,"Ryan Palmer",85,53.93,58578.7,108617,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
19,19,"Gary Woodland",93,53.9,71024.6,131769,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
20,20,"Graham DeLaet",80,53.89,58143.5,107897,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
21,21,"Martin Laird",66,53.79,52640.1,97856,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
21,21,"Adam Scott",68,53.79,49548.2,92114,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
23,23,"Robert Streb",75,53.72,56065.8,104366,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
24,24,"Matt Jones",83,53.7,56252.7,104750,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
25,25,"Jim Herman",62,53.69,43154.6,80375,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
26,26,"Brendan Steele",89,53.64,67779.8,126371,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
27,27,"Keegan Bradley",89,53.54,62597.1,116906,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
27,27,"Hudson Swafford",75,53.54,49108,91729,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
29,29,"Angel Cabrera",69,53.53,53077,99147,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
30,30,"Derek Ernst",80,53.5,57042.5,106630,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
31,31,"Scott Stallings",77,53.45,58738.5,109904,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
32,32,"Jimmy Walker",98,53.43,65906.1,123348,"PercentageofYardagecoveredbyTeeShotsPar5s",2014
