"FirstTeeLateLowestRound_RANKTHISWEEK_2011","FirstTeeLateLowestRound_RANKLASTWEEK_2011","FirstTeeLateLowestRound_PLAYERNAME_2011","FirstTeeLateLowestRound_ROUNDS_2011","FirstTeeLateLowestRound_LOWRND_2011","stat_name","year"
1,1,"Trevor Immelman",84,62,"FirstTeeLateLowestRound",2011
1,1,"Anthony Kim",72,62,"FirstTeeLateLowestRound",2011
1,1,"Graeme McDowell",50,62,"FirstTeeLateLowestRound",2011
1,1,"Adam Scott",60,62,"FirstTeeLateLowestRound",2011
1,1,"Michael Thompson",79,62,"FirstTeeLateLowestRound",2011
1,1,"David Toms",78,62,"FirstTeeLateLowestRound",2011
1,1,"Nick Watney",80,62,"FirstTeeLateLowestRound",2011
8,8,"Shane Bertsch",62,63,"FirstTeeLateLowestRound",2011
8,8,"Ben Crane",76,63,"FirstTeeLateLowestRound",2011
8,8,"Brendon de Jonge",105,63,"FirstTeeLateLowestRound",2011
8,8,"Tommy Gainey",104,63,"FirstTeeLateLowestRound",2011
8,8,"Robert Garrigus",83,63,"FirstTeeLateLowestRound",2011
8,8,"Freddie Jacobson",92,63,"FirstTeeLateLowestRound",2011
8,8,"Matt Kuchar",94,63,"FirstTeeLateLowestRound",2011
8,8,"Hunter Mahan",92,63,"FirstTeeLateLowestRound",2011
8,8,"Steve Marino",76,63,"FirstTeeLateLowestRound",2011
8,8,"William McGirt",103,63,"FirstTeeLateLowestRound",2011
8,8,"Ryan Moore",79,63,"FirstTeeLateLowestRound",2011
8,8,"DA Points",89,63,"FirstTeeLateLowestRound",2011
8,8,"John Rollins",85,63,"FirstTeeLateLowestRound",2011
8,8,"Steve Stricker",70,63,"FirstTeeLateLowestRound",2011
8,8,"Jhonattan Vegas",84,63,"FirstTeeLateLowestRound",2011
23,23,"Stuart Appleby",65,64,"FirstTeeLateLowestRound",2011
23,23,"Aaron Baddeley",77,64,"FirstTeeLateLowestRound",2011
23,23,"Briny Baird",60,64,"FirstTeeLateLowestRound",2011
23,23,"Cameron Beckman",71,64,"FirstTeeLateLowestRound",2011
23,23,"DJ Brigman",67,64,"FirstTeeLateLowestRound",2011
23,23,"KJ Choi",77,64,"FirstTeeLateLowestRound",2011
23,23,"Chris Couch",73,64,"FirstTeeLateLowestRound",2011
23,23,"Jason Day",76,64,"FirstTeeLateLowestRound",2011
23,23,"Luke Donald",73,64,"FirstTeeLateLowestRound",2011
23,23,"Bob Estes",34,64,"FirstTeeLateLowestRound",2011
23,23,"Rickie Fowler",84,64,"FirstTeeLateLowestRound",2011
23,23,"Harrison Frazar",58,64,"FirstTeeLateLowestRound",2011
23,23,"Billy Horschel",75,64,"FirstTeeLateLowestRound",2011
23,23,"Charles Howell III",108,64,"FirstTeeLateLowestRound",2011
23,23,"Ryo Ishikawa",27,64,"FirstTeeLateLowestRound",2011
23,23,"Brandt Jobe",100,64,"FirstTeeLateLowestRound",2011
23,23,"Dustin Johnson",72,64,"FirstTeeLateLowestRound",2011
23,23,"Chris Kirk",87,64,"FirstTeeLateLowestRound",2011
23,23,"Martin Laird",77,64,"FirstTeeLateLowestRound",2011
23,23,"Derek Lamely",65,64,"FirstTeeLateLowestRound",2011
23,23,"Bill Lunde",92,64,"FirstTeeLateLowestRound",2011
23,23,"George McNeill",69,64,"FirstTeeLateLowestRound",2011
23,23,"Matt McQuillan",59,64,"FirstTeeLateLowestRound",2011
23,23,"Zack Miller",86,64,"FirstTeeLateLowestRound",2011
23,23,"Bryce Molder",82,64,"FirstTeeLateLowestRound",2011
23,23,"Jeff Overton",92,64,"FirstTeeLateLowestRound",2011
23,23,"Ryan Palmer",82,64,"FirstTeeLateLowestRound",2011
23,23,"Martin Piller",63,64,"FirstTeeLateLowestRound",2011
23,23,"John Senden",94,64,"FirstTeeLateLowestRound",2011
23,23,"Webb Simpson",98,64,"FirstTeeLateLowestRound",2011
23,23,"Heath Slocum",89,64,"FirstTeeLateLowestRound",2011
23,23,"Brandt Snedeker",85,64,"FirstTeeLateLowestRound",2011
23,23,"Henrik Stenson",45,64,"FirstTeeLateLowestRound",2011
23,23,"Chris Stroud",88,64,"FirstTeeLateLowestRound",2011
23,23,"Camilo Villegas",69,64,"FirstTeeLateLowestRound",2011
23,23,"Charlie Wi",83,64,"FirstTeeLateLowestRound",2011
23,23,"Gary Woodland",93,64,"FirstTeeLateLowestRound",2011
60,60,"Matt Bettencourt",84,65,"FirstTeeLateLowestRound",2011
60,60,"Kris Blanks",92,65,"FirstTeeLateLowestRound",2011
60,60,"Steven Bowditch",86,65,"FirstTeeLateLowestRound",2011
60,60,"Keegan Bradley",91,65,"FirstTeeLateLowestRound",2011
60,60,"Angel Cabrera",50,65,"FirstTeeLateLowestRound",2011
60,60,"Alex Cejka",59,65,"FirstTeeLateLowestRound",2011
60,60,"Greg Chalmers",88,65,"FirstTeeLateLowestRound",2011
60,60,"Stewart Cink",72,65,"FirstTeeLateLowestRound",2011
60,60,"Michael Connell",76,65,"FirstTeeLateLowestRound",2011
60,60,"Brian Davis",105,65,"FirstTeeLateLowestRound",2011
60,60,"Jason Dufner",78,65,"FirstTeeLateLowestRound",2011
60,60,"Ernie Els",71,65,"FirstTeeLateLowestRound",2011
60,60,"Jim Furyk",87,65,"FirstTeeLateLowestRound",2011
60,60,"Tom Gillis",55,65,"FirstTeeLateLowestRound",2011
60,60,"Jason Gore",19,65,"FirstTeeLateLowestRound",2011
60,60,"Bill Haas",93,65,"FirstTeeLateLowestRound",2011
60,60,"Padraig Harrington",60,65,"FirstTeeLateLowestRound",2011
60,60,"David Hearn",88,65,"FirstTeeLateLowestRound",2011
60,60,"Tim Herron",85,65,"FirstTeeLateLowestRound",2011
60,60,"Charley Hoffman",93,65,"FirstTeeLateLowestRound",2011
60,60,"JB Holmes",57,65,"FirstTeeLateLowestRound",2011
60,60,"Zach Johnson",79,65,"FirstTeeLateLowestRound",2011
60,60,"Jerry Kelly",85,65,"FirstTeeLateLowestRound",2011
60,60,"Kevin Kisner",70,65,"FirstTeeLateLowestRound",2011
60,60,"Spencer Levin",113,65,"FirstTeeLateLowestRound",2011
60,60,"Tom Lewis",4,65,"FirstTeeLateLowestRound",2011
60,60,"John Mallinger",42,65,"FirstTeeLateLowestRound",2011
60,60,"Ben Martin",74,65,"FirstTeeLateLowestRound",2011
60,60,"Shigeki Maruyama",6,65,"FirstTeeLateLowestRound",2011
60,60,"Scott McCarron",65,65,"FirstTeeLateLowestRound",2011
60,60,"Phil Mickelson",79,65,"FirstTeeLateLowestRound",2011
60,60,"Kevin Na",84,65,"FirstTeeLateLowestRound",2011
60,60,"Pat Perez",76,65,"FirstTeeLateLowestRound",2011
60,60,"Alex Prugh",82,65,"FirstTeeLateLowestRound",2011
60,60,"Brett Quigley",25,65,"FirstTeeLateLowestRound",2011
60,60,"Alvaro Quiros",25,65,"FirstTeeLateLowestRound",2011
60,60,"Andres Romero",77,65,"FirstTeeLateLowestRound",2011
60,60,"Justin Rose",79,65,"FirstTeeLateLowestRound",2011
60,60,"Rory Sabbatini",85,65,"FirstTeeLateLowestRound",2011
60,60,"Vijay Singh",79,65,"FirstTeeLateLowestRound",2011
60,60,"Kevin Stadler",88,65,"FirstTeeLateLowestRound",2011
60,60,"Kyle Stanley",98,65,"FirstTeeLateLowestRound",2011
60,60,"DJ Trahan",91,65,"FirstTeeLateLowestRound",2011
60,60,"Bo Van Pelt",92,65,"FirstTeeLateLowestRound",2011
60,60,"Scott Verplank",46,65,"FirstTeeLateLowestRound",2011
60,60,"Johnson Wagner",81,65,"FirstTeeLateLowestRound",2011
60,60,"Jimmy Walker",79,65,"FirstTeeLateLowestRound",2011
60,60,"Lee Westwood",36,65,"FirstTeeLateLowestRound",2011
60,60,"Mark Wilson",89,65,"FirstTeeLateLowestRound",2011
109,109,"Blake Adams",116,66,"FirstTeeLateLowestRound",2011
109,109,"Joe Affrunti",15,66,"FirstTeeLateLowestRound",2011
109,109,"Stephen Ames",69,66,"FirstTeeLateLowestRound",2011
109,109,"Jonathan Byrd",83,66,"FirstTeeLateLowestRound",2011
109,109,"Bud Cauley",30,66,"FirstTeeLateLowestRound",2011
109,109,"Kevin Chappell",78,66,"FirstTeeLateLowestRound",2011
109,109,"John Cook",4,66,"FirstTeeLateLowestRound",2011
109,109,"Ben Curtis",66,66,"FirstTeeLateLowestRound",2011
109,109,"Chris DiMarco",93,66,"FirstTeeLateLowestRound",2011
109,109,"Sergio Garcia",61,66,"FirstTeeLateLowestRound",2011
109,109,"Brian Gay",90,66,"FirstTeeLateLowestRound",2011
109,109,"Lucas Glover",74,66,"FirstTeeLateLowestRound",2011
