"FinalRoundScoringAverage_RANKTHISWEEK_2010","FinalRoundScoringAverage_RANKLASTWEEK_2010","FinalRoundScoringAverage_PLAYERNAME_2010","FinalRoundScoringAverage__2010","FinalRoundScoringAverage_AVG_2010","FinalRoundScoringAverage_TOTALSTROKES_2010","FinalRoundScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Chris Riley",NA,68.5,822,12,"FinalRoundScoringAverage",2010
2,2,"Ryan Palmer",NA,68.71,962,14,"FinalRoundScoringAverage",2010
3,3,"Matt Kuchar",NA,68.86,1515,22,"FinalRoundScoringAverage",2010
4,4,"James Driscoll",NA,68.92,827,12,"FinalRoundScoringAverage",2010
5,5,"Mark Wilson",NA,69.13,1037,15,"FinalRoundScoringAverage",2010
6,6,"Michael Sim",NA,69.25,831,12,"FinalRoundScoringAverage",2010
7,7,"Ben Crane",NA,69.28,1247,18,"FinalRoundScoringAverage",2010
8,8,"Retief Goosen",NA,69.41,1180,17,"FinalRoundScoringAverage",2010
9,9,"Webb Simpson",NA,69.47,1181,17,"FinalRoundScoringAverage",2010
10,10,"Charles Howell III",NA,69.48,1598,23,"FinalRoundScoringAverage",2010
11,11,"Jeff Quinney",NA,69.56,1113,16,"FinalRoundScoringAverage",2010
12,12,"Cameron Beckman",NA,69.57,487,7,"FinalRoundScoringAverage",2010
13,13,"Freddie Jacobson",NA,69.63,1114,16,"FinalRoundScoringAverage",2010
14,14,"Dean Wilson",NA,69.67,627,9,"FinalRoundScoringAverage",2010
15,15,"Jonathan Byrd",NA,69.69,1115,16,"FinalRoundScoringAverage",2010
16,16,"Rory McIlroy",NA,69.73,767,11,"FinalRoundScoringAverage",2010
17,17,"Paul Casey",NA,69.77,907,13,"FinalRoundScoringAverage",2010
18,18,"Justin Rose",NA,69.81,1117,16,"FinalRoundScoringAverage",2010
19,19,"Bob Estes",NA,69.83,838,12,"FinalRoundScoringAverage",2010
20,20,"Pat Perez",NA,69.89,1258,18,"FinalRoundScoringAverage",2010
20,20,"David Toms",NA,69.89,1258,18,"FinalRoundScoringAverage",2010
22,22,"Marc Leishman",NA,69.94,1189,17,"FinalRoundScoringAverage",2010
23,23,"Briny Baird",NA,70.07,1051,15,"FinalRoundScoringAverage",2010
23,23,"Graham DeLaet",NA,70.07,1051,15,"FinalRoundScoringAverage",2010
25,25,"Rory Sabbatini",NA,70.08,911,13,"FinalRoundScoringAverage",2010
26,26,"Paul Stankowski",NA,70.15,912,13,"FinalRoundScoringAverage",2010
27,27,"DJ Trahan",NA,70.17,1263,18,"FinalRoundScoringAverage",2010
27,27,"Bo Van Pelt",NA,70.17,1614,23,"FinalRoundScoringAverage",2010
29,29,"Kevin Streelman",NA,70.18,1193,17,"FinalRoundScoringAverage",2010
30,30,"Bubba Watson",NA,70.19,1123,16,"FinalRoundScoringAverage",2010
31,31,"Chris Couch",NA,70.2,702,10,"FinalRoundScoringAverage",2010
32,32,"Brian Gay",NA,70.21,1334,19,"FinalRoundScoringAverage",2010
32,32,"John Rollins",NA,70.21,983,14,"FinalRoundScoringAverage",2010
34,34,"Jarrod Lyle",NA,70.22,632,9,"FinalRoundScoringAverage",2010
34,34,"Steve Stricker",NA,70.22,1264,18,"FinalRoundScoringAverage",2010
36,36,"Bryce Molder",NA,70.25,1124,16,"FinalRoundScoringAverage",2010
36,36,"Jimmy Walker",NA,70.25,843,12,"FinalRoundScoringAverage",2010
38,38,"Garrett Willis",NA,70.27,1054,15,"FinalRoundScoringAverage",2010
39,39,"Tom Gillis",NA,70.29,1476,21,"FinalRoundScoringAverage",2010
40,40,"Jeev Milkha Singh",NA,70.3,703,10,"FinalRoundScoringAverage",2010
41,41,"Chris Stroud",NA,70.31,1125,16,"FinalRoundScoringAverage",2010
42,42,"Kevin Na",NA,70.35,1407,20,"FinalRoundScoringAverage",2010
