"ApproachPuttPerformance_RANKTHISWEEK_2012","ApproachPuttPerformance_RANKLASTWEEK_2012","ApproachPuttPerformance_PLAYERNAME_2012","ApproachPuttPerformance_ROUNDS_2012","ApproachPuttPerformance_VALUE_2012","ApproachPuttPerformance_ATTEMPTS_2012","ApproachPuttPerformance_TOTALDISTANCEFEET_2012","stat_name","year"
1,1,"Ben Curtis",62,NA,528,1065.75,"ApproachPuttPerformance",2012
1,1,"Hunter Haas",69,NA,546,1106.333,"ApproachPuttPerformance",2012
1,1,"JJ Henry",93,NA,829,1676.583,"ApproachPuttPerformance",2012
1,1,"Rocco Mediate",70,NA,623,1270.667,"ApproachPuttPerformance",2012
1,1,"Kevin Stadler",85,NA,790,1608.333,"ApproachPuttPerformance",2012
6,6,"Marco Dawson",60,NA,499,1031.417,"ApproachPuttPerformance",2012
6,6,"Chris DiMarco",83,NA,750,1569.75,"ApproachPuttPerformance",2012
6,6,"Ernie Els",80,NA,708,1487.75,"ApproachPuttPerformance",2012
6,6,"Bob Estes",78,NA,669,1368.25,"ApproachPuttPerformance",2012
6,6,"Nick OHern",78,NA,742,1543.667,"ApproachPuttPerformance",2012
6,6,"Bubba Watson",68,NA,579,1198.75,"ApproachPuttPerformance",2012
12,12,"Jason Bohn",81,NA,722,1544.083,"ApproachPuttPerformance",2012
12,12,"Michael Bradley",63,NA,639,1404.667,"ApproachPuttPerformance",2012
12,12,"KJ Choi",71,NA,619,1354.833,"ApproachPuttPerformance",2012
12,12,"Brendon de Jonge",115,NA,1126,2414,"ApproachPuttPerformance",2012
12,12,"Jason Dufner",83,NA,676,1473.667,"ApproachPuttPerformance",2012
12,12,"Scott Dunlap",57,NA,532,1171.667,"ApproachPuttPerformance",2012
12,12,"Sergio Garcia",57,NA,463,987.5,"ApproachPuttPerformance",2012
12,12,"Brian Gay",91,NA,790,1735,"ApproachPuttPerformance",2012
12,12,"Padraig Harrington",67,NA,458,983.583,"ApproachPuttPerformance",2012
12,12,"Tim Herron",88,NA,875,1914.25,"ApproachPuttPerformance",2012
12,12,"Charles Howell III",98,NA,864,1864.167,"ApproachPuttPerformance",2012
12,12,"Zach Johnson",95,NA,739,1602.667,"ApproachPuttPerformance",2012
12,12,"Dustin Johnson",70,NA,550,1170.417,"ApproachPuttPerformance",2012
12,12,"Matt Jones",53,NA,481,1035.083,"ApproachPuttPerformance",2012
12,12,"Troy Kelly",68,NA,551,1214.417,"ApproachPuttPerformance",2012
12,12,"Justin Leonard",79,NA,723,1593.333,"ApproachPuttPerformance",2012
12,12,"Spencer Levin",81,NA,686,1490.333,"ApproachPuttPerformance",2012
12,12,"Davis Love III",64,NA,553,1188.833,"ApproachPuttPerformance",2012
12,12,"John Mallinger",74,NA,690,1511.5,"ApproachPuttPerformance",2012
12,12,"John Merrick",83,NA,828,1799.333,"ApproachPuttPerformance",2012
12,12,"Bryce Molder",83,NA,754,1664.5,"ApproachPuttPerformance",2012
12,12,"Garth Mulroy",59,NA,497,1082.917,"ApproachPuttPerformance",2012
12,12,"Chez Reavie",83,NA,743,1608.25,"ApproachPuttPerformance",2012
12,12,"Patrick Sheehan",58,NA,475,1014,"ApproachPuttPerformance",2012
12,12,"Kyle Stanley",86,NA,801,1767.083,"ApproachPuttPerformance",2012
12,12,"Lee Westwood",60,NA,447,982,"ApproachPuttPerformance",2012
12,12,"Mark Wilson",84,NA,747,1635.833,"ApproachPuttPerformance",2012
12,12,"Tiger Woods",69,NA,510,1100.333,"ApproachPuttPerformance",2012
40,40,"Robert Allenby",76,NA,757,1727.417,"ApproachPuttPerformance",2012
40,40,"Ricky Barnes",92,NA,924,2093.667,"ApproachPuttPerformance",2012
40,40,"Angel Cabrera",54,NA,412,930.833,"ApproachPuttPerformance",2012
40,40,"Greg Chalmers",88,NA,744,1654.417,"ApproachPuttPerformance",2012
40,40,"Stewart Cink",71,NA,597,1333.5,"ApproachPuttPerformance",2012
40,40,"Erik Compton",81,NA,675,1522.417,"ApproachPuttPerformance",2012
40,40,"Ken Duke",104,NA,924,2101.583,"ApproachPuttPerformance",2012
40,40,"Jim Furyk",85,NA,693,1544.75,"ApproachPuttPerformance",2012
40,40,"Bill Haas",79,NA,665,1481,"ApproachPuttPerformance",2012
40,40,"Brian Harman",101,NA,929,2086.5,"ApproachPuttPerformance",2012
40,40,"Billy Horschel",63,NA,528,1187.333,"ApproachPuttPerformance",2012
40,40,"Trevor Immelman",76,NA,620,1398.417,"ApproachPuttPerformance",2012
40,40,"Ryo Ishikawa",54,NA,406,904.333,"ApproachPuttPerformance",2012
40,40,"Freddie Jacobson",61,NA,473,1061.083,"ApproachPuttPerformance",2012
40,40,"Jerry Kelly",84,NA,784,1759.333,"ApproachPuttPerformance",2012
40,40,"Colt Knost",79,NA,726,1607.417,"ApproachPuttPerformance",2012
40,40,"Jason Kokrak",79,NA,762,1685.167,"ApproachPuttPerformance",2012
40,40,"Matt Kuchar",86,NA,667,1528.5,"ApproachPuttPerformance",2012
40,40,"George McNeill",85,NA,758,1706.667,"ApproachPuttPerformance",2012
40,40,"Seung Yul Noh",105,NA,932,2112.917,"ApproachPuttPerformance",2012
40,40,"Greg Owen",90,NA,877,1985.417,"ApproachPuttPerformance",2012
40,40,"DA Points",88,NA,886,1995.5,"ApproachPuttPerformance",2012
40,40,"Dicky Pride",62,NA,529,1197,"ApproachPuttPerformance",2012
40,40,"John Rollins",81,NA,782,1789.5,"ApproachPuttPerformance",2012
40,40,"Justin Rose",69,NA,575,1296.667,"ApproachPuttPerformance",2012
40,40,"John Senden",81,NA,675,1504.333,"ApproachPuttPerformance",2012
40,40,"Webb Simpson",77,NA,684,1550.917,"ApproachPuttPerformance",2012
40,40,"Heath Slocum",93,NA,865,1980.333,"ApproachPuttPerformance",2012
40,40,"Kevin Streelman",89,NA,843,1929.667,"ApproachPuttPerformance",2012
40,40,"Steve Stricker",73,NA,583,1313.583,"ApproachPuttPerformance",2012
40,40,"Daniel Summerhays",81,NA,770,1733.417,"ApproachPuttPerformance",2012
40,40,"Vaughn Taylor",81,NA,694,1541.25,"ApproachPuttPerformance",2012
40,40,"DJ Trahan",73,NA,709,1594.333,"ApproachPuttPerformance",2012
40,40,"YE Yang",64,NA,473,1069.333,"ApproachPuttPerformance",2012
