"ScramblingfromOtherLocations_RANKTHISWEEK_2012","ScramblingfromOtherLocations_RANKLASTWEEK_2012","ScramblingfromOtherLocations_PLAYERNAME_2012","ScramblingfromOtherLocations_ROUNDS_2012","ScramblingfromOtherLocations_Pct_2012","ScramblingfromOtherLocations_SUCCESSES_2012","ScramblingfromOtherLocations_ATTEMPTS_2012","stat_name","year"
1,1,"Jason Dufner",83,71.29,72,101,"ScramblingfromOtherLocations",2012
2,2,"Ian Poulter",57,70,49,70,"ScramblingfromOtherLocations",2012
3,3,"Kevin Chappell",91,67.41,91,135,"ScramblingfromOtherLocations",2012
4,4,"Jeff Overton",101,67.35,99,147,"ScramblingfromOtherLocations",2012
5,5,"Jim Furyk",85,66.99,69,103,"ScramblingfromOtherLocations",2012
6,6,"Luke Donald",63,66.27,55,83,"ScramblingfromOtherLocations",2012
7,7,"Henrik Stenson",51,65.93,60,91,"ScramblingfromOtherLocations",2012
8,8,"Troy Kelly",68,65.83,79,120,"ScramblingfromOtherLocations",2012
9,9,"Ben Crane",73,65.66,65,99,"ScramblingfromOtherLocations",2012
10,10,"Sergio Garcia",57,65.38,34,52,"ScramblingfromOtherLocations",2012
10,10,"Kevin Kisner",69,65.38,85,130,"ScramblingfromOtherLocations",2012
12,12,"Martin Laird",77,65.22,60,92,"ScramblingfromOtherLocations",2012
13,13,"Bill Haas",79,65.04,80,123,"ScramblingfromOtherLocations",2012
14,14,"Charl Schwartzel",56,64.81,35,54,"ScramblingfromOtherLocations",2012
15,15,"Jonathan Byrd",69,64.52,60,93,"ScramblingfromOtherLocations",2012
15,15,"Brandt Snedeker",81,64.52,60,93,"ScramblingfromOtherLocations",2012
17,17,"Charlie Wi",86,64.38,94,146,"ScramblingfromOtherLocations",2012
18,18,"Tim Clark",60,64.37,56,87,"ScramblingfromOtherLocations",2012
19,19,"William McGirt",96,64.14,93,145,"ScramblingfromOtherLocations",2012
20,20,"John Mallinger",74,64.08,66,103,"ScramblingfromOtherLocations",2012
21,21,"Steve Wheatcroft",56,64.04,57,89,"ScramblingfromOtherLocations",2012
22,22,"Bob Estes",78,64,96,150,"ScramblingfromOtherLocations",2012
23,23,"Hunter Haas",69,63.71,79,124,"ScramblingfromOtherLocations",2012
24,24,"Geoff Ogilvy",73,63.51,47,74,"ScramblingfromOtherLocations",2012
25,25,"Ken Duke",104,63.47,106,167,"ScramblingfromOtherLocations",2012
26,26,"Trevor Immelman",76,63.33,76,120,"ScramblingfromOtherLocations",2012
27,27,"YE Yang",64,63.3,69,109,"ScramblingfromOtherLocations",2012
28,28,"Rocco Mediate",70,62.99,80,127,"ScramblingfromOtherLocations",2012
29,29,"Stuart Appleby",75,62.84,93,148,"ScramblingfromOtherLocations",2012
30,30,"Bill Lunde",83,62.68,89,142,"ScramblingfromOtherLocations",2012
31,31,"Seung Yul Noh",105,62.5,90,144,"ScramblingfromOtherLocations",2012
31,31,"Johnson Wagner",88,62.5,95,152,"ScramblingfromOtherLocations",2012
33,33,"Kevin Stadler",85,62.4,78,125,"ScramblingfromOtherLocations",2012
34,34,"Phil Mickelson",79,62.39,68,109,"ScramblingfromOtherLocations",2012
