"Front9Round3ScoringAverage_RANKTHISWEEK_2006","Front9Round3ScoringAverage_RANKLASTWEEK_2006","Front9Round3ScoringAverage_PLAYERNAME_2006","Front9Round3ScoringAverage__2006","Front9Round3ScoringAverage_AVG_2006","Front9Round3ScoringAverage_TOTALSTROKES_2006","Front9Round3ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Phil Mickelson",NA,34.12,580,17,"Front9Round3ScoringAverage",2006
2,2,"Bubba Watson",NA,34.2,513,15,"Front9Round3ScoringAverage",2006
3,3,"Charles Warren",NA,34.26,651,19,"Front9Round3ScoringAverage",2006
4,4,"Corey Pavin",NA,34.31,446,13,"Front9Round3ScoringAverage",2006
5,5,"Sergio Garcia",NA,34.33,412,12,"Front9Round3ScoringAverage",2006
6,6,"Lucas Glover",NA,34.38,722,21,"Front9Round3ScoringAverage",2006
7,7,"Trevor Immelman",NA,34.42,654,19,"Front9Round3ScoringAverage",2006
8,8,"Jeff Gove",NA,34.44,551,16,"Front9Round3ScoringAverage",2006
9,9,"Mathew Goggin",NA,34.45,379,11,"Front9Round3ScoringAverage",2006
10,10,"Paul Goydos",NA,34.5,414,12,"Front9Round3ScoringAverage",2006
11,11,"Alex Cejka",NA,34.53,587,17,"Front9Round3ScoringAverage",2006
11,11,"Steve Stricker",NA,34.53,518,15,"Front9Round3ScoringAverage",2006
13,13,"John Senden",NA,34.58,657,19,"Front9Round3ScoringAverage",2006
14,14,"Bob Estes",NA,34.59,588,17,"Front9Round3ScoringAverage",2006
15,15,"Kevin Sutherland",NA,34.6,692,20,"Front9Round3ScoringAverage",2006
16,16,"Stewart Cink",NA,34.65,693,20,"Front9Round3ScoringAverage",2006
17,17,"Tiger Woods",NA,34.67,416,12,"Front9Round3ScoringAverage",2006
18,18,"Scott Verplank",NA,34.68,659,19,"Front9Round3ScoringAverage",2006
18,18,"Dean Wilson",NA,34.68,763,22,"Front9Round3ScoringAverage",2006
20,20,"Marco Dawson",NA,34.71,590,17,"Front9Round3ScoringAverage",2006
21,21,"Tommy Armour III",NA,34.73,382,11,"Front9Round3ScoringAverage",2006
21,21,"David Toms",NA,34.73,521,15,"Front9Round3ScoringAverage",2006
23,23,"Tom Pernice Jr",NA,34.75,695,20,"Front9Round3ScoringAverage",2006
23,23,"Brett Wetterich",NA,34.75,556,16,"Front9Round3ScoringAverage",2006
25,25,"Richard Johnson",NA,34.78,626,18,"Front9Round3ScoringAverage",2006
26,26,"Rod Pampling",NA,34.8,696,20,"Front9Round3ScoringAverage",2006
26,26,"Justin Rose",NA,34.8,696,20,"Front9Round3ScoringAverage",2006
28,28,"John Cook",NA,34.82,383,11,"Front9Round3ScoringAverage",2006
28,28,"Joe Ogilvie",NA,34.82,592,17,"Front9Round3ScoringAverage",2006
30,30,"Jon Mills",NA,34.86,244,7,"Front9Round3ScoringAverage",2006
31,31,"JB Holmes",NA,34.87,523,15,"Front9Round3ScoringAverage",2006
32,32,"Bill Haas",NA,34.89,663,19,"Front9Round3ScoringAverage",2006
32,32,"Jerry Kelly",NA,34.89,663,19,"Front9Round3ScoringAverage",2006
34,34,"Lee Janzen",NA,34.92,419,12,"Front9Round3ScoringAverage",2006
35,35,"Aaron Baddeley",NA,34.93,489,14,"Front9Round3ScoringAverage",2006
36,36,"Bart Bryant",NA,34.94,629,18,"Front9Round3ScoringAverage",2006
36,36,"Troy Matteson",NA,34.94,629,18,"Front9Round3ScoringAverage",2006
36,36,"Rory Sabbatini",NA,34.94,629,18,"Front9Round3ScoringAverage",2006
36,36,"Vaughn Taylor",NA,34.94,629,18,"Front9Round3ScoringAverage",2006
40,40,"Charles Howell III",NA,34.95,664,19,"Front9Round3ScoringAverage",2006
41,41,"Tim Herron",NA,35,490,14,"Front9Round3ScoringAverage",2006
41,41,"Kenny Perry",NA,35,525,15,"Front9Round3ScoringAverage",2006
41,41,"John Rollins",NA,35,630,18,"Front9Round3ScoringAverage",2006
41,41,"Jerry Smith",NA,35,630,18,"Front9Round3ScoringAverage",2006
41,41,"Duffy Waldorf",NA,35,665,19,"Front9Round3ScoringAverage",2006
41,41,"Jimmy Walker",NA,35,315,9,"Front9Round3ScoringAverage",2006
47,47,"Vijay Singh",NA,35.04,841,24,"Front9Round3ScoringAverage",2006
48,48,"Frank Lickliter II",NA,35.05,736,21,"Front9Round3ScoringAverage",2006
48,48,"Brett Quigley",NA,35.05,736,21,"Front9Round3ScoringAverage",2006
50,50,"Heath Slocum",NA,35.06,596,17,"Front9Round3ScoringAverage",2006
51,51,"Chris DiMarco",NA,35.07,526,15,"Front9Round3ScoringAverage",2006
52,52,"Paul Stankowski",NA,35.08,456,13,"Front9Round3ScoringAverage",2006
53,53,"Padraig Harrington",NA,35.09,386,11,"Front9Round3ScoringAverage",2006
53,53,"Bob May",NA,35.09,386,11,"Front9Round3ScoringAverage",2006
55,55,"Doug Barron",NA,35.1,351,10,"Front9Round3ScoringAverage",2006
55,55,"Jim Furyk",NA,35.1,737,21,"Front9Round3ScoringAverage",2006
55,55,"Mike Sposa",NA,35.1,351,10,"Front9Round3ScoringAverage",2006
58,58,"Billy Mayfair",NA,35.11,632,18,"Front9Round3ScoringAverage",2006
59,59,"John Engler Jr",NA,35.13,281,8,"Front9Round3ScoringAverage",2006
59,59,"Stephen Leaney",NA,35.13,527,15,"Front9Round3ScoringAverage",2006
59,59,"Justin Leonard",NA,35.13,527,15,"Front9Round3ScoringAverage",2006
59,59,"Adam Scott",NA,35.13,562,16,"Front9Round3ScoringAverage",2006
63,63,"Hunter Mahan",NA,35.14,738,21,"Front9Round3ScoringAverage",2006
64,64,"Greg Kraft",NA,35.15,457,13,"Front9Round3ScoringAverage",2006
64,64,"David McKenzie",NA,35.15,457,13,"Front9Round3ScoringAverage",2006
66,66,"Arjun Atwal",NA,35.19,563,16,"Front9Round3ScoringAverage",2006
66,66,"Greg Owen",NA,35.19,563,16,"Front9Round3ScoringAverage",2006
68,68,"Briny Baird",NA,35.2,528,15,"Front9Round3ScoringAverage",2006
68,68,"David Branshaw",NA,35.2,704,20,"Front9Round3ScoringAverage",2006
68,68,"Mark Wilson",NA,35.2,528,15,"Front9Round3ScoringAverage",2006
71,71,"Mathias Gronberg",NA,35.25,564,16,"Front9Round3ScoringAverage",2006
71,71,"Daisuke Maruyama",NA,35.25,564,16,"Front9Round3ScoringAverage",2006
71,71,"Ian Poulter",NA,35.25,423,12,"Front9Round3ScoringAverage",2006
74,74,"Mike Weir",NA,35.26,670,19,"Front9Round3ScoringAverage",2006
75,75,"Danny Ellis",NA,35.27,388,11,"Front9Round3ScoringAverage",2006
76,76,"Bubba Dickerson",NA,35.28,635,18,"Front9Round3ScoringAverage",2006
76,76,"Jesper Parnevik",NA,35.28,635,18,"Front9Round3ScoringAverage",2006
78,78,"Michael Allen",NA,35.29,600,17,"Front9Round3ScoringAverage",2006
78,78,"Jonathan Byrd",NA,35.29,494,14,"Front9Round3ScoringAverage",2006
78,78,"Jonathan Kaye",NA,35.29,600,17,"Front9Round3ScoringAverage",2006
81,81,"Freddie Jacobson",NA,35.3,353,10,"Front9Round3ScoringAverage",2006
82,82,"Joey Sindelar",NA,35.31,565,16,"Front9Round3ScoringAverage",2006
83,83,"Woody Austin",NA,35.32,777,22,"Front9Round3ScoringAverage",2006
84,84,"Brian Bateman",NA,35.33,318,9,"Front9Round3ScoringAverage",2006
84,84,"Luke Donald",NA,35.33,530,15,"Front9Round3ScoringAverage",2006
84,84,"Charley Hoffman",NA,35.33,742,21,"Front9Round3ScoringAverage",2006
84,84,"Pat Perez",NA,35.33,318,9,"Front9Round3ScoringAverage",2006
84,84,"Kirk Triplett",NA,35.33,424,12,"Front9Round3ScoringAverage",2006
89,89,"Kent Jones",NA,35.35,707,20,"Front9Round3ScoringAverage",2006
90,90,"Chris Couch",NA,35.36,389,11,"Front9Round3ScoringAverage",2006
90,90,"Retief Goosen",NA,35.36,495,14,"Front9Round3ScoringAverage",2006
92,92,"Zach Johnson",NA,35.37,672,19,"Front9Round3ScoringAverage",2006
93,93,"Chris Riley",NA,35.38,566,16,"Front9Round3ScoringAverage",2006
94,94,"Shaun Micheel",NA,35.39,637,18,"Front9Round3ScoringAverage",2006
95,95,"Rich Beem",NA,35.4,531,15,"Front9Round3ScoringAverage",2006
95,95,"Mark Brooks",NA,35.4,354,10,"Front9Round3ScoringAverage",2006
