"PuttingfromInside5_RANKTHISWEEK_2015","PuttingfromInside5_RANKLASTWEEK_2015","PuttingfromInside5_PLAYERNAME_2015","PuttingfromInside5_ROUNDS_2015","PuttingfromInside5_Pct_2015","PuttingfromInside5_ATTEMPTS_2015","PuttingfromInside5_PUTTSMADE_2015","stat_name","year"
1,1,"Matt Kuchar",97,98.41,1071,1054,"PuttingfromInside5",2015
2,2,"Erik Compton",86,98.28,989,972,"PuttingfromInside5",2015
3,3,"Bubba Watson",71,98.17,766,752,"PuttingfromInside5",2015
4,4,"Ryan Palmer",80,98.14,751,737,"PuttingfromInside5",2015
5,5,"Rickie Fowler",76,97.99,795,779,"PuttingfromInside5",2015
6,6,"Henrik Stenson",63,97.98,594,582,"PuttingfromInside5",2015
7,7,"Kevin Kisner",104,97.95,1314,1287,"PuttingfromInside5",2015
8,8,"Jeff Overton",94,97.9,1047,1025,"PuttingfromInside5",2015
9,9,"Jim Furyk",71,97.75,756,739,"PuttingfromInside5",2015
10,10,"Jason Day",75,97.74,798,780,"PuttingfromInside5",2015
11,11,"Daniel Summerhays",101,97.71,1222,1194,"PuttingfromInside5",2015
12,12,"Harris English",105,97.66,1198,1170,"PuttingfromInside5",2015
13,13,"Billy Hurley III",83,97.65,893,872,"PuttingfromInside5",2015
14,14,"Francesco Molinari",56,97.63,632,617,"PuttingfromInside5",2015
15,15,"Cameron Percy",72,97.62,840,820,"PuttingfromInside5",2015
16,16,"David Toms",62,97.6,793,774,"PuttingfromInside5",2015
16,16,"Will Wilcox",58,97.6,583,569,"PuttingfromInside5",2015
18,18,"Phil Mickelson",70,97.58,745,727,"PuttingfromInside5",2015
19,19,"David Hearn",97,97.57,1154,1126,"PuttingfromInside5",2015
19,19,"John Senden",80,97.57,741,723,"PuttingfromInside5",2015
21,21,"Ben Martin",93,97.5,1078,1051,"PuttingfromInside5",2015
21,21,"Alex Prugh",84,97.5,1041,1015,"PuttingfromInside5",2015
23,23,"Pat Perez",96,97.47,1146,1117,"PuttingfromInside5",2015
23,23,"Jimmy Walker",89,97.47,868,846,"PuttingfromInside5",2015
25,25,"Brendon Todd",96,97.46,1061,1034,"PuttingfromInside5",2015
26,26,"Johnson Wagner",68,97.42,813,792,"PuttingfromInside5",2015
27,27,"John Peterson",84,97.4,1115,1086,"PuttingfromInside5",2015
28,28,"Bill Haas",89,97.39,1034,1007,"PuttingfromInside5",2015
28,28,"Carl Pettersson",106,97.39,1339,1304,"PuttingfromInside5",2015
30,30,"Greg Chalmers",58,97.37,495,482,"PuttingfromInside5",2015
31,31,"Blayne Barber",76,97.36,871,848,"PuttingfromInside5",2015
31,31,"Kevin Streelman",95,97.36,1060,1032,"PuttingfromInside5",2015
