"EarlyScoringAverage_RANKTHISWEEK_2011","EarlyScoringAverage_RANKLASTWEEK_2011","EarlyScoringAverage_PLAYERNAME_2011","EarlyScoringAverage_ROUNDS_2011","EarlyScoringAverage_AVG_2011","EarlyScoringAverage_TOTALSTROKES_2011","EarlyScoringAverage_TOTALEARLYROUNDS_2011","stat_name","year"
1,1,"Steve Stricker",70,68.64,1510,22,"EarlyScoringAverage",2011
2,2,"David Toms",78,69.03,2623,38,"EarlyScoringAverage",2011
3,3,"Brandt Snedeker",85,69.17,2490,36,"EarlyScoringAverage",2011
4,4,"Webb Simpson",98,69.36,2497,36,"EarlyScoringAverage",2011
5,5,"Spencer Levin",113,69.44,3611,52,"EarlyScoringAverage",2011
6,6,"Nick Watney",80,69.45,2014,29,"EarlyScoringAverage",2011
7,7,"Luke Donald",73,69.52,1738,25,"EarlyScoringAverage",2011
7,7,"Sergio Garcia",61,69.52,1877,27,"EarlyScoringAverage",2011
9,9,"Charles Howell III",108,69.55,3060,44,"EarlyScoringAverage",2011
10,10,"Rickie Fowler",84,69.66,2438,35,"EarlyScoringAverage",2011
10,10,"Gary Woodland",93,69.66,2647,38,"EarlyScoringAverage",2011
12,12,"Matt Kuchar",94,69.68,2369,34,"EarlyScoringAverage",2011
13,13,"John Merrick",71,69.73,2301,33,"EarlyScoringAverage",2011
14,14,"Brian Davis",105,69.76,3558,51,"EarlyScoringAverage",2011
15,15,"Brendon de Jonge",105,69.82,3491,50,"EarlyScoringAverage",2011
16,16,"John Senden",94,69.83,2863,41,"EarlyScoringAverage",2011
17,17,"Jason Day",76,69.89,2446,35,"EarlyScoringAverage",2011
18,18,"Zach Johnson",79,69.95,2868,41,"EarlyScoringAverage",2011
19,19,"Chad Campbell",99,69.96,3778,54,"EarlyScoringAverage",2011
20,20,"Rod Pampling",72,69.97,2449,35,"EarlyScoringAverage",2011
21,21,"Bill Haas",93,69.98,2869,41,"EarlyScoringAverage",2011
22,22,"JJ Henry",96,70,3640,52,"EarlyScoringAverage",2011
22,22,"Phil Mickelson",79,70,2660,38,"EarlyScoringAverage",2011
24,24,"Ryan Palmer",82,70.05,2592,37,"EarlyScoringAverage",2011
24,24,"Chris Stroud",88,70.05,2872,41,"EarlyScoringAverage",2011
26,26,"Chris Couch",73,70.08,2663,38,"EarlyScoringAverage",2011
26,26,"Rory Sabbatini",85,70.08,3434,49,"EarlyScoringAverage",2011
26,26,"Heath Slocum",89,70.08,3434,49,"EarlyScoringAverage",2011
29,29,"Brian Gay",90,70.09,3084,44,"EarlyScoringAverage",2011
