"2PuttsperRound_RANKTHISWEEK_2012","2PuttsperRound_RANKLASTWEEK_2012","2PuttsperRound_PLAYERNAME_2012","2PuttsperRound_ROUNDS_2012","2PuttsperRound_AVG_2012","2PuttsperRound_TOTAL2PUTTS_2012","2PuttsperRound_TOTALROUNDS_2012","stat_name","year"
1,1,"Hunter Mahan",88,11.09,909,82,"2PuttsperRound",2012
2,2,"Bubba Watson",68,10.92,721,66,"2PuttsperRound",2012
3,3,"John Merrick",83,10.87,859,79,"2PuttsperRound",2012
4,4,"Camilo Villegas",79,10.84,835,77,"2PuttsperRound",2012
5,5,"Robert Allenby",76,10.83,823,76,"2PuttsperRound",2012
6,6,"Tim Herron",88,10.81,951,88,"2PuttsperRound",2012
7,7,"Lee Westwood",60,10.8,583,54,"2PuttsperRound",2012
8,8,"Kyle Stanley",86,10.76,904,84,"2PuttsperRound",2012
9,9,"Chad Campbell",84,10.75,903,84,"2PuttsperRound",2012
10,10,"Alexandre Rocha",62,10.72,622,58,"2PuttsperRound",2012
11,11,"Sean OHair",84,10.7,899,84,"2PuttsperRound",2012
11,11,"Louis Oosthuizen",65,10.7,674,63,"2PuttsperRound",2012
11,11,"Chez Reavie",83,10.7,888,83,"2PuttsperRound",2012
11,11,"DJ Trahan",73,10.7,738,69,"2PuttsperRound",2012
15,15,"Charles Howell III",98,10.69,1048,98,"2PuttsperRound",2012
16,16,"Stewart Cink",71,10.63,712,67,"2PuttsperRound",2012
17,17,"Greg Owen",90,10.62,956,90,"2PuttsperRound",2012
17,17,"Scott Stallings",78,10.62,828,78,"2PuttsperRound",2012
19,19,"KJ Choi",71,10.61,743,70,"2PuttsperRound",2012
19,19,"Harris English",98,10.61,1040,98,"2PuttsperRound",2012
19,19,"JJ Henry",93,10.61,944,89,"2PuttsperRound",2012
22,22,"Jim Furyk",85,10.6,890,84,"2PuttsperRound",2012
23,23,"John Senden",81,10.59,826,78,"2PuttsperRound",2012
24,24,"Boo Weekley",74,10.57,740,70,"2PuttsperRound",2012
25,25,"Russell Knox",72,10.56,718,68,"2PuttsperRound",2012
25,25,"Jhonattan Vegas",77,10.56,813,77,"2PuttsperRound",2012
27,27,"Brendan Steele",77,10.53,769,73,"2PuttsperRound",2012
28,28,"John Mallinger",74,10.5,735,70,"2PuttsperRound",2012
29,29,"Kris Blanks",65,10.48,681,65,"2PuttsperRound",2012
30,30,"Tim Clark",60,10.47,628,60,"2PuttsperRound",2012
30,30,"Ernie Els",80,10.47,817,78,"2PuttsperRound",2012
30,30,"Jeff Maggert",83,10.47,869,83,"2PuttsperRound",2012
30,30,"John Rollins",81,10.47,806,77,"2PuttsperRound",2012
30,30,"Adam Scott",59,10.47,607,58,"2PuttsperRound",2012
35,35,"Bill Haas",79,10.46,816,78,"2PuttsperRound",2012
36,36,"Mathew Goggin",65,10.43,657,63,"2PuttsperRound",2012
36,36,"Justin Rose",69,10.43,709,68,"2PuttsperRound",2012
38,38,"DA Points",88,10.41,916,88,"2PuttsperRound",2012
38,38,"Steve Stricker",73,10.41,729,70,"2PuttsperRound",2012
40,40,"Jason Kokrak",79,10.37,778,75,"2PuttsperRound",2012
40,40,"Mark Wilson",84,10.37,809,78,"2PuttsperRound",2012
42,42,"Vijay Singh",99,10.36,1026,99,"2PuttsperRound",2012
43,43,"Billy Mayfair",90,10.35,890,86,"2PuttsperRound",2012
44,44,"Gary Christian",91,10.34,900,87,"2PuttsperRound",2012
