"Approachesfrominside100yards_RANKTHISWEEK_2012","Approachesfrominside100yards_RANKLASTWEEK_2012","Approachesfrominside100yards_PLAYERNAME_2012","Approachesfrominside100yards_ROUNDS_2012","Approachesfrominside100yards_AVG_2012","Approachesfrominside100yards_TOTALDISTANCEFEET_2012","Approachesfrominside100yards_OFATTEMPTS_2012","Approachesfrominside100yards_RELATIVETOPAR_2012","stat_name","year"
1,1,"Steve Stricker",73,NA,934.417,77,-0.18,"Approachesfrominside100yards",2012
2,2,"Padraig Harrington",67,NA,600,45,-0.13,"Approachesfrominside100yards",2012
3,3,"Bo Van Pelt",84,NA,808.5,60,-0.1,"Approachesfrominside100yards",2012
4,4,"Nick OHern",78,NA,1003.583,74,-0.32,"Approachesfrominside100yards",2012
5,5,"Roland Thatcher",55,NA,547.583,40,-0.08,"Approachesfrominside100yards",2012
6,6,"Webb Simpson",77,NA,801.75,58,-0.22,"Approachesfrominside100yards",2012
7,7,"Marc Leishman",84,NA,1113.667,80,-0.16,"Approachesfrominside100yards",2012
7,7,"Graeme McDowell",55,NA,725.75,52,-0.27,"Approachesfrominside100yards",2012
9,9,"Martin Laird",77,NA,943.083,67,-0.28,"Approachesfrominside100yards",2012
10,10,"Brian Gay",91,NA,1945.75,137,-0.24,"Approachesfrominside100yards",2012
11,11,"Ryuji Imada",78,NA,1080.25,76,-0.18,"Approachesfrominside100yards",2012
11,11,"Henrik Stenson",51,NA,471.5,33,0.03,"Approachesfrominside100yards",2012
13,13,"Justin Rose",69,NA,835.417,58,-0.22,"Approachesfrominside100yards",2012
14,14,"Luke Donald",63,NA,811.833,56,-0.21,"Approachesfrominside100yards",2012
14,14,"Billy Mayfair",90,NA,868,60,-0.18,"Approachesfrominside100yards",2012
14,14,"Garth Mulroy",59,NA,594.917,41,-0.02,"Approachesfrominside100yards",2012
14,14,"David Toms",60,NA,973.667,67,0.04,"Approachesfrominside100yards",2012
18,18,"Rickie Fowler",84,NA,1128.333,77,-0.08,"Approachesfrominside100yards",2012
19,19,"Matt Kuchar",86,NA,1372.25,93,-0.1,"Approachesfrominside100yards",2012
20,20,"Jonathan Byrd",69,NA,902.917,61,-0.3,"Approachesfrominside100yards",2012
20,20,"Brandt Snedeker",81,NA,1009.75,68,-0.22,"Approachesfrominside100yards",2012
22,22,"Brian Davis",91,NA,1777.167,119,-0.13,"Approachesfrominside100yards",2012
22,22,"Josh Teater",97,NA,1615.417,108,-0.11,"Approachesfrominside100yards",2012
24,24,"Justin Leonard",79,NA,1438.5,96,-0.15,"Approachesfrominside100yards",2012
24,24,"John Senden",81,NA,944.75,63,-0.14,"Approachesfrominside100yards",2012
26,26,"Michael Bradley",63,NA,1007.833,67,-0.09,"Approachesfrominside100yards",2012
26,26,"Ryo Ishikawa",54,NA,693.167,46,-0.07,"Approachesfrominside100yards",2012
28,28,"Bob Estes",78,NA,1241.5,82,-0.1,"Approachesfrominside100yards",2012
28,28,"Sergio Garcia",57,NA,590.417,39,0.1,"Approachesfrominside100yards",2012
28,28,"Vaughn Taylor",81,NA,1301.5,86,-0.12,"Approachesfrominside100yards",2012
31,31,"Stephen Ames",54,NA,565.583,37,0.03,"Approachesfrominside100yards",2012
32,32,"Bobby Gates",87,NA,1164.167,76,-0.07,"Approachesfrominside100yards",2012
32,32,"Freddie Jacobson",61,NA,857.75,56,0,"Approachesfrominside100yards",2012
32,32,"Derek Lamely",64,NA,887.083,58,0,"Approachesfrominside100yards",2012
32,32,"John Merrick",83,NA,1212.417,79,-0.27,"Approachesfrominside100yards",2012
36,36,"Rory Sabbatini",84,NA,1251.75,81,-0.09,"Approachesfrominside100yards",2012
